@relation 0_norm_email_features

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute time_seg numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute time_seg.1 numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute fg_current_flow_closeness_centrality numeric
@attribute fg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute fg_eccentricity numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute pg_degree numeric
@attribute fg_degree numeric
@attribute Status {Research,PM,GradStudent,Director,Operations,Outreach}

@data
0,0,0,0,0,0.027778,0,0.2,0.032967,1,0.015544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.039216,1,0,0,0,0.374995,0,0,0.189969,0,0.000822,0,0,0,0,0,0,0,0,0,0.033646,0.014644,0,0.1,0,0.333333,0,0,0,0,0,0,0.5,1,0,0,0.319829,0,0.006074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Research
0.033333,0.2,1,0.111111,0.5,0.009259,0,0.466667,0,0.100072,0.031088,0.035714,0.2,0.066667,1,0.066667,1,0.066667,0.5,0.2,1,0.111111,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1,0.57,0.8,1,0.86,0.037037,1,0,0,0.009804,0.5,0.055556,0.5,0.166667,0.374995,0,0.042717,0.053507,0.024013,0.000014,0.138889,1,0.03125,1,0.055556,0.4,0.045455,1,0.233333,0.112151,0.241632,0,0.15,0,1,0.022727,0.2,0,0,0.060606,1,0,0,0,0.880286,0,1,0,0.640392,0,0.666667,0.663391,0,0.4,0.666667,0.881944,0.5,0.458333,0.895445,0.292264,0.729549,0.356616,0,0.480606,0,0.430493,0.75,0,0,0.545455,0.676923,0.5,0.296296,0.5,0.458333,PM
0.28,0.68,0.4048,0.388889,0.208375,0.425926,0.542373,0.68224,0.362637,0.50216,0.455959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.02,0.06,0.62,0.098592,0.48,0.266667,0.8571,0.333333,0.164878,0.460784,1,0,0,0.1,0.383133,0,0.351863,0.470048,0.278571,0.053078,0.083333,0.0714,0.28125,0.383,0,0,0,0,0.28,0.420563,0.450837,0.036697,0.15,0.1,0.04,0.522727,0.5476,0,0,0.575758,0.4043,0.5,0.0852,0,0.394489,0.660073,0.031478,0.43245,0.237417,0,0,0.689189,0,0.166667,0,0.566964,0,0.166667,0.894745,0.155448,0,0.040529,0,0.114291,0,0.392638,0.75,0,0,0,0.784615,0,0.111111,0,0.166667,GradStudent
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.066667,1,0.2,1,0.111111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.009804,1,0,0,0,0.374995,0,0,0.076604,0,0,0,0,0,0,0,0,0,0,0,0.04673,0.021967,0,0,0,0,0,0,0,0,0.030303,1,0,0,0,0,0.170576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GradStudent
0.1,0.36,0.6,0.277778,0.416625,0.657407,0.610169,0.481493,0.659341,0.724982,0.445596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.35,0.39,0.8,0.197183,0.49,0.074074,0.6667,0.277778,0.384562,0.558824,0.7917,0.833333,0.2083,0.1,0.374995,0,0.438025,0.503585,0.531004,0.019876,0.305556,0.7333,0.96875,0.8612,0.138889,0.3333,0.090909,0.0556,0.100002,0.654206,0.440377,0.018349,0.9,0.13,0.166667,0.25,0.7333,0.666667,0.2666,0.30303,0.1389,0,0,0,0.436907,0.880123,0.02913,0.312538,0.13112,0,0,0.393822,0,0.2,0,0.613527,0,0.291667,0.755004,0.205973,0,0.048206,0,0.070516,0,0.446512,0.75,0,0,0,0.846154,0,0.148148,0,0.291667,GradStudent
0,0,0,0,0,0.018519,0,0.288853,0.021978,1,0.010363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.009804,0.3333,0.111111,0.6667,0,1,0,0,0.069675,0,0.000002,0,0,0,0,0,0,0,0,0,0.020562,0.007322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444881,0.845771,0.001043,0.003599,0,0,0,0.810811,0,0.666667,0,0.734104,0,0.125,0.593154,0.033732,0,0.039411,0,0.049601,0,0.510638,1,0,0,0,0.884615,0,0.074074,0,0.125,Director
0.02,0.08,0.6667,0.111111,0.833375,0.074074,0.050847,0.40736,0.065934,0.600072,0.056995,0.071429,0.6667,0.133333,1,0.066667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.78,0.83,1,0.690141,0.83,0.022222,1,0,0,0.039216,0.4444,0.277778,0.5556,0.1,0.374995,0,0.103382,0.142429,0.013983,0.000692,0,0,0.125,0.8888,0,0,0.090909,0.4444,0.035,0.128506,0.095188,0.018349,0.1,0.67,0.146667,0.022727,0.3333,0,0,0.090909,0.3333,0,0,0,0.354653,0.376688,0.023478,0.072883,0.023785,0,0,0.604423,0,0.345455,0,0.798742,0,0.458333,0.876048,0.238425,0,0.304252,0,0.379995,0,0.430427,0.75,0,0,0,0.7,0,0.296296,0,0.458333,Research
0,0,0,0,0,0.287037,0.016949,0,0.340659,1,0.160622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.186275,0.5938,0.722222,0.4063,0,0.487494,0,0,0.069266,0,0.000008,0,0,0.375,0.75,0,0,0,0,0,0.280373,0.152719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790245,0,0.010193,0.436946,0,0,0.551351,0,0.3,0,0.858108,0,0.208333,0.70477,0.075136,0,0.051293,0,0.077523,0,0.313253,1,0,0,0,0.846154,0,0.148148,0,0.208333,Director
0.2,0.48,0.4,0.888889,0.666625,0.444444,0.40678,0.477547,0.406593,0.595932,0.404145,1,0.9333,0.8,0.4286,1,0.5357,0.333333,0.102,0.4,0.4,0.444444,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.43,0.59,0.97,0.774648,0.89,0.177778,0.8,0.333333,0.23076,0.372549,0.7755,0.611111,0.2245,0.1,0.382645,0,0.253355,0.322629,0.097105,0.012396,0,0,0.15625,0.204,0,0,0,0,0.199999,0.439254,0.398535,0.146789,0.9,0.53,0.246667,0.363636,0.5333,0.333333,0.0666,0.454545,0.3061,0.75,0.1224,0,0.259452,0.626169,0.016138,0.238829,0.300992,0,0,0.654054,0,0.377778,0,0.875862,0,0.416667,0.835727,0.246089,0,0.287145,0,0.380023,0,0.356033,0.75,0,0,0,0.684615,0,0.296296,0,0.416667,Operations
0.02,0.08,0.6667,0.111111,0.833375,0.009259,0.016949,1,0.010989,1,0.020725,0.071429,0.6667,0.133333,1,0.133333,1,0.066667,0.5,0.2,1,0.111111,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.022222,1,0,0,0.019608,1,0,0,0.066667,0.749991,0,0.517458,0.093734,0.688506,0.000696,0,0,0.03125,1,0,0,0.045455,1,0.028,0.007478,0.021967,0,0,0,0,0.045455,0.6667,0,0,0.060606,1,0,0,0,0.216333,0.223881,0.002587,0.001301,0.015484,0,0,0.945946,0,1,0,0.610577,0,0.083333,0.372894,0.006217,0,0.022336,0,0.028969,0,0.273973,0.75,0,0,0,0.853846,0,0.037037,0,0.083333,GradStudent
