pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_hume_all,inter_vt_sent,inter_vt_received,inter_vt_all,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,time_seg,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,time_seg.1,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,fg_current_flow_closeness_centrality,fg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_square_clustering,fg_square_clustering,fg_eccentricity,pg_hubs,pg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,pg_num_cliques,fg_num_cliques,pg_degree,fg_degree,Status
ahmed12,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.2,0.03296703296703297,1.0,0.015544041450777202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,1.0,0.0,0.0,0.0,0.37499531255859303,0.0,0.0,0.189969239897019,0.0,0.0008219308280116164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03364582583722041,0.014644343805259516,0.0,0.1,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.31982942430703626,0.0,0.006073612179616961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Research
apoetter,0.03333333333333333,0.2,1.0,0.1111111111111111,0.5,0.009259259259259259,0.0,0.4666666666666667,0.0,0.10007199424046073,0.031088082901554404,0.03571428571428571,0.2,0.06666666666666667,1.0,0.06666666666666667,1.0,0.06666666666666667,0.5,0.2,1.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.57,0.8,1.0,0.86,0.037037037037037035,1.0,0.0,0.0,0.00980392156862745,0.5,0.05555555555555555,0.5,0.16666666666666666,0.37499531255859303,0.0,0.04271685761047463,0.0535070402141553,0.0240132986268697,1.3716171857537404e-05,0.1388888888888889,1.0,0.03125,1.0,0.05555555555555555,0.4,0.045454545454545456,1.0,0.23333302222263705,0.11215057210333841,0.24163167278678196,0.0,0.15,0.0,1.0,0.022727272727272728,0.2,0.0,0.0,0.06060606060606061,1.0,0.0,0.0,0.0,0.8802857113194423,0.0,1.0,0.0,0.6403915094989538,0.0,0.6666666666666666,0.6633906633906634,0.0,0.4,0.6666666666666666,0.8819444444444444,0.5,0.4583333333333333,0.8954454728478652,0.29226389944477266,0.7295490655427143,0.35661615557463955,0.0,0.4806061536082312,0.0,0.430493273542601,0.75,2.4091332233620876e-12,2.2709871588401763e-11,0.5454545454545455,0.676923076923077,0.5,0.2962962962962963,0.5,0.4583333333333333,PM
arog3632,0.28,0.68,0.4048,0.3888888888888889,0.20837499999999998,0.42592592592592593,0.5423728813559322,0.68224,0.3626373626373626,0.5021598272138229,0.45595854922279794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.06,0.62,0.09859154929577464,0.48,0.26666666666666666,0.8571,0.3333333333333333,0.1648782739125418,0.46078431372549017,1.0,0.0,0.0,0.1,0.3831327108411145,0.0,0.35186267633076146,0.4700478409506486,0.27857098646020145,0.05307798666070881,0.08333333333333333,0.0714,0.28125,0.383,0.0,0.0,0.0,0.0,0.27999962666716444,0.4205630098719718,0.4508371073027681,0.03669724770642202,0.15,0.1,0.04,0.5227272727272727,0.5476,0.0,0.0,0.5757575757575758,0.4043,0.5,0.0852,0.0,0.39448869358234917,0.660073492718777,0.03147768500748063,0.432449985540459,0.23741705614915615,0.0,0.0,0.6891891891891891,0.0,0.16666666666666666,0.0,0.5669642857142856,0.0,0.16666666666666669,0.8947445012427653,0.1554476861226179,0.0,0.04052918111337285,0.0,0.11429111264201026,0.0,0.392638036809816,0.75,0.0,0.0,0.0,0.7846153846153847,0.0,0.1111111111111111,0.0,0.16666666666666666,GradStudent
awais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,1.0,0.2,1.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,1.0,0.0,0.0,0.0,0.37499531255859303,0.0,0.0,0.07660360433537342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04672995021490674,0.02196651570788927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,1.0,0.0,0.0,0.0,0.0,0.17057569296375266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GradStudent
bdeird7,0.1,0.36,0.6,0.2777777777777778,0.41662499999999997,0.6574074074074074,0.6101694915254238,0.4814933333333334,0.6593406593406593,0.7249820014398847,0.44559585492227977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.35,0.39,0.8,0.19718309859154928,0.49,0.07407407407407407,0.6667,0.2777777777777778,0.3845621322256836,0.5588235294117647,0.7917,0.8333333333333334,0.2083,0.1,0.37499531255859303,0.0,0.43802509547190405,0.5035852942457536,0.5310036810724557,0.019876080575481153,0.3055555555555556,0.7333,0.96875,0.8612,0.1388888888888889,0.3333,0.09090909090909091,0.0556,0.10000186666417779,0.6542062188843167,0.44037738473986143,0.01834862385321101,0.9,0.13,0.16666666666666666,0.25,0.7333,0.6666666666666666,0.2666,0.30303030303030304,0.1389,0.0,0.0,0.0,0.43690683267722547,0.8801231935560294,0.02913003422305666,0.3125375137495371,0.13112008225214783,0.0,0.0,0.39382239382239387,0.0,0.2,0.0,0.6135265700483092,0.0,0.2916666666666667,0.7550042469266337,0.20597337987810652,0.0,0.04820648216599764,0.0,0.07051648454861213,0.0,0.4465116279069767,0.75,0.0,0.0,0.0,0.8461538461538461,0.0,0.14814814814814814,0.0,0.2916666666666667,GradStudent
ccallsen,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.2888533333333333,0.02197802197802198,1.0,0.010362694300518135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.3333,0.1111111111111111,0.6667,0.0,1.0,0.0,0.0,0.06967463509900798,0.0,2.4313058466732965e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020561701459534072,0.007322171902629755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44488144282706216,0.8457711442786068,0.001043161857124618,0.003599177587921162,0.0,0.0,0.0,0.8108108108108109,0.0,0.6666666666666666,0.0,0.7341040462427745,0.0,0.125,0.5931544950959783,0.03373185836514642,0.0,0.03941064719015426,0.0,0.04960112848310092,0.0,0.5106382978723404,1.0,0.0,0.0,0.0,0.8846153846153846,0.0,0.07407407407407407,0.0,0.125,Director
cheadley,0.02,0.08,0.6667,0.1111111111111111,0.8333749999999999,0.07407407407407407,0.05084745762711865,0.40736,0.06593406593406594,0.6000719942404609,0.05699481865284974,0.07142857142857142,0.6667,0.13333333333333333,1.0,0.06666666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.78,0.83,1.0,0.6901408450704225,0.83,0.022222222222222223,1.0,0.0,0.0,0.0392156862745098,0.4444,0.2777777777777778,0.5556,0.1,0.37499531255859303,0.0,0.10338243316966719,0.14242881208084504,0.013983365834365517,0.0006918556869057756,0.0,0.0,0.125,0.8888,0.0,0.0,0.09090909090909091,0.4444,0.034999953333395555,0.12850572757544632,0.09518823473418685,0.01834862385321101,0.1,0.67,0.14666666666666667,0.022727272727272728,0.3333,0.0,0.0,0.09090909090909091,0.3333,0.0,0.0,0.0,0.3546525281715089,0.37668798862828723,0.023478047524936287,0.07288334615540353,0.023784715951174526,0.0,0.0,0.6044226044226044,0.0,0.34545454545454546,0.0,0.7987421383647798,0.0,0.4583333333333333,0.8760479640721947,0.23842497982864896,0.0,0.30425192680779756,0.0,0.3799949091205004,0.0,0.4304267161410019,0.75,0.0,0.0,0.0,0.7000000000000001,0.0,0.2962962962962963,0.0,0.4583333333333333,Research
cthomp,0.0,0.0,0.0,0.0,0.0,0.28703703703703703,0.01694915254237288,0.0,0.34065934065934067,1.0,0.16062176165803108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18627450980392157,0.5938,0.7222222222222222,0.4063,0.0,0.4874939063261709,0.0,0.0,0.06926563344269475,0.0,8.12796993471943e-06,0.0,0.0,0.375,0.75,0.0,0.0,0.0,0.0,0.0,0.2803731592272516,0.15271853937314883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7902452025586354,0.0,0.010192732344587839,0.43694610227671776,0.0,0.0,0.5513513513513513,0.0,0.3,0.0,0.858108108108108,0.0,0.20833333333333334,0.7047700016245881,0.07513574855241695,0.0,0.05129258043612291,0.0,0.07752349299849991,0.0,0.3132530120481928,1.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.14814814814814814,0.0,0.20833333333333334,Director
deannac,0.2,0.48,0.4,0.8888888888888888,0.6666249999999999,0.4444444444444444,0.4067796610169492,0.4775466666666667,0.4065934065934066,0.5959323254139668,0.40414507772020725,1.0,0.9333,0.8,0.4286,1.0,0.5357,0.3333333333333333,0.102,0.4,0.4,0.4444444444444444,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.43,0.59,0.97,0.7746478873239436,0.89,0.17777777777777778,0.8,0.3333333333333333,0.23076035537094727,0.37254901960784315,0.7755,0.6111111111111112,0.2245,0.1,0.3826452169347883,0.0,0.25335515548281506,0.3226291480714916,0.09710514156226391,0.012396284656514633,0.0,0.0,0.15625,0.204,0.0,0.0,0.0,0.0,0.19999906666791112,0.43925368154549677,0.39853483340228374,0.14678899082568808,0.9,0.53,0.24666666666666667,0.36363636363636365,0.5333,0.3333333333333333,0.0666,0.45454545454545453,0.3061,0.75,0.1224,0.0,0.2594517747447762,0.6261694443235716,0.016137514354233096,0.2388291605052306,0.3009924774735692,0.0,0.0,0.654054054054054,0.0,0.37777777777777777,0.0,0.8758620689655172,0.0,0.4166666666666667,0.8357266421739873,0.24608945968923704,0.0,0.2871450116651921,0.0,0.38002254076645386,0.0,0.35603345280764637,0.75,0.0,0.0,0.0,0.6846153846153847,0.0,0.2962962962962963,0.0,0.4166666666666667,Operations
example,0.02,0.08,0.6667,0.1111111111111111,0.8333749999999999,0.009259259259259259,0.01694915254237288,1.0,0.01098901098901099,1.0,0.02072538860103627,0.07142857142857142,0.6667,0.13333333333333333,1.0,0.13333333333333333,1.0,0.06666666666666667,0.5,0.2,1.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.022222222222222223,1.0,0.0,0.0,0.0196078431372549,1.0,0.0,0.0,0.06666666666666667,0.7499906251171861,0.0,0.5174577195853792,0.09373355605861018,0.6885058589904017,0.0006956498710412721,0.0,0.0,0.03125,1.0,0.0,0.0,0.045454545454545456,1.0,0.027999962666716446,0.00747757708184774,0.02196651570788927,0.0,0.0,0.0,0.0,0.045454545454545456,0.6667,0.0,0.0,0.06060606060606061,1.0,0.0,0.0,0.0,0.2163325093838689,0.22388059701492538,0.002587206986916216,0.0013014883242036344,0.015483721053205838,0.0,0.0,0.9459459459459459,0.0,1.0,0.0,0.6105769230769231,0.0,0.08333333333333334,0.37289442045840976,0.006216876111450735,0.0,0.02233561429047577,0.0,0.028969350488243773,0.0,0.273972602739726,0.75,0.0,0.0,0.0,0.8538461538461539,0.0,0.037037037037037035,0.0,0.08333333333333333,GradStudent
