pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_hume_all,inter_vt_sent,inter_vt_received,inter_vt_all,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,time_seg,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,time_seg.1,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,fg_current_flow_closeness_centrality,fg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_square_clustering,fg_square_clustering,fg_eccentricity,pg_hubs,pg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,pg_num_cliques,fg_num_cliques,pg_degree,fg_degree,Status
apoetter,5,5,1.0,2,0.4,2,1,0.5,1,0.5,7,1,0.2,1,1.0,1,1.0,1,0.5,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40,100,57,80,100,86,5,1.0,0,0.0,1,0.5,1,0.5,2.5,1.0,0,52.2,167.0,10899.36,1369.0,5,1.0,1,0.5,2,0.4,1,0.5,5.0,2.0,7.0,0,3,0.0,1.5,1,0.2,0,0.0,2,1.0,0,0.0,0,69.17525773195877,7.0,4638.206398129446,0.0,0.11477988554769313,0.0,2.0,12.272727272727273,0.0,0.4,0.01282051282051282,0.3263888888888889,0.125,0.23404255319148934,4.563106289883684,0.11805040958660565,1.589091778304286,2082.3806073721257,0.0,0.3436692606809137,0.0,0.10762331838565024,3,2.8788529828595905e-13,2.1167601230942405e-12,1.0,1.8333333333333333,1.0,8,1.0,11,PM
arog3632,42,17,0.4048,7,0.1667,47,33,0.7021,34,0.7234,89,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,2,6,62,36,48,36,0.8571,6,0.1429,47,1.0,0,0.0,1.5,1.0217,0,429.9761904761905,1249.085106382979,126440.16609977324,5297670.843820732,3,0.0714,9,0.1915,0,0.0,0,0.0,6.0,6.7143,12.7143,4,3,0.1,0.06,23,0.5476,0,0.0,19,0.4043,2,0.0426,0,31.0,37.95744680851064,146.0,747.6152105024897,0.0425531914893617,0.0,0.0,12.75,0.0,0.16666666666666666,0.0,0.20982142857142855,0.0,0.0851063829787234,4.559534204215431,0.06278799075399584,0.0,236.6611255936103,0.0,0.08172667347096986,0.0,0.098159509202454,3,0.0,0.0,0.0,2.125,0.0,3,0.0,4,GradStudent
bdeird7,15,9,0.6,5,0.3333,72,37,0.5139,61,0.8472,87,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,60,35,39,80,43,49,10,0.6667,5,0.3333,57,0.7917,15,0.2083,1.5,1.0,0,535.2666666666668,1336.2083333333333,241016.46222222215,1983815.498263889,11,0.7333,31,0.4306,5,0.3333,2,0.0278,2.1429,10.2857,12.4286,2,18,0.13,0.25,11,0.7333,2,0.1333,10,0.1389,0,0.0,0,34.333333333333336,48.27777777777778,135.11111111111111,540.3117283950619,0.023501167349455968,0.0,0.0,7.2857142857142865,0.0,0.2,0.0,0.2270531400966184,0.0,0.14893617021276595,3.847430951973939,0.0831961864080401,0.0,281.49101503925937,0.0,0.050424548101798486,0.0,0.11162790697674417,3,0.0,0.0,0.0,2.2916666666666665,0.0,4,0.0,7,GradStudent
ccallsen,0,0,0.0,0,0.0,3,1,0.3333,3,1.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,100,0,0,0.0,0,0.0,1,0.3333,2,0.6667,0.0,2.6667,0,0.0,209.0,0.0,242.66666666666663,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.6,0.6,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,34.96,46.66666666666666,4.838399999999998,6.222222222222222,0.0,0.0,0.0,15.0,0.0,0.6666666666666666,0.0,0.27167630057803466,0.0,0.06382978723404255,3.0226597704906712,0.013624877050117407,0.0,230.1296958925497,0.0,0.03546850789726209,0.0,0.1276595744680851,4,0.0,0.0,0.0,2.395833333333333,0.0,2,0.0,3,Director
cheadley,3,2,0.6667,2,0.6667,9,4,0.4444,7,0.7778,12,2,0.6667,2,1.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100,78,83,100,78,83,3,1.0,0,0.0,4,0.4444,5,0.5556,1.5,1.0,0,126.33333333333331,398.0,6346.8888888888905,69053.55555555556,0,0.0,4,0.4444,0,0.0,2,0.2222,0.75,2.25,3.0,2,2,0.67,0.22,1,0.3333,0,0.0,3,0.3333,0,0.0,0,27.869565217391305,24.66666666666667,108.89603024574669,126.0,0.004263028060437867,0.0,0.0,11.181818181818182,0.0,0.34545454545454546,0.0,0.29559748427672955,0.0,0.23404255319148934,4.464258401334054,0.09630394509181868,0.0,1776.6113571586511,0.0,0.27172471367565265,0.0,0.10760667903525048,3,0.0,0.0,0.0,1.8958333333333333,0.0,8,0.0,11,Research
cthomp,0,0,0.0,0,0.0,32,2,0.0625,32,1.0,32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,100,0,0,0.0,0,0.0,19,0.5938,13,0.4063,0.0,1.3,0,0.0,207.9375,0.0,811.24609375,0,0.0,12,0.375,0,0.0,0,0.0,0.0,4.5714,4.5714,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,44.0625,0.0,17.62109375,0.07831556612777704,0.0,0.0,10.2,0.0,0.3,0.0,0.31756756756756754,0.0,0.10638297872340426,3.5914419413016287,0.030348619545757845,0.0,299.5115984864624,0.0,0.05543508197756907,0.0,0.0783132530120482,4,0.0,0.0,0.0,2.2916666666666665,0.0,4,0.0,5,Director
deannac,30,12,0.4,16,0.5333,49,25,0.5102,38,0.7755,79,28,0.9333,12,0.4286,15,0.5357,5,0.102,2,0.4,4,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,87,43,59,97,84,89,24,0.8,6,0.2,38,0.7755,11,0.2245,1.5,1.0204,0,309.6,866.1224489795917,44074.90666666666,1237263.12786339,0,0.0,5,0.102,0,0.0,0,0.0,4.2857,7.0,11.2857,16,18,0.53,0.37,16,0.5333,1,0.0333,15,0.3061,3,0.0612,0,20.38842975206612,36.367346938775505,74.84912232770972,412.88546438983735,0.05394806396194001,0.0,0.0,12.1,0.0,0.37777777777777777,0.0,0.32413793103448274,0.0,0.2127659574468085,4.2587847201896585,0.09939976017034734,0.0,1676.7193365980002,0.0,0.27174447236426896,0.0,0.08900836320191159,3,0.0,0.0,0.0,1.8541666666666667,0.0,8,0.0,10,Operations
example,3,2,0.6667,2,0.6667,2,2,1.0,2,1.0,5,2,0.6667,2,1.0,2,1.0,1,0.5,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100,100,100,100,100,100,3,1.0,0,0.0,2,1.0,0,0.0,1.0,2.0,0,632.3333333333334,271.5,312504.88888888893,69432.25,0,0.0,1,0.5,0,0.0,1,0.5,0.6,0.4,1.0,0,0,0.0,0.0,2,0.6667,0,0.0,2,1.0,0,0.0,0,17.0,17.5,12.0,2.25,0.002775208140610546,0.0,0.0,17.5,0.0,1.0,0.0,0.2259615384615385,0.0,0.0425531914893617,1.9002350528890244,0.0025111030568612017,0.0,130.4238445879822,0.0,0.0207152471726706,0.0,0.0684931506849315,3,0.0,0.0,0.0,2.3125,0.0,1,0.0,2,GradStudent
fnguyen,0,0,0.0,0,0.0,11,8,0.7273,8,0.7273,11,0,0.0,0,0.0,0,0.0,2,0.1818,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,36,0,0,55,0,0,0.0,0,0.0,11,1.0,0,0.0,0.0,1.4,0,0.0,615.8181818181819,0.0,312381.7851239669,0,0.0,1,0.0909,0,0.0,0,0.0,0.0,1.8333,1.8333,0,15,0.0,1.36,0,0.0,0,0.0,4,0.3636,0,0.0,0,0.0,29.818181818181817,0.0,119.42148760330579,0.0007554733271662043,0.0,0.0,14.0,0.0,0.0,0.0,0.20085470085470086,0.0,0.0425531914893617,2.2360421833966657,0.005511967591030908,0.0,69.97139167226007,0.0,0.01216121401201905,0.0,0.08108108108108109,4,0.0,0.0,0.0,2.5,0.0,2,0.0,2,GradStudent
het,4,3,0.75,2,0.5,10,5,0.5,6,0.6,14,0,0.0,0,0.0,0,0.0,3,0.3,2,0.6667,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,80,79,100,100,100,3,0.75,1,0.25,5,0.5,5,0.5,2.0,1.0,0,126.25,540.4,24979.6875,302866.4400000001,0,0.0,0,0.0,0,0.0,0,0.0,1.0,2.5,3.5,0,3,0.0,0.3,3,0.75,1,0.25,5,0.5,0,0.0,0,50.0,33.3,0.0,930.0099999999996,0.0425531914893617,0.0,0.0,10.2,0.0,0.3333333333333333,0.0,0.23618090452261306,0.0,0.10638297872340426,3.209287417490513,0.06698230101036484,0.0,233.4915034626152,0.0,0.07466644564528048,0.0,0.09420289855072464,3,0.0,0.0,0.0,2.1875,0.0,2,0.0,5,Research
