@relation 1_norm_email_features

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute time_seg numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute time_seg.1 numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute fg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute fg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute fg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute pg_degree numeric
@attribute fg_degree numeric
@attribute Status {Research,PM,GradStudent,Director,Operations,Outreach}

@data
0,0,0,0,0,0.003891,0,0.181781,0.014563,1,0.002717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.016949,1,0,0,0,0.466667,0,0,0.234546,0,0.001676,0,0,0,0,0,0,0,0,0,0.012087,0.006431,0,0.028169,0,0.56338,0,0,0,0,0,0,0.222222,1,0,0,0.017115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Research
0.352941,0.86,0.474294,0.297297,0.140146,0.198444,0.161905,0.35538,0.087379,0.222195,0.415761,0.227941,0.3039,0.375,0.5806,0.147059,0.1613,0.111111,0.065403,0.428571,1,0.111111,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.71,0.75,0.9,0.797297,0.89,0.278195,0.7255,0.736842,0.355248,0.15678,0.675451,0.369565,0.324549,0.809522,0.704767,0,0.520926,0.236671,0.134756,0.007709,0.542373,0.470526,0.266667,0.636332,0.425926,0.405868,0.447368,0.685366,0.70588,0.401703,0.840075,0.139738,0.492958,0.373494,0.901408,0.32967,0.2941,0,0,0.560606,0.739963,0,0,0,0.365203,0.318402,0.345423,0.140082,1,0.035874,0.607843,0.315789,0.666667,0.238976,0.658689,0.93956,0.176471,0.904762,0.751928,0.990499,0.097267,0.887898,0.159502,0.718554,0.162002,0.897135,0.166667,0.318508,1,0.75,0.201495,0.615882,0.622222,0.603261,0.117647,0.62,0.176471,0.904762,PM
0.228374,0.48,0.409045,0.378378,0.275741,0.459144,0.571429,0.59089,0.441748,0.709484,0.5,0,0,0,0,0,0,0.074074,0.019681,0.142857,0.5,0.055556,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.24,0.19,0.61,0.351351,0.55,0.214286,0.8636,0.236842,0.176524,0.508475,0.99139,0.021739,0.00861,0.152778,0.4766,0,0.406846,0.729866,0.108779,0.118975,0.220339,0.295485,0.24,0.258138,0,0,0,0,0.228374,0.449253,0.492648,0.087336,0.450704,0.361446,0.366197,0.428571,0.5909,0,0,0.530303,0.315587,0.333333,0.0615,0,0.205468,0.62458,0.079283,0.318691,0.329326,0,0.588235,0.454762,0,0.535714,0.303889,0.780822,0.058824,0.238095,0.720708,0.94992,0,0.208567,0.032741,0.078737,0.020655,0.158817,0,0.416941,0.75,1,0.179673,0.249059,0.744444,0.836957,0.058824,0.06,0.058824,0.238095,GradStudent
0,0,0,0,0,0,0.009524,0.59089,0.004854,0.694451,0,0,0,0,0,0,0,0.074074,0.600024,0.142857,0.5,0.111111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.012712,1,0,0,0,0.666667,0,0,0.289154,0,0.006881,0,0,0,0,0,0,0,0,0,0.002846,0,0,0,0,0,0,0,0,0,0.045455,0.824992,0.111111,0.625,0,0,0.245314,0,0.067917,0,0,0,1,0,0,0,0.511976,0,0.02381,0,0.351786,0,0,0,0.003115,0,0.005511,0,0,0,1,0,0.035863,0,0.967391,0,0.01,0,0.02381,GradStudent
0.083045,0.26,0.609405,0.243243,0.48752,0.470817,0.495238,0.487249,0.475728,0.755561,0.394022,0,0,0,0,0,0,0.148148,0.038402,0.285714,0.5,0.222222,1,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.37,0.38,0.58,0.297297,0.5,0.067669,0.75,0.157895,0.323541,0.432203,0.815204,0.478261,0.184796,0.148144,0.363133,0,0.471108,0.584196,0.159118,0.032343,0.220339,0.812509,0.68,0.714036,0.092593,0.37491,0.052632,0.035477,0.096886,0.543686,0.453586,0.017467,0.352113,0.204819,0.28169,0.197802,0.75,0.375,0.515677,0.439394,0.255197,0.333333,0.06,0,0.340746,0.279328,0.188809,0.166367,0.083254,0,0.588235,0.446429,0,0.6,0.53508,0.818182,0.058824,0.285714,0.418104,0.897006,0,0.112509,0.032741,0.122286,0.020655,0.191741,0,0.612401,0.75,0.75,0.080417,0.125724,0.744444,0.815217,0.058824,0.06,0.058824,0.285714,GradStudent
0.086505,0.34,0.76499,0.135135,0.26001,0.066148,0.066667,0.42861,0.038835,0.359814,0.11413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.52,0.63,0.88,0.864865,0.89,0.033835,0.36,0.421053,0.828265,0.004237,0.049979,0.413043,0.950021,0.555556,0.5873,0,0.293203,0.13321,0.033534,0.001326,0,0,0.16,1,0,0,0.210526,0.844789,0.134564,0.095293,0.171567,0,0.126761,0,0.605634,0.197802,0.72,0,0,0.227273,0.785722,0,0,0,0.326273,0.488726,0.107182,0.06293,0.130923,0,0,0.501488,0,0.666667,0,0.846535,0,0.380952,0,0.927366,0,0.109252,0,0.306679,0,0.441115,0,0.500513,0,0.75,0,0.157576,0,0.777174,0,0.19,0,0.380952,Director
0.089965,0.3,0.649004,0.243243,0.450078,0.182879,0.171429,0.417019,0.11165,0.376925,0.19837,0.080882,0.4231,0.125,0.5455,0.176471,0.5455,0.37037,0.235329,0.714286,0.5,0.222222,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.96,0.97,1,0.945946,0.97,0.06015,0.6154,0.263158,0.497735,0.131356,0.608883,0.413043,0.391117,0.222222,0.595233,0,0.29133,0.201649,0.075669,0.002816,0.220339,0.749963,0.333333,0.857893,0.240741,0.899928,0.605263,1,0.114499,0.223048,0.244485,0.008734,0.211268,0.096386,0.408451,0.197802,0.6923,0.125,0.158828,0.469697,0.668573,0.111111,0.049,0,0.354237,0.424613,0.186023,0.539329,0.139221,0.058296,0.617647,0.454545,0,0.502165,0.720137,0.834146,0.117647,0.52381,0.533762,0.965326,0.051793,0.300988,0.073984,0.455516,0.068145,0.631699,1,0.359732,1,0.75,0.118752,0.298022,0.655556,0.663043,0.117647,0.31,0.117647,0.52381,Research
0,0,0,0,0,0.319066,0.047619,0.004227,0.402913,0.985823,0.222826,0,0,0,0,0,0,0.037037,0.013921,0.142857,1,0.055556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,1,0,0,0,0,0,0.190678,0.511655,0.869565,0.488345,0,0.570833,0,0,0.076416,0,0.000091,0,0,0.293333,0.447672,0,0,0,0,0,0.306615,0.211398,0,0,0,0,0,0,0,0,0.030303,0.02563,0,0,0,0.547627,0.522322,0.126389,0.027923,0.773881,0,0.117647,0.510417,0,0.558333,0.399117,1,0.058824,0.380952,0.277281,0.928236,0,0.229977,0.021105,0.283192,0.00303,0.446592,0,0.430653,1,0.75,0.152435,0.19847,1,0.73913,0.058824,0.13,0.058824,0.380952,Director
0.522491,1,0.372483,1,0.318513,0.44358,0.419048,0.429156,0.398058,0.647886,0.720109,1,0.9007,1,0.3529,1,0.25,0.62963,0.172927,0.714286,0.2941,0.722222,0.7647,1,0.085826,1,1,1,1,0,0,0,0,0,0,0.91,0.47,0.72,0.99,0.783784,0.93,0.511278,0.9007,0.394737,0.12851,0.385593,0.76869,0.565217,0.23131,0.364733,0.347467,0,0.343464,0.568875,0.040967,0.03768,0,0,0.266667,0.29664,0,0,0.052632,0.037472,0.52249,0.433405,0.715994,0.179039,0.535211,0.325301,0.450704,0.659341,0.3974,0.25,0.054455,0.545455,0.335607,0.444444,0.08475,0,0.367539,0.323695,0.101717,0.172607,0.458048,0.112108,0.323529,0.342404,0,0.274359,0.582873,0.881443,0.117647,1,0.38021,0.985341,0.131501,0.843932,0.041611,1,0.112414,1,0,0.307462,0.75,0.75,0.201715,0.570973,0.722222,0.586957,0.117647,1,0.117647,1,Operations
0.024221,0.1,0.803577,0.108108,0.74285,0.007782,0.019048,0.59089,0.004854,0.388902,0.024457,0.036765,0.7143,0.083333,0.8,0.088235,0.6,0.185185,1,0.285714,0.4,0.111111,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.022556,0.8571,0.026316,0.184936,0.021186,1,0,0,0.129633,1,0,0.378903,0.133997,0.171126,0.000924,0,0,0.013333,0.29174,0,0,0.026316,0.369623,0.048443,0.013407,0.045953,0,0,0,0,0.065934,0.8571,0,0,0.060606,0.733363,0,0,0,0.194985,0.06846,0.006208,0.005868,0.285527,0,0,0.595238,0,0.666667,0,0.799065,0,0.142857,0,0.690119,0,0.025207,0,0.048215,0,0.090864,0,0.296314,0,0.75,0,0.055121,0,0.826087,0,0.03,0,0.142857,GradStudent
