pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_hume_all,inter_vt_sent,inter_vt_received,inter_vt_all,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,time_seg,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,time_seg.1,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,fg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,fg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,fg_eccentricity,pg_pagerank,fg_pagerank,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,pg_num_cliques,fg_num_cliques,pg_degree,fg_degree,Status
apoetter,0.35294117647058826,0.86,0.4742940713241084,0.2972972972972973,0.14014560582423297,0.19844357976653695,0.1619047619047619,0.35537978999045405,0.08737864077669903,0.22219506233194816,0.4157608695652174,0.22794117647058823,0.3039,0.375,0.5806,0.14705882352941177,0.1613,0.1111111111111111,0.06540261610464418,0.42857142857142855,1.0,0.1111111111111111,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.71,0.75,0.9,0.7972972972972973,0.89,0.2781954887218045,0.7255,0.7368421052631579,0.3552478322764333,0.15677966101694915,0.6754514909701805,0.3695652173913043,0.32454850902981935,0.8095222222222223,0.7047666666666667,0.0,0.5209262188983173,0.23667069528770682,0.13475637267803084,0.007708521611758656,0.5423728813559322,0.47052647367631617,0.26666666666666666,0.6363318165908295,0.42592592592592593,0.4058675305975522,0.4473684210526316,0.6853658536585365,0.7058795033643529,0.40170295382055193,0.8400753531212483,0.13973799126637554,0.49295774647887325,0.3734939759036145,0.9014084507042254,0.32967032967032966,0.2941,0.0,0.0,0.5606060606060606,0.7399626003739962,0.0,0.0,0.0,0.36520267294694325,0.31840199289569593,0.3454227274018209,0.14008239851436424,1.0,0.03587443946188341,0.607843137254902,0.0,0.6666666666666666,0.23897581792318634,0.6586888657648283,0.8761545203262996,0.17647058823529416,0.902439024390244,0.751927520383942,0.9853420900093806,0.09726679752501449,0.8878977235699427,0.15950219157608542,0.7176749919349588,0.16200231104512075,0.896564882102355,0.16666666666666666,0.31850792023560065,1.0,0.0,0.2014948559663986,0.6015941689315791,0.6222222222222222,0.039473684210526376,0.11764705882352941,0.6161616161616161,0.17647058823529413,0.9024390243902439,PM
arog3632,0.22837370242214533,0.48,0.4090448869389132,0.3783783783783784,0.2757410296411857,0.4591439688715953,0.5714285714285714,0.590890495022501,0.441747572815534,0.709484233683696,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.01968078723148926,0.14285714285714285,0.5,0.05555555555555555,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.24,0.19,0.61,0.35135135135135137,0.55,0.21428571428571427,0.8636,0.23684210526315788,0.17652387731331692,0.5084745762711864,0.9913901721965561,0.021739130434782608,0.008609827803443932,0.1527777777777778,0.47659999999999997,0.0,0.4068459657701711,0.7298656427847526,0.10877936628522214,0.11897525478841631,0.22033898305084745,0.2954852257387131,0.24,0.25813790689534477,0.0,0.0,0.0,0.0,0.22837392033096124,0.44925253085563727,0.4926480522839484,0.08733624454148471,0.4507042253521127,0.3614457831325301,0.36619718309859156,0.42857142857142855,0.5909,0.0,0.0,0.5303030303030303,0.3155868441315587,0.3333333333333333,0.0984,0.0,0.20546843586650584,0.6245802770986145,0.07928349117841824,0.3186910152178445,0.3293255976143228,0.0,0.5882352941176471,0.20311355311355322,0.0,0.5357142857142857,0.3038886221795488,0.5508866291284982,0.058823529411764705,0.21951219512195122,0.7207078364140546,0.9227415942684645,9.343707306737075e-18,0.20856747226798403,0.03274061580202466,0.07585908262888592,0.020655024493525173,0.15415547905211685,0.0,0.4169410754852412,0.75,1.0,0.17967347000800138,0.22112673789224274,0.7444444444444445,0.6052631578947371,0.058823529411764705,0.050505050505050504,0.058823529411764705,0.21951219512195122,GradStudent
awais,0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.590890495022501,0.0048543689320388345,0.694451234417013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.6000240009600384,0.14285714285714285,0.5,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.012711864406779662,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.2891542751582979,0.0,0.006880677553927348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028456524753848293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.8249917500824991,0.1111111111111111,1.0,0.0,0.0,0.24531377343113275,0.0,0.06791700486562967,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.343707306737075e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9210526315789472,0.0,0.0,0.0,0.0,GradStudent
bdeird7,0.08304498269896193,0.26,0.6094048824389694,0.24324324324324326,0.4875195007800312,0.4708171206225681,0.49523809523809526,0.48724942042820124,0.47572815533980584,0.7555609875336105,0.39402173913043476,0.0,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.038401536061442455,0.2857142857142857,0.5,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.37,0.38,0.58,0.2972972972972973,0.5,0.06766917293233082,0.75,0.15789473684210525,0.3235408308528536,0.4322033898305085,0.8152036959260814,0.4782608695652174,0.1847963040739185,0.14814444444444444,0.3631333333333333,0.0,0.47110839445802766,0.5841962636759821,0.1591175733448899,0.03234258898612346,0.22033898305084745,0.8125093745312735,0.68,0.7140357017850892,0.09259259259259259,0.3749100071994241,0.05263157894736842,0.03547671840354767,0.0968856120021896,0.5436860352239634,0.45358564275980806,0.017467248908296942,0.352112676056338,0.20481927710843376,0.28169014084507044,0.1978021978021978,0.75,0.375,0.5156765676567656,0.4393939393939394,0.25519744802551975,0.3333333333333333,0.096,0.0,0.3407457911574973,0.27932832033953037,0.18880946987763475,0.1663673674234288,0.08325443662482039,0.0,0.5882352941176471,0.19093406593406598,0.0,0.6,0.5350803043110736,0.6274400446179588,0.058823529411764705,0.26829268292682923,0.4181039916077445,0.8411119093582698,9.343707306737075e-18,0.11250906913855167,0.032740615802024677,0.11954354061849137,0.02065502449352502,0.18726191201372014,0.0,0.6124011613744247,0.75,0.0,0.08041675527808487,0.09320370167886584,0.7444444444444445,0.552631578947368,0.058823529411764705,0.050505050505050504,0.058823529411764705,0.2682926829268293,GradStudent
ccallsen,0.08650519031141868,0.34,0.7649904376195298,0.13513513513513514,0.26001040041601664,0.06614785992217899,0.06666666666666667,0.4286103913814264,0.038834951456310676,0.3598142263505255,0.11413043478260869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.52,0.63,0.88,0.8648648648648649,0.89,0.03383458646616541,0.36,0.42105263157894735,0.8282645269833052,0.00423728813559322,0.0499790004199916,0.41304347826086957,0.9500209995800084,0.5555555555555556,0.5873,0.0,0.2932029339853301,0.13321040340819082,0.03353427840324472,0.0013262433386017948,0.0,0.0,0.16,1.0,0.0,0.0,0.21052631578947367,0.8447893569844789,0.13456442650984116,0.09529330189987519,0.17156732176014394,0.0,0.1267605633802817,0.0,0.6056338028169014,0.1978021978021978,0.72,0.0,0.0,0.22727272727272727,0.7857221427785722,0.0,0.0,0.0,0.32627349291143887,0.4887258897038849,0.10718150998795793,0.06293038744171765,0.13092274628512715,0.0,0.0,0.2714056776556777,0.0,0.6666666666666666,0.0,0.68553726538298,0.0,0.36585365853658536,0.0,0.8879474103633122,9.343707306737075e-18,0.10925198011455041,0.0,0.3045124799983934,0.0,0.4380176469054918,0.0,0.5005127036572861,0.0,0.0,0.0,0.12624042573296487,0.0,0.4605263157894736,0.0,0.18181818181818182,0.0,0.36585365853658536,Director
cheadley,0.08996539792387544,0.3,0.6490043874451569,0.24324324324324326,0.4500780031201248,0.1828793774319066,0.17142857142857143,0.41701895540706396,0.11165048543689321,0.3769249572231728,0.1983695652173913,0.08088235294117647,0.4231,0.125,0.5455,0.17647058823529413,0.5455,0.37037037037037035,0.23532941317652706,0.7142857142857143,0.5,0.2222222222222222,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96,0.97,1.0,0.9459459459459459,0.97,0.06015037593984962,0.6154,0.2631578947368421,0.49773521418403,0.13135593220338984,0.6088828223435531,0.41304347826086957,0.3911171776564469,0.2222222222222222,0.5952333333333334,0.0,0.2913296971976678,0.20164946764698297,0.07566906775360505,0.002815791346648124,0.22033898305084745,0.7499625018749063,0.3333333333333333,0.8578928946447323,0.24074074074074073,0.8999280057595392,0.6052631578947368,1.0,0.11449941626418768,0.2230481209263625,0.24448459159920785,0.008733624454148471,0.2112676056338028,0.0963855421686747,0.4084507042253521,0.1978021978021978,0.6923,0.125,0.15882838283828382,0.4696969696969697,0.6685733142668573,0.1111111111111111,0.0784,0.0,0.35423706378759623,0.42461287693561534,0.18602307105010005,0.5393286584257005,0.13922144269347345,0.05829596412556054,0.6176470588235294,0.2027972027972028,0.0,0.5021645021645021,0.7201365187713311,0.6601526260661379,0.11764705882352941,0.5121951219512196,0.5337623955070725,0.9465077218142991,0.05179294542130163,0.30098820288391487,0.07398412596929486,0.4538147565041044,0.06814545619532679,0.6296576165972022,1.0,0.3597323513377291,1.0,0.0,0.11875152907126729,0.2719106227858239,0.6555555555555556,0.1842105263157894,0.11764705882352941,0.30303030303030304,0.11764705882352941,0.5121951219512195,Research
cthomp,0.0,0.0,0.0,0.0,0.0,0.31906614785992216,0.047619047619047616,0.0042274648847674965,0.4029126213592233,0.9858225372769494,0.22282608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.01392055682227289,0.14285714285714285,1.0,0.05555555555555555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1906779661016949,0.5116547669046619,0.8695652173913043,0.4883452330953381,0.0,0.5708333333333333,0.0,0.0,0.07641594775664577,0.0,9.106114683813317e-05,0.0,0.0,0.29333333333333333,0.447672383619181,0.0,0.0,0.0,0.0,0.0,0.30661489391207875,0.21139793164946902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.025629743702562977,0.0,0.0,0.0,0.5476271643602635,0.5223218328352803,0.126389330762624,0.027922776904114228,0.7738811830805644,0.0,0.11764705882352941,0.28445512820512825,0.0,0.5583333333333333,0.3991172761664564,1.0,0.058823529411764705,0.36585365853658536,0.2772805547548672,0.889289382335938,1.0278078037410783e-16,0.22997733583937643,0.021104658820914342,0.2809519385386953,0.0030301454383549675,0.44352549991728546,0.0,0.43065273631840795,1.0,0.0,0.1524347886394723,0.168656345461512,1.0,0.3684210526315788,0.058823529411764705,0.12121212121212122,0.058823529411764705,0.36585365853658536,Director
deannac,0.5224913494809689,1.0,0.3724828439644504,1.0,0.31851274050962036,0.44357976653696496,0.41904761904761906,0.42915587072139644,0.39805825242718446,0.6478856025421658,0.720108695652174,1.0,0.9007,1.0,0.3529,1.0,0.25,0.6296296296296297,0.17292691707668306,0.7142857142857143,0.2941,0.7222222222222222,0.7647,1.0,0.0858257477243173,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.47,0.72,0.99,0.7837837837837838,0.93,0.5112781954887218,0.9007,0.39473684210526316,0.12851041801475346,0.3855932203389831,0.7686896262074758,0.5652173913043478,0.23131037379252414,0.36473333333333335,0.34746666666666665,0.0,0.34346411049401715,0.5688748628145321,0.040967238213733284,0.03767954119106483,0.0,0.0,0.26666666666666666,0.2966398319915996,0.0,0.0,0.05263157894736842,0.037472283813747224,0.5224895726860083,0.43340452087089165,0.715993622778878,0.17903930131004367,0.5352112676056338,0.32530120481927716,0.4507042253521127,0.6593406593406593,0.3974,0.25,0.054455445544554455,0.5454545454545454,0.33560664393356066,0.4444444444444444,0.1356,0.0,0.3675387616109459,0.3236951206548315,0.10171726534093586,0.172607075013727,0.45804780671171597,0.11210762331838567,0.3235294117647059,0.038897610326181754,0.0,0.2743589743589744,0.5828729281767956,0.7570678641452153,0.11764705882352941,1.0,0.3802099170249408,0.9773857914887716,0.13150098982775038,0.8439323234358865,0.04161149253579292,1.0,0.11241369260827729,1.0,0.0,0.3074622587834688,0.75,0.0,0.20171493125153583,0.5550142757565124,0.7222222222222223,0.0,0.11764705882352941,1.0,0.11764705882352941,1.0,Operations
example,0.02422145328719723,0.1,0.803577455281809,0.10810810810810811,0.7428497139885596,0.007782101167315175,0.01904761904761905,0.590890495022501,0.0048543689320388345,0.38890246883402596,0.024456521739130436,0.03676470588235294,0.7143,0.08333333333333333,0.8,0.08823529411764706,0.6,0.18518518518518517,1.0,0.2857142857142857,0.4,0.1111111111111111,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.022556390977443608,0.8571,0.02631578947368421,0.18493593891549112,0.0211864406779661,1.0,0.0,0.0,0.12963333333333335,1.0,0.0,0.3789032483409011,0.13399707901886915,0.17112600850662507,0.0009240290317945916,0.0,0.0,0.013333333333333334,0.29173958697934893,0.0,0.0,0.02631578947368421,0.36962305986696226,0.0484428060010948,0.013407294411316046,0.04595305099074685,0.0,0.0,0.0,0.0,0.06593406593406594,0.8571,0.0,0.0,0.06060606060606061,0.7333626663733362,0.0,0.0,0.0,0.19498535240392903,0.06845965770171149,0.006207635985123404,0.005868029220390403,0.28552743963535765,0.0,0.0,0.4084249084249085,0.0,0.6666666666666666,0.0,0.588269021271716,0.0,0.12195121951219512,0.0,0.5219469933912363,9.343707306737075e-18,0.025206622627884902,0.0,0.045241054171911974,0.0,0.08582578974990301,0.0,0.2963141282833146,0.0,0.0,0.0,0.019974493412609148,0.0,0.5789473684210521,0.0,0.020202020202020204,0.0,0.12195121951219512,GradStudent
fnguyen,0.0,0.0,0.0,0.0,0.0,0.06614785992217899,0.14285714285714285,0.9480430928678576,0.07766990291262135,0.8253483255927646,0.04619565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.11424456978279131,0.14285714285714285,0.5,0.05555555555555555,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0945945945945946,0.0,0.0,0.0,0.0,0.0,0.08050847457627118,0.9500209995800084,0.021739130434782608,0.0499790004199916,0.0,0.3703666666666667,0.0,0.0,0.5981065531853328,0.0,0.027757881126854574,0.0,0.0,0.04,0.25008750437521876,0.0,0.0,0.0,0.0,0.0,0.06293717930938844,0.04181866611078298,0.0,0.2112676056338028,0.0,1.0,0.0,0.0,0.0,0.0,0.07575757575757576,0.26190738092619076,0.0,0.0,0.0,0.22014475271411343,0.7,0.23164283755013124,0.15857859965670035,0.0006051779355375965,0.0,0.0,0.3910256410256411,0.0,0.8333333333333334,0.0,0.17606932944356257,0.0,0.07317073170731708,0.0,0.6824434097026686,9.343707306737075e-18,0.032750359300651274,0.0,0.018118638821728608,0.0,0.03199490018154541,0.0,1.0,0.0,1.0,0.0,0.03918507475683334,0.0,0.7499999999999997,0.0,0.010101010101010102,0.0,0.07317073170731707,GradStudent
