pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_hume_all,inter_vt_sent,inter_vt_received,inter_vt_all,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,time_seg,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,time_seg.1,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,fg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,fg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,fg_eccentricity,pg_pagerank,fg_pagerank,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,pg_num_cliques,fg_num_cliques,pg_degree,fg_degree,Status
apoetter,102,43,0.4216,11,0.1078,55,18,0.3273,20,0.3636,157,31,0.3039,18,0.5806,5,0.1613,3,0.0545,3,1.0,2,0.6667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,77,71,75,90,85,89,74,0.7255,28,0.2745,38,0.6909,17,0.3091,7.2857,2.1143,1,532.6470588235294,483.4727272727273,150474.20876585913,333189.48561983474,32,0.3137,20,0.3636,23,0.2255,17,0.3091,14.5714,7.8571,22.4286,32,35,0.31,0.64,30,0.2941,0,0.0,37,0.6727,0,0.0,1,29.031111111111112,31.603773584905664,528.6256987654317,286.4656461374154,0.1662380860614379,0.024615384615384612,10.333333333333334,13.26315789473684,0.6666666666666666,0.23897581792318634,0.027055150884495317,0.3901098901098901,0.1153846153846154,0.5352112676056339,15.269884161932016,3.6725190964113135,0.056897376650005424,0.21363338758626813,12.175491146495967,4039555.693919133,0.13257505303474346,0.7166896281650083,0.16666666666666666,0.1117279091925929,4.0,3,0.0267694468900236,0.04483357138478103,2.074074074074074,1.5416666666666667,2.0,62,3.0,38,PM
arog3632,66,24,0.3636,14,0.2121,122,61,0.5,93,0.7623,188,0,0.0,0,0.0,0,0.0,2,0.0164,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,24,19,61,52,55,57,0.8636,9,0.1364,121,0.9918,1,0.0082,1.375,1.4298,1,416.0,1289.532786885246,121467.27272727274,5141314.8554823985,13,0.197,18,0.1475,0,0.0,0,0.0,4.7143,8.7143,13.4286,20,32,0.3,0.26,39,0.5909,0,0.0,35,0.2869,3,0.0246,1,16.333333333333332,49.49333333333333,121.33333333333336,651.7166222222222,0.05474645703844425,0.0,10.0,19.1,0.0,0.5357142857142857,0.012481997119539128,0.3242009132420091,0.038461538461538464,0.14084507042253522,14.635885611714187,3.5220640915515005,0.0,0.050182554204290124,2.49923260545434,442644.7620612888,0.01690309817185475,0.12687335394027707,0.0,0.14625681705503224,3.0,4,0.023870383141332,0.018130437997321253,2.4814814814814814,2.1388888888888893,1.0,6,1.0,10,GradStudent
awais,0,0,0.0,0,0.0,4,2,0.5,3,0.75,4,0,0.0,0,0.0,0,0.0,2,0.5,1,0.5,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,100,0,0,100,0,0,0.0,0,0.0,4,1.0,0,0.0,0.0,2.0,1,0.0,569.25,0.0,297416.1875,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.6667,0.6667,0,0,0.0,0.0,0,0.0,0,0.0,3,0.75,1,0.25,1,0.0,27.33333333333333,0.0,138.88888888888889,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.2125748502994012,0.0,0.014084507042253518,0.0,1.3043325958682699,0.0,0.0,0.0,17509.829080958207,0.0,0.004402639086338928,0.0,0.0,0.0,4,0.0,0.0026106423571527213,0.0,2.4722222222222223,0.0,1,0.0,1,GradStudent
bdeird7,24,13,0.5417,9,0.375,125,53,0.424,100,0.8,149,0,0.0,0,0.0,0,0.0,4,0.032,2,0.5,4,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,42,37,38,58,48,50,18,0.75,6,0.25,103,0.824,22,0.176,1.3333,1.0894,1,481.70833333333326,1051.4560000000001,177676.8732638889,1397691.704064,13,0.5417,51,0.408,5,0.2083,2,0.016,2.0,10.4167,12.4167,4,25,0.17,0.2,18,0.75,3,0.125,29,0.232,3,0.024,1,27.08695652173913,29.32075471698113,288.94896030245764,340.2178711285155,0.013840058200633418,0.0,10.0,18.75,0.0,0.6,0.02197802197802198,0.3397129186602871,0.038461538461538464,0.16901408450704225,8.490711333762214,3.325874037551001,0.0,0.027070340351371645,2.499232605454341,687464.3469559411,0.016903098171854626,0.15317516647397733,0.0,0.21482134980149975,3.0,3,0.01068370727957296,0.009152150710014715,2.4814814814814814,2.083333333333333,1.0,6,1.0,12,GradStudent
ccallsen,25,17,0.68,5,0.2,21,8,0.381,10,0.4762,46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,72,52,63,88,90,89,9,0.36,16,0.64,2,0.0952,19,0.9048,5.0,1.7619,1,299.8,314.38095238095235,37445.680000000015,57394.61678004536,0,0.0,12,0.5714,0,0.0,8,0.381,2.7778,2.3333,5.1111,0,9,0.0,0.43,18,0.72,0,0.0,15,0.7143,0,0.0,1,25.936507936507937,41.555555555555564,164.0277147896195,128.69135802469134,0.021764346764346763,0.0,0.0,21.0625,0.0,0.6666666666666666,0.0,0.35148514851485146,0.0,0.22535211267605634,0.0,3.4384392089274267,0.0,0.026286665674214272,0.0,1724080.595420484,0.0,0.35239114176563313,0.0,0.17557251908396945,0.0,3,0.0,0.011470835509634524,0.0,1.9861111111111112,0.0,19,0.0,16,Director
cheadley,26,15,0.5769,9,0.3462,51,19,0.3725,25,0.4902,77,11,0.4231,6,0.5455,6,0.5455,10,0.1961,5,0.5,4,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100,96,97,100,96,97,16,0.6154,10,0.3846,32,0.6275,19,0.3725,2.0,1.7857,1,297.88461538461536,426.2352941176471,84495.02514792899,121761.8662053056,13,0.5,25,0.4902,13,0.5,23,0.451,2.3636,4.6364,7.0,2,15,0.08,0.29,18,0.6923,1,0.0385,31,0.6078,1,0.0196,1,28.159420289855074,37.80952380952381,284.6847300987188,1102.9160997732429,0.023143906172075183,0.04,10.5,19.09090909090909,0.0,0.5021645021645021,0.02957906712172924,0.3463414634146341,0.07692307692307693,0.3098591549295775,10.839462220011065,3.579183972042644,0.030296902935363024,0.07241952276559528,5.647527860397438,2560811.1636846527,0.05576702832749088,0.504641870880464,1.0,0.12618883528600966,4.0,3,0.015776644695646724,0.021694708527763833,2.185185185185185,1.6944444444444444,2.0,31,2.0,22,Research
cthomp,0,0,0.0,0,0.0,86,6,0.0698,85,0.9884,86,0,0.0,0,0.0,0,0.0,1,0.0116,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6,0,0,100,0,0,0.0,0,0.0,46,0.5349,40,0.4651,0.0,1.7125,1,0.0,221.55813953488368,0.0,4019.1768523526234,0,0.0,22,0.2558,0,0.0,0,0.0,0.0,6.1429,6.1429,0,0,0.0,0.0,0,0.0,0,0.0,2,0.0233,0,0.0,1,43.53260869565217,43.518518518518526,193.42284971644628,57.101508916323716,0.12864852671427424,0.0,2.0,21.4375,0.0,0.5583333333333333,0.016393442622950817,0.4152046783625731,0.038461538461538464,0.22535211267605634,5.630917657198029,3.441664525233208,5.465713352000771e-17,0.05533389265364037,1.611009755319169,1592040.912533059,0.002479728156970604,0.3567669232805849,0.0,0.15106666666666665,4.0,3,0.020251608702888217,0.01444779981685292,3.333333333333333,1.8888888888888888,1.0,13,1.0,16,Director
deannac,151,50,0.3311,37,0.245,118,45,0.3814,84,0.7119,269,136,0.9007,48,0.3529,34,0.25,17,0.1441,5,0.2941,13,0.7647,1,0.0066,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,91,47,72,99,84,93,136,0.9007,15,0.0993,92,0.7797,26,0.2203,3.2826,1.0424,1,351.19205298013253,1026.415254237288,45745.612122275365,1628315.3106147659,0,0.0,20,0.1695,0,0.0,2,0.0169,10.7857,8.4286,19.2143,41,38,0.27,0.32,60,0.3974,2,0.0132,36,0.3051,4,0.0339,1,29.216814159292035,31.91304347826087,155.66538100086115,352.97794580970407,0.07614499071239511,0.07692307692307693,5.5,14.38095238095238,0.0,0.2743589743589744,0.02394106813996317,0.36597938144329895,0.07692307692307693,0.5915492957746479,7.721171566142635,3.6533968048317287,0.07692307692307701,0.2030550550622696,3.176384938387214,5621781.832476449,0.09199406578356076,0.7988649287629406,0.0,0.10785325308111207,3.0,3,0.02679868482579636,0.0415643583085668,2.4074074074074074,1.5,2.0,100,2.0,42,Operations
example,7,5,0.7143,4,0.5714,6,3,0.5,3,0.5,13,5,0.7143,4,0.8,3,0.6,5,0.8333,2,0.4,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100,100,100,100,100,100,6,0.8571,1,0.1429,6,1.0,0,0.0,1.1667,3.0,1,387.4285714285714,315.6666666666667,191085.95918367343,40013.8888888889,0,0.0,1,0.1667,0,0.0,1,0.1667,1.0,0.8571,1.8571,0,0,0.0,0.0,6,0.8571,0,0.0,4,0.6667,0,0.0,1,15.5,17.0,9.5,12.0,0.0474655350830046,0.0,0.0,25.0,0.0,0.6666666666666666,0.0,0.3317757009345794,0.0,0.08450704225352113,0.0,2.558788115713553,0.0,0.0060648608940594255,0.0,271053.0023807033,0.0,0.07258799252434947,0.0,0.1039426523297491,0.0,3,0.0,0.0040125535811615185,0.0,2.1111111111111107,0.0,3,0.0,6,GradStudent
fnguyen,0,0,0.0,0,0.0,21,16,0.7619,18,0.8571,21,0,0.0,0,0.0,0,0.0,2,0.0952,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,19,0,0,33,0,0,0.0,0,0.0,20,0.9524,1,0.0476,0.0,1.1111,1,0.0,1074.1904761904761,0.0,1199574.5351473922,0,0.0,3,0.1429,0,0.0,0,0.0,0.0,1.75,1.75,0,15,0.0,0.71,0,0.0,0,0.0,5,0.2381,0,0.0,1,17.5,53.9,354.5,324.29,0.00010060362173038228,0.0,0.0,24.5,0.0,0.8333333333333334,0.0,0.24825174825174826,0.0,0.056338028169014086,0.0,2.9445276982890336,0.0,0.007879928077678455,0.0,119051.60936920652,0.0,0.029821380742543813,0.0,0.3507853403141361,0.0,4,0.0,0.005360849582961546,0.0,2.2916666666666665,0.0,2,0.0,4,GradStudent
