@relation 20_norm_email_features

@attribute pid {ahmed12,apoetter,arog3632,awais,bdeird7,ccallsen,cheadley,cthomp,deannac,example,fnguyen,het,jacouch,jmahal,jmernst,jpokorsk,jrmurphy,jziegler,kgantt,kkarranc,krich,ksterne,leslie,mifowler,mlgood3,mryan91,odge,pudavid,rchase,rwmcgwi,saikou,sarowe,sdh11,snyder84,tcc,vombo13,zleffke}
@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute time_seg numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute time_seg.1 numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute fg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute fg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute fg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute pg_degree numeric
@attribute fg_degree numeric
@attribute Status {Research,PM,GradStudent,Director,Operations,Outreach}

@data
ahmed12,0.000322,0.004032,1,0,0.147969,0.004043,0.019438,0.735552,0.010682,0.950802,0.001801,0,0,0,0,0,0,0.008178,0.314928,0.09434,0.7143,0.010373,0.7143,0,0,0,0,0,0,0.5,1,0.25,0.5,0.666667,1,0.679487,0.926316,0.886364,1,1,1,0,0.343746,0.000946,0.656254,0.006245,0.582126,0.009354,0.417874,0.705882,1,0,0,0.122472,0,0.017556,0,0,0.002506,0.147962,0,0,0.005682,0.163606,0.000192,0.002246,0.000762,0,0.001661,0,0.164179,0.000651,1,0,0,0.00341,0.457604,0.025926,1,0,0,0.121183,0,0.128902,0.052177,0,0,0.873342,0,0.870718,0,0.787704,0,0.059406,0,0.708504,0,0.00154,0,0.038275,0,0.070819,0,0.065263,0,1,0,0.002902,0,0,0.001089,0.001089,0,0.635468,0,0.004651,0,0.059406,Research
apoetter,0.341428,0.143817,0,0.34863,0.134153,0.77274,0.466523,0.059141,0.690234,0.497328,0.540245,0.111471,0.276263,0.121662,0.1488,0.143577,0.3103,0.46729,0.226981,0.566038,0.075,0.508299,0.6125,0,0,0,0,0,0,0.25,0.006803,0.25,1,0.333333,1,0.628205,0.473684,0.534091,0.782609,0.835443,0.837838,0.327242,0.518178,0.368969,0.481822,0.853455,0.729469,0.542517,0.270531,0.364941,0.121674,0,0.629162,0.334911,0.066477,0.268631,0.090005,0.1192,0.630326,0.469552,0.123939,0.1374,0.573864,0.208403,0.341316,0.772194,0.539647,0.659346,0.824751,0.659794,0.328358,0.199479,0.30074,0.290795,0.133497,0.602046,0.48523,0.577778,0.281204,0,0,0.376379,0,0.455203,0.149201,1,0.375,0.23717,0.268848,0.271681,1,0.719657,1,0.574257,0.990431,0.996957,0.518209,0.277864,0.941974,0.761122,0.989242,0.854213,0.211149,0.120116,0.6,0,0.424341,0.308268,0.210006,0.210006,0.210747,0.210747,0.557078,0.20197,0.921053,0.776744,1,0.574257,PM
arog3632,0.036024,0.064516,0.174884,0.069178,0.426085,0.088363,0.25486,0.717113,0.104273,0.719899,0.059665,0.025491,0.59397,0.050445,0.2698,0.050378,0.4762,0.026869,0.107984,0.113208,0.2609,0.037344,0.7826,0.272727,0.453925,0.272727,1,0.428571,1,0.25,0.052721,0.25,1,0.333333,1,0,0.189474,0.113636,0,0.291139,0.297297,0.05117,0.918756,0.006623,0.081244,0.125729,0.964531,0.013605,0.035469,0.041671,0.035992,0,0.202465,0.283248,0.016111,0.189219,0.013738,0.171067,0.072682,0.44766,0.002547,0.0266,0.014205,0.042571,0.036163,0.086947,0.058955,0.037579,0.067276,0.350515,0.179104,0.024311,0.383477,0.018828,0.081241,0.051145,0.328228,0.044444,0.178728,0,0,0.327472,0,0.652967,0.520916,0.233787,0.556757,0.305582,0.3,0.285826,0.767921,0.936322,0.125,0.287129,0.823347,0.965675,0.102782,0.231498,0.021703,0.205291,0.104546,0.405105,0.254682,0.217297,0.8,1,0.078169,0.097185,0.040331,0.040331,0.041845,0.041845,0.799087,0.418719,0.078947,0.069767,0.125,0.287129,GradStudent
awais,0.002734,0.009409,0.390118,0.00274,0.166206,0.002599,0.006479,0.418484,0.007121,0.786702,0.002927,0,0,0,0,0,0,0.016355,0.738452,0.037736,0.1429,0.012448,0.4286,0,0,0,0,0,0,0,0,0,0,0,0,1,0.915789,0.943182,1,1,1,0.002924,0.654548,0.002365,0.345452,0.00791,0.899314,0.001701,0.100686,0.084024,0.168229,0,0.172673,0.208727,0.004383,0.040462,0.000474,0.070133,0.010025,0.694263,0.000849,0.1052,0.019886,0.671675,0.003795,0.003574,0.003805,0.00244,0.003322,0.268041,0.343284,0.002605,0.610604,0,0,0.002435,0.467314,0.011111,0.502186,0,0,1,0,1,0.062711,0,0,0.659048,0,0.870718,0,0.763502,0,0.079208,0,0.774034,0,0.006788,0,0.038841,0,0.070518,0,0.022541,0,1,0,0.004435,0,0,0.003028,0.003028,0,0.615764,0,0.004651,0,0.079208,GradStudent
bdeird7,0.015439,0.063172,0.462495,0.039726,0.634291,0.172971,0.406048,0.573195,0.255341,0.992612,0.078239,0.001618,0.086938,0.007418,0.625,0.003359,0.5,0.037383,0.079076,0.207547,0.3438,0.043568,0.6563,0,0,0,0,0,0,0.25,0.027211,0.25,1,0.333333,1,0.166667,0.063158,0.022727,0.130435,0,0,0.021442,0.892899,0.003784,0.107101,0.248543,1,0.011905,0,0.042518,0.00402,0,0.544065,1,0.946959,1,0.011369,0.326533,0.308271,1,0.002547,0.0612,0.011364,0.018086,0.015273,0.170981,0.077039,0.009273,0.079734,0.195876,0.029851,0.012372,0.496671,0.004184,0.041641,0.028251,0,0.025926,0.054881,0,0,0.654758,0,0.324146,0.12784,0,0.756757,0.322733,1,0.445932,0.62677,0.74516,0.05,0.207921,0.673665,0.939948,0.001834,0.07227,0.008108,0.129402,0.012225,0.23519,1,0.467724,0.8,1,0.026628,0.033363,0.018917,0.018917,0.019644,0.019644,0.899543,0.62069,0.026316,0.074419,0.05,0.207921,GradStudent
ccallsen,0.575426,0.477151,0.051201,0.557534,0.117159,0.834248,0.596112,0.092197,0.537131,0.276485,0.72802,0.617641,0.908587,0.495549,0.1094,0.594458,0.2319,0.632009,0.284491,0.660377,0.0647,0.665975,0.5933,0,0,0,0,0,0,1,0.02381,1,1,1,0.75,0.384615,0.494737,0.454545,0.5,0.696203,0.675676,0.528752,0.483791,0.666036,0.516209,0.833888,0.637935,0.763605,0.362065,0.230094,0.076093,0,0.420993,0.213724,0.07279,0.15355,0.13927,0.109467,0.206767,0.142677,0.14601,0.096,0.292614,0.098497,0.575355,0.83385,0.727665,0.513909,1,0.298969,0.402985,0.597569,0.715536,0.606695,0.16534,1,0.823167,1,0.450704,0,0,0.275549,0,0.377654,0.27797,0.736663,0.405405,0.155245,0.35468,0.164757,0.873093,0.722171,0.725,0.534653,0.994112,0.998431,0.372019,0.411577,0.631091,0.478337,0.791761,0.682764,0.371907,0.367086,0.8,1,0.539132,0.489291,0.633406,0.633406,0.634898,0.634898,0.643836,0.295567,0.605263,0.297674,0.725,0.534653,Director
cheadley,0.039884,0.08871,0.228824,0.060274,0.294418,0.043893,0.069114,0.346301,0.044761,0.561616,0.04503,0.004046,0.085233,0.014837,0.5,0.010076,0.6,0.075935,0.578006,0.188679,0.1538,0.060166,0.4462,0,0,0,0,0,0,0.25,0.098639,0.25,1,0.333333,1,0.487179,0.852632,0.670455,0.804348,0.873418,0.864865,0.046784,0.705998,0.02649,0.294002,0.060783,0.890287,0.015306,0.109713,0.123388,0.080546,0,0.17193,0.212415,0.012387,0.119454,0.013738,0.154667,0.030075,0.351032,0.006791,0.064,0.053977,0.307457,0.040054,0.042003,0.04418,0.02001,0.01495,0.164948,0,0.03842,0.644883,0.023013,0.089814,0.039454,0.561816,0.007407,0.056338,0,0,0.323225,0,0.783106,0.248554,0.09022,0.621622,0.266441,0.619048,0.307416,0.729705,0.885957,0.175,0.326733,0.844805,0.966802,0.058084,0.084623,0.056675,0.259499,0.098992,0.424168,0.189827,0.318712,0.6,1,0.05896,0.053303,0.026815,0.026815,0.026984,0.026984,0.753425,0.418719,0.078947,0.186047,0.175,0.326733,Research
cthomp,0.128015,0.079301,0.025706,0.123973,0.117712,0.480219,0.192225,0,0.508138,0.641151,0.276821,0,0,0,0,0,0,0.754673,0.58703,0.45283,0.0372,0.790456,0.5898,0,0,0,0,0,0,0,0,0,0,0,0,0.948718,0.694737,0.75,1,0.987342,0.986486,0.153752,0.728573,0.078051,0.271427,0.40841,0.505721,0.590136,0.494279,0.475929,0.094129,0,0.296101,0.171205,0.01911,0.069047,0.01658,0.058533,0.293233,0.349774,0.028014,0.0828,0.502841,0.29271,0.127869,0.478969,0.27588,0.111762,0.526578,0.298969,0.343284,0.070545,0.270654,0.215481,0.263523,0.396006,0.521335,0.411111,0.320544,0,0,0.312434,0,0.370067,0.021569,0.10068,0.615479,0.366712,0.748918,0.459997,0.899885,0.699825,0.55,0.386139,0.973375,0.993448,0.079931,0.133374,0.732635,0.483995,0.790784,0.641704,0.282476,0.278459,0.6,1,0.181797,0.160565,0.133597,0.133597,0.132711,0.132711,0.621005,0.359606,0.631579,0.246512,0.55,0.386139,Director
deannac,0.187359,0.188172,0.073746,0.277397,0.283227,0.512561,0.37581,0.098718,0.515259,0.594939,0.330969,0.200688,0.905604,0.206231,0.1401,0.301427,0.3619,0.324766,0.236923,0.584906,0.1115,0.319502,0.554,0.818182,0.262799,0.818182,1,0.571429,0.4444,0.75,0.028912,0.75,1,1,1,0.717949,0.589474,0.636364,0.847826,0.721519,0.783784,0.239522,0.795249,0.086093,0.204751,0.54746,0.695779,0.401361,0.304221,0.155294,0.034885,0,0.256399,0.270562,0.020306,0.18143,0.016106,0.0388,0.309524,0.346251,0.026316,0.0532,0.244318,0.133278,0.188773,0.515681,0.332857,0.217179,0.772425,0.391753,0.552239,0.130888,0.405179,0.108787,0.091039,0.38529,0.462938,0.340741,0.24915,0,0,0.555816,0,0.604516,0.279513,0.400366,0.511512,0.166418,0.512821,0.1757,0.902308,0.852924,0.675,0.673267,0.977415,0.99499,0.210472,0.231513,0.781898,0.839665,0.863681,0.908082,0.270561,0.121031,0.6,0,0.237108,0.222665,0.110926,0.110926,0.110979,0.110979,0.598174,0.152709,0.763158,0.790698,0.675,0.673267,Operations
example,0.006433,0.012097,0.197324,0.005479,0.098646,0.012706,0.017279,0.297279,0.011699,0.414807,0.009456,0,0,0,0,0,0,0.002336,0.047874,0.037736,1,0.004149,1,0,0,0,0,0,0,0.25,0.265306,0.25,1,0.333333,1,1,1,1,1,1,1,0.008528,0.843812,0.002365,0.156188,0.0204,0.871854,0.005952,0.128146,0.284824,0.098565,0,0.211671,0.092079,0.012991,0.025691,0.004263,0.285733,0.028822,0.904378,0.00764,0.4286,0.065341,1,0.006676,0.011456,0.008893,0.003904,0.009967,0.195876,0.223881,0.006295,0.647719,0,0,0.013639,0.623496,0.011111,0.22778,0,0,0.050565,0,0.320938,0.044944,0,0.351351,0.458187,1,0.776242,0.645925,0.75297,0.05,0.118812,0.519257,0.894632,0.004608,0.015643,0.002054,0.068223,0.003365,0.116594,0.235294,0.406422,1,1,0.024731,0.012494,0.000552,0.000552,0.000609,0.000609,1,0.704433,0.026316,0.018605,0.05,0.118812,GradStudent
