pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_hume_all,inter_vt_sent,inter_vt_received,inter_vt_all,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,time_seg,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,time_seg.1,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,fg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,fg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,fg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,pg_num_cliques,fg_num_cliques,pg_degree,fg_degree,Status
ahmed12,0.0,0.0,0.0,0.0,0.0,0.004250797024442083,0.021739130434782608,0.7345436702649656,0.009446693657219974,0.8963198867657467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0011389521640091116,0.6133114215283484,0.018867924528301886,0.3866885784716516,0.0,1.0,0.0,0.0,0.1698233062127718,0.0,0.006511379822299254,0.0,0.0,0.003236245954692557,0.11025689105569098,0.0,0.0,0.008403361344537815,0.2360497792051385,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.30720428591569154,0.12121212121212122,1.0,0.0,0.0,0.3679257004410759,0.0,0.0648779307316439,0.0011617815349024903,0.0,0.0,0.7969978049989384,0.0,1.0,0.0,0.5582762925653276,0.0,0.016949152542372885,0.0,0.0,2.9822420782684665e-17,0.0,0.0,0.005156144902701811,0.0,0.008453499356030002,0.0,0.45114100898175774,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8211920529801324,0.0,0.0,0.0,0.01694915254237288,Research
apoetter,0.6538024971623155,0.48295454545454547,0.22138893055347236,0.5542857142857143,0.21650809976857802,0.6726886291179596,0.6467391304347826,0.1876840039254171,0.5195681511470985,0.6142958244869071,0.6969346443030654,0.527114967462039,0.4219,0.8939393939393939,0.2428,0.7111111111111111,0.2634,0.2719298245614035,0.06568144499178982,1.0,0.95974798739937,0.35714285714285715,0.8065,0.6,0.23908045977011494,0.6,1.0,0.5,0.1667,0.8333333333333334,0.3548387096774194,0.8333333333333334,1.0,0.8,0.8,0.73,0.37777777777777777,0.58,0.9,0.7746478873239436,0.87,0.5648648648648649,0.7257,0.3607305936073059,0.43650541056651815,0.5261958997722096,0.562366474938373,0.8113207547169812,0.4376335250616269,0.4629513087662867,0.2027917870837347,0.0,0.623484233569461,0.35929262056969163,0.09355812385298566,0.02283063835968403,0.14925373134328357,0.17793715846994534,0.44983818770226536,0.4035252203262704,0.16740088105726872,0.16085790884718498,0.46218487394957986,0.3416298675230831,0.747200908059024,0.8070215996917567,0.7968262311553114,0.3494071146245059,0.4596774193548387,0.5347222222222222,0.3066666666666667,0.2781065088757396,0.3264,0.3918918918918919,0.14529173887926053,0.5294117647058824,0.1937121105315099,0.9393939393939394,0.2039949001274968,0.0,0.9384670051831183,0.4780346258090022,1.0,1.0,0.5006007144000442,1.0,0.4160714285714286,0.020451894446163098,0.3631578947368421,0.01872432767573438,0.9621157969978555,0.8165954528670145,0.7692307692307693,0.9322033898305084,0.974491568110108,0.994230088756023,0.6939289447587385,0.7531658265610136,0.6249102943229469,0.9053344815893797,0.7843608557630022,0.9385302772400405,0.37963226504240916,0.038127678817568476,0.75,0.5,0.6778064768926223,0.6853287268009756,0.4616274979002137,0.46162749884227927,0.46642992751175244,0.46642992871551814,0.5144927536231882,0.04635761589403975,0.5,0.7881040892193308,0.7692307692307693,0.9322033898305084,PM
arog3632,0.1441543700340522,0.23863636363636365,0.496025198740063,0.2342857142857143,0.41501671380817684,0.3071200850159405,0.5760869565217391,0.609666339548577,0.300944669365722,0.8849964614295823,0.23828802776171198,0.0,0.0,0.0,0.0,0.0,0.0,0.14912280701754385,0.07703886152162015,0.35294117647058826,0.6176058802940146,0.1,0.4118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.1,0.19,0.64,0.2112676056338028,0.5,0.15,0.874,0.0365296803652968,0.20050922978994273,0.31890660592255127,0.9456039441248971,0.04716981132075472,0.054396055875102704,0.15914970981050275,0.163710545701819,0.0,0.36479475087968705,0.6768614366099667,0.09127219563532118,0.13050693895233953,0.06467661691542288,0.3495560109289617,0.19741100323624594,0.3787736733545847,0.013215859030837005,0.05751888861808433,0.025210084033613446,0.03974307507025292,0.13728944381384792,0.29630788060107427,0.22235685944339265,0.0466403162055336,0.1693548387096774,0.3194444444444445,0.22666666666666666,0.11982248520710059,0.6378,0.02702702702702703,0.045349508954361635,0.1867007672634271,0.1000986888481602,0.21212121212121213,0.09859753506162344,0.0,0.24948755479132392,0.3039596534550951,0.02951823445128438,0.09533956498130419,0.3573252625459857,0.26219512195121947,0.5178571428571429,0.4292491477933668,0.0,0.38583030466191054,0.28135451505016723,0.7970869746150642,0.07692307692307693,0.3220338983050847,0.6856586240859625,0.9220172881866419,0.18047670169812452,0.2910919055468133,0.005345352419638548,0.19039575221510446,0.06913116390111598,0.33484247494100056,0.0,0.16839249159610736,0.75,0.5,0.1858976269302978,0.19323413288495722,0.1696573710374713,0.16965737085660393,0.18695501257024208,0.18695501242369003,0.7318840579710144,0.40397350993377484,0.034482758620689655,0.048327137546468404,0.07692307692307693,0.3220338983050847,GradStudent
awais,0.0170261066969353,0.05113636363636364,0.8999550022498876,0.017142857142857144,0.2571355104139882,0.0,0.0,0.2904808635917566,0.0,0.3598726114649682,0.006362058993637941,0.0,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.9473180076628352,0.11764705882352941,0.3888694434721736,0.07142857142857142,0.5556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,1.0,0.86,1.0,1.0,1.0,0.012162162162162163,0.6,0.0136986301369863,0.6365372374283896,0.0011389521640091116,1.0,0.0,0.0,0.3496259002866932,0.03148788273738692,0.0,0.3136082993012949,0.06778035395520347,0.02104486043631327,0.0013810087323532208,0.01990049751243781,0.9106898907103825,0.006472491909385114,0.28839302456403526,0.01762114537444934,0.6500121862052157,0.01680672268907563,0.6174227217984745,0.03584562996594779,0.0013780286031594923,0.019069127039133688,0.006324110671936759,0.005376344086021506,0.3680555555555556,0.25333333333333335,0.022189349112426034,1.0,0.0,0.0,0.0076726342710997444,0.8110813478076977,0.06060606060606061,0.653633659158521,0.0,0.1755239988256217,0.2595869682904533,0.004517086409628303,0.220635714519694,0.037942095061105054,0.0,0.0,0.8200335150699805,0.0,0.5948186037700104,0.0,0.6523748299699998,0.0,0.11864406779661017,0.0,0.6042935569135836,2.9822420782684665e-17,0.03426798342565251,0.0,0.04930663248787082,0.0,0.08572380360507979,0.0,0.22788311120441687,0.0,0.5,0.0,0.02516733108043921,0.0,0.0,0.014810184345666381,0.0148101843964601,0.0,0.5629139072847683,0.0,0.007434944237918215,0.0,0.11864406779661017,GradStudent
bdeird7,0.08286038592508513,0.1590909090909091,0.575371231438428,0.2057142857142857,0.6340961686808948,0.30499468650371947,0.34782608695652173,0.27208047105004907,0.3252361673414305,1.0,0.20589936379410065,0.008676789587852495,0.0548,0.06060606060606061,1.0,0.03333333333333333,0.75,0.14035087719298245,0.07293377120963328,0.35294117647058826,0.656282814140707,0.15714285714285714,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.2777777777777778,0.39,0.64,0.15492957746478872,0.45,0.07972972972972973,0.8082,0.0319634703196347,0.30521960534691284,0.29271070615034167,0.8302382908792113,0.14622641509433962,0.1697617091207888,0.15192410787124444,0.016962278763151453,0.0,0.2653350093278232,0.45178864301253513,0.05167309911226551,0.015710124200972096,0.05472636815920398,0.5146857923497268,0.517799352750809,1.0,0.02643171806167401,0.20034121374603947,0.05042016806722689,0.08028904054596549,0.08286038592508513,0.31033748101810926,0.20167363627483356,0.015019762845849802,0.17204301075268819,0.18055555555555558,0.24,0.060650887573964495,0.5616,0.06756756756756757,0.1978625072212594,0.1329923273657289,0.00394755392640635,0.09090909090909091,0.042498937526561836,0.0,0.386045933490142,0.2772084403743483,0.1319389585133305,0.07946548466267181,0.16601246210383688,0.0,0.6339285714285714,0.5597742907096446,0.8333333333333334,0.7251813138613984,0.7236559139784947,0.9049092825584781,0.15384615384615385,0.4067796610169492,0.6803986280728404,0.9323794940976935,0.05269243060128755,0.2294004716714554,0.04665929071566239,0.36912071929259976,0.07351018958792215,0.48996246772391516,0.574938574938575,0.19238661612102442,0.75,0.5,0.13182135465629588,0.13157237694489204,0.09948234600098206,0.09948234609604051,0.11785654012483247,0.11785654032952322,0.6884057971014491,0.31125827814569534,0.034482758620689655,0.20817843866171004,0.15384615384615385,0.4067796610169492,GradStudent
ccallsen,0.5459704880817253,0.6193181818181818,0.33988300584970754,0.5314285714285715,0.24852147081511955,0.3421891604675877,0.41847826086956524,0.31010794896957805,0.1970310391363023,0.346072186836518,0.46211683053788316,0.0,0.0,0.0,0.0,0.0,0.0,0.24561403508771928,0.11439518336070059,0.5882352941176471,0.6249562478123906,0.3,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.45555555555555555,0.61,0.85,0.6901408450704225,0.82,0.35405405405405405,0.5447,0.5,0.7245385105028644,0.21753986332574032,0.35250616269515195,0.6226415094339622,0.647493837304848,0.3525627578491014,0.18029504542792918,0.0,0.3527450651146628,0.16708732793986722,0.02227545856208222,0.03684290954536951,0.13930348258706468,0.1987704918032787,0.23300970873786409,0.402962685167823,0.17180616740088106,0.1976602485985864,0.3445378151260504,0.4913689281413087,0.6423200908059025,0.4169941751093583,0.5429828682534735,0.09011857707509881,0.3682795698924731,0.16666666666666666,0.49333333333333335,0.3979289940828402,0.5593,1.0,0.4442518775274408,0.5524296675191815,0.6651628365994642,0.7878787878787878,0.32979175520611986,0.0,0.41472508942159747,0.23858152252350348,0.18358593665513098,0.1325943713613733,0.3448014908419739,0.19512195121951217,0.5076530612244898,0.17390688639253302,0.5494505494505495,0.164281247014846,0.8884488448844884,0.7818660740009052,0.5384615384615384,0.7457627118644068,0.9490242211982938,0.987733246968992,0.27248365899865196,0.47857866788577297,0.44897769039106217,0.7301949856755278,0.5538053105053221,0.8309085491079885,0.49177949709864616,0.08382449611148782,0.75,0.5,0.4698784656800908,0.5114712735357628,0.4624498319952827,0.4624498325881849,0.45703332147447256,0.45703332216872145,0.572463768115942,0.13907284768211925,0.2413793103448276,0.654275092936803,0.5384615384615384,0.7457627118644068,Director
cheadley,0.1713961407491487,0.1534090909090909,0.26818659067046646,0.3028571428571429,0.4512728207765492,0.28480340063761955,0.15760869565217392,0.0036800785083415145,0.19568151147098514,0.4941613588110403,0.24002313475997686,0.05639913232104121,0.1722,0.22727272727272727,0.5769,0.08888888888888889,0.3077,0.2719298245614035,0.1509304871373837,0.7058823529411765,0.6774588729436472,0.34285714285714286,0.7742,0.1,0.15172413793103448,0.1,1.0,0.5,1.0,1.0,0.9861751152073732,1.0,1.0,1.0,0.8333,0.99,0.9777777777777777,0.98,1.0,0.971830985915493,0.99,0.15,0.7351,0.091324200913242,0.42154678548695107,0.19020501138952164,0.40345110928512734,0.4811320754716981,0.5965488907148726,0.244411812693751,0.2736442454808183,0.0,0.21382959674133276,0.1503506189662494,0.01596019710550802,0.004454757547811575,0.0945273631840796,0.4298155737704918,0.23624595469255663,0.4871554472154509,0.16740088105726872,0.6134535705581281,0.5882352941176471,1.0,0.19588195232690128,0.3342988599533102,0.271863560035538,0.030039525691699605,0.3548387096774194,0.1736111111111111,0.5733333333333334,0.11390532544378698,0.5099,0.1891891891891892,0.26776429809358754,0.3273657289002558,0.4039193571126462,0.5151515151515151,0.2571185720356991,0.0,0.2840497496667247,0.40347434692799894,0.023537049571303696,0.2437955025109972,0.13209412428367553,0.3851626016260162,0.4203296703296703,0.4178958335440673,0.4358974358974359,0.39447513020553504,0.8949468085106381,0.7894344776212052,0.5000000000000001,0.5593220338983051,0.8687819957661026,0.9706605154439318,0.3178163456400377,0.17923958326217349,0.2656984115038726,0.5777810196114997,0.3846364416226594,0.7081073071880477,0.5255244755244756,0.06251209906939185,1.0,0.5,0.31750540242110087,0.2840720282278323,0.09213209639434428,0.0921320968481521,0.09998755936442483,0.09998755995764212,0.6159420289855072,0.185430463576159,0.20689655172413793,0.31970260223048325,0.5,0.559322033898305,Research
cthomp,0.30192962542565266,0.23863636363636365,0.23683815809209544,0.13714285714285715,0.11596811519670866,0.34537725823591925,0.19021739130434784,0.0,0.340080971659919,0.8938428874734606,0.3395026026604974,0.010845986984815618,0.0188,0.07575757575757576,1.0,0.022222222222222223,0.4,0.11403508771929824,0.05268199233716475,0.35294117647058826,0.8076653832691635,0.15714285714285714,0.8462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.2,0.58,1.0,1.0,1.0,0.33378378378378376,0.9286,0.04337899543378995,0.11362189688096755,0.1947608200455581,0.24634346754313882,0.7311320754716981,0.7536565324568612,1.0,0.17693281199826222,0.0,0.46594515058428204,0.15355599899204148,0.0386489490359052,0.008128631541382325,0.0024875621890547263,0.006489071038251366,0.23300970873786409,0.3993999624976561,0.004405286343612335,0.009261515963928832,0.10084033613445378,0.1425130469690887,0.2945652667423383,0.3440583848960812,0.32742195821956355,0.14861660079051384,0.11827956989247312,0.4930555555555555,0.12,0.05917159763313609,0.1504,0.581081081081081,0.46707105719237435,0.16112531969309463,0.0186098970816298,0.12121212121212122,0.050148746281342964,0.0,0.29415186226327295,0.41904094013933135,0.00962718075158509,0.12925557567610318,0.1839298210385646,0.046747967479674794,0.5476190476190477,0.37969705717351415,0.7222222222222222,0.38018197225358324,0.870633893919793,0.8448491110250113,0.34615384615384615,0.6271186440677967,0.8596823315621595,0.975302074249209,0.1604921432275115,0.49025107875120577,0.22490973287875105,0.6799969444437853,0.2978012886463911,0.7716703559726442,0.6533010715520221,0.06966087284172802,1.0,0.5,0.2611910146071452,0.3237773775196197,0.12224094787975567,0.12224094841587035,0.1511743864950772,0.15117438726460009,0.6594202898550723,0.17218543046357607,0.13793103448275862,0.5985130111524164,0.34615384615384615,0.6271186440677966,Director
deannac,0.58683314415437,0.3806818181818182,0.1943902804859757,0.5942857142857143,0.25867832347647207,0.36769394261424015,0.45108695652173914,0.3120706575073602,0.2658569500674764,0.5438782731776363,0.496818970503181,1.0,0.8917,1.0,0.1432,1.0,0.1952,0.5175438596491229,0.22482211275314723,0.8235294117647058,0.41529576478823943,0.4857142857142857,0.5763,0.2,0.0896551724137931,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.3888888888888889,0.68,0.99,0.8309859154929577,0.95,0.6189189189189189,0.8859,0.13470319634703196,0.1815722469764481,0.31662870159453305,0.6841413311421527,0.32547169811320753,0.31585866885784714,0.360790620702515,0.021155626074309153,0.0,0.258003682686667,0.3724338955751915,0.02299003732198437,0.020090763084653532,0.0,0.0,0.1779935275080906,0.28726795424714047,0.0,0.0,0.1092436974789916,0.14532316338819753,0.5588876276958002,0.35782507196119756,0.4698857108302594,0.11304347826086956,0.3225806451612903,0.19444444444444448,0.4000000000000001,0.32988165680473375,0.4313,0.24324324324324326,0.10051993067590986,0.37084398976982097,0.32355843789651767,0.5454545454545454,0.2129196770080748,0.0,0.6348396437673384,0.3688518829051429,0.1351176585994611,0.11243655963154871,0.21967772487835252,0.7205284552845528,0.4666666666666666,0.2035932124035627,0.4571428571428571,0.19173620459727156,0.9614285714285714,0.8087264868494211,0.5769230769230769,0.7966101694915254,0.933980693825234,0.9871366658637779,0.6079270796429351,0.5351169916341774,0.4318765563046898,0.8761197044165501,0.593200722007798,0.9026665678450512,0.4632547215970252,0.028383966335317878,0.75,0.5,0.4509310759167068,0.48886282271715487,0.24957558079448544,0.24957558111735384,0.26040326120324797,0.2604032616502805,0.536231884057971,0.0927152317880795,0.3103448275862069,0.6988847583643123,0.5769230769230769,0.7966101694915254,Operations
example,0.02383654937570942,0.056818181818181816,0.7142642867856608,0.06857142857142857,0.7346361532527642,0.01381509032943677,0.03260869565217391,0.5736015701668302,0.012145748987854251,0.5640481245576786,0.01735106998264893,0.03470715835140998,0.7619,0.12121212121212122,0.5,0.08888888888888889,0.5,0.16666666666666666,1.0,0.29411764705882354,0.46062303115155756,0.12857142857142856,0.4737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.024324324324324326,0.8571,0.00684931506849315,0.22740292807129217,0.014806378132118452,0.9367296631059984,0.0047169811320754715,0.06327033689400163,0.1748129501433466,0.4573204132902665,0.0,0.1848124789363879,0.011889265557671808,0.024146976430898925,0.00035844037264196044,0.0,0.0,0.016181229773462782,0.3605850365647853,0.0,0.0,0.04201680672268908,0.7719791248494581,0.04767309875141885,0.029292173794791595,0.03944999790679177,0.0007905138339920949,0.0,0.034722222222222224,0.0,0.019230769230769232,0.619,0.0,0.0,0.020460358056265986,0.5399689835048639,0.030303030303030304,0.16362090947726307,0.0,0.2878313062933853,0.18976750326147726,0.056621579239787806,0.06033977199773642,0.09429300454787727,0.0,0.0,0.7589888833817181,0.0,0.7221613282994357,0.0,0.8407434832533828,0.0,0.22033898305084748,0.0,0.6715357335983609,2.9822420782684665e-17,0.017218205226129216,0.0,0.14215213053674636,0.0,0.2234703209652699,0.0,0.14782313991372073,0.0,0.5,0.0,0.023759971438245448,0.0,0.0,0.009101482957278301,0.009101483030355047,0.0,0.45033112582781437,0.0,0.03717472118959108,0.0,0.22033898305084745,GradStudent
