pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_hume_all,inter_vt_sent,inter_vt_received,inter_vt_all,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,time_seg,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,time_seg.1,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,fg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,fg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,fg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,pg_num_cliques,fg_num_cliques,pg_degree,fg_degree,Status
ahmed12,0,0,0.0,0,0.0,71,14,0.1972,57,0.8028,71,0,0.0,0,0.0,0,0.0,7,0.0986,2,0.2857,5,0.7143,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,94,0,0,100,0,0,0.0,0,0.0,63,0.8873,8,0.1127,0.0,18.8545,8,0.0,907.169014084507,0.0,491278.0277722674,0,0.0,6,0.0845,0,0.0,5,0.0704,0.0,0.5917,0.5917,0,40,0.0,0.56,0,0.0,0,0.0,17,0.2394,12,0.169,8,0.0,68.70370370370371,0.0,920.2825788751717,0.004921805749273064,0.0,52.66666666666666,71.1111111111111,1.0,1.0,0.018408229561451,0.2292732855680655,0.029411764705882356,0.04017857142857143,28.632836380839468,3.8789127640045535,0.0014031481795931167,0.0019050605765132962,93716327.32517225,93604614433935.9,0.017892340632345228,0.059511328121228536,1.5844155844155845,0.13214174211676552,4.0,3,0.0022754787755410602,0.0015377052042373721,0.00031176586973168173,0.00031176586999692545,0.0004102975203600196,0.0004102975209218389,2.3398058252427183,2.2711111111111117,1.0,1,3.0,9,Research
apoetter,3590,155,0.0432,653,0.1819,3464,246,0.071,1703,0.4916,7054,1690,0.4708,133,0.0787,412,0.2438,416,0.1201,32,0.0769,249,0.5986,6,0.0017,6,1.0,1,0.1667,10,0.0029,9,0.9,9,0.9,70,46,58,90,85,87,2556,0.712,1034,0.288,2602,0.7512,862,0.2488,3.2755,2.5209,8,710.1175487465181,711.4566974595842,187059.98952491008,920317.0714505229,837,0.2331,610,0.1761,646,0.1799,266,0.0768,22.4375,21.65,44.0875,2262,1143,0.63,0.33,1368,0.3811,173,0.0482,1582,0.4567,170,0.0491,8,65.85902255639097,37.748263888888886,1071.5634586937203,2230.764753930361,0.07962152855993145,0.0774606872451951,20.58333333333333,31.052631578947373,0.3323671497584541,0.30581266197704554,0.026884554559831308,0.2494432071269488,0.4705882352941176,0.33928571428571425,45.696626328333686,4.0553928708833284,0.2043499326824429,0.3664898785492721,5884569351.209282,1794494738109344.0,0.7076760027892398,0.7104885453175177,0.21258924321751546,0.10247315286001653,3.0,3,0.04285732573288298,0.032706649357321906,0.0380246116296036,0.03802461157129472,0.037471690773396515,0.03747169072730002,1.5533980582524272,1.6755555555555557,61.0,199,48.0,76,PM
arog3632,729,116,0.1591,286,0.3923,1633,264,0.1617,1125,0.6889,2362,6,0.0082,4,0.6667,3,0.5,52,0.0318,15,0.2885,33,0.6346,1,0.0014,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,18,15,16,81,54,62,615,0.8436,114,0.1564,1475,0.9032,158,0.0968,1.4101,1.1363,8,261.6831275720165,1174.1702388242495,135729.48944097265,5704227.657485368,161,0.2209,377,0.2309,18,0.0247,27,0.0165,4.3393,9.7202,14.0595,363,323,0.5,0.2,492,0.6749,19,0.0261,483,0.2958,66,0.0404,8,20.38961038961039,39.34051724137932,336.2378141339179,773.1211169738408,0.15094004622066615,0.06930693069306931,26.57142857142857,27.4,0.4545454545454545,0.20487264673311184,0.026534859521331947,0.24696802646086,0.13725490196078433,0.20089285714285712,43.260468999079436,4.039463326615066,0.08442236877141274,0.3011654889763857,579353532.029098,422605233997913.75,0.1559422948829342,0.3464931091055207,0.21603727317312407,0.11803797959722373,3.0,3,0.01269686649255165,0.0201056583060514,0.01486051799503701,0.014860517945516271,0.0147652708548663,0.014765270816463746,2.029126213592233,1.9777777777777776,5.0,30,14.0,45,GradStudent
awais,62,18,0.2903,13,0.2097,99,13,0.1313,55,0.5556,161,0,0.0,0,0.0,0,0.0,59,0.596,2,0.0339,32,0.5424,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,81,88,85,100,90,94,43,0.6935,19,0.3065,78,0.7879,21,0.2121,2.1379,1.6818,8,224.4838709677419,724.9494949494949,33021.73361082205,501172.4519946943,10,0.1613,31,0.3131,5,0.0806,24,0.2424,0.5124,0.8182,1.3306,29,37,0.47,0.37,52,0.8387,0,0.0,57,0.5758,5,0.0505,8,50.0,58.28125,0.0,1359.6396484375,0.002839076945660443,0.0,58.66666666666666,54.5,1.0,0.8571428571428571,0.0189344718767403,0.2367864693446089,0.029411764705882356,0.07142857142857142,29.512237174693762,3.9236078800790657,0.0018497589321888942,0.013011214504008016,98624983.95665018,185006401617933.2,0.019645991580572838,0.11130761323096748,0.18705035971223025,0.14181335104616408,3.0,3,0.002329669651078555,0.0018924103796596624,0.0010061849081462056,0.0010061849124149006,0.001466544652435987,0.0014665446552335052,2.203883495145631,2.1911111111111112,1.0,5,3.0,16,GradStudent
bdeird7,471,113,0.2399,225,0.4777,1554,237,0.1525,1022,0.6577,2025,13,0.0276,10,0.7692,10,0.7692,99,0.0637,19,0.1919,56,0.5657,5,0.0106,5,1.0,5,1.0,1,0.0006,1,1.0,1,1.0,46,21,27,78,36,46,402,0.8535,69,0.1465,1476,0.9498,78,0.0502,1.2395,1.3198,8,326.00424628450105,1123.5945945945946,210636.34817729812,2025497.5628021841,135,0.2866,652,0.4196,45,0.0955,68,0.0438,2.8545,9.4182,12.2727,122,319,0.26,0.21,279,0.5924,33,0.0701,304,0.1956,40,0.0257,8,27.5390625,49.973039215686285,174.01409912109375,622.663488802383,0.10564840742888124,0.0095774283310684,34.42857142857143,37.71111111111111,0.8241758241758241,0.4374307862679956,0.026194144838212637,0.26666666666666666,0.13725490196078433,0.20089285714285712,42.86259889597666,4.0344224842384815,0.017015862660992063,0.11437113599835015,1077167408.3292675,817168394628078.0,0.19248680081028285,0.4478249993933974,0.2477372262773723,0.11114714944935056,3.0,3,0.007592795407874517,0.010863794268744842,0.008588575935511406,0.008588575912730524,0.008455593892022622,0.008455593874302154,1.970873786407767,1.835555555555556,6.0,57,14.0,45,GradStudent
ccallsen,5065,463,0.0914,1069,0.2111,4091,369,0.0902,1351,0.3302,9156,0,0.0,0,0.0,0,0.0,789,0.1929,39,0.0494,405,0.5133,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,58,52,55,82,80,81,2983,0.5889,2082,0.4111,2620,0.6404,1471,0.3596,2.0432,2.1006,8,420.8501480750247,477.09288682473715,141121.75938053045,513174.02657125646,496,0.0979,474,0.1159,323,0.0638,258,0.0631,32.6774,26.3935,59.071,1496,1361,0.3,0.33,3858,0.7617,488,0.0963,3021,0.7385,322,0.0787,8,33.16506717850288,33.412269938650304,559.6886837286909,665.5674568105708,0.06568658855853972,0.04248366013071895,25.323529411764714,33.353846153846156,0.5342741935483871,0.3614951356886841,0.02421652421652421,0.2663495838287753,0.3333333333333333,0.2901785714285714,45.77710466228721,4.057131606389212,0.12147856679024732,0.2022280031163313,4291141517.555232,1500475252669509.8,0.5719931630105567,0.6354946498199054,0.3092326858302958,0.12157115204000192,3.0,3,0.04586519840512729,0.04370876255929085,0.08265266399544978,0.08265266384197284,0.08305557454816799,0.08305557443160226,1.7281553398058251,1.7644444444444445,37.0,153,34.0,65,Director
cheadley,760,104,0.1368,282,0.3711,1065,116,0.1089,607,0.57,1825,261,0.3434,68,0.2605,86,0.3295,295,0.277,26,0.0881,176,0.5966,6,0.0079,6,1.0,6,1.0,11,0.0103,11,1.0,10,0.9091,78,87,83,94,93,94,613,0.8066,147,0.1934,796,0.7474,269,0.2526,1.7799,2.8227,8,262.91184210526313,526.4563380281691,125602.77249134351,485544.49973682367,211,0.2776,272,0.2554,173,0.2276,243,0.2282,4.7799,6.6981,11.478,213,426,0.28,0.4,483,0.6355,40,0.0526,481,0.4516,73,0.0685,8,19.666666666666668,30.464285714285715,142.42122719734647,470.22491496598633,0.03389788335349612,0.045039798097456805,28.84,36.42372881355932,0.6033333333333334,0.4204260651629073,0.02716378162450066,0.24008574490889606,0.24509803921568624,0.26339285714285715,44.22329071296526,4.04456914271763,0.04986135534269442,0.1425039754732464,2688468380.569557,1402107729077119.8,0.42294023120961705,0.6125513536685617,0.2216158940397351,0.09908032211756217,3.0,3,0.013394605966946948,0.013529494244323164,0.007874229872822896,0.007874229870575466,0.00724863370217241,0.007248633698539587,1.7766990291262137,1.742222222222222,23.0,180,25.0,59,Research
cthomp,1642,69,0.042,246,0.1498,2335,110,0.0471,1347,0.5769,3977,179,0.109,35,0.1955,55,0.3073,610,0.2612,20,0.0328,356,0.5836,0,0.0,0,0.0,0,0.0,2,0.0009,2,1.0,2,1.0,95,65,77,100,99,100,1414,0.8611,228,0.1389,1349,0.5777,986,0.4223,4.5738,2.2668,8,507.4433617539586,456.23854389721635,246096.47212706532,272908.25872850127,165,0.1005,371,0.1589,150,0.0914,237,0.1015,9.8323,13.982,23.8144,891,746,0.54,0.32,438,0.2667,338,0.2058,1056,0.4522,152,0.0651,8,30.264462809917354,34.40173410404624,321.7372219566064,510.66230913161183,0.004611274368005533,0.0028149873810910503,26.771428571428572,43.29787234042553,0.5946969696969697,0.6101010101010101,0.024090694378837974,0.237791932059448,0.3431372549019608,0.20982142857142852,45.277533100631295,4.051970274608828,0.08387246185473057,0.28469609656850475,5145129092.431138,1268412845295281.5,0.6247190598619679,0.5595920565993759,0.24410116613660454,0.11664730241010515,3.0,3,0.023153038598740704,0.0187002458514545,0.020357631206086708,0.020357631263971637,0.01994982301972413,0.019949823063225156,1.7087378640776698,1.8666666666666667,48.0,106,35.0,47,Director
deannac,3074,198,0.0644,498,0.162,1965,276,0.1405,922,0.4692,5039,1691,0.5501,176,0.1041,423,0.2501,490,0.2494,35,0.0714,240,0.4898,8,0.0026,8,1.0,7,0.875,4,0.002,4,1.0,4,1.0,78,52,68,98,92,95,2756,0.8966,318,0.1034,1448,0.7369,517,0.2631,3.5786,1.5617,8,891.7992843201041,772.2325699745547,690288.316577231,1064152.1754277477,96,0.0312,312,0.1588,86,0.028,116,0.059,18.2976,11.6964,29.994,1840,907,0.6,0.46,831,0.2703,94,0.0306,950,0.4835,131,0.0667,8,35.84431137724551,35.101604278074866,890.8320484778948,444.52443592896486,0.0867432233334041,0.1583511292305701,17.950819672131146,28.540229885057467,0.2518994739918177,0.2563025210084033,0.02910958904109589,0.2458836443468716,0.5980392156862745,0.3883928571428571,45.5881757926972,4.053956641898616,0.17936249948010055,0.31680621615629256,7743878523.459572,2025089499838707.2,0.8046304530725519,0.7610706621064108,0.2276351783947384,0.1007651047969274,3.0,2,0.03717422176143971,0.029571531529424995,0.025315378576329917,0.02531537855014657,0.02371344573151241,0.02371344570883737,1.4174757281553398,1.6133333333333333,87.0,290,61.0,87,Operations
example,91,21,0.2308,43,0.4725,131,19,0.145,98,0.7481,222,38,0.4176,13,0.3421,21,0.5526,46,0.3511,8,0.1739,26,0.5652,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,98,100,99,100,100,100,76,0.8352,15,0.1648,124,0.9466,7,0.0534,1.4918,1.9286,8,262.4945054945055,1042.0076335877864,108017.56865112907,762800.435056232,14,0.1538,9,0.0687,14,0.1538,9,0.0687,0.8349,1.2018,2.0367,6,63,0.07,0.48,56,0.6154,2,0.022,45,0.3435,3,0.0229,8,20.11111111111111,75.07692307692308,125.20987654320992,589.1479289940827,0.012634174892536888,0.009706853038245,39.0,47.5,1.0,0.7717391304347826,0.0272,0.25083986562150057,0.06862745098039216,0.11607142857142855,34.13192435464425,3.9241146513092238,0.004155227545007645,0.013549135168307531,327862333.7450475,446513122733107.1,0.061106245472336874,0.2459071012914972,0.4921414538310413,0.14034410407049938,3.0,3,0.0029502480220867764,0.0019587636813824948,0.00044064619429707577,0.00044064619528791534,0.0003140673349170875,0.00031406733543508635,2.2135922330097086,2.1244444444444444,1.0,23,7.0,26,GradStudent
