@relation 9_norm_email_features

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute time_seg numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute time_seg.1 numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute fg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute fg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute fg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute pg_degree numeric
@attribute fg_degree numeric
@attribute Status {Research,PM,GradStudent,Director,Operations,Outreach}

@data
0,0,0,0,0,0,0,0.447563,0.003256,1,0,0,0,0,0,0,0,0,0.110603,0,1,0,0.84327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945652,0,0,1,0,0,0,0,0,0.00335,0.920626,0.000352,0.079374,0,1,0,0,0.240787,0,0.005174,0,0,0,0.036019,0,0,0,0.142553,0,0,0,0,0.00184,0,1,0,0,0,0,0,0,0.029748,1,0,0,1,0,0.208035,0.029579,0,0.813139,1,1,1,0.043342,0.649998,0,0.036036,0,0,0,0,0.005978,0.038699,0.010045,0.070134,1,0.305749,1,0.5,0,0,0,0,0.00104,0.00104,0.822581,0.612245,0,0,0,0.036036,Research
0.464654,0.186335,0.090435,0.345125,0.195505,0.641753,0.381085,0.08655,0.553969,0.40173,0.564991,0.245222,0.473776,0.166484,0.0673,0.263503,0.2312,0.517609,0.245322,0.68254,0.174463,0.591615,0.518005,0.193548,0.011605,0.193548,1,0.055556,0.1667,1,0.244048,0.833333,0.7895,0.944444,0.8947,0.72,0.434783,0.616162,0.91,0.777778,0.89,0.49906,0.7169,0.395581,0.438167,0.636144,0.589052,0.41162,0.410948,0.630871,0.077663,0,0.752402,0.109762,0.060287,0.008266,0.220258,0.427844,0.444976,0.352988,0.342159,0.37587,0.267574,0.232979,0.460352,0.65807,0.558829,0.663469,0.582414,0.736264,0.408163,0.213228,0.369092,0.298789,0.095027,0.470855,0.408975,0.546911,0.27433,0,0.744132,0.377726,0.925499,0.323051,0.311416,0.922762,0.004829,0.168829,0.00818,0.158413,0.970417,0.819848,0.983051,0.720721,0.983633,0.98211,0.440952,0.20586,0.954614,0.854,0.985233,0.915174,0.078182,0.133032,0.5,0.5,0.447952,0.349655,0.257116,0.257116,0.254951,0.254951,0.008065,0.088435,0.967033,0.797834,0.983051,0.720721,PM
0.079115,0.134576,0.383633,0.140683,0.46798,0.25569,0.401947,0.463158,0.307789,0.709272,0.156569,0.000977,0.011099,0.006572,0.6667,0.001514,0.3333,0.045045,0.027651,0.222222,0.894172,0.052795,0.591499,0.064516,0.022244,0.064516,1,0.111111,1,0.052632,0.029762,0.055556,1,0.055556,1,0.18,0.076087,0.161616,0.82,0.269841,0.63,0.102282,0.863,0.032606,0.212041,0.310441,0.900293,0.060211,0.099707,0.236925,0.007553,0,0.222374,0.24464,0.023547,0.052645,0.049507,0.565029,0.227007,0.473586,0.010692,0.069026,0.018896,0.015248,0.075584,0.24914,0.147631,0.091903,0.130243,0.593407,0.122449,0.070081,0.712464,0.044415,0.083037,0.126786,0.187285,0.176201,0.200282,0,0.269261,0.35766,0.11346,0.352416,0.797858,0.433215,0.233918,0.106703,0.349882,0.049518,0.698589,0.686461,0.237288,0.369369,0.864175,0.895901,0.172073,0.164258,0.112061,0.166004,0.243167,0.393133,0.104155,0.184769,0.5,0.5,0.110963,0.188511,0.099311,0.099311,0.097411,0.097411,0.491935,0.360544,0.054945,0.111913,0.237288,0.369369,GradStudent
0.005734,0.018634,0.733125,0.005759,0.264379,0.004636,0,0.294737,0.003005,0.632876,0.005619,0,0,0,0,0,0,0.047502,1,0,0.022623,0.048137,0.36954,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.869565,0.868687,1,0.873016,0.95,0.00604,0.7031,0.00512,0.459526,0.0067,0.73607,0.005634,0.26393,0.352858,0.042797,0,0.20283,0.16841,0.006415,0.005336,0.002526,0.397811,0.013291,0.507204,0.002546,0.226508,0.014361,0.614539,0.008074,0.007571,0.008227,0.005564,0.000368,0.494505,0.612245,0.006447,0.904298,0,0,0.010206,0.451159,0.016018,0.397743,0,0.365753,0.959287,0.076215,0.159999,0.017281,0,1,0.710851,1,0.844505,0.018836,0.688523,0,0.09009,0.146112,0.271997,0.001224,0.005462,0.006777,0.068195,0.012458,0.118195,0.031681,0.407171,1,0.5,0.001646,0.003545,0.006752,0.006752,0.009245,0.009245,0.677419,0.530612,0,0.01444,0,0.09009,GradStudent
0.053669,0.134576,0.565546,0.114768,0.562832,0.271565,0.382476,0.401949,0.324318,0.700784,0.146664,0.002498,0.041785,0.020811,0.8261,0.006562,0.5652,0.095004,0.086486,0.31746,0.590491,0.10559,0.486718,0.290323,0.145068,0.290323,1,0.5,1,0.210526,0.119048,0.222222,1,0.222222,1,0.49,0.141304,0.282828,0.78,0.015873,0.47,0.069262,0.8614,0.022366,0.214518,0.348781,1,0.027465,0,0.216449,0.016851,0,0.335725,0.270528,0.308001,0.022066,0.038141,0.641639,0.453482,1,0.025458,0.242169,0.051398,0.087589,0.051969,0.268819,0.140128,0.027629,0.135026,0.263736,0.122449,0.041667,0.62437,0.048452,0.133437,0.078929,0.006731,0.098398,0.066291,0,0.373449,0.483518,0.203857,0.277925,0.626467,0.106174,0.379297,0.322919,0.661939,0.320514,0.429112,1,0.20339,0.396396,0.846621,0.873269,0.07084,0.070151,0.127974,0.385561,0.236431,0.584752,0.10804,0.141409,0.5,0.5,0.072923,0.099531,0.055021,0.055021,0.0539,0.0539,0.483871,0.227891,0.054945,0.173285,0.20339,0.396396,GradStudent
0.640534,0.622153,0.219182,0.609626,0.250483,0.771003,0.62726,0.169981,0.439519,0.136631,0.731986,0.000326,0.000435,0.001095,0.3333,0.000505,0.3333,0.894349,0.369647,0.698413,0.065184,0.860248,0.236128,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.478261,0.555556,0.81,0.666667,0.8,0.574631,0.5988,0.772838,0.620957,0.672622,0.416813,0.666549,0.583187,0.341594,0.058002,0,0.386342,0.045198,0.032854,0.019514,0.185148,0.260881,0.340776,0.179829,0.241344,0.192285,0.269841,0.189716,0.649641,0.810864,0.741959,0.416731,0.670714,0.32967,0.387755,0.653534,0.820598,0.923284,0.213144,0.930143,0.840688,1,0.464034,0,0.477986,0.262547,0.423854,0.256323,0.418916,0.266418,0.176052,0.209907,0.362397,0.210958,0.64903,0.921625,0.559322,0.594595,0.989194,0.990494,0.294074,0.133402,0.557173,0.663703,0.719028,0.792295,0.143447,0.327712,0.5,0.5,0.521443,0.483904,0.658961,0.658961,0.658745,0.658745,0.25,0.183673,0.494505,0.465704,0.559322,0.594595,Director
0.086103,0.119048,0.311962,0.143151,0.43753,0.168727,0.158554,0.232359,0.174305,0.566438,0.125232,0.040182,0.418934,0.087623,0.2162,0.066128,0.3541,0.276003,0.511435,0.396825,0.205521,0.312112,0.502361,0.258065,0.080271,0.258065,1,0.444444,1,0.736842,0.642857,0.777778,1,0.722222,0.9286,0.76,0.858696,0.828283,0.94,0.888889,0.93,0.100537,0.7794,0.057127,0.341433,0.167504,0.589443,0.112676,0.410557,0.305873,0.108616,0,0.227697,0.075204,0.022032,0.003812,0.062895,0.659455,0.15311,0.475187,0.101324,0.600638,0.194255,0.675532,0.086104,0.170968,0.123487,0.049693,0.185798,0.296703,0.571429,0.076051,0.710428,0.059219,0.101687,0.123384,0.384293,0.171625,0.327927,0,0.291873,0.584904,0.102274,0.599363,0.33143,0.360139,0.202238,0.316962,0.342332,0.330164,0.882101,0.774346,0.474576,0.486486,0.905684,0.922168,0.099228,0.074438,0.409854,0.579752,0.592335,0.730043,0.064503,0.058918,0.5,0.5,0.115986,0.118296,0.048428,0.048428,0.04746,0.04746,0.25,0.176871,0.318681,0.397112,0.474576,0.486486,Research
0.179643,0.080745,0.101381,0.132044,0.193451,0.420905,0.150209,0,0.442775,0.573131,0.289678,0.024544,0.122633,0.041621,0.1681,0.038869,0.3407,0.674038,0.518295,0.365079,0.019939,0.763975,0.502361,0,0,0,0,0,0,0.157895,0.059524,0.166667,1,0.166667,1,0.95,0.630435,0.777778,1,0.984127,1,0.226577,0.8419,0.085422,0.244699,0.319561,0.257087,0.457042,0.742913,0.735387,0.068283,0,0.466988,0.032937,0.058188,0.001313,0.047487,0.238738,0.254652,0.289221,0.087576,0.24884,0.225246,0.307447,0.172393,0.415733,0.276319,0.196662,0.336277,0.56044,0.326531,0.06638,0.297181,0.526245,0.432948,0.30778,0.402244,0.459954,0.372355,0,0.370563,0.321426,0.179594,0.272655,0.131915,0.005899,0.245593,0.443245,0.51906,0.522269,0.414589,0.833858,0.542373,0.396396,0.96143,0.963025,0.178083,0.162577,0.643379,0.55077,0.758524,0.694261,0.095132,0.258767,0.5,0.5,0.217759,0.179026,0.141051,0.141051,0.138471,0.138471,0.258065,0.248299,0.56044,0.288809,0.542373,0.396396,Director
0.305349,0.226708,0.167579,0.244755,0.210971,0.328744,0.417246,0.348928,0.263211,0.354065,0.332947,0.209492,0.615887,0.215772,0.1021,0.258455,0.2654,0.459459,0.445114,0.555556,0.154141,0.417702,0.158796,0.322581,0.028046,0.322581,1,0.5,0.9,0.263158,0.125,0.277778,1,0.277778,1,0.77,0.467391,0.666667,0.98,0.873016,0.95,0.408725,0.8935,0.097817,0.164835,0.31863,0.557185,0.227817,0.442815,0.57387,0.029275,0,0.753858,0.125586,0.129089,0.009218,0.024249,0.071774,0.204678,0.298826,0.043788,0.073086,0.101285,0.162057,0.291718,0.321946,0.316472,0.40119,0.399558,0.67033,0.653061,0.11139,0.293431,0.153432,0.074378,0.264459,0.463874,0.386728,0.404795,0,0.353597,0.257941,0.19364,0.375755,0.486463,0.623771,0.0045,0.142011,0.009617,0.126405,0.878667,0.829169,1,0.756757,0.971895,0.969974,0.35224,0.178365,1,0.856632,1,0.924617,0.085829,0.112038,0.5,0,0.328171,0.271652,0.155408,0.155408,0.151659,0.151659,0,0.071429,1,0.754513,1,0.756757,Operations
0.00896,0.022774,0.573365,0.019745,0.57999,0.005198,0.005563,0.397661,0.007764,0.833497,0.007936,0.004127,0.413493,0.014239,0.3421,0.010601,0.5526,0.034398,0.72079,0.095238,0.530675,0.037267,0.4817,0,0,0,0,0,0,0,0,0,0,0,0,0.98,1,1,1,1,1,0.011275,0.84,0.004312,0.24764,0.010422,0.979863,0,0.020137,0.24771,0.053441,0,0.235213,0.202181,0.020302,0.006154,0.004041,0.407228,0.001595,0.05016,0.008147,0.464037,0.003023,0.198227,0.012058,0.007179,0.010654,0.001343,0.002208,0.076923,0.653061,0.007402,0.664452,0.002692,0.044405,0.006804,0.262378,0.002288,0.067701,0,0.165292,0.02574,0.016536,0,0.126328,0.153755,0.593781,0.570895,1,0.775958,0.839402,0.879367,0.084746,0.189189,0.353081,0.186302,0.005024,0.005749,0.051441,0.194873,0.089723,0.305687,0.247795,0.532809,0.5,0.5,0.007045,0.003232,0.001099,0.001099,0.000022,0.000022,0.629032,0.469388,0,0.050542,0.084746,0.189189,GradStudent
