pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_vt_sent,inter_vt_received,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
adamq,299,85,0.2843,146,0.4883,1015,230,0.2266,774,0.7626,1314,59,0.1973,29,0.4915,34,0.5763,29,0.0286,8,0.2759,17,0.5862,0,0.0,0,0.0,0,0.0,1,0.001,1,1.0,1,1.0,18,15,85,50,270,0.903,29,0.097,975,0.9606,40,0.0394,1.2008,3.9222,224.61872909699002,1052.702463054187,75071.34627129452,1560894.8848707804,94,0.3144,302,0.2975,12,0.0401,12,0.0118,0.9901,3.3609,4.351,99,200,0.33,0.2,189,0.6321,26,0.087,206,0.203,30,0.0296,23.11705685618729,39.555665024630535,172.1769331439243,523.2754728336052,8.753501400560222e-06,0.0,60.5,61.86666666666667,1.0,0.9904761904761904,0.5,0.5483870967741935,0.04938271604938271,0.1764705882352941,63.88860529810053,0.001197862430529284,15991480334.048613,2.6874155144261416e+16,0.022846780069467918,0.0,8.753501400560222e-06,0.6231578947368421,0.4757904672015101,3.0,0.002414199378584469,0.002430054027492644,0.00021810963910279385,0.00021810963905528785,0.0002724133457454216,0.00027241334572213397,1.9756097560975612,3.0,1.8023255813953492,2.0,1.0,2.0,GradStudent
ahmed12,33,20,0.6061,8,0.2424,268,36,0.1343,196,0.7313,301,0,0.0,0,0.0,0,0.0,31,0.1157,9,0.2903,22,0.7097,0,0.0,0,0.0,0,0.0,2,0.0075,1,0.5,2,1.0,73,84,94,99,14,0.4242,19,0.5758,220,0.8209,48,0.1791,4.125,19.2035,59.87878787878788,860.4514925373136,5549.621671258034,563679.9118261301,3,0.0909,30,0.1119,2,0.0606,21,0.0784,0.0375,0.3045,0.342,0,178,0.0,0.66,31,0.9394,2,0.0606,82,0.306,47,0.1754,41.48484848484848,45.78358208955224,585.4012855831035,856.2218200044556,5.408223895618853e-05,0.0,52.2,54.4,1.0,0.9738562091503268,0.5094339622641509,0.5592105263157895,0.061728395061728385,0.2352941176470588,78.16561114330945,0.0018231774629302114,21182462706.362568,3.731654500604831e+16,0.029864595261310124,0.0,5.4082238956188565e-05,0.7727272727272727,0.5203263878770217,3.0,0.00264635819715068,0.0026582308052356947,0.0007777226913368039,0.0007777226908644553,0.0008698639834062103,0.0008698639830282184,1.9390243902439024,3.0,1.7674418604651163,2.0,1.0,2.0,Research
ajm,716,143,0.1997,287,0.4008,1418,192,0.1354,730,0.5148,2134,21,0.0293,13,0.619,13,0.619,379,0.2673,34,0.0897,208,0.5488,13,0.0182,13,1.0,8,0.6154,8,0.0056,8,1.0,6,0.75,65,72,74,84,541,0.7556,175,0.2444,969,0.6834,449,0.3166,1.7048,4.5635,382.45391061452517,547.5,326086.8316746512,390634.5927362482,20,0.0279,112,0.079,18,0.0251,92,0.0649,4.8707,9.6463,14.517,290,637,0.41,0.45,444,0.6201,49,0.0684,733,0.5169,115,0.0811,28.456703910614525,35.507757404795484,399.8151645547883,763.4671471569443,0.003816200223553393,0.0003821205630032897,41.54545454545455,49.225,0.9047619047619048,0.8051209103840683,0.5785714285714286,0.6439393939393939,0.2716049382716049,0.4705882352941176,114.27262422635687,0.008685986666418927,315564035262.89746,1.3270879741329504e+17,0.3603330974549129,0.00038212056300328994,0.003813588405781434,0.35844229675952244,0.3445928325349657,2.0,0.0057139558993020674,0.006316746829329418,0.003672320778357749,0.0036723207784332772,0.003702022988010685,0.0037020229881172774,1.7073170731707317,2.0,1.5348837209302326,2.0,18.0,37.0,Director
apblair,215,22,0.1023,120,0.5581,400,34,0.085,273,0.6825,615,5,0.0233,4,0.8,5,1.0,190,0.475,12,0.0632,131,0.6895,4,0.0186,4,1.0,3,0.75,6,0.015,6,1.0,6,1.0,92,93,100,98,203,0.9442,12,0.0558,363,0.9075,37,0.0925,1.2216,4.5531,250.0,480.6325,59816.66046511628,280500.0174437501,162,0.7535,92,0.23,155,0.7209,79,0.1975,0.3292,0.6126,0.9418,55,140,0.26,0.35,129,0.6,5,0.0233,163,0.4075,20,0.05,17.32093023255814,32.74,123.25979448350462,896.2073999999997,0.0002166604599957804,0.0,52.5,54.18181818181818,1.0,0.9220779220779219,0.5159235668789809,0.5704697986577181,0.07407407407407407,0.2588235294117647,93.36043913268728,0.003245142893937123,29678128629.17342,4.724825225494888e+16,0.041683051366307136,0.0,0.00021666045999578046,0.5257249766136576,0.483104284559418,3.0,0.003392606986139478,0.0034973938785731154,0.0005874327658427841,0.0005874327659751631,0.0006306137339152686,0.0006306137340720894,1.9146341463414636,3.0,1.7325581395348837,3.0,1.0,13.0,GradStudent
apoetter,20623,500,0.0242,3884,0.1883,20332,878,0.0432,8625,0.4242,40955,5237,0.2539,253,0.0483,1191,0.2274,1862,0.0916,67,0.036,1082,0.5811,6,0.0003,6,1.0,1,0.1667,31,0.0015,24,0.7742,29,0.9355,68,51,88,84,12769,0.6192,7854,0.3808,15215,0.7483,5117,0.2517,2.3545,2.3074,657.1099258109878,648.5819889828841,248647.5445763584,938916.153075168,1647,0.0799,3289,0.1618,1238,0.06,1369,0.0673,18.8338,18.568,37.4018,12155,7921,0.59,0.39,10381,0.5034,1683,0.0816,10528,0.5178,1159,0.057,40.69601900790379,33.66919142238835,1104.74428275033,903.3847620256903,0.05271830482612698,0.07867931966180251,24.716666666666665,37.232876712328775,0.3635813672111313,0.4599597585513078,0.7788461538461539,0.8585858585858586,0.7407407407407407,0.8588235294117647,127.90864419944413,0.2787957835469803,984765068286.9902,2.740017388763352e+17,0.7730745355836308,0.07863682005279922,0.052684700735574005,0.22909720821517984,0.21351193942923705,2.0,0.05088712460579206,0.05025314954266598,0.0377852326615894,0.0377852326830901,0.03782071512335595,0.03782071514542496,1.2682926829268293,2.0,1.1511627906976745,2.0,121.0,259.0,PM
arog3632,3426,335,0.0978,1171,0.3418,4932,727,0.1474,2927,0.5935,8358,373,0.1089,76,0.2038,143,0.3834,165,0.0335,27,0.1636,103,0.6242,7,0.002,7,1.0,7,1.0,4,0.0008,3,0.75,4,1.0,22,19,74,56,2849,0.8316,577,0.1684,4469,0.9061,463,0.0939,1.4275,1.3208,250.45709281961467,812.7317518248175,83583.8914747941,2937236.554766342,552,0.1611,1152,0.2336,101,0.0295,89,0.018,3.266,4.7016,7.9676,1203,1105,0.35,0.22,2097,0.6121,125,0.0365,1763,0.3575,206,0.0418,18.551371862230006,34.30170316301703,212.02144149219174,695.1640441389743,0.0028971449003745253,0.0023807522852090264,36.4,48.794871794871796,0.7051282051282052,0.7672672672672672,0.5436241610738255,0.6390977443609023,0.1851851851851852,0.4588235294117647,109.01837909214844,0.07430235311120473,99283205828.12463,1.2225256574035418e+17,0.13059074982237118,0.002457809465911318,0.0029026140767729443,0.4554409005628518,0.2822065624311826,2.0,0.005763066425360358,0.005764597148217477,0.0017430752248703614,0.0017430752259720652,0.002028256093074776,0.0020282560942146964,1.8170731707317076,2.0,1.5465116279069768,2.0,5.0,44.0,GradStudent
asohangh,652,71,0.1089,186,0.2853,881,57,0.0647,498,0.5653,1533,8,0.0123,5,0.625,6,0.75,256,0.2906,17,0.0664,134,0.5234,4,0.0061,4,1.0,4,1.0,3,0.0034,3,1.0,3,1.0,69,82,89,90,473,0.7255,179,0.2745,680,0.7719,201,0.2281,1.9176,1.8608,353.11656441717787,583.0919409761634,247904.85144341193,360722.5511382307,143,0.2193,93,0.1056,94,0.1442,70,0.0795,0.5971,0.8068,1.4038,107,322,0.16,0.37,518,0.7945,14,0.0215,429,0.4869,44,0.0499,22.710122699386506,35.74006810442679,344.71811838985275,932.1038315504132,0.005735183899674618,0.00045194003527336855,42.7,45.0,0.8444444444444444,0.7116402116402116,0.5225806451612903,0.5985915492957746,0.12345679012345677,0.3529411764705882,105.75276793248273,0.010209340501949228,58429191250.120636,6.1063909600938936e+16,0.08084341039660478,0.0004624118165784833,0.005817240770150896,0.4901372212692968,0.4858723903747799,3.0,0.00477319741047925,0.005832983122711022,0.0008640691400243464,0.0008640691399782246,0.0009519982100838721,0.0009519982100799307,1.8902439024390243,3.0,1.6511627906976745,2.0,3.0,21.0,GradStudent
awais,146,27,0.1849,32,0.2192,324,37,0.1142,215,0.6636,470,0,0.0,0,0.0,0,0.0,105,0.3241,4,0.0381,57,0.5429,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,84,85,100,90,100,0.6849,46,0.3151,281,0.8673,43,0.1327,1.9211,2.7176,204.16438356164383,793.0679012345679,20336.06886845562,795768.0632906569,21,0.1438,91,0.2809,14,0.0959,71,0.2191,0.1372,0.3045,0.4417,68,126,0.47,0.39,107,0.7329,1,0.0068,153,0.4722,19,0.0586,27.54794520547945,44.518518518518526,251.68605742165497,1174.9533607681756,0.0002156143970021224,0.0,57.4,51.54545454545455,1.0,0.9210526315789472,0.5094339622641509,0.5666666666666667,0.061728395061728385,0.2588235294117647,88.64345496364983,0.002163376061010253,22490997360.769936,4.096912519733642e+16,0.03208881779828755,0.0,0.00021561439700212243,0.4437299035369775,0.4746488213661301,3.0,0.0029275717694686298,0.0029020759032193986,0.0021152418816197394,0.002115241879672576,0.00196499266671035,0.001964992664434219,1.9390243902439024,3.0,1.7441860465116281,2.0,1.0,11.0,GradStudent
bdeird7,5121,700,0.1367,2047,0.3997,5002,693,0.1385,3377,0.6751,10123,36,0.007,26,0.7222,22,0.6111,251,0.0502,31,0.1235,153,0.6096,14,0.0027,14,1.0,13,0.9286,10,0.002,10,1.0,10,1.0,16,19,77,37,4608,0.8998,513,0.1002,4750,0.9496,252,0.0504,1.3882,1.2613,465.979105643429,1273.7912834866056,1481836.817958269,2653686.61977208,4138,0.808,2222,0.4442,319,0.0623,226,0.0452,5.4363,5.31,10.7463,1183,1114,0.23,0.22,2774,0.5417,257,0.0502,995,0.1989,102,0.0204,21.289006053505176,42.139144342263094,220.0750382817461,576.9594473286253,0.004967729847989125,0.001046609101366445,34.05555555555556,46.634146341463406,0.775,0.7368421052631579,0.5510204081632653,0.648854961832061,0.2222222222222222,0.4823529411764706,110.73988453774187,0.052196416952874886,129262178582.92427,1.265341359109211e+17,0.16553585506631782,0.0010700958849106997,0.004970820298003026,0.5270026099176872,0.3256275127675758,3.0,0.006459359314774889,0.006775959284957594,0.0012895820738720773,0.0012895820746603294,0.0013669485454525332,0.0013669485463060284,1.7926829268292683,3.0,1.5232558139534884,2.0,8.0,66.0,GradStudent
ccallsen,22600,1476,0.0653,4779,0.2115,17123,1045,0.061,5690,0.3323,39723,11045,0.4887,896,0.0811,2448,0.2216,3150,0.184,110,0.0349,1660,0.527,0,0.0,0,0.0,0,0.0,9,0.0005,8,0.8889,8,0.8889,54,52,77,76,13954,0.6174,8646,0.3826,11409,0.6663,5714,0.3337,1.9692,2.1025,469.3634070796461,486.6207440284997,221019.86629812626,1057118.9396199123,1972,0.0873,1570,0.0917,1248,0.0552,912,0.0533,20.3787,15.44,35.8188,7576,6542,0.34,0.38,16969,0.7508,1951,0.0863,12434,0.7262,1467,0.0857,31.754955752212393,32.10214331600771,566.3644665909644,525.5829207113403,0.00942355280654298,0.008762684663168905,31.63888888888889,43.22641509433962,0.6417112299465241,0.6345098039215686,0.6328125,0.7142857142857143,0.4444444444444444,0.6235294117647059,127.35366911036623,0.08964273445222154,546581805211.0631,1.8737413458399072e+17,0.5355047477958157,0.008784402928062287,0.00942355280654298,0.4104150264312226,0.2853315741627179,2.0,0.034835230412266154,0.0349995830784306,0.05192235891611032,0.05192235889742052,0.052045528653401306,0.052045528634377995,1.5609756097560976,2.0,1.3837209302325582,2.0,52.0,99.0,Director
