pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_sent_perc,inter_hume_rec,inter_hume_rec_perc,inter_vt_sent,inter_vt_sent_perc,inter_vt_rec,inter_vt_rec_perc,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,fg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,fg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,fg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,pg_degree,fg_degree,Status
adamq,0.003119503,0.015692752,0.322841396,0.007130851,0.596887797,0.029779389,0.100230947,1,0.045203631,1,0.010194577,0.00215801,0.266621622,0.013388735,0.4915,0.005529354,0.5763,0.005625563,0.051423714,0.023904382,0.356367092,0.006291946,0.249001815,0,0,0,0,0,0,0.03125,0.066225166,0.03125,1,0.03125,1,0.001017122,0.012048193,0.005340891,0.068181818,0.003626444,0.711538462,0.018686932,0.21875,0.004971839,0.843042071,0.000858014,0.156957929,0.044069589,1,0.003023178,0,0.029867314,0.160529568,0.166211256,0.226345739,0.018528965,0.011444772,0.001962299,0.416313559,0.032631579,0.629677755,0.000782779,0.055624913,0,0,0.012446414,0.11508455,0.040618292,0.003208348,0.00997741,0.33,0.051282051,0.003010321,0.6321,0.00416,0.179975176,0.007867475,0.036148484,0.011274935,0.091022444,0.100818187,0.646230696,0.091629755,0.244958121,0.055108804,0,0.951839024,0.917031023,1,1,0.204028477,0.272944694,0.028169014,0.044776119,0.337507674,0.457410689,0.001842487,8.80E-05,0.011037632,0.031295675,0.0205488,0.054495922,0.714708849,0.815983002,1,0,0.003294227,0.003225858,0,0,0.000431066,0.000431066,0.717171717,0.939393939,0,0,0,0.028169014,0.044776119,GradStudent
ahmed12,0,0.002271319,0.716962645,0.000101869,0.194103194,0.006437098,0.010623557,0.538961039,0.009752208,0.933390083,0.0014576,0,0,0,0,0,0,0.006075608,0.236506587,0.027888446,0.375916373,0.008389262,0.473139746,0,0,0,0,0,0,0.0625,0.496688742,0.03125,0.5,0.0625,1,0.000197774,0.674698795,0.009101313,0.852272727,0,0.884615385,0.008429882,0.984375,0,0.06828479,0.000562147,0.93171521,0.007785467,0.745630007,0.003694995,0.254369993,0.53705663,1,0,0.165417832,0,0.004380687,6.26E-05,0.120365466,0.000818713,0.147349272,0.000130463,0.08406159,0.001827411,0.196460177,0,0.008585695,0.00209755,0,0.008596888,0,0.641025641,0.000493756,0.9394,0.00032,0.125362019,0.001808053,0.203112336,0.018647008,1,0.214721916,0.939852538,0.222120647,0.486359388,0.091278769,0,0.751970971,0.65812074,1,0.970847615,0.154930806,0.361993769,0.042253521,0.119402985,0.483215409,0.603943481,0.002883147,0.002205455,0.01587155,0.067508823,0.029070585,0.110459587,0.953521078,0.903452681,1,0,0.004996127,0.004878456,0.003558456,0.003558456,0.004221397,0.004221397,0.686868687,0.893939394,0,0,0,0.042253521,0.119402985,Research
ajm,0.008009851,0.0276688,0.219228414,0.014312637,0.453562654,0.042372352,0.082678984,0.544455544,0.042504907,0.472653756,0.017266956,0.000768105,0.039594595,0.006001847,0.619,0.002114165,0.619,0.084383438,0.558648534,0.12749004,0.103584035,0.086409396,0.181125227,0.224137931,0.388059701,0.224137931,1,0.216216216,0.6154,0.25,0.370860927,0.25,1,0.1875,0.75,0.012714019,0.578313253,0.052809417,0.715909091,0.008200337,0.5,0.047049541,0.75,0.010234997,0.604530744,0.005177668,0.395469256,0.043781238,0.495265841,0.037369835,0.504734159,0.117283844,0.195759057,0.383239535,0.07868257,0.13399741,0.002785158,0.00041751,0.036943856,0.010409357,0.061850312,0.001174168,0.034817589,0.016243655,0.156637168,0.063149285,0.334096429,0.138298976,0.009398192,0.037399598,0.41,0.371794872,0.007071865,0.6201,0.00784,0.141497724,0.033620016,0.544982979,0.048135299,0.412094763,0.186781504,0.507942847,0.365869251,0.375139551,0.187782835,0.038348083,0.495404315,0.473647164,0.872141185,0.674876379,0.639952284,0.653850676,0.281690141,0.417910448,0.851714098,0.903086505,0.014304596,0.046821081,0.290003938,0.394708652,0.430360943,0.544261321,0.292046651,0.43260197,0,0,0.027486663,0.031382088,0.021964558,0.021964558,0.02218909,0.02218909,0.494949495,0.590909091,0,0.128787879,0.107033639,0.281690141,0.417910448,Director
apblair,0.002134397,0.002684287,0.099938763,0.00580655,0.711220311,0.01056184,0.009699769,0.292707293,0.014474975,0.8295382,0.004165804,0.000182882,0.031486486,0.001846722,0.8,0.00081314,1,0.041854185,1,0.039840637,0.067607928,0.054110738,0.436479129,0.068965517,0.396588486,0.068965517,1,0.081081081,0.75,0.1875,0.993377483,0.1875,1,0.1875,1,0.005085608,0.903614458,0.017112649,0.954545455,0.002989366,1,0.013662223,0.96875,0.003670616,0.909708738,0.00035504,0.090291262,0.014657824,0.903313911,0.002771246,0.096686089,0.03347498,0.195187739,0.176709656,0.047952105,0.015189404,0.00136247,0.003381834,0.997748941,0.008070175,0.454261954,0.010110894,1,0.013604061,0.547787611,0.003811273,0.019321298,0.007860768,0.001782416,0.006212349,0.26,0.243589744,0.002054664,0.6,0.0008,0.048200248,0.005766224,0.367644675,0.006938422,0.218204489,0.013420445,0.35151899,0.006272774,0.485718149,0.15341326,0,0.759195118,0.650417625,1,0.880025577,0.400853045,0.707867868,0.056338028,0.149253731,0.638289995,0.745225943,0.005249724,0.000295948,0.023782837,0.101551519,0.043421824,0.16936414,0.559141094,0.802554213,1,1,0.010467936,0.010958198,0.002348441,0.002348441,0.002703549,0.002703549,0.666666667,0.848484848,1,0,0.033639144,0.056338028,0.149253731,GradStudent
apoetter,0.241468277,0.10138344,0.004286589,0.197524576,0.105487305,0.633491657,0.399538106,0.083916084,0.526741904,0.279633965,0.352118264,0.191550841,0.343108108,0.116805171,0.0483,0.193690031,0.2274,0.418091809,0.185295368,0.258964143,0.03068151,0.453020134,0.239745917,0.103448276,0.006396588,0.103448276,1,0.027027027,0.1667,0.96875,0.099337748,0.75,0.7742,0.90625,0.9355,0.393343505,0.614457831,0.560248515,0.477272727,0.294820066,0.769230769,0.705577011,0.75,0.247718003,0.38381877,0.232373739,0.61618123,0.728517878,0.613437728,0.429459187,0.386562272,0.229971381,0.071821353,0.615945711,0.101891451,0.090466524,0.00828532,0.03438198,0.105799788,0.381988304,0.276767152,0.080756686,0.083229297,0.275532995,0.163716814,0.245587376,0.645066536,0.358215997,0.393913861,0.494477912,0.59,0.294871795,0.165344674,0.5034,0.26928,0.168804303,0.512265442,0.546279786,0.500867303,0.261845387,0.324684434,0.444266616,0.813456343,0.414598527,0.05324972,0.495575221,0.090158887,0.050084612,0.145596811,0.068032526,0.854659343,0.1996152,0.816901408,0.910447761,0.990879378,0.993973041,0.463835661,0.362315479,0.913173641,0.878615076,0.931555938,0.942930814,0.085525843,0.071855534,0,0,0.358679517,0.349679156,0.238880894,0.238880894,0.23864378,0.238643779,0.131313131,0.090909091,0,0.909090909,0.76146789,0.816901408,0.910447761,PM
arog3632,0.039791251,0.067313649,0.094427434,0.059338868,0.356920557,0.152177989,0.329792148,0.604395604,0.17719578,0.639710577,0.070948044,0.013643014,0.147162162,0.035087719,0.2038,0.023255814,0.3834,0.036228623,0.061835954,0.099601594,0.203909856,0.042365772,0.317967332,0.120689655,0.042643923,0.120689655,1,0.189189189,1,0.125,0.052980132,0.09375,0.75,0.125,1,0.020398938,0.060240964,0.048504006,0.113636364,0.041083359,0.5,0.112495328,0.3125,0.055059235,0.727508091,0.017071511,0.272491909,0.211985775,0.900764749,0.038545516,0.099235251,0.069187408,0.017622985,0.201561669,0.140656432,0.031625388,0.024689676,0.011523287,0.213320975,0.131929825,0.463097713,0.006588389,0.040921071,0.015431472,0.017699115,0.042182709,0.161800627,0.075368633,0.038986292,0.066767068,0.35,0.076923077,0.033400229,0.6121,0.02,0.075506827,0.08390344,0.28627006,0.087597572,0.167082294,0.029600321,0.458248104,0.072159867,0.36841165,0.107766671,0.086283186,0.371499258,0.457510535,0.604129438,0.605845235,0.459487089,0.516444444,0.183098592,0.402985075,0.797832848,0.87208671,0.123440717,0.187489853,0.088600094,0.35821851,0.151383103,0.503936019,0.446920952,0.257936556,0,0,0.027802709,0.027339368,0.009696232,0.009696232,0.011569705,0.011569705,0.585858586,0.606060606,0,0.03030303,0.122324159,0.183098592,0.402985075,GradStudent
asohangh,0.007259294,0.012801982,0.108022045,0.009168237,0.264373464,0.02559215,0.020323326,0.191308691,0.02827527,0.580123431,0.01208342,0.000292612,0.016621622,0.002308403,0.625,0.000975768,0.75,0.056705671,0.608159796,0.059760956,0.071952213,0.055369128,0.135027223,0.068965517,0.130063966,0.068965517,1,0.108108108,1,0.09375,0.225165563,0.09375,1,0.09375,1,0.012261965,0.626506024,0.036187258,0.829545455,0.009017103,0.788461538,0.030521988,0.84375,0.008914352,0.555825243,0.005296015,0.444174757,0.029892349,0.656409323,0.0165435,0.343590677,0.154193045,0.04728761,0.290750436,0.095175145,0.094333571,0.002887983,0.002985199,0.290386653,0.008187135,0.130977131,0.006131768,0.200027743,0.01177665,0.199705015,0.007311582,0.026088108,0.012299926,0.003467609,0.017633032,0.16,0.269230769,0.00825051,0.7945,0.00224,0.044476624,0.01876466,0.496352731,0.017346054,0.217581047,0.099136704,0.567347484,0.286553841,0.51389719,0.058413953,0.013274336,0.523206333,0.323891103,0.791163935,0.510905958,0.441085347,0.139495798,0.112676056,0.268656716,0.764762787,0.846431172,0.016840144,0.004079441,0.050556243,0.148612949,0.090974539,0.244087382,0.502319362,0.82390535,1,0,0.020590648,0.027877359,0.004107509,0.004107509,0.00474246,0.00474246,0.646464646,0.742424242,0,0.015151515,0.058103976,0.112676056,0.268656716,GradStudent
awais,0.001325202,0.003716705,0.201102266,0.001324301,0.156101556,0.008186988,0.01108545,0.438561439,0.010917566,0.789316876,0.0029152,0,0,0,0,0,0,0.022727273,0.679345516,0.007968127,0.033532446,0.02307047,0.170417423,0,0,0,0,0,0,0,0,0,0,0,0,0.002966605,0.807228916,0.011826258,0.863636364,0.001878563,1,0.009634151,0.84375,0.001670227,0.49012945,0.001360987,0.50987055,0.010717032,0.830116533,0.003275109,0.169883467,0.154800104,0.094355481,0.166771996,0.141989737,0.007974626,0.003861676,0.000438386,0.190413136,0.007953216,0.586538462,0.000913242,0.133028159,0.011979695,0.611504425,0.001302653,0.008585695,0.003055524,0.002203714,0.005333835,0.47,0.294871795,0.001704256,0.7329,0.00016,0.014067025,0.005277561,0.47252391,0.00650477,0.271820449,0.115650531,0.851210186,0.125681122,0.66893069,0.029909428,0.004424779,0.87718951,0.557338308,1,0.87822716,0.381789753,0.226510721,0.042253521,0.149253731,0.590149665,0.67669188,0.003449319,0.006393985,0.017090076,0.080076371,0.031771475,0.131116681,0.42822241,0.779633873,1,0,0.00705788,0.006644992,0.012063443,0.012063443,0.01116908,0.01116908,0.686868687,0.863636364,0,0,0.027522936,0.042253521,0.149253731,GradStudent
bdeird7,0.017473906,0.051414413,0.1821188,0.032547242,0.490745291,0.153302919,0.312702079,0.561938062,0.203140334,0.811662056,0.054845443,0.001280176,0.031081081,0.011542013,0.7143,0.003415189,0.6,0.055580558,0.097960051,0.115537849,0.14947054,0.063338926,0.291470054,0.24137931,0.196162047,0.24137931,1,0.351351351,0.9286,0.3125,0.132450331,0.3125,1,0.3125,1,0.018364695,0.325301205,0.046923538,0.102272727,0.017299116,0.461538462,0.072339189,0,0.024470771,0.735436893,0.007367082,0.264563107,0.22443291,0.98379461,0.019818609,0.01620539,0.058295031,0.014376356,0.398932847,0.29557942,0.372823119,0.026039941,0.01127278,0.469544492,0.252982456,1,0.01245923,0.17394923,0.036954315,0.080235988,0.020634707,0.181742157,0.065021168,0.010662086,0.067143574,0.22,0.076923077,0.015481651,0.6382,0.01376,0.11688043,0.045152463,0.023180418,0.041630529,0.031795511,0.074645358,0.745209998,0.123429337,0.305291958,0.209097121,0.087758112,0.315043891,0.417678184,0.697933549,0.619013826,0.578301759,0.458861789,0.225352113,0.402985075,0.815443111,0.880828436,0.049634268,0.034912314,0.116516948,0.347003965,0.193817204,0.492636631,0.561181047,0.474841431,1,0,0.031374534,0.032942773,0.006791336,0.006791336,0.007348992,0.007348992,0.565656566,0.606060606,0,0.053030303,0.165137615,0.225352113,0.402985075,GradStudent
ccallsen,0.264653454,0.302911419,0.054623393,0.243111088,0.143488943,0.53312293,0.476674365,0.172827173,0.34672473,0.08427325,0.34146657,0.403986832,0.660405405,0.413665743,0.0811,0.398113514,0.2216,0.707920792,0.381640459,0.430278884,0.029188162,0.695469799,0.141560799,0,0,0,0,0,0,0.28125,0.033112583,0.25,0.8889,0.25,0.8889,0.346725434,0.445783133,0.484658564,0.488636364,0.282029502,0.557692308,0.536314937,0.625,0.270732181,0.380906149,0.255806385,0.619093851,0.545511342,0.464129643,0.479509573,0.535870357,0.163142832,0.060565276,0.429971168,0.048631436,0.087989113,0.002269495,0.041166524,0.115598517,0.180935673,0.09485447,0.081409002,0.076570953,0.182741117,0.122418879,0.265772622,0.535975246,0.342978732,0.245519655,0.407944277,0.34,0.282051282,0.270275866,0.7508,0.31216,0.1785271,0.605404613,0.88426001,0.634431917,0.440773067,0.210063393,0.388016348,0.390161588,0.259988187,0.119441381,0.211651917,0.256849378,0.262294437,0.518991035,0.375614871,0.717043453,0.481554461,0.478873239,0.611940299,0.985215475,0.990548033,0.149036193,0.100370975,0.505131034,0.582619559,0.64307318,0.724007739,0.375029703,0.270027122,0,0,0.240986143,0.239170307,0.32877582,0.32877582,0.328888515,0.328888514,0.373737374,0.393939394,0,0.386363636,0.296636086,0.478873239,0.611940299,Director
