total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_hume_all,inter_vt_sent,inter_vt_received,inter_vt_all,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
0,0,0,0,0,0.00433526,0.017167382,0.4444,0.00617284,0.6667,0.002916397,0,0,0,0,0,0,0.001893939,0.1111,0.025641026,1,0.003717472,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,1,0,0,0,0,0,0.004828002,0.8889,0.002053388,0.1111,0,0.5,0,0.034570707,0,0.000153514,0,0,0.000736377,0.1111,0,0,0.000925926,0.1111,0,0,0,0,0,0,0,0,0,0,0,0.002902758,0.44445,0.023529412,0.222225,0,0.352580927,0,0.120124837,2.06E-05,0,0,0.579896907,0,0.666666667,0,0.724994907,0,0.041237113,0,0.007344343,0,0,0,9.08E-05,0,0.056672761,0,0.020472434,0,0,0.005056553,0.005056553,0,0.581359545,0.789473684,0,0.003246753,Research
0.007045798,0.013623978,0.3571,0.012145749,0.4286,0.006262042,0.030042918,0.5385,0.009259259,0.6923,0.00874919,0,0,0,0,0,0,0.009469697,0.3846,0.076923077,0.6,0.014869888,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.62,0.63,1,1,1,0.006525285,0.85715,0.003030303,0.164825338,0.006035003,0.769225,0.006160164,0.230775,0.103706667,0.05986006,0.109749351,0.024511137,0.000889165,0.00058332,0.003525264,0.214275,0.002209131,0.230775,0.005376344,0.214275,0.000925926,0.076925,0.012123023,0.011050578,0.015954048,0,0,0,0,0.003369272,0.35715,0,0,0.007982583,0.84615,0,0,0.221010542,0.202301635,0.064980708,0.03596785,0.000654195,0,0,0.416789396,0,0.571428571,0,0.872945793,0,0.072164948,0,0.002665368,0,0,0,0.000875097,0,0.042846873,0,0.027372006,0,0,7.78E-05,7.78E-05,0,0.482828044,0.578947368,0,0.00974026,GradStudent
0.292400604,0.209809264,0.1325,0.230769231,0.1962,0.338150289,0.502145923,0.1667,0.427983539,0.5926,0.415748542,0.173255814,0.5129,0.171014493,0.198,0.202409639,0.2819,0.087121212,0.0655,0.358974359,0.3043,0.118959108,0.6957,0,0,0,0,0,0,0.428571429,0.0043,0.428571429,1,0.285714286,0.6667,0.69,0.39,0.53,0.89,0.82,0.86,0.225122349,0.712575,0.253030303,0.331641042,0.330114665,0.7792,0.318275154,0.2208,0.215186667,0.073245003,0.216940788,0.077432229,0.005741893,0.003969354,0.012925969,0.018925,0.081001473,0.1567,0.008960573,0.0086,0.018518519,0.0285,0.275905878,0.327242775,0.41574852,0,0,0,0,0.172506739,0.440625,0.1,0.02755,0.201741655,0.396,0.435294118,0.0527,0.549317006,0.339794064,0.945523306,0.319011377,0.297780509,0.055340659,0.194907814,0.370182395,0.294117647,0.353302611,0.642276423,0.68376561,0.253731343,0.670103093,0.100314674,0.609308761,0,0,0.054902932,0.2446862,0.005406833,0.031495491,0.161342506,0.31738726,0.00914114,0.00914114,0.036412937,0.036412937,0.667940467,0.616414022,0.842105263,0.265625,0.387987013,PM
0.06391545,0.114441417,0.3307,0.105263158,0.4094,0.131984586,0.381974249,0.3248,0.196502058,0.6971,0.129941672,0,0,0,0,0,0,0.03219697,0.062,0.153846154,0.3529,0.037174721,0.5882,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.09,0.12,0.78,0.45,0.56,0.055464927,0.80315,0.037878788,0.227132431,0.147857574,0.89415,0.059548255,0.10585,0.10996,0.040831518,0.089208353,0.133021164,0.010272708,0.037611531,0.034077556,0.22835,0.044182622,0.218975,0.005376344,0.023625,0.002777778,0.01095,0.062319848,0.131984104,0.134273379,0,0,0,0,0.064016173,0.748025,0.025,0.0315,0.062409289,0.313875,0.105882353,0.03285,0.155540863,0.277947008,0.042445586,0.082745133,0.001782674,0,0,0.507580352,0,0.695238095,0,0.771013865,0,0.175257732,0,0.087652058,0,0,0,0.003535724,0,0.032900536,0,0.034437521,0,0,0.020438907,0.020438907,0,0.546660351,0.736842105,0,0.021103896,GradStudent
0.010065425,0.024523161,0.45,0.018218623,0.45,0.020231214,0.0472103,0.2619,0.033950617,0.7857,0.020090732,0,0,0,0,0,0,0.013257576,0.1667,0.051282051,0.2857,0.018587361,0.7143,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.98,0.97,1,1,1,0.010875476,1,0,0,0.024140012,0.952375,0.004106776,0.047625,0.083333333,0.045916848,0.07137325,0.089635679,0.002673299,0.00114877,0,0,0,0,0,0,0,0,0.011777072,0.024277457,0.024912505,0,0,0,0,0.011455526,0.85,0,0,0.008708273,0.285725,0,0,0.187684478,0.419572553,0.115277863,0.136895258,0.001456673,0,0.447761194,0.412371134,0,0.580952381,0.553594602,0.629132049,0.014925373,0.154639175,0.000516231,0.032084761,0,0,0,0.003578698,0,0.045563285,0.019679127,0.054793058,0.000136253,0.000136253,0.001658781,0.001658781,0.774939662,0.669943155,0.842105263,0.015625,0.016233766,GradStudent
0.023150478,0.032697548,0.2609,0.01417004,0.1522,0.010597303,0.025751073,0.2727,0.016460905,0.7273,0.022034997,0,0,0,0,0,0,0.03030303,0.7273,0.051282051,0.125,0.037174721,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.86,0.79,1,0.86,0.96,0.017400761,0.69565,0.021212121,0.3511697,0.012070006,0.9091,0.004106776,0.0909,0.170373333,0.065554413,0.07664711,0.063171668,0.001270234,0.002987093,0.009400705,0.173925,0.004418262,0.272725,0.007168459,0.08695,0.003703704,0.181825,0.025080747,0.011774566,0.025299251,0,0,0,0,0.024932615,0.80435,0,0,0.010159652,0.636375,0.011764706,0.04545,0.1863923,0.31531854,0.12105457,0.272106827,0.001792088,0,0.298507463,0.474226804,0,0.636363636,0.699573631,0.737005591,0.014925373,0.144329897,0.001033799,0.058322291,0,0,0,0.003236458,0,0.034130828,0.016440236,0.042014912,0.005783414,0.005783414,0.031562748,0.031562748,0.613234111,0.571885362,0.789473684,0.015625,0.01461039,GradStudent
0.037745345,0.095367847,0.4667,0.089068826,0.5867,0.091040462,0.137339056,0.1693,0.158436214,0.8148,0.085547634,0.000581395,0.0133,0.002898551,1,0.002409639,1,0.039772727,0.1111,0.179487179,0.3333,0.055762082,0.7143,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.35,0.44,0.76,0.39,0.49,0.036432844,0.893325,0.012121212,0.123085355,0.104405552,0.91535,0.032854209,0.08465,0.086206667,0.054954053,0.097591103,0.089133377,0.003545904,0.002938714,0.022326675,0.253325,0.100883652,0.724875,0.019713262,0.146675,0.027777778,0.158725,0.040892938,0.101156069,0.098221569,0,0,0,0,0.02425876,0.48,0.0125,0.026675,0.032656023,0.2381,0.047058824,0.021175,0.226904156,0.253509978,0.156973057,0.058235633,0.003417114,0,0.253731343,0.372783505,0,0.513333333,0.715051961,0.745184255,0.014925373,0.257731959,0.001255496,0.119023147,0,0,0,0.005523816,0,0.045299465,0.019215525,0.066349122,0.007895905,0.007895905,0.023176179,0.023176179,0.599959775,0.565608716,0.789473684,0.015625,0.053571429,GradStudent
0.579768495,0.523160763,0.1667,0.51417004,0.2205,0.465317919,0.605150215,0.146,0.369341564,0.3716,0.68632534,0,0,0,0,0,0,0.297348485,0.1625,0.333333333,0.0828,0.334572491,0.5732,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.51,0.55,0.84,0.79,0.82,0.382272974,0.61025,0.68030303,0.449707214,0.363307182,0.6232,0.747433265,0.3768,0.1338,0.073698385,0.120432688,0.053208401,0.002152529,0.004282478,0.145710928,0.10765,0.086156112,0.121125,0.14516129,0.070325,0.058333333,0.065225,0.547064123,0.450307803,0.686325446,0,0,0,0,0.541778976,0.697925,1,0.1389,0.510159652,0.72775,0.905882353,0.0797,0.25538592,0.2438255,0.185027073,0.088991502,0.194341833,0.188651399,0.190887667,0.391041593,0.298245614,0.398701299,0.645190563,0.666229876,0.28358209,0.597938144,0.104858219,0.454208646,0,0,0.179243069,0.197343178,0.005151575,0.03203157,0.247199981,0.387905508,0.014462279,0.014462279,0.05054524,0.05054524,0.664923572,0.63263856,0.842105263,0.28125,0.433441558,Director
0.062908908,0.079019074,0.232,0.107287449,0.424,0.121387283,0.197424893,0.1825,0.172839506,0.6667,0.122164614,0,0,0,0,0,0,0.070075758,0.1468,0.307692308,0.3243,0.12267658,0.8919,0,0,0,0,0,0,0.571428571,0.0159,0.571428571,1,0.428571429,0.75,0.93,0.87,0.89,0.98,0.89,0.92,0.052746058,0.776,0.042424242,0.258459053,0.118286059,0.777775,0.114989733,0.222225,0.108226667,0.078628077,0.087582961,0.063997439,0.006912269,0.002281005,0.032902468,0.224,0.031664212,0.170625,0.046594982,0.208,0.030555556,0.13095,0.061339406,0.121387283,0.126237087,0,0,0,0,0.037735849,0.448,0.05625,0.072,0.063134978,0.34525,0.294117647,0.0992,0.1792,0.319428821,0.03789514,0.213977759,0.102967379,0.01441412,0.206823028,0.416022337,0.380952381,0.463768116,0.614520311,0.68075746,0.104477612,0.494845361,0.012390326,0.392043047,0,0,0.020103178,0.093838809,0.005388842,0.032985295,0.095437127,0.172345438,0.00168841,0.00168841,0.014895612,0.014895612,0.698109413,0.619137849,0.842105263,0.078125,0.285714286,Research
0.234021137,0.117166213,0.0925,0.091093117,0.0968,0.225915222,0.223175966,0.1109,0.288065844,0.597,0.302657161,0.003488372,0.0129,0.017391304,1,0.009638554,0.6667,0.117424242,0.1322,0.230769231,0.1452,0.156133829,0.6774,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.52,0.74,1,0.99,0.99,0.233278956,0.922575,0.054545455,0.089335679,0.161134581,0.5693,0.414784394,0.4307,0.484373333,0.070819066,0.151375556,0.058751036,0.003604039,0.001867846,0.058754407,0.107525,0.064801178,0.187625,0.084229391,0.101075,0.037037037,0.0853,0.228180766,0.22591474,0.312745358,0,0,0,0,0.03638814,0.116125,0.79375,0.273125,0.150217707,0.441375,0.270588235,0.04905,0.161028756,0.301042594,0.018574984,0.075830928,0.159408293,0.0019752,0.199360341,0.359303701,0.560606061,0.354178843,0.581040588,0.640107914,0.208955224,0.628865979,0.066737592,0.402776273,0,0,0.001956732,0.154848122,0.01109956,0.035749172,0.123522267,0.358815381,0.005623797,0.005623797,0.027236718,0.027236718,0.738334674,0.658455708,0.842105263,0.140625,0.444805195,Director
