@relation Month4

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {Research,GradStudent,PM,Director,Operations,Outreach}

@data
0,0,0,0,0,0.004335,0.012876,0.3333,0.009259,1,0.002916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005432,1,0,0,0,1,0,0.104729,0,0.000654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011765,0.1111,0,0.534558,0,0.112771,0.000005,0,0,0.548969,0,0.833333,0,0.811261,0,0.041237,0,0.004118,0,0,0,0.000027,0,0.097941,0,0.021613,0,0,0.005488,0.005488,0,0.519541,0.684211,0,0.003247,Research
0.002013,0.00545,0.5,0.006073,0.75,0.007707,0.030043,0.4375,0.013374,0.8125,0.006481,0.001744,0.75,0.005797,0.6667,0.007229,1,0.020833,0.6875,0.102564,0.3636,0.037175,0.9091,0.090909,0.5,0.090909,1,0.125,1,0.285714,0.125,0.285714,1,0.285714,1,1,0.88,0.9,1,1,1,0.002175,1,0,0,0.009656,1,0,0,0.066667,0.048637,0.000298,0.018417,0,0.000278,0,0,0,0,0,0,0,0,0.002454,0.009634,0.008371,0,0,0,0,0.002022,0.75,0,0,0.002903,0.25,0,0,0.022392,0.113189,0.000936,0.013722,0.026282,0,0,0.369416,0,0.466667,0,0.864885,0,0.061856,0,0.00017,0,0,0,0.028971,0,0.018548,0,0.036403,0,0,0.000017,0.000017,0,0.487328,0.631579,0,0.00487,GradStudent
0.493206,0.217984,0.0816,0.289474,0.1459,0.30684,0.403433,0.1476,0.338477,0.5165,0.523979,0.227907,0.4,0.194203,0.1709,0.231325,0.2449,0.153409,0.1272,0.461538,0.2222,0.178439,0.5926,0,0,0,0,0,0,0.428571,0.0047,0.428571,1,0.428571,1,0.73,0.43,0.61,0.93,0.88,0.91,0.412181,0.773475,0.336364,0.261372,0.307182,0.79905,0.262834,0.20095,0.26886,0.079268,0.226262,0.066887,0.003637,0.002387,0.028202,0.0245,0.075847,0.1617,0.032258,0.018375,0.047222,0.080075,0.465384,0.296942,0.523979,0,0,0,0,0.214286,0.3245,0.35,0.05715,0.225689,0.488225,0.352941,0.0471,0.473968,0.306357,0.293905,0.116451,0.296492,0.354237,0.126244,0.36917,0.119565,0.354098,0.748421,0.761609,0.358209,0.649485,0.097011,0.800088,0,0,0.317048,0.202115,0.004985,0.030362,0.348868,0.314152,0.044638,0.044638,0.113277,0.113277,0.57321,0.553411,0.789474,0.34375,0.451299,PM
0.067942,0.114441,0.3111,0.12753,0.4667,0.177264,0.467811,0.2962,0.278807,0.7364,0.162994,0.000581,0.0074,0.002899,1,0.00241,1,0.00947,0.0136,0.102564,0.8,0.018587,1,0.090909,0.0148,0.090909,1,0.125,1,0,0,0,0,0,0,0.17,0.13,0.14,0.84,0.5,0.59,0.061446,0.837025,0.033333,0.188046,0.198552,0.894025,0.080082,0.105975,0.095747,0.041512,0.084807,0.123171,0.004085,0.030169,0.032902,0.2074,0.07511,0.277175,0.005376,0.022225,0.015741,0.0462,0.064108,0.171546,0.162994,0,0,0,0,0.052561,0.577775,0.0125,0.014825,0.07402,0.277175,0.164706,0.03805,0.152114,0.303813,0.105781,0.118453,0.001849,0,0.253731,0.430241,0,0.564103,0.718182,0.857797,0.014925,0.154639,0.001397,0.035216,0,0,0,0.005944,0,0.045228,0.016807,0.050836,0.009298,0.009298,0.038658,0.038658,0.597345,0.491355,0.684211,0.015625,0.00974,GradStudent
0.014595,0.021798,0.2759,0.024291,0.4138,0.026975,0.042918,0.1786,0.048354,0.8393,0.027544,0.001163,0.069,0.005797,1,0.00241,0.5,0.030303,0.2857,0.102564,0.25,0.040892,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.015226,0.965525,0.001515,0.039778,0.032589,0.964275,0.004107,0.035725,0.120833,0.062029,0.054749,0.069756,0.000781,0.000632,0,0,0.002946,0.071425,0,0,0.003704,0.071425,0.015247,0.028902,0.030495,0,0,0,0,0.012803,0.655175,0,0,0.011611,0.285725,0.023529,0.035725,0.101079,0.389904,0.011087,0.159793,0.007886,0,0.358209,0.472509,0,0.601307,0.652294,0.732606,0.014925,0.185567,0.000655,0.093806,0,0,0,0.014576,0,0.033527,0.027739,0.060985,0.00326,0.00326,0.016664,0.016664,0.657683,0.57532,0.789474,0.015625,0.029221,GradStudent
0.006543,0.021798,0.6154,0.010121,0.3846,0.011561,0.034335,0.3333,0.009259,0.375,0.01199,0,0,0,0,0,0,0.024621,0.5417,0.051282,0.1538,0.033457,0.6923,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0.67,0.76,1,0.71,0.81,0.00435,0.615375,0.007576,0.443794,0.006035,0.416675,0.028747,0.583325,0.108333,0.067669,0.039642,0.055756,0.00023,0.000361,0.00235,0.15385,0.009573,0.541675,0.001792,0.076925,0.007407,0.333325,0.0066,0.01196,0.012817,0,0,0,0,0.008086,0.923075,0,0,0.015239,0.875,0,0,0.194167,0.170932,0.063173,0.027291,0.000249,0,0,0.596649,0,0.928571,0,0.807579,0,0.082474,0,0.020903,0,0,0,0.000535,0,0.051393,0,0.028955,0,0,0.029589,0.029589,0,0.521909,0.736842,0,0.003247,GradStudent
0.047811,0.106267,0.4105,0.101215,0.5263,0.054913,0.180258,0.3684,0.061728,0.5263,0.067725,0.001163,0.0211,0.005797,1,0.004819,1,0.045455,0.2105,0.205128,0.3333,0.048327,0.5417,0.181818,0.0422,0.181818,1,0.25,1,0.142857,0.0088,0.142857,1,0.142857,1,0.27,0.47,0.38,0.76,0.8,0.78,0.046765,0.905275,0.013636,0.109297,0.063368,0.92105,0.01848,0.07895,0.078187,0.105445,0.085082,0.046771,0.004326,0.001981,0.028202,0.252625,0.020619,0.245625,0.016129,0.094725,0.014815,0.14035,0.045114,0.053142,0.067725,0,0,0,0,0.039084,0.610525,0.025,0.0421,0.047896,0.57895,0.082353,0.0614,0.196534,0.246857,0.03909,0.080323,0.003395,0,0,0.452626,0,0.609524,0,0.811816,0,0.216495,0,0.090646,0,0,0,0.005271,0,0.044792,0,0.052694,0,0,0.036333,0.036333,0,0.519185,0.736842,0,0.042208,GradStudent
0.457474,0.392371,0.1584,0.447368,0.2431,0.336705,0.515021,0.1717,0.273663,0.3805,0.521063,0,0,0,0,0,0,0.265152,0.2003,0.410256,0.1143,0.301115,0.5786,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.52,0.53,0.81,0.78,0.8,0.261555,0.52915,0.648485,0.543283,0.259505,0.615175,0.552361,0.384825,0.153807,0.074426,0.124615,0.046855,0.003318,0.00114,0.079906,0.0748,0.039028,0.075825,0.060932,0.0374,0.02963,0.045775,0.461437,0.348315,0.556998,0,0,0,0,0.484501,0.790975,0.5125,0.0902,0.369376,0.728175,0.811765,0.0987,0.270386,0.259414,0.278377,0.125529,0.123119,0.051222,0.177956,0.463198,0.384615,0.569512,0.737042,0.748633,0.19403,0.443299,0.057206,0.556608,0,0,0.046829,0.151486,0.00924,0.033849,0.147241,0.237991,0.061491,0.061491,0.129716,0.129716,0.58206,0.563003,0.789474,0.1875,0.308442,Director
0.042275,0.06812,0.2976,0.089069,0.5238,0.099711,0.188841,0.2126,0.145062,0.6812,0.094297,0.009302,0.1905,0.014493,0.3125,0.007229,0.1875,0.113636,0.2899,0.333333,0.2167,0.148699,0.6667,0.181818,0.0476,0.181818,1,0.25,1,0.142857,0.0048,0.142857,1,0.142857,1,0.88,0.91,0.9,0.95,0.93,0.93,0.03317,0.7262,0.034848,0.31592,0.098974,0.792275,0.088296,0.207725,0.109807,0.068464,0.083628,0.066716,0.004873,0.003528,0.043478,0.440475,0.036819,0.24155,0.064516,0.428575,0.041667,0.2174,0.04122,0.099711,0.09744,0,0,0,0,0.034367,0.60715,0.00625,0.0119,0.055878,0.371975,0.152941,0.0628,0.201236,0.299745,0.09125,0.190743,0.02963,0.06383,0.280597,0.396068,0.6,0.454878,0.762058,0.745184,0.074627,0.443299,0.018408,0.410357,0,0,0.08282,0.038789,0.003633,0.034743,0.048428,0.121928,0.023841,0.023841,0.042089,0.042089,0.562953,0.565609,0.789474,0.046875,0.185065,Research
0.142929,0.122616,0.1585,0.125506,0.2183,0.237958,0.261803,0.1235,0.305556,0.6012,0.252106,0.01686,0.1021,0.037681,0.4483,0.031325,0.4483,0.255682,0.2733,0.25641,0.0741,0.342007,0.6815,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.7,0.78,1,0.99,1,0.137575,0.89085,0.04697,0.125941,0.174412,0.585025,0.420945,0.414975,0.236667,0.0695,0.25787,0.04093,0.023068,0.000498,0.012926,0.038725,0.051546,0.1417,0.017921,0.0352,0.044444,0.097175,0.139363,0.237958,0.260509,0,0,0,0,0.043801,0.228875,0.3625,0.204225,0.182874,0.510125,0.435294,0.0749,0.195363,0.270044,0.053834,0.090983,0.117471,0.055977,0.258209,0.409794,0.533333,0.430468,0.743206,0.745028,0.149254,0.57732,0.055864,0.736594,0,0,0.066252,0.127092,0.006048,0.03215,0.111887,0.252182,0.053141,0.053141,0.119389,0.119389,0.577233,0.565727,0.789474,0.09375,0.459416,Director
