@relation trai_norm_50_50

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute sent_bcc numeric
@attribute sent_bcc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute rec_bcc numeric
@attribute rec_bcc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Director,PM,Outreach,Research,Operations}

@data
0.003486,0.017534,0.866,0.006041,0.719586,0.030859,0.082259,0.203206,0.041316,0.245015,0.00407,0.1625,0.025806,0.785714,0.082192,0.0053,0.89779,0.000709,0.163654,0,0,0.046624,0.268995,0,0,0,0,0.268675,0.598636,0.214046,0.236139,0.041298,0.014798,0.001713,0.338705,0.038598,0.75,0.000524,0.05575,0.002878,0.061353,0.012823,0.117545,0.041808,0.003456,0.013173,0.340909,0.053333,0.003001,0.768814,0.004195,0.172981,0.010004,0.256337,0.013204,0.289171,0.294046,0.478946,0.124592,0.480382,0,0,1,0.346667,1,1,0.526316,0.176915,0.09375,0.30303,0.142196,0.005332,0.023102,0.135968,0.038434,0,0,0.685484,1,1,0.039867,0.010667,0.002148,0.002148,0.003052,0.003052,1,1,0.71875,0,0.035714,0,GradStudent
0.008374,0.029695,0.6105,0.013198,0.654347,0.043794,0.086556,0.141882,0.045728,0.121738,0.009477,0.6875,0.329032,0.738095,0.273973,0.010562,0.744653,0.005261,0.505618,0,0,0.045949,0.097647,0,0,0,0,0.33821,0.800644,0.404836,0.076204,0.188578,0.005071,0.000585,0.048196,0.012314,0.168956,0.001704,0.0755,0.01727,0.260094,0.064077,0.330861,0.138265,0.008383,0.035774,0.340909,0.266667,0.006959,0.742313,0.00839,0.144151,0.034033,0.615269,0.051056,0.790323,0.36159,0.386544,0.262855,0.752468,0.220554,0,0.792553,0.218765,1,0.501503,0.625,0.62234,0.375,0.757576,0.54512,0.041347,0.280405,0.688326,0.399592,0,0.220604,0.760123,0.458649,1,0.073488,0.061664,0.032008,0.032008,0.032531,0.032531,0.842105,1,0.25,0,0.035714,0.21875,Director
0.239143,0.112839,0.08125,0.197965,0.343693,0.634682,0.38674,0.019442,0.55365,0.049279,0.229724,0.7,0.219355,0.869048,0.280822,0.247905,0.612076,0.228232,0.767953,0,0,0.738272,0.139052,0,0,0,0,0.430344,0.455174,0.624704,0.10405,0.104798,0.010493,0.033892,0.097575,0.390244,0.370604,0.080876,0.1255,0.286184,0.298899,0.244254,0.652657,0.359436,0.396237,0.504585,0.568182,0.253333,0.164108,0.612884,0.273314,0.164403,0.516771,0.646768,0.510563,0.547235,0.542358,0.333399,1,0.869166,0.854684,1,0.52859,0.016,0.503448,0.023121,1,1,1,1,0.968404,0.812516,1,0.992785,1,1,0.854641,0.462284,0.153811,0.5,0.495242,0.450093,0.29716,0.29716,0.296184,0.296184,0.526316,0.5,0,0,1,0.96875,PM
0.039552,0.079468,0.346,0.052331,0.549349,0.150034,0.306937,0.145812,0.16797,0.153104,0.042475,0.225,0.051613,0.72619,0.123288,0.05386,0.804088,0.017379,0.353688,0,0,0.213949,0.236975,0,0,0,0,0.305857,0.416143,0.247092,0.165229,0.042123,0.038435,0.010991,0.191455,0.135449,0.543681,0.007078,0.0665,0.020559,0.090718,0.041805,0.163342,0.07574,0.036411,0.074261,0.318182,0.093333,0.033549,0.757687,0.017425,0.063379,0.086799,0.459127,0.101232,0.458525,0.245538,0.338307,0.200183,0.672477,0.009121,0.003724,0.708511,0.380606,0.928571,0.887557,0.576923,0.445313,0.3125,0.606061,0.493002,0.100308,0.147503,0.510119,0.216797,0.003724,0.009123,0.902392,0.620085,1,0.077906,0.052034,0.017904,0.017904,0.020027,0.020027,0.912281,1,0.40625,0,0.071429,0.09375,GradStudent
0.059513,0.147342,0.42625,0.085883,0.599188,0.156683,0.307551,0.138469,0.185018,0.178797,0.065545,0.1625,0.045161,0.761905,0,0.089754,0.890464,0.014601,0.197362,0,0,0.225026,0.24077,0,0,0,0,0.310155,0.385417,0.475799,0.309881,0.836239,0.028488,0.086381,1,0.260242,1,0.022546,0.14075,0.041941,0.177242,0.070829,0.182562,0.102385,0.039931,0.074002,0.227273,0.08,0.043636,0.654905,0.04324,0.10436,0.046391,0.235038,0.044894,0.1947,0.286869,0.54243,0.203196,0.567484,0.167494,0.044473,0.651976,0.173827,0.833333,0.440462,0.625,0.62234,0.4375,0.757576,0.550279,0.175933,0.254338,0.665723,0.362472,0.044473,0.167986,0.761427,0.515175,1,0.095538,0.06888,0.016279,0.016279,0.014894,0.014894,0.842105,1,0.25,0,0.178571,0.46875,GradStudent
0,0,0,0,0,0.000571,0.003683,0.630714,0.001304,0.551305,0,0,0.503226,0,0.486301,0,0,0,0,0,0,0.000963,0.346905,0,0,0,0,0,1,0,0.187505,0,0.007261,0,0,0.000237,0.196154,0,0,0,0,0,0,0,0,0.000646,0,0.4,0,0,0,0,0.000098,0.107095,0,0,0,0.711178,0,0.522477,0,0,0,0.906667,0,1,0,0.053768,0,0.090909,0,0,0,0.028912,0,0,0,0,0.570783,0,0,0.001379,0,0,0.000242,0.000242,0,0,0.90625,1,0,0,GradStudent
0.266251,0.318156,0.20575,0.248917,0.388212,0.533846,0.499079,0.047983,0.403028,0,0.262286,0.5625,0.232258,0.75,0.239726,0.269769,0.598251,0.257433,0.777968,0,0,0.560158,0.096681,0,0,0,0,0.360906,0.437837,0.445602,0.048152,0.095882,0.005775,0.040369,0.104524,0.185887,0.20989,0.079696,0.11125,0.193257,0.239643,0.266062,0.544609,0.345718,0.236642,0.430066,0.306818,0.253333,0.269352,0.90366,0.323653,0.174887,0.612495,0.911204,0.643486,0.819124,0.421307,0.288011,0.515918,0.508056,0.028765,0.034534,0.656775,0.346667,0.882353,0.758733,0.697674,0.547194,0.59375,0.69697,0.945328,0.373772,0.519349,0.644332,0.630868,0.034534,0.028772,0.759729,0.397413,1,0.407382,0.384895,0.445641,0.445641,0.445381,0.445381,0.754386,1,0.3125,0,0.214286,0.21875,Outreach
0.000097,0.000566,1,0.000131,0.559989,0.000675,0.001228,0.289038,0.000903,0.240152,0.000105,0.75,0.354839,0.714286,0.273973,0.000117,0.708968,0,0,0,0,0.000771,0.180526,0,0,0,0,0.241441,0.394733,0.48806,0.216142,0.009749,0.005803,0.000084,0.591366,0,0,0.000262,1,0,0,0.000154,0.001514,0.00053,0,0.000646,0,0.333333,0.000096,0.878477,0,0,0.000294,0.281236,0,0,0.317849,1,0.064872,0.374573,0.001362,0,0,0.589333,0,0.694798,0,0.053768,0,0.090909,0,0,0,0.023514,0,0,0.001362,0,0.51432,0,0,0.001564,0,0,0.000271,0.000271,0,0,0.90625,1,0,0.03125,GradStudent
0.025901,0.04129,0.2745,0.033552,0.537869,0.073354,0.092081,0.077663,0.076915,0.12344,0.027651,0.75,0.4,0.928571,0.315068,0.03301,0.752452,0.015901,0.494138,0,0,0.086793,0.146988,0,0,0,0,0.352673,0.575962,0.230001,0.063257,0.035031,0.004097,0.008483,0.225606,0.052569,0.431044,0.019662,0.282,0.071957,0.648663,0.026715,0.075252,0.040378,0.01459,0.051789,0.193182,0.2,0.025697,0.886237,0.011294,0.062664,0.051785,0.559622,0.058979,0.544931,0.303252,0.367359,0.15769,0.854024,0.397626,0.073346,0.679599,0.092121,0.801471,0.192691,0.697674,0.891768,0.53125,0.939394,0.720801,0.188695,0.428589,0.940786,0.575769,0.073346,0.398041,0.621501,0.252761,1,0.133702,0.120121,0.032555,0.032555,0.035155,0.035155,0.754386,1,0.0625,0,0.392857,0.90625,Research
0.055151,0.054016,0.1685,0.043664,0.328713,0.289158,0.111111,0,0.29633,0.113308,0.052523,0.9625,0.329032,1,0.363014,0.074009,0.79239,0.029083,0.424279,0,0,0.256623,0.036574,0,0,0,0,0.614129,0.474627,0.417535,0.038002,0.088181,0.003087,0.009486,0.118569,0.175231,0.36511,0.026871,0.181,0.223684,0.512323,0.056311,0.288325,0.120835,0.067447,0.225752,0.420455,0.24,0.027293,0.44202,0.124879,0.325709,0.238819,0.655767,0.291373,0.684332,0.343732,0.310593,0.250832,0.509896,0.157842,0.126938,0.635397,0.22,0.773684,0.511676,0.75,0.662364,0.6875,0.787879,0.922861,0.306035,0.651494,0.744815,0.748503,0.126938,0.157946,0.57496,0.447732,1,0.310648,0.279448,0.335882,0.335882,0.335171,0.335171,0.701754,1,0.21875,0,0.321429,0.28125,Director
