pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,inter_hume_sent,inter_hume_received,inter_vt_sent,inter_vt_received,sent_to,sent_to_perc,sent_cc,sent_cc_perc,sent_bcc,sent_bcc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,rec_bcc,rec_bcc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
adamq,0.0034858812,0.0175339367,0.866,0.0060407091,0.7195856083,0.0308587459,0.0822590546,0.2032057911,0.0413156839,0.2450153996,0.0040702914,0.1625,0.0258064516,0.7857142857,0.0821917808,0.0053002845,0.8977903817,0.0007093456,0.163654128,0,0,0.0466236393,0.2689945483,0,0,0,0,0.2686754551,0.5986358038,0.2140456493,0.2361392556,0.0412976715,0.0147981829,0.0017134021,0.3387049083,0.038598153,0.75,0.0005243151,0.05575,0.0028782895,0.0613529103,0.012822928,0.1175447056,0.0418080362,0.0034555577,0.0131731887,0.3409090909,0.0533333333,0.0030006065,0.7688140556,0.0041949016,0.1729807005,0.0100039231,0.2563371831,0.0132042254,0.2891705069,0.2940458929,0.4789456312,0.1245922558,0.4803823403,0,0,1,0.3466666667,1,1,0.5263157895,0.1769153226,0.09375,0.303030303,0.1421960816,0.0053324572,0.023102397,0.1359681092,0.0384341851,0,0,0.685483871,1,1,0.0398670255,0.010667126,0.002148066,0.002148066,0.0030521534,0.0030521534,1,1,0.71875,0,0.0357142857,0,GradStudent
ajm,0.0083739046,0.0296945701,0.6105,0.0131976362,0.6543469131,0.0437944828,0.0865561694,0.1418821096,0.0457280385,0.1217377209,0.0094773205,0.6875,0.3290322581,0.7380952381,0.2739726027,0.0105615963,0.7446531963,0.0052609801,0.5056179775,0,0,0.0459493305,0.0976468153,0,0,0,0,0.3382104399,0.8006442037,0.4048355084,0.0762043668,0.1885780786,0.0050710699,0.0005850641,0.0481963335,0.0123135212,0.168956044,0.0017040241,0.0755,0.0172697368,0.2600943891,0.0640769627,0.3308609882,0.1382645791,0.008382927,0.0357742477,0.3409090909,0.2666666667,0.0069588534,0.7423133236,0.0083898032,0.1441505838,0.0340329541,0.6152692365,0.051056338,0.7903225806,0.3615897477,0.3865441713,0.2628547492,0.7524683812,0.2205537504,0,0.7925531915,0.2187654321,1,0.5015028902,0.625,0.6223404255,0.375,0.7575757576,0.5451200139,0.0413471928,0.2804054187,0.6883260635,0.3995915736,0,0.2206038528,0.7601227942,0.4586492353,1,0.0734882324,0.0616638604,0.0320084917,0.0320084916,0.0325307439,0.0325307438,0.8421052632,1,0.25,0,0.0357142857,0.21875,Director
apoetter,0.2391431353,0.1128393665,0.08125,0.1979645437,0.3436931261,0.6346823212,0.3867403315,0.0194415719,0.5536502206,0.0492786513,0.2297236407,0.7,0.2193548387,0.869047619,0.2808219178,0.2479052184,0.6120760959,0.228231956,0.7679531021,0,0,0.7382718428,0.1390518253,0,0,0,0,0.4303442948,0.4551741561,0.6247036105,0.1040503456,0.1047978903,0.010492521,0.0338919303,0.0975753992,0.3902439024,0.3706043956,0.0808756062,0.1255,0.2861842105,0.2988987939,0.2442541728,0.652657177,0.3594361695,0.3962372816,0.5045847863,0.5681818182,0.2533333333,0.1641076388,0.6128843338,0.2733139722,0.1644031451,0.5167712829,0.6467676616,0.5105633803,0.547235023,0.5423580724,0.3333986187,1,0.8691659892,0.8546841302,1,0.5285904255,0.016,0.5034482759,0.0231213873,1,1,1,1,0.9684037724,0.8125162333,1,0.9927845883,1,1,0.8546410995,0.4622838865,0.1538114209,0.5,0.4952424827,0.4500926439,0.2971600349,0.2971600343,0.2961837167,0.2961837162,0.5263157895,0.5,0,0,1,0.96875,PM
arog3632,0.0395520935,0.0794683258,0.346,0.0523309258,0.549349013,0.150033768,0.306936771,0.145811789,0.1679703169,0.1531042308,0.0424752178,0.225,0.0516129032,0.7261904762,0.1232876712,0.053860244,0.8040883847,0.0173789679,0.3536883244,0,0,0.2139485599,0.2369746739,0,0,0,0,0.3058573567,0.416142988,0.2470915881,0.1652288773,0.0421225026,0.0384353152,0.0109908479,0.1914547605,0.1354487331,0.5436813187,0.007078254,0.0665,0.0205592105,0.0907184059,0.0418048177,0.1633424876,0.0757401834,0.0364113393,0.0742606225,0.3181818182,0.0933333333,0.0335493344,0.7576866764,0.0174249758,0.0633786038,0.0867987446,0.4591270436,0.1012323944,0.4585253456,0.2455378477,0.3383066662,0.2001830149,0.672477055,0.0091211457,0.0037235694,0.7085106383,0.3806060606,0.9285714286,0.8875570429,0.5769230769,0.4453125,0.3125,0.6060606061,0.4930017126,0.1003077917,0.1475029256,0.510118633,0.2167965573,0.0037235694,0.0091232177,0.9023915462,0.6200848094,1,0.0779062886,0.0520340771,0.0179037167,0.0179037167,0.0200266052,0.0200266051,0.9122807018,1,0.40625,0,0.0714285714,0.09375,GradStudent
bdeird7,0.0595131451,0.147341629,0.42625,0.0858831254,0.5991880162,0.1566834641,0.3075506446,0.1384694933,0.1850180505,0.1787972119,0.0655452088,0.1625,0.0451612903,0.7619047619,0,0.0897540824,0.8904643743,0.0146006975,0.1973619932,0,0,0.2250264907,0.2407701332,0,0,0,0,0.3101550051,0.3854169956,0.4757990148,0.3098812701,0.8362392412,0.0284875272,0.0863805424,1,0.2602415345,1,0.0225455499,0.14075,0.0419407895,0.177241741,0.0708290946,0.1825622104,0.1023854012,0.0399308888,0.0740023247,0.2272727273,0.08,0.0436364797,0.6549048316,0.0432397548,0.1043602573,0.0463907415,0.2350382481,0.0448943662,0.1947004608,0.2868688893,0.5424304958,0.2031960783,0.5674842826,0.1674938011,0.0444733824,0.6519756839,0.1738271605,0.8333333333,0.4404624277,0.625,0.6223404255,0.4375,0.7575757576,0.5502790552,0.175932588,0.2543375591,0.6657231429,0.3624722575,0.0444733824,0.1679858696,0.7614266905,0.5151754598,1,0.0955381302,0.0688802034,0.0162794675,0.0162794675,0.0148938047,0.0148938047,0.8421052632,1,0.25,0,0.1785714286,0.46875,GradStudent
brosiekn,0,0,0,0,0,0.0005714583,0.0036832413,0.6307135471,0.0013036502,0.5513049117,0,0,0.5032258065,0,0.4863013699,0,0,0,0,0,0,0.0009632983,0.3469049755,0,0,0,0,0,1,0,0.1875051027,0,0.0072610836,0,0,0.0002367985,0.1961538462,0,0,0,0,0,0,0,0,0.0006457445,0,0.4,0,0,0,0,9.80776775205963E-005,0.1070946453,0,0,0,0.7111782477,0,0.5224771892,0,0,0,0.9066666667,0,1,0,0.0537683824,0,0.0909090909,0,0,0,0.0289118556,0,0,0,0,0.5707831039,0,0,0.0013785603,0,0,0.0002421409,0.0002421409,0,0,0.90625,1,0,0,GradStudent
ccallsen,0.2662512171,0.3181561086,0.20575,0.248916612,0.3882122358,0.5338459141,0.4990791897,0.047983454,0.4030284797,0,0.2622859718,0.5625,0.2322580645,0.75,0.2397260274,0.269768892,0.5982512112,0.2574333511,0.7779677577,0,0,0.5601579809,0.0966806984,0,0,0,0,0.3609058863,0.4378374964,0.4456017904,0.0481515396,0.0958816186,0.0057754692,0.0403694262,0.1045239503,0.1858868103,0.2098901099,0.0796958972,0.11125,0.1932565789,0.239643419,0.2660616279,0.5446091277,0.3457180339,0.2366417099,0.4300658659,0.3068181818,0.2533333333,0.2693523159,0.9036603221,0.3236527912,0.1748868239,0.6124950961,0.9112044398,0.6434859155,0.819124424,0.4213074406,0.2880113065,0.5159179668,0.508056164,0.0287654278,0.0345342931,0.656774916,0.3466666667,0.8823529412,0.7587333501,0.6976744186,0.5471938776,0.59375,0.696969697,0.9453283256,0.3737719312,0.519348609,0.6443319476,0.6308681975,0.0345342931,0.0287719624,0.7597286226,0.3974131348,1,0.4073820616,0.3848948345,0.4456407548,0.4456407525,0.445381308,0.4453813057,0.7543859649,1,0.3125,0,0.2142857143,0.21875,Outreach
cdusold,0.000097371,0.0005656109,1,0.0001313198,0.5599888002,0.0006753598,0.0012277471,0.2890382627,0.0009025271,0.2401523748,0.0001051367,0.75,0.3548387097,0.7142857143,0.2739726027,0.000116918,0.7089684509,0,0,0,0,0.0007706387,0.1805258436,0,0,0,0,0.2414409194,0.394732687,0.4880600867,0.2161424182,0.0097489529,0.005802578,8.35805925864015E-005,0.5913660556,0,0,0.0002621576,1,0,0,0.00015385,0.0015135951,0.0005300635,0,0.0006457445,0,0.3333333333,0.000095764,0.878477306,0,0,0.000294233,0.2812359382,0,0,0.3178487558,1,0.0648715107,0.374572548,0.0013617493,0,0,0.5893333333,0,0.6947976879,0,0.0537683824,0,0.0909090909,0,0,0,0.0235135372,0,0,0.0013620587,0,0.5143198806,0,0,0.0015639801,0,0,0.0002711202,0.0002711202,0,0,0.90625,1,0,0.03125,GradStudent
cheadley,0.0259006816,0.0412895928,0.2745,0.0335521996,0.5378692426,0.07335446,0.0920810313,0.0776628749,0.076915363,0.1234397795,0.0276509462,0.75,0.4,0.9285714286,0.3150684932,0.0330098601,0.7524518492,0.0159011645,0.4941377626,0,0,0.0867931798,0.1469877855,0,0,0,0,0.352672751,0.5759623583,0.2300007304,0.0632569464,0.0350312819,0.0040971024,0.0084834301,0.2256061502,0.0525692636,0.431043956,0.0196618168,0.282,0.0719572368,0.6486628212,0.0267149567,0.0752520912,0.040378366,0.0145901325,0.0517887124,0.1931818182,0.2,0.0256966834,0.8862371889,0.0112939658,0.0626638075,0.0517850137,0.5596220189,0.0589788732,0.5449308756,0.3032522067,0.3673588954,0.157690244,0.8540240153,0.3976258496,0.0733460902,0.6795994994,0.0921212121,0.8014705882,0.1926906582,0.6976744186,0.8917682927,0.53125,0.9393939394,0.7208012738,0.1886952593,0.4285891628,0.9407861209,0.5757692534,0.0733460902,0.3980406442,0.6215010894,0.2527605588,1,0.1337015223,0.1201206908,0.0325545724,0.0325545723,0.0351546756,0.0351546755,0.7543859649,1,0.0625,0,0.3928571429,0.90625,Research
cthomp,0.055150925,0.0540158371,0.1685,0.0436638214,0.3287134257,0.2891578783,0.1111111111,0,0.2963297232,0.1133084779,0.0525232803,0.9625,0.3290322581,1,0.3630136986,0.0740091196,0.7923904053,0.0290831708,0.4242794333,0,0,0.256622676,0.0365744255,0,0,0,0,0.6141291226,0.4746265829,0.4175352356,0.0380017908,0.0881813181,0.0030872958,0.0094863973,0.1185688941,0.1752308785,0.3651098901,0.0268711496,0.181,0.2236842105,0.5123230205,0.0563106766,0.2883251923,0.1208348442,0.0674473667,0.2257522924,0.4204545455,0.24,0.0272927507,0.4420204978,0.1248789932,0.3257088396,0.2388191448,0.6557672116,0.2913732394,0.6843317972,0.3437324034,0.3105934935,0.250831847,0.5098964453,0.1578423966,0.1269379528,0.6353965184,0.22,0.7736842105,0.5116763006,0.75,0.6623641304,0.6875,0.7878787879,0.9228606322,0.3060345472,0.6514935928,0.7448153875,0.7485025719,0.1269379528,0.1579461995,0.5749595517,0.4477315295,1,0.3106483624,0.2794484098,0.335882494,0.3358824923,0.3351712031,0.3351712013,0.701754386,1,0.21875,0,0.3214285714,0.28125,Director
