pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,inter_hume_sent,inter_hume_received,inter_vt_sent,inter_vt_received,sent_to,sent_to_perc,sent_cc,sent_cc_perc,sent_bcc,sent_bcc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,rec_bcc,rec_bcc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
adamq,0.003485881,0.017533937,0.866,0.006040709,0.719585608,0.030858746,0.082259055,0.203205791,0.041315684,0.2450154,0.004070291,0.1625,0.025806452,0.785714286,0.082191781,0.005300285,0.897790382,0.000709346,0.163654128,0,0,0.046623639,0.268994548,0,0,0,0,0.268675455,0.598635804,0.214045649,0.236139256,0.041297672,0.014798183,0.001713402,0.338704908,0.038598153,0.75,0.000524315,0.05575,0.00287829,0.06135291,0.012822928,0.117544706,0.041808036,0.003455558,0.013173189,0.340909091,0.053333333,0.003000607,0.768814056,0.004194902,0.172980701,0.010003923,0.256337183,0.013204225,0.289170507,0.294045893,0.478945631,0.124592256,0.48038234,0,0,1,0.346666667,1,1,0.52631579,0.176915323,0.09375,0.303030303,0.142196082,0.005332457,0.023102397,0.135968109,0.038434185,0,0,0.685483871,1,1,0.039867026,0.010667126,0.002148066,0.002148066,0.003052153,0.003052153,1,1,0.71875,0,0.035714286,0,GradStudent
ajm,0.008373905,0.02969457,0.6105,0.013197636,0.654346913,0.043794483,0.086556169,0.14188211,0.045728039,0.121737721,0.009477321,0.6875,0.329032258,0.738095238,0.273972603,0.010561596,0.744653196,0.00526098,0.505617978,0,0,0.045949331,0.097646815,0,0,0,0,0.33821044,0.800644204,0.404835508,0.076204367,0.188578079,0.00507107,0.000585064,0.048196334,0.012313521,0.168956044,0.001704024,0.0755,0.017269737,0.260094389,0.064076963,0.330860988,0.138264579,0.008382927,0.035774248,0.340909091,0.266666667,0.006958853,0.742313324,0.008389803,0.144150584,0.034032954,0.615269237,0.051056338,0.790322581,0.361589748,0.386544171,0.262854749,0.752468381,0.22055375,0,0.792553192,0.218765432,1,0.50150289,0.625,0.622340426,0.375,0.757575758,0.545120014,0.041347193,0.280405419,0.688326064,0.399591574,0,0.220603853,0.760122794,0.458649235,1,0.073488232,0.06166386,0.032008492,0.032008492,0.032530744,0.032530744,0.842105263,1,0.25,0,0.035714286,0.21875,Director
apoetter,0.239143135,0.112839367,0.08125,0.197964544,0.343693126,0.634682321,0.386740332,0.019441572,0.553650221,0.049278651,0.229723641,0.7,0.219354839,0.869047619,0.280821918,0.247905218,0.612076096,0.228231956,0.767953102,0,0,0.738271843,0.139051825,0,0,0,0,0.430344295,0.455174156,0.624703611,0.104050346,0.10479789,0.010492521,0.03389193,0.097575399,0.390243902,0.370604396,0.080875606,0.1255,0.286184211,0.298898794,0.244254173,0.652657177,0.35943617,0.396237282,0.504584786,0.568181818,0.253333333,0.164107639,0.612884334,0.273313972,0.164403145,0.516771283,0.646767662,0.51056338,0.547235023,0.542358072,0.333398619,1,0.869165989,0.85468413,1,0.528590426,0.016,0.503448276,0.023121387,1,1,1,1,0.968403772,0.812516233,1,0.992784588,1,1,0.8546411,0.462283887,0.153811421,0.5,0.495242483,0.450092644,0.297160035,0.297160034,0.296183717,0.296183716,0.52631579,0.5,0,0,1,0.96875,PM
arog3632,0.039552094,0.079468326,0.346,0.052330926,0.549349013,0.150033768,0.306936771,0.145811789,0.167970317,0.153104231,0.042475218,0.225,0.051612903,0.726190476,0.123287671,0.053860244,0.804088385,0.017378968,0.353688324,0,0,0.21394856,0.236974674,0,0,0,0,0.305857357,0.416142988,0.247091588,0.165228877,0.042122503,0.038435315,0.010990848,0.191454761,0.135448733,0.543681319,0.007078254,0.0665,0.020559211,0.090718406,0.041804818,0.163342488,0.075740183,0.036411339,0.074260623,0.318181818,0.093333333,0.033549334,0.757686676,0.017424976,0.063378604,0.086798745,0.459127044,0.101232394,0.458525346,0.245537848,0.338306666,0.200183015,0.672477055,0.009121146,0.003723569,0.708510638,0.380606061,0.928571429,0.887557043,0.576923077,0.4453125,0.3125,0.606060606,0.493001713,0.100307792,0.147502926,0.510118633,0.216796557,0.003723569,0.009123218,0.902391546,0.620084809,1,0.077906289,0.052034077,0.017903717,0.017903717,0.020026605,0.020026605,0.912280702,1,0.40625,0,0.071428571,0.09375,GradStudent
bdeird7,0.059513145,0.147341629,0.42625,0.085883125,0.599188016,0.156683464,0.307550645,0.138469493,0.185018051,0.178797212,0.065545209,0.1625,0.04516129,0.761904762,0,0.089754082,0.890464374,0.014600698,0.197361993,0,0,0.225026491,0.240770133,0,0,0,0,0.310155005,0.385416996,0.475799015,0.30988127,0.836239241,0.028487527,0.086380542,1,0.260241535,1,0.02254555,0.14075,0.04194079,0.177241741,0.070829095,0.18256221,0.102385401,0.039930889,0.074002325,0.227272727,0.08,0.04363648,0.654904832,0.043239755,0.104360257,0.046390742,0.235038248,0.044894366,0.194700461,0.286868889,0.542430496,0.203196078,0.567484283,0.167493801,0.044473382,0.651975684,0.173827161,0.833333333,0.440462428,0.625,0.622340426,0.4375,0.757575758,0.550279055,0.175932588,0.254337559,0.665723143,0.362472258,0.044473382,0.16798587,0.761426691,0.51517546,1,0.09553813,0.068880203,0.016279468,0.016279468,0.014893805,0.014893805,0.842105263,1,0.25,0,0.178571429,0.46875,GradStudent
cheadley,0.025900682,0.041289593,0.2745,0.0335522,0.537869243,0.07335446,0.092081031,0.077662875,0.076915363,0.12343978,0.027650946,0.75,0.4,0.928571429,0.315068493,0.03300986,0.752451849,0.015901165,0.494137763,0,0,0.08679318,0.146987786,0,0,0,0,0.352672751,0.575962358,0.23000073,0.063256946,0.035031282,0.004097102,0.00848343,0.22560615,0.052569264,0.431043956,0.019661817,0.282,0.071957237,0.648662821,0.026714957,0.075252091,0.040378366,0.014590133,0.051788712,0.193181818,0.2,0.025696683,0.886237189,0.011293966,0.062663808,0.051785014,0.559622019,0.058978873,0.544930876,0.303252207,0.367358895,0.157690244,0.854024015,0.39762585,0.07334609,0.679599499,0.092121212,0.801470588,0.192690658,0.697674419,0.891768293,0.53125,0.939393939,0.720801274,0.188695259,0.428589163,0.940786121,0.575769253,0.07334609,0.398040644,0.621501089,0.252760559,1,0.133701522,0.120120691,0.032554572,0.032554572,0.035154676,0.035154676,0.754385965,1,0.0625,0,0.392857143,0.90625,Research
cthomp,0.055150925,0.054015837,0.1685,0.043663821,0.328713426,0.289157878,0.111111111,0,0.296329723,0.113308478,0.05252328,0.9625,0.329032258,1,0.363013699,0.07400912,0.792390405,0.029083171,0.424279433,0,0,0.256622676,0.036574426,0,0,0,0,0.614129123,0.474626583,0.417535236,0.038001791,0.088181318,0.003087296,0.009486397,0.118568894,0.175230879,0.36510989,0.02687115,0.181,0.223684211,0.512323021,0.056310677,0.288325192,0.120834844,0.067447367,0.225752292,0.420454546,0.24,0.027292751,0.442020498,0.124878993,0.32570884,0.238819145,0.655767212,0.291373239,0.684331797,0.343732403,0.310593494,0.250831847,0.509896445,0.157842397,0.126937953,0.635396518,0.22,0.773684211,0.511676301,0.75,0.66236413,0.6875,0.787878788,0.922860632,0.306034547,0.651493593,0.744815388,0.748502572,0.126937953,0.1579462,0.574959552,0.44773153,1,0.310648362,0.27944841,0.335882494,0.335882492,0.335171203,0.335171201,0.701754386,1,0.21875,0,0.321428571,0.28125,Director
deannac,0.08667965,0.091063348,0.18075,0.088115561,0.422091558,0.269988051,0.2737876,0.055118925,0.258624148,0.085183984,0.087008111,0.8,0.270967742,0.928571429,0.294520548,0.122257298,0.832801607,0.029792516,0.276502198,0,0,0.293998651,0.111517494,0,0,0,0,0.442416341,0.402216819,0.517771494,0.088029291,0.164671879,0.008090912,0.003802917,0.030159669,0.13757992,0.306868132,0.01074846,0.046,0.105263158,0.257996854,0.122450485,0.38712396,0.196700903,0.118448839,0.278961643,0.477272727,0.386666667,0.04481757,0.461786237,0.048725395,0.08077198,0.213809337,0.628768562,0.281690141,0.708525346,0.508931204,0.418108488,0.670917368,0.676541907,1,0.86728578,0.537405628,0.013333333,0.527093596,0.017341041,0.967741936,1,0.96875,1,0.913523968,0.488884114,0.96989098,0.987582284,0.981626043,0.86728578,1,0.476358763,0.035791551,1,0.303463615,0.271040598,0.153146066,0.153146066,0.152357925,0.152357924,0.543859649,1,0,0,0.964285714,1,Operations
fnguyen,0.011567673,0.037895928,0.564,0.015889691,0.570348593,0.047690789,0.120319214,0.189348501,0.056658644,0.181877128,0.012556323,0.2625,0.161290323,0.880952381,0.198630137,0.015744963,0.803615739,0.004669859,0.324865657,0,0,0.06338503,0.201366365,0,0,0,0,0.390023661,0.342059557,0.477650534,0.162319167,0.072338505,0.012840847,0.015378829,0.915878179,0.061804405,0.778571429,0.006029624,0.1935,0.037828947,0.523859465,0.013205983,0.054984172,0.024858708,0.008638894,0.022730208,0.261363636,0.08,0.005841606,0.451098097,0.008389803,0.104360257,0.023832876,0.395680216,0.024647887,0.350230415,0.310555125,0.397335131,0.147019533,0.619596437,0.004914584,0,0.868085106,0.36,1,0.928607646,0.545454546,0.413915094,0.15625,0.575757576,0.347611935,0.042467825,0.05054912,0.455488978,0.083947022,0,0.0049157,0.902624725,0.66506973,1,0.057883625,0.031645344,0.005395536,0.005395536,0.006270002,0.006270002,0.964912281,1,0.4375,0,0.035714286,0.09375,GradStudent
jmernst,0.102122687,0.07550905,0.12725,0.1222587,0.497130057,0.287755208,0.230202578,0.036401241,0.285900522,0.100178311,0.106728747,0.8875,0.367741936,0.940476191,0.328767123,0.140691375,0.813423136,0.043270083,0.34098681,0,0,0.338888354,0.144503485,0,0,0,0,0.342145927,0.422585025,0.31207237,0.083481443,0.066684927,0.007953371,0.028459192,0.192046127,0.279185413,0.584340659,0.077467558,0.28175,0.372944079,0.858416361,0.135248295,0.388499193,0.206493797,0.045242209,0.214128891,0.147727273,0.226666667,0.08704951,0.761346999,0.070667957,0.099594949,0.253825029,0.700464977,0.23943662,0.565668203,0.289397071,0.269698435,0.241860956,0.720235288,0.46074727,0.694393546,0.556231003,0.080392157,0.547619048,0.157001678,0.9375,0.94453125,0.875,0.96969697,0.943541676,0.670937206,0.847606844,0.986760627,0.934240806,0.694393546,0.46062477,0.454244926,0,1,0.391624574,0.378953029,0.171922571,0.17192257,0.171579189,0.171579189,0.561403509,1,0.03125,0,0.928571429,1,Research
