@relation cros_norm_email_features_35_30_35

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_sent_perc numeric
@attribute inter_hume_rec numeric
@attribute inter_hume_rec_perc numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_sent_perc numeric
@attribute inter_vt_rec numeric
@attribute inter_vt_rec_perc numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
0.003194,0.012848,0.460321,0.005312,0.829738,0.0308,0.088235,0.761928,0.038917,0.975667,0.010471,0.001953,0.242109,0.010375,0.8125,0.004275,1,0.003577,0.023354,0.021277,0.654683,0.003831,0.6666,0,0,0,0,0,0,0,0,0,0,0,0,0.001043,0.047059,0.005634,0.057471,0.004011,0.816327,0.019713,0.234375,0.005172,0.893945,0.000793,0.106055,0.045433,0.990834,0.00313,0.009166,0,0.132564,0.166895,0.217164,0.018844,0.012611,0.002107,0.416087,0.035842,0.633472,0.000878,0.0697,0.00069,0.017867,0.01245,0.118425,0.04162,0.00327,0.010528,0.303571,0.089286,0.002899,0.6136,0.002629,0.119857,0.00748,0.023889,0.016461,0.1925,0.084131,0.575381,0.078182,0.167403,0.000299,0,1,0.776541,0,0.91286,0.564417,0.026977,0.019231,0.044776,0.154659,0,0.001834,0.022512,0.003335,0,0.000299,0,0.688889,0.75,0.01599,0.003681,0.000363,0.000363,0.000339,0.000339,0.795122,0.75,0.955224,1,0.013514,0.012987,GradStudent
0,0,1,0.000084,0.960733,0.0071,0.011438,0.489639,0.009026,0.964141,0.001537,0,0,0,0,0,0,0.007868,0.256891,0.021277,0.309262,0.009579,0.8334,0,0,0,0,0,0,0.076923,0.648352,0.083333,1,0.083333,1,0,0.835294,0.009996,0.827586,0,1,0.009098,0.9375,0,0,0.000594,1,0.008959,0.789177,0.003415,0.210823,0.041521,1,0,0.130638,0,0.002945,0.00007,0.174417,0.001593,0.189381,0.00022,0.218903,0.00207,0.230289,0,0.009392,0.002198,0,0.007638,0,0.767857,0.000376,1,0,0,0.001662,0.157886,0.02332,1,0.340125,0.767043,0.609965,0.466664,0,0,0.820513,0.951008,1,1,0.613333,0.008882,0.057692,0.029851,0.39678,0.002823,0.013863,0.01777,0.024639,0,0,0.022396,0.861795,0.75,0.019131,0.004959,0.005473,0.005473,0.005132,0.005132,0.731707,0.75,0.985075,1,0.013514,0,Research
0.007215,0.023555,0.350148,0.010792,0.716902,0.044059,0.077614,0.431325,0.044688,0.617076,0.017114,0.000854,0.049008,0.004789,0.8571,0.001336,0.7143,0.08226,0.492343,0.141844,0.151471,0.085249,0.5518,0.176471,0.2528,0.176471,1,0.230769,1,0.153846,0.252747,0.166667,1,0.166667,1,0.01138,0.6,0.056343,0.747126,0.007253,0.44898,0.048663,0.75,0.009492,0.729786,0.004359,0.270214,0.046553,0.528644,0.037279,0.471356,0.048093,0.172523,0.332493,0.059332,0.060569,0.002866,0.000281,0.025754,0.008363,0.028872,0.000439,0.016085,0.013803,0.124787,0.056425,0.345829,0.137092,0.006104,0.036334,0.258929,0.5,0.006388,0.6263,0.007886,0.166491,0.035406,0.544218,0.043896,0.3645,0.140575,0.430313,0.399791,0.395791,0.080634,0,0.747863,0.469381,1,0.666744,0.671533,0.260389,0.173077,0.373134,0.732145,0.012663,0.11634,0.340246,0.187775,0,0.079416,0.020343,0.367146,0.75,0.034219,0.03572,0.019906,0.019906,0.022701,0.022701,0.668293,0.75,0.626866,0,0.013514,0.082251,Director
0.002563,0.002498,0.149852,0.004047,0.772932,0.008875,0.006536,0.244096,0.011394,0.985059,0.003916,0,0,0,0,0,0,0.037911,1,0.056738,0.136656,0.045019,0.7778,0,0,0,0,0,0,0.076923,0.538462,0.083333,1,0.083333,1,0.005311,0.835294,0.014904,0.977011,0.003571,1,0.011304,0.9375,0.004386,0.93513,0.000396,0.06487,0.012158,0.885951,0.002561,0.114049,0.028344,0.174705,0.200813,0.028594,0.010023,0.000936,0.003652,0.881484,0.00677,0.448495,0.010321,1,0.010352,0.519569,0.004494,0.016332,0.00743,0.002398,0.003509,0.276786,0.232143,0.002094,0.5417,0.001577,0.087993,0.004987,0.396773,0.00823,0.294,0.04723,0.256852,0.111686,0.396963,0.001442,0,0.884615,0.697861,1,0.836147,0.575,0.045527,0.038462,0.074627,0.401102,0.002128,0.006476,0.036869,0.011517,0,0.001443,0.0375,0.838341,0.75,0.020143,0.009001,0.001596,0.001596,0.002086,0.002086,0.780488,0.75,0.925373,1,0.013514,0.008658,GradStudent
0.240035,0.117773,0.00306,0.19914,0.233276,0.637294,0.427288,0.075181,0.567772,0.423479,0.353212,0.186234,0.333467,0.137271,0.1127,0.189955,0.4659,0.391989,0.158308,0.347518,0.05833,0.41954,0.5992,0.117647,0.0048,0.117647,1,0.076923,0.5,1,0.115385,1,0.9231,1,0.9231,0.390896,0.623529,0.558161,0.471264,0.293407,0.755102,0.699614,0.734375,0.249018,0.561661,0.22689,0.438339,0.727564,0.610259,0.4428,0.389741,0.15834,0.073113,0.597926,0.094045,0.053049,0.007044,0.033783,0.096302,0.388292,0.265231,0.080369,0.091912,0.280193,0.153715,0.24415,0.648939,0.35933,0.390409,0.497523,0.526786,0.446429,0.163723,0.5004,0.267087,0.175775,0.524767,0.549122,0.454047,0.2705,0.31824,0.384653,1,0.537702,1,0.645,0.331923,0.045011,0.292553,0.057789,0.948454,0.857412,0.961538,0.910448,0.98677,0.497712,1,0.899378,0.976535,0.642888,1,0.014928,0.047852,0.75,0.385117,0.377794,0.240096,0.240096,0.238398,0.238398,0.473171,0.75,0.089552,0,0.837838,0.904762,PM
0.039349,0.073519,0.16832,0.046792,0.495266,0.149509,0.299837,0.489639,0.155075,0.645037,0.070051,0.014523,0.157677,0.034318,0.3613,0.018167,0.5714,0.033619,0.049962,0.099291,0.287712,0.034483,0.5416,0.117647,0.032,0.117647,1,0.153846,1,0,0,0,0,0,0,0.017923,0.047059,0.048528,0.114943,0.039725,0.44898,0.110146,0.3125,0.054006,0.792206,0.017735,0.207794,0.208287,0.899348,0.036995,0.100652,0.042121,0.061828,0.190186,0.153307,0.01798,0.02769,0.011167,0.193092,0.129032,0.431612,0.00549,0.038143,0.009662,0.000567,0.041734,0.158961,0.074416,0.030954,0.054707,0.25,0.071429,0.032959,0.6109,0.012618,0.050433,0.082281,0.284449,0.082305,0.207,0.037084,0.430635,0.139146,0.392633,0.032481,0,0.621795,0.444617,1,0.61438,0.62585,0.248188,0.173077,0.358209,0.704928,0.046018,0.078485,0.303588,0.12354,0,0.032901,0.027029,0.297004,0.75,0.03625,0.028887,0.010646,0.010646,0.011531,0.011531,0.717073,0.75,0.641791,0,0.013514,0.077922,GradStudent
0.007767,0.013562,0.177501,0.008684,0.452119,0.025371,0.023693,0.208916,0.027967,0.747279,0.012328,0.000122,0.006526,0.000798,1,0.000267,1,0.060086,0.612366,0.085106,0.122358,0.06705,0.6706,0.058824,0.0784,0.058824,1,0.076923,1,0.153846,0.423077,0.166667,1,0.166667,1,0.013276,0.670588,0.037986,0.885057,0.00967,0.795918,0.031293,0.890625,0.009099,0.633998,0.006341,0.366002,0.031195,0.726423,0.01366,0.273577,0.091446,0.185013,0.324566,0.064349,0.068802,0.00189,0.002739,0.23337,0.007965,0.126743,0.005709,0.195313,0.012422,0.214407,0.007858,0.025867,0.01255,0.002616,0.016928,0.107143,0.375,0.008696,0.7941,0.001052,0.020679,0.016789,0.423509,0.021948,0.3075,0.103016,0.429986,0.409811,0.498811,0.072205,0,0.676923,0.449416,1,0.571215,0.605263,0.156515,0.096154,0.208955,0.648267,0.016404,0.02628,0.11802,0.046163,0,0.074989,0.022185,0.752692,0.75,0.031757,0.030008,0.004863,0.004863,0.006272,0.006272,0.741463,0.75,0.761194,0,0.013514,0.038961,GradStudent
0.001419,0.002855,0.31279,0.001349,0.388484,0.008144,0.012255,0.449398,0.009174,0.78826,0.002872,0,0,0,0,0,0,0.025036,0.711907,0.014184,0.050249,0.025862,0.5556,0,0,0,0,0,0,0,0,0,0,0,0,0.002845,0.811765,0.012541,0.896552,0.001978,1,0.009926,0.890625,0.001964,0.674367,0.001189,0.325633,0.010398,0.798872,0.003699,0.201128,0.111164,0.146779,0.139852,0.103802,0.002435,0.003143,0.000211,0.085195,0.006372,0.465133,0.000439,0.071232,0.008282,0.470788,0.001427,0.008541,0.003011,0.001744,0.0064,0.330357,0.535714,0.001664,0.7209,0.000526,0.049166,0.005485,0.495808,0.009602,0.3685,0.157924,0.723747,0.160374,0.596713,0.002604,0,0.884615,0.495298,1,0.806887,0.613333,0.054978,0.057692,0.119403,0.46692,0.003829,0.014783,0.049117,0.026642,0,0.002777,0.015023,0.541225,0.75,0.020664,0.006844,0.010642,0.010642,0.010656,0.010656,0.731707,0.75,0.910448,1,0.013514,0.017316,GradStudent
0.059062,0.146681,0.237759,0.075542,0.559677,0.157549,0.32598,0.508675,0.171944,0.725507,0.086788,0.001098,0.00799,0.007183,1,0.002137,0.8889,0.048641,0.073124,0.113475,0.219229,0.059387,0.826,0.235294,0.0432,0.235294,1,0.307692,1,0.153846,0.071429,0.166667,1,0.166667,1,0.021147,0,0.048891,0.114943,0.063516,0.530612,0.073752,0,0.087981,0.875977,0.015853,0.124023,0.228124,0.961749,0.02362,0.038251,0.050874,0.01884,0.41949,0.277597,0.357801,0.022824,0.086599,1,0.27718,1,0.02152,0.099724,0.045549,0.095292,0.06983,0.186746,0.102796,0.035531,0.061932,0.196429,0.089286,0.043105,0.5336,0.043638,0.116269,0.046709,0.034646,0.048011,0.1145,0.075445,0.692164,0.178652,0.211421,0.030268,0.009898,0.487762,0.397545,0.722222,0.653729,0.634483,0.224301,0.211538,0.343284,0.722353,0.069494,0.07171,0.269839,0.120392,0.011246,0.030502,0.025286,0.426972,0.75,0.047691,0.035985,0.006228,0.006228,0.006278,0.006278,0.707317,0.75,0.671642,1,0.040541,0.190476,GradStudent
0.266136,0.305139,0.079358,0.245258,0.29986,0.538943,0.535948,0.17494,0.433412,0.293703,0.345091,0.408348,0.659475,0.4166,0.156,0.397008,0.4441,0.730329,0.36428,0.460993,0.030874,0.727969,0.4892,0,0,0,0,0,0,0,0,0,0,0,0,0.348791,0.470588,0.494547,0.505747,0.283352,0.510204,0.533499,0.609375,0.271275,0.548944,0.258793,0.451056,0.546313,0.463776,0.497154,0.536224,0.083389,0.060884,0.417128,0.049373,0.054366,0.019994,0.042281,0.108751,0.177618,0.086861,0.08498,0.087776,0.191166,0.117981,0.267283,0.541834,0.346619,0.25079,0.415359,0.303571,0.428571,0.272747,0.752,0.303365,0.180207,0.621509,0.875969,0.613169,0.4315,0.208604,0.323025,0.497035,0.213189,0.067484,0.065194,0.453581,0.31017,0.618234,0.469525,0.773109,0.378645,0.557692,0.507463,0.977743,0.173781,0.601359,0.473359,0.699293,0.065405,0.067512,0.027932,0.371825,0.75,0.259177,0.243897,0.341498,0.341498,0.340291,0.340291,0.580488,0.75,0.492537,0,0.378378,0.142857,Director
