pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_sent_perc,inter_hume_rec,inter_hume_rec_perc,inter_vt_sent,inter_vt_sent_perc,inter_vt_rec,inter_vt_rec_perc,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
adamq,0.003193628513977053,0.01284796573875803,0.4603208104685521,0.0053115251665120985,0.8297376998292723,0.030799749425767384,0.08823529411764706,0.7619277108433735,0.03891683930156851,0.9756670224119531,0.0104713560551124,0.001952648279228704,0.24210946863763483,0.010375099760574621,0.8125,0.004274646005877639,1.0,0.00357653791130186,0.02335375191424196,0.02127659574468085,0.6546829672606712,0.0038314176245210726,0.6666000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010431484115694643,0.047058823529411764,0.005634314794620138,0.05747126436781609,0.004010989010989011,0.8163265306122449,0.01971326164874552,0.234375,0.005171510866719037,0.8939446972348618,0.0007926285544436738,0.10605530276513825,0.04543273076307791,0.9908337740172748,0.003130335799658509,0.009166225982725183,0.0,0.13256366833843547,0.16689471772996017,0.21716355652682648,0.018844352105276088,0.012611328685554963,0.002107037505267594,0.41608690345416816,0.035842293906810034,0.6334719843405922,0.000878348704435661,0.06969975490196077,0.0006901311249137336,0.01786727169597277,0.012449784995995099,0.118424859318781,0.04162043618950028,0.0032697547683923707,0.010528488852188274,0.30357142857142855,0.08928571428571433,0.0028987063181061786,0.6136,0.0026288117770767614,0.11985650981219667,0.007480053191489362,0.02388862521752888,0.01646090534979424,0.19249999999999998,0.08413055067737552,0.5753810094180041,0.07818173319780415,0.16740272368414058,0.0002985680181559382,0.0,1.0,0.7765411747842201,0.0,0.9128599060513956,0.5644171779141103,0.026976916658941266,0.01923076923076923,0.04477611940298506,0.15465853101899496,0.0,0.001834471417083477,0.022511805315355977,0.0033351382210183157,0.0,0.00029872722566390877,0.0,0.6888894217546516,0.75,0.01599013396060976,0.0036807609860837337,0.0003629658961123859,0.00036296589549847353,0.0003393899389129036,0.00033938993758050824,0.7951219512195121,0.75,0.9552238805970151,1.0,0.013513513513513514,0.012987012987012988,GradStudent
ahmed12,0.0,0.0,1.0,8.430992327796982e-05,0.9607325779916188,0.007099603257465024,0.011437908496732025,0.4896385542168674,0.009026339153595738,0.9641408751334044,0.0015373459028281363,0.0,0.0,0.0,0.0,0.0,0.0,0.007868383404864092,0.25689127105666154,0.02127659574468085,0.30926232905097384,0.009578544061302681,0.8333999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.6483516483516483,0.08333333333333333,1.0,0.08333333333333333,1.0,0.0,0.8352941176470589,0.009996364958197019,0.8275862068965517,0.0,1.0,0.009098428453267164,0.9375,0.0,0.0,0.0005944714158327553,1.0,0.008958566629339306,0.7891768023973206,0.003414911781445646,0.21082319760267937,0.04152052327234808,1.0,0.0,0.1306378071967415,0.0,0.0029453699693151375,7.023458350891979e-05,0.17441718540217258,0.0015929908403026682,0.1893809640322975,0.00021958717610891525,0.21890318627450978,0.002070393374741201,0.23028927963698245,0.0,0.009392330479640444,0.002197573507872471,0.0,0.00763831544178365,0.0,0.7678571428571428,0.00037575822642117127,1.0,0.0,0.0,0.0016622340425531915,0.15788641037810475,0.023319615912208505,1.0,0.340124977661246,0.7670432972018366,0.6099651093179553,0.46666435978366894,0.0,0.0,0.8205128205128204,0.9510079963959904,1.0,1.0,0.6133333333333332,0.008881970515520476,0.05769230769230768,0.0298507462686567,0.3967802793393943,0.002822909926881214,0.013863445235922691,0.01777025082229725,0.024639293482566462,0.0,0.0,0.022395833333333334,0.8617946988408535,0.75,0.01913103746714489,0.004959178487384904,0.0054731073089813375,0.005473107298533892,0.005132232812042386,0.005132232802030744,0.7317073170731706,0.75,0.9850746268656719,1.0,0.013513513513513514,0.0,Research
ajm,0.007215234790837046,0.023554603854389723,0.350147741663149,0.010791670179580137,0.7169020642557814,0.04405930256838588,0.07761437908496732,0.4313253012048192,0.044687777448949396,0.6170757737459979,0.017113850616388687,0.000854283622162558,0.04900785723798109,0.004788507581803671,0.8571,0.0013358268768367619,0.7143,0.08226037195994278,0.49234303215926495,0.14184397163120568,0.15147119767923745,0.08524904214559387,0.5518000000000001,0.17647058823529413,0.2528,0.17647058823529413,1.0,0.23076923076923078,1.0,0.15384615384615385,0.25274725274725274,0.16666666666666666,1.0,0.16666666666666666,1.0,0.011379800853485065,0.6,0.056343147946201384,0.7471264367816092,0.007252747252747253,0.4489795918367347,0.04866280672732286,0.75,0.009492013616129877,0.7297864893244662,0.004359457049440206,0.2702135106755338,0.046552551591745324,0.5286444561960163,0.03727945361411497,0.4713555438039838,0.048093026195215945,0.17252328535139708,0.33249277188520787,0.05933216391192817,0.060569478170306223,0.002866466367583119,0.00028093833403567916,0.025753692176248018,0.008363201911589008,0.028872033276241736,0.0004391743522178305,0.01608455882352941,0.013802622498274672,0.12478729438457176,0.05642529129698841,0.3458292755477501,0.13709216801993312,0.006103542234332425,0.03633360858794385,0.2589285714285714,0.5000000000000001,0.0063878898491599116,0.6263,0.007886435331230283,0.16649082084828024,0.03540558510638298,0.5442176870748301,0.0438957475994513,0.3645,0.1405754190799108,0.43031310735797845,0.3997907143819358,0.39579111966044894,0.08063431002918922,0.0,0.7478632478632478,0.4693812775803992,1.0,0.666743798411609,0.6715328467153284,0.26038870396220326,0.17307692307692307,0.37313432835820903,0.7321450686109601,0.012663245073384935,0.11634042721246526,0.3402455630294931,0.187775294521001,0.0,0.0794160877700738,0.020342979635584138,0.36714616437233405,0.75,0.03421895933307515,0.03572032063982594,0.019905695680042104,0.01990569564898258,0.022700974735204615,0.02270097470377793,0.6682926829268292,0.75,0.6268656716417912,0.0,0.013513513513513514,0.08225108225108226,Director
apblair,0.0025627883136852894,0.0024982155603140615,0.14985225833685098,0.004046876317342551,0.7729318640384915,0.00887450407183128,0.006535947712418301,0.2440963855421687,0.011393903521751998,0.9850586979722519,0.003915881073241479,0.0,0.0,0.0,0.0,0.0,0.0,0.03791130185979971,1.0,0.05673758865248227,0.13665561541649396,0.045019157088122604,0.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.5384615384615384,0.08333333333333333,1.0,0.08333333333333333,1.0,0.0053105737316263635,0.8352941176470589,0.014903671392221011,0.9770114942528736,0.0035714285714285713,1.0,0.011304108078301628,0.9375,0.0043859649122807015,0.9351300898378252,0.0003963142772218369,0.06486991016217478,0.0121580547112462,0.8859509959457078,0.0025611838360842347,0.11404900405429227,0.028343918854867728,0.17470526932847003,0.2008133316177196,0.0285938480337286,0.010023110452951943,0.000936319094599298,0.003652198342463829,0.881484193823996,0.0067702110712863405,0.44849522877416204,0.010320597277119016,1.0,0.010351966873706004,0.5195689166193989,0.004493791250098009,0.01633165317240733,0.007429675951216808,0.0023978201634877383,0.003509496284062758,0.27678571428571425,0.23214285714285723,0.00209351011863224,0.5417,0.0015772870662460567,0.08799324752057397,0.004986702127659575,0.3967726625533935,0.00823045267489712,0.294,0.047229707155374986,0.2568520605023283,0.11168581754502564,0.3969633323815486,0.0014419477442105622,0.0,0.8846153846153846,0.6978609857312414,1.0,0.836146831891513,0.575,0.04552708157326568,0.03846153846153846,0.07462686567164181,0.4011019952538119,0.0021278485112852536,0.0064755269740499905,0.03686935390827755,0.011517000733238178,0.0,0.0014427166440692876,0.0375,0.8383411870262538,0.75,0.02014331417620484,0.009001391175095411,0.0015960287584277503,0.0015960287562108131,0.0020857144569113293,0.0020857144545295267,0.7804878048780487,0.75,0.9253731343283578,1.0,0.013513513513513514,0.008658008658008658,GradStudent
apoetter,0.24003469621101606,0.11777301927194861,0.003060363022372309,0.1991400387825647,0.23327642402607485,0.6372937982877428,0.4272875816993464,0.07518072289156627,0.5677715300384729,0.42347918890074704,0.35321247280638146,0.18623382963143764,0.33346650685843654,0.1372705506783719,0.1127,0.18995458188618755,0.4659,0.39198855507868385,0.15830781010719755,0.3475177304964539,0.05832987981765437,0.41954022988505746,0.5992,0.11764705882352941,0.0048,0.11764705882352941,1.0,0.07692307692307693,0.5,1.0,0.11538461538461538,1.0,0.9231,1.0,0.9231,0.39089615931721194,0.6235294117647059,0.5581606688476918,0.47126436781609193,0.2934065934065934,0.7551020408163265,0.699614006065619,0.734375,0.24901806755695208,0.5616614164041535,0.22688992370950165,0.43833858359584643,0.7275635898256279,0.6102591221575887,0.4428002276607854,0.38974087784241146,0.15834044301197583,0.07311274669445711,0.5979264109014581,0.09404504968438955,0.0530490847164515,0.007044016049128155,0.03378283466779042,0.09630172098132551,0.38829151732377537,0.265231220944458,0.08036890645586298,0.09191176470588235,0.28019323671497587,0.15371525808281342,0.2441498463378599,0.648938727777257,0.35932984752707947,0.39040871934604904,0.49752270850536745,0.5267857142857142,0.44642857142857145,0.16372322722636748,0.5004,0.26708727655099895,0.1757754800590842,0.5247672872340425,0.549121974371144,0.4540466392318244,0.2705,0.3182396887051797,0.3846534125975773,1.0,0.5377015316576788,1.0,0.6450000302567038,0.33192307692307693,0.045010944240685205,0.2925531914893617,0.05778870224726053,0.9484536082474225,0.8574119692798144,0.9615384615384616,0.9104477611940299,0.9867695124902969,0.4977121170023449,1.0,0.899378184275722,0.9765354884705666,0.6428883637588018,1.0,0.014927962585803726,0.04785178976592291,0.75,0.38511717422437264,0.37779415348557827,0.24009589811990245,0.2400958979500658,0.23839763915766643,0.2383976389891024,0.47317073170731705,0.75,0.08955223880596976,0.0,0.8378378378378378,0.9047619047619048,PM
arog3632,0.039348657493198755,0.07351891506067094,0.168319966230477,0.04679200741927325,0.49526618035076836,0.14950929212779285,0.29983660130718953,0.4896385542168674,0.15507546611423498,0.6450373532550694,0.0700507614213198,0.014522821576763486,0.15767745372220004,0.034317637669592976,0.3613,0.018167245524979964,0.5714,0.033619456366237484,0.049961715160796324,0.09929078014184398,0.2877123912142561,0.034482758620689655,0.5416000000000001,0.11764705882352941,0.032,0.11764705882352941,1.0,0.15384615384615385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017923186344238975,0.047058823529411764,0.0485278080697928,0.11494252873563218,0.03972527472527473,0.4489795918367347,0.11014612627515853,0.3125,0.05400628436763551,0.7922062769805156,0.017735063905677202,0.20779372301948432,0.20828667413213886,0.8993477877666137,0.03699487763232783,0.10065221223338619,0.04212089613549467,0.06182830717123688,0.19018598971528777,0.15330654850738493,0.01798005706295852,0.02769021065453197,0.011167298777918246,0.19309166361528135,0.12903225806451613,0.4316124296550037,0.005489679402722881,0.03814338235294117,0.00966183574879227,0.0005672149744753277,0.04173399154127969,0.15896060925867822,0.07441551670121936,0.03095367847411444,0.05470685383980182,0.25,0.07142857142857145,0.03295936443179988,0.6109,0.012618296529968454,0.050432580713230646,0.08228058510638298,0.28444866318620476,0.0823045267489712,0.207,0.0370843541190673,0.4306353021579277,0.13914553985607664,0.3926325021950968,0.03248131431589929,0.0,0.6217948717948718,0.4446165108683411,1.0,0.6143800440205429,0.6258503401360543,0.24818763326225995,0.17307692307692307,0.3582089552238806,0.7049283647245427,0.046018463328102104,0.07848524288920629,0.30358827667225846,0.12353970407407545,0.0,0.032901346746065624,0.027029306346194392,0.29700442327287724,0.75,0.03624986875964414,0.02888745505261609,0.010646392715529375,0.01064639270776845,0.011531270560169947,0.01153127055079067,0.7170731707317073,0.75,0.6417910447761196,0.0,0.013513513513513514,0.07792207792207792,GradStudent
asohangh,0.0077672199660923395,0.013561741613133477,0.1775010552975939,0.008683922097630891,0.4521185783020332,0.025370641052411776,0.02369281045751634,0.20891566265060244,0.027966854098845813,0.7472785485592317,0.012327773749093546,0.000122040517451794,0.0065255027300572645,0.0007980845969672786,1.0,0.0002671653753673524,1.0,0.060085836909871244,0.6123660030627872,0.0851063829787234,0.1223580605055947,0.06704980842911877,0.6706000000000001,0.058823529411764705,0.0784,0.058823529411764705,1.0,0.07692307692307693,1.0,0.15384615384615385,0.4230769230769231,0.16666666666666666,1.0,0.16666666666666666,1.0,0.013276434329065908,0.6705882352941176,0.03798618684114868,0.8850574712643678,0.00967032967032967,0.7959183673469388,0.03129307968017645,0.890625,0.009099240638910709,0.633998366584996,0.00634102843554939,0.3660016334150041,0.031195008798592227,0.7264234091309713,0.013659647125782584,0.27357659086902875,0.09144626662874834,0.18501270110076207,0.324565934443915,0.06434892006642519,0.06880175652889965,0.0018901038186293318,0.002739148756847872,0.2333699499572806,0.00796495420151334,0.12674333251773917,0.005709266578831796,0.1953125,0.012422360248447204,0.21440726035167332,0.007857600779764258,0.02586660038384275,0.012549807330598524,0.0026158038147138965,0.016928158546655657,0.10714285714285712,0.375,0.008696118954318535,0.7941,0.0010515247108307045,0.0206794682422452,0.016788563829787235,0.42350893845910464,0.02194787379972565,0.3075,0.10301566823902752,0.42998570245722534,0.4098113667483304,0.4988114136308767,0.07220540941183738,0.0,0.676923076923077,0.4494158842621508,1.0,0.5712154107290885,0.6052631578947367,0.1565147236789028,0.09615384615384616,0.20895522388059698,0.6482666910683992,0.01640360870195238,0.026280262175031075,0.118020451151977,0.0461625572342144,0.0,0.07498862729389372,0.0221850613154961,0.7526922157828854,0.75,0.031757487543125226,0.030008125342934285,0.004862636084718503,0.004862636076887662,0.0062721330997416854,0.006272133090113701,0.7414634146341462,0.75,0.7611940298507467,0.0,0.013513513513513514,0.03896103896103896,GradStudent
awais,0.001419390450656468,0.0028551034975017845,0.3127902068383284,0.0013489587724475171,0.38848362564022965,0.00814366256003341,0.012254901960784314,0.4493975903614457,0.009174311926605505,0.7882604055496265,0.002871646120377085,0.0,0.0,0.0,0.0,0.0,0.0,0.02503576537911302,0.711906584992343,0.014184397163120567,0.050248653128885205,0.02586206896551724,0.5556000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002844950213371266,0.8117647058823529,0.012540894220283533,0.896551724137931,0.001978021978021978,1.0,0.009925558312655087,0.890625,0.0019638648860958365,0.6743670516859176,0.0011889428316655107,0.3256329483140824,0.010398336266197409,0.7988718491098185,0.003699487763232783,0.20112815089018157,0.111163775397352,0.14677913111444016,0.13985236114466423,0.10380234862856402,0.0024347422261298524,0.0031429180092467416,0.00021070375052675939,0.08519467838398632,0.006371963361210673,0.4651333496452166,0.0004391743522178305,0.07123161764705882,0.008281573498964804,0.47078842881452077,0.001426698008926087,0.00854070485263617,0.0030107774976616142,0.0017438692098092643,0.006399669694467382,0.33035714285714285,0.5357142857142858,0.001664072145579473,0.7209,0.0005257623554153522,0.049166490820848285,0.005485372340425532,0.4958076253757318,0.009602194787379973,0.3685,0.15792437500663598,0.7237473765928042,0.16037389841541472,0.5967132685517232,0.002603604213477671,0.0,0.8846153846153846,0.4952978939069716,1.0,0.8068873375864257,0.6133333333333332,0.05497827319100689,0.05769230769230768,0.11940298507462686,0.46691964850822393,0.003828816381698496,0.014782926764205341,0.04911660201289571,0.02664168693581111,0.0,0.002777390171823114,0.015023474178403756,0.5412246884648872,0.75,0.020663684332357227,0.0068438644784971974,0.010641828058494045,0.010641828030481583,0.010656392324639984,0.01065639229769145,0.7317073170731706,0.75,0.9104477611940297,1.0,0.013513513513513514,0.017316017316017316,GradStudent
bdeird7,0.05906241375231636,0.14668094218415417,0.23775854791051076,0.07554169125706095,0.5596771690206426,0.15754854875756943,0.32598039215686275,0.5086746987951807,0.17194436223734832,0.7255069370330842,0.08678752719361857,0.001098364657066146,0.007990411506192568,0.007182761372705506,1.0,0.0021373230029388193,0.8889,0.04864091559370529,0.07312404287901991,0.11347517730496454,0.21922917530045585,0.05938697318007663,0.8260000000000001,0.23529411764705882,0.0432,0.23529411764705882,1.0,0.3076923076923077,1.0,0.15384615384615385,0.07142857142857142,0.16666666666666666,1.0,0.16666666666666666,1.0,0.02114746325272641,0.0,0.04889131225009088,0.11494252873563218,0.06351648351648352,0.5306122448979592,0.07375241246208988,0.0,0.08798114689709348,0.8759771321899429,0.015852571088873477,0.12402286781005718,0.2281235002399616,0.9617486338797814,0.023619806488332385,0.03825136612021857,0.05087370050873695,0.018839966130397953,0.41949013195407514,0.2775971565055369,0.3578012812573835,0.022824479990153197,0.0865992414664981,1.0,0.27718040621266427,1.0,0.021519543258673692,0.09972426470588236,0.045548654244306416,0.0952921157118548,0.06982979554249115,0.18674642337610478,0.10279622284277565,0.03553133514986376,0.061932287365813375,0.19642857142857142,0.08928571428571433,0.043104836545171506,0.5336,0.04363827549947424,0.11626925511711332,0.04670877659574468,0.03464641670621738,0.04801097393689986,0.11449999999999999,0.0754448183062115,0.6921640589974624,0.178652438131253,0.21142076192941936,0.030267934999480165,0.009897766261591116,0.48776223776223776,0.39754549516982823,0.7222222222222222,0.6537290191204876,0.6344827586206895,0.2243010300609627,0.2115384615384615,0.3432835820895523,0.7223527899847879,0.06949448820342574,0.07171033740655293,0.2698385910300327,0.12039209071910303,0.011245715922300746,0.030502038640531436,0.0252858958068615,0.4269719530600784,0.75,0.04769068470376641,0.03598514986564668,0.0062279276990036304,0.006227927691292115,0.006278091712544687,0.006278091708029576,0.7073170731707317,0.75,0.6716417910447763,1.0,0.04054054054054054,0.19047619047619047,GradStudent
ccallsen,0.2661357094980878,0.30513918629550324,0.07935837906289572,0.2452575668156142,0.2998603135185473,0.5389434119858008,0.5359477124183006,0.1749397590361446,0.4334122521456052,0.2937033084311633,0.34509064539521395,0.4083475713937027,0.6594752963110934,0.4166001596169194,0.156,0.39700774779588566,0.4441,0.7303290414878397,0.3642802450229709,0.46099290780141844,0.030874430169912977,0.7279693486590039,0.4892000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3487908961593172,0.47058823529411764,0.4945474372955289,0.5057471264367817,0.28335164835164833,0.5102040816326531,0.533498759305211,0.609375,0.2712752029327049,0.5489441138723602,0.2587932230258595,0.45105588612763975,0.5463125899856023,0.4637757800105764,0.4971542401821286,0.5362242199894236,0.08338863083388624,0.060883866345339654,0.4171284133667123,0.049372917342172855,0.05436598386284087,0.01999391125869849,0.04228121927236971,0.10875137312339801,0.1776184786937475,0.08686077807682896,0.08498023715415019,0.08777573529411764,0.19116632160110422,0.11798071469086785,0.2672829551097466,0.5418335621992315,0.3466194352360497,0.2507901907356948,0.4153592072667217,0.30357142857142855,0.42857142857142866,0.27274679263513874,0.752,0.30336487907465826,0.18020679468242246,0.6215093085106383,0.8759689922480624,0.6131687242798354,0.4315,0.20860440975741198,0.3230253386088114,0.49703511796677663,0.21318908635838013,0.06748439112123172,0.06519446851547206,0.4535809018567638,0.3101700641964187,0.6182336182336182,0.46952536824877245,0.7731092436974788,0.3786452353616533,0.5576923076923076,0.5074626865671643,0.9777431120213163,0.17378101599538906,0.6013590055362217,0.473359279199956,0.6992928833979709,0.06540529656199193,0.06751205072966697,0.0279315777627729,0.3718254270310877,0.75,0.25917672284397547,0.24389671676629032,0.34149759315720846,0.34149759257457596,0.34029134933684646,0.3402913487534889,0.5804878048780489,0.75,0.49253731343283597,0.0,0.3783783783783784,0.14285714285714285,Director
