@relation cros_norm_email_features_40_25_35

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
0.002987,0.012673,0.515155,0.005267,1,0.029812,0.086643,0.787414,0.035958,0.87561,0.01004,0.001773,0.230508,0.008937,0.8333,0.003576,1,0.004219,0.029992,0.023622,0.652414,0.00442,0.6666,0,0,0,0,0,0,0,0,0,0,0,0,0.047059,0.068182,0.857143,0.238095,0.004993,0.9265,0.00059,0.0735,0.044101,0.947281,0.002728,0.052719,0,0.134651,0.184868,0.221587,0.029328,0.012189,0.002024,0.433006,0.035613,0.633886,0.000795,0.065635,0.000816,0.019314,0.011594,0.114699,0.040078,0.002991,0.009926,0.285714,0.106061,0.002639,0.6029,0.002548,0.123607,0.007774,0.053237,0.014446,0.197121,0.094796,0.590167,0.088635,0.199676,0.000299,0,1,0.776541,0,0.91286,0.564417,0.026977,0.019231,0.044776,0.154659,0,0.001834,0.022512,0.003335,0,0.000299,0,0.688889,0.75,0.01599,0.003681,0.000363,0.000363,0.000339,0.000339,0.795122,0.75,0.955224,1,0.013514,0.012987,GradStudent
0,0,1,0,0.869703,0.007235,0.012635,0.523341,0.009032,0.92306,0.001534,0,0,0,0,0,0,0.006751,0.226006,0.023622,0.420586,0.007735,0.7778,0,0,0,0,0,0,0.1,0.646512,0.111111,1,0.111111,1,0.764706,0.818182,1,0.952381,0,0,0.00059,1,0.008591,0.698699,0.004432,0.301301,0.078758,1,0,0.13812,0,0.002891,0.000084,0.245399,0.001899,0.180806,0.000265,0.297663,0.001631,0.202364,0,0.009556,0.002197,0,0.008437,0,0.727273,0.000322,1,0,0,0.001794,0.160939,0.020867,1,0.436349,0.896858,0.691893,0.592822,0,0,0.820513,0.951008,1,1,0.613333,0.008882,0.057692,0.029851,0.39678,0.002823,0.013863,0.01777,0.024639,0,0,0.022396,0.861795,0.75,0.019131,0.004959,0.005473,0.005473,0.005132,0.005132,0.731707,0.75,0.985075,1,0.013514,0,Research
0.007587,0.024554,0.368393,0.011099,0.773877,0.044281,0.080325,0.451259,0.04516,0.585809,0.017465,0.001034,0.055374,0.005362,0.8571,0.00149,0.7143,0.083544,0.508514,0.141732,0.155282,0.088398,0.62,0.176471,0.279141,0.176471,1,0.230769,1,0.2,0.251163,0.222222,1,0.222222,1,0.611765,0.727273,0.428571,0.730159,0.010144,0.7758,0.004365,0.2242,0.047919,0.529863,0.035459,0.470137,0.043851,0.170863,0.302497,0.064243,0.057546,0.003182,0.000253,0.022331,0.008547,0.032227,0.00053,0.018009,0.013051,0.118478,0.058993,0.34732,0.139877,0.006763,0.037221,0.268908,0.454545,0.006693,0.6303,0.007006,0.140214,0.035479,0.537742,0.044944,0.420266,0.131408,0.435161,0.307248,0.459483,0.080634,0,0.747863,0.469381,1,0.666744,0.671533,0.260389,0.173077,0.373134,0.732145,0.012663,0.11634,0.340246,0.187775,0,0.079416,0.020343,0.367146,0.75,0.034219,0.03572,0.019906,0.019906,0.022701,0.022701,0.668293,0.75,0.626866,0,0.013514,0.082251,Director
0.002798,0.002772,0.135914,0.004138,0.790639,0.008233,0.006318,0.256293,0.010736,1,0.003869,0,0,0,0,0,0,0.034599,1,0.062992,0.180624,0.043094,0.9048,0,0,0,0,0,0,0.1,0.581395,0.111111,1,0.111111,1,0.858824,0.977273,1,0.920635,0.004755,0.9375,0.000472,0.0625,0.010882,0.812312,0.003069,0.187688,0.036146,0.236844,0.188469,0.042544,0.01039,0.001102,0.003963,0.901104,0.008072,0.536256,0.011391,1,0.011419,0.610839,0.004877,0.015213,0.007363,0.002731,0.00397,0.277311,0.30303,0.002252,0.5469,0.001274,0.065798,0.004186,0.350568,0.008026,0.346069,0.033131,0.349945,0.094125,0.625859,0.001442,0,0.884615,0.697861,1,0.836147,0.575,0.045527,0.038462,0.074627,0.401102,0.002128,0.006476,0.036869,0.011517,0,0.001443,0.0375,0.838341,0.75,0.020143,0.009001,0.001596,0.001596,0.002086,0.002086,0.780488,0.75,0.925373,1,0.013514,0.008658,GradStudent
0.239924,0.121584,0.002021,0.203536,0.281467,0.630785,0.439531,0.078719,0.564417,0.374723,0.352193,0.186854,0.326237,0.142091,0.1257,0.192193,0.5099,0.383122,0.157701,0.346457,0.060277,0.407735,0.6264,0,0,0,0,0,0,1,0.093023,1,0.9,1,0.9,0.623529,0.465909,0.755102,0.730159,0.252338,0.6286,0.221895,0.3714,0.718786,0.574908,0.440505,0.425092,0.149275,0.073141,0.602804,0.103406,0.068944,0.00746,0.033474,0.096196,0.391263,0.272038,0.080265,0.089001,0.275693,0.156529,0.244044,0.642311,0.358291,0.392119,0.498263,0.504202,0.409091,0.161465,0.4954,0.264331,0.172167,0.519833,0.548174,0.454254,0.30897,0.320962,0.423415,1,0.751627,1,0.645,0.331923,0.045011,0.292553,0.057789,0.948454,0.857412,0.961538,0.910448,0.98677,0.497712,1,0.899378,0.976535,0.642888,1,0.014928,0.047852,0.75,0.385117,0.377794,0.240096,0.240096,0.238398,0.238398,0.473171,0.75,0.089552,0,0.837838,0.904762,PM
0.040588,0.077228,0.183558,0.04731,0.535895,0.150056,0.302347,0.498856,0.150818,0.555654,0.071289,0.015066,0.15476,0.035746,0.3922,0.017878,0.5882,0.032068,0.046053,0.110236,0.358223,0.032044,0.5384,0.117647,0.035276,0.117647,1,0.153846,1,0,0,0,0,0,0,0.047059,0.113636,0.428571,0.301587,0.056427,0.8269,0.017577,0.1731,0.208667,0.849183,0.037504,0.150817,0.038525,0.068941,0.18831,0.16774,0.021206,0.032622,0.01113,0.188098,0.128205,0.420142,0.006093,0.039738,0.009788,0,0.043058,0.15954,0.07573,0.031474,0.055583,0.235294,0.090909,0.033915,0.6121,0.012739,0.04877,0.084712,0.304388,0.085072,0.240864,0.035879,0.44208,0.150367,0.502397,0.032481,0,0.621795,0.444617,1,0.61438,0.62585,0.248188,0.173077,0.358209,0.704928,0.046018,0.078485,0.303588,0.12354,0,0.032901,0.027029,0.297004,0.75,0.03625,0.028887,0.010646,0.010646,0.011531,0.011531,0.717073,0.75,0.641791,0,0.013514,0.077922,GradStudent
0.007871,0.01505,0.203977,0.008841,0.510911,0.025321,0.022563,0.193364,0.028459,0.750333,0.012375,0.000148,0.007575,0.000894,1,0.000298,1,0.059072,0.61726,0.07874,0.118678,0.066298,0.7184,0.058824,0.088957,0.058824,1,0.076923,1,0.2,0.427907,0.222222,1,0.222222,1,0.670588,0.875,0.77551,0.904762,0.009748,0.7193,0.005662,0.2807,0.03131,0.7002,0.013297,0.2998,0.075106,0.198947,0.347369,0.07616,0.097982,0.00197,0.002951,0.251166,0.008072,0.124882,0.006358,0.20896,0.011419,0.201211,0.007972,0.025816,0.012598,0.002991,0.016873,0.109244,0.348485,0.008559,0.7778,0.001274,0.024595,0.015547,0.378183,0.019262,0.306202,0.116369,0.462113,0.468734,0.666618,0.072205,0,0.676923,0.449416,1,0.571215,0.605263,0.156515,0.096154,0.208955,0.648267,0.016404,0.02628,0.11802,0.046163,0,0.074989,0.022185,0.752692,0.75,0.031757,0.030008,0.004863,0.004863,0.006272,0.006272,0.741463,0.75,0.761194,0,0.013514,0.038961,GradStudent
0.00166,0.00396,0.335319,0.001411,0.355787,0.007983,0.011733,0.442563,0.008862,0.740576,0.002963,0,0,0,0,0,0,0.024473,0.728328,0.015748,0.061425,0.024309,0.5334,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.886364,1,0.873016,0.002219,0.7,0.001416,0.3,0.009927,0.74341,0.004091,0.25659,0.138588,0.22165,0.139326,0.111354,0.003151,0.0033,0.000253,0.092025,0.006648,0.461848,0.00053,0.074416,0.007341,0.442779,0.001686,0.008373,0.003106,0.002081,0.007196,0.336134,0.560606,0.001802,0.7,0.000637,0.052554,0.00578,0.523167,0.008026,0.354928,0.155456,0.755194,0.147294,0.765289,0.002604,0,0.884615,0.495298,1,0.806887,0.613333,0.054978,0.057692,0.119403,0.46692,0.003829,0.014783,0.049117,0.026642,0,0.002777,0.015023,0.541225,0.75,0.020664,0.006844,0.010642,0.010642,0.010656,0.010656,0.731707,0.75,0.910448,1,0.013514,0.017316,GradStudent
0.059744,0.152475,0.264384,0.072987,0.579696,0.155919,0.33213,0.534783,0.168712,0.678936,0.087011,0.001034,0.007183,0.006256,1,0.001788,0.8571,0.048945,0.074497,0.11811,0.239962,0.059669,0.8644,0.235294,0.04908,0.235294,1,0.307692,1,0.2,0.074419,0.222222,1,0.222222,1,0,0.113636,0.55102,0,0.089079,0.8885,0.016633,0.1115,0.224895,0.904905,0.024548,0.095095,0.057184,0.02249,0.408845,0.277843,0.439794,0.021614,0.086931,1,0.280152,1,0.021722,0.096443,0.04323,0.092246,0.070638,0.18481,0.103063,0.033294,0.062779,0.168067,0.121212,0.043697,0.5368,0.046497,0.121295,0.048236,0.061982,0.044944,0.122924,0.073903,0.741906,0.169096,0.293279,0.030268,0.009898,0.487762,0.397545,0.722222,0.653729,0.634483,0.224301,0.211538,0.343284,0.722353,0.069494,0.07171,0.269839,0.120392,0.011246,0.030502,0.025286,0.426972,0.75,0.047691,0.035985,0.006228,0.006228,0.006278,0.006278,0.707317,0.75,0.671642,1,0.040541,0.190476,GradStudent
0.264817,0.302574,0.082846,0.245297,0.343612,0.534489,0.555957,0.187414,0.440354,0.26031,0.343582,0.41034,0.649079,0.414656,0.167,0.397497,0.4802,0.71308,0.364938,0.472441,0.032329,0.709392,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0.458824,0.5,0.530612,0.603175,0.272468,0.615,0.253863,0.385,0.543528,0.441942,0.490283,0.558058,0.077552,0.060619,0.414903,0.057,0.063517,0.024395,0.04258,0.110798,0.17284,0.087915,0.084768,0.085132,0.181892,0.114442,0.265966,0.537353,0.345104,0.248017,0.411663,0.285714,0.393939,0.271317,0.7542,0.303185,0.179104,0.619494,0.868825,0.603531,0.484496,0.203256,0.351431,0.473942,0.27377,0.067484,0.065194,0.453581,0.31017,0.618234,0.469525,0.773109,0.378645,0.557692,0.507463,0.977743,0.173781,0.601359,0.473359,0.699293,0.065405,0.067512,0.027932,0.371825,0.75,0.259177,0.243897,0.341498,0.341498,0.340291,0.340291,0.580488,0.75,0.492537,0,0.378378,0.142857,Director
