pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_vt_sent,inter_vt_received,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
adamq,0.0029871977240398294,0.012673267326732674,0.5151547378496225,0.005267118133935289,1.0,0.02981165024323313,0.08664259927797834,0.7874141876430206,0.035957736877982274,0.8756097560975609,0.010039740640033466,0.0017725258493353029,0.23050803186626614,0.008936550491510277,0.8333,0.003575685339690107,1.0,0.004219409282700422,0.0299922600619195,0.023622047244094488,0.6524142246323912,0.004419889502762431,0.6666000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047058823529411764,0.06818181818181818,0.8571428571428571,0.23809523809523808,0.004992867332382311,0.9265,0.0005898313082458417,0.0735,0.0441008018327606,0.9472806139472808,0.002727582679849983,0.052719386052719384,0.0,0.13465074418874717,0.18486821753699997,0.221586922051459,0.029328246370315163,0.012188655820144544,0.002023608768971332,0.43300613496932516,0.03561253561253561,0.6338862559241706,0.0007947019867549669,0.06563476707843428,0.0008156606851549756,0.019313923320841746,0.011594197539537858,0.11469895236982515,0.040078076469812644,0.0029912862530888282,0.009925558312655087,0.28571428571428575,0.10606060606060606,0.002638522427440633,0.6029,0.0025477707006369425,0.12360731553500104,0.0077735698624676105,0.0532371893218779,0.014446227929373997,0.1971207087486157,0.09479582384177955,0.5901672235128628,0.08863482637063179,0.19967605807146493,0.0002985680181559382,0.0,1.0,0.7765411747842201,0.0,0.9128599060513956,0.5644171779141103,0.026976916658941266,0.01923076923076923,0.04477611940298506,0.15465853101899496,0.0,0.001834471417083477,0.022511805315355977,0.0033351382210183157,0.0,0.00029872722566390877,0.0,0.6888894217546516,0.75,0.01599013396060976,0.0036807609860837337,0.0003629658961123859,0.00036296589549847353,0.0003393899389129036,0.00033938993758050824,0.7951219512195121,0.75,0.9552238805970151,1.0,0.013513513513513514,0.012987012987012988,GradStudent
ahmed12,0.0,0.0,1.0,0.0,0.8697027197975966,0.0072346264188599225,0.01263537906137184,0.5233409610983982,0.009032038173142468,0.9230598669623061,0.0015338492644495572,0.0,0.0,0.0,0.0,0.0,0.0,0.006751054852320675,0.22600619195046437,0.023622047244094488,0.4205860882260924,0.0077348066298342545,0.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6465116279069768,0.1111111111111111,1.0,0.1111111111111111,1.0,0.7647058823529411,0.8181818181818182,1.0,0.9523809523809523,0.0,0.0,0.0005898313082458417,1.0,0.00859106529209622,0.6986986986986988,0.004432321854756222,0.3013013013013013,0.07875783055844028,1.0,0.0,0.1381204545262824,0.0,0.002890627652974403,8.431703204047218e-05,0.245398773006135,0.001899335232668566,0.1808056872037915,0.00026490066225165563,0.2976633427593392,0.0016313213703099511,0.20236379360046122,0.0,0.009556217626669783,0.0021965803484896465,0.0,0.008436724565756825,0.0,0.7272727272727272,0.00032177102773666257,1.0,0.0,0.0,0.0017939007374925253,0.1609389383246395,0.02086677367576244,1.0,0.4363491787845829,0.896857796025007,0.6918928306424172,0.5928221286401938,0.0,0.0,0.8205128205128204,0.9510079963959904,1.0,1.0,0.6133333333333332,0.008881970515520476,0.05769230769230768,0.0298507462686567,0.3967802793393943,0.002822909926881214,0.013863445235922691,0.01777025082229725,0.024639293482566462,0.0,0.0,0.022395833333333334,0.8617946988408535,0.75,0.01913103746714489,0.004959178487384904,0.0054731073089813375,0.005473107298533892,0.005132232812042386,0.005132232802030744,0.7317073170731706,0.75,0.9850746268656719,1.0,0.013513513513513514,0.0,Research
ajm,0.007586533902323376,0.024554455445544555,0.36839306604275235,0.01109857035364936,0.7738772928526249,0.04428090308095298,0.08032490974729242,0.4512585812356979,0.04516019086571234,0.585809312638581,0.01746496548839155,0.00103397341211226,0.055374167428496796,0.005361930294906166,0.8571,0.0014898688915375446,0.7143,0.08354430379746836,0.5085139318885449,0.14173228346456693,0.15528209406611743,0.08839779005524862,0.6200000000000001,0.17647058823529413,0.2791411042944786,0.17647058823529413,1.0,0.23076923076923078,1.0,0.2,0.25116279069767444,0.2222222222222222,1.0,0.2222222222222222,1.0,0.611764705882353,0.7272727272727273,0.42857142857142855,0.7301587301587301,0.010144238389602156,0.7758,0.004364751681019229,0.2242,0.04791905307369225,0.5298631965298631,0.035458574838049775,0.47013680347013675,0.04385112726541825,0.1708634137844272,0.30249705146244404,0.06424317591348169,0.05754582608811702,0.003181920973833234,0.0002529510961214165,0.022331288343558284,0.008547008547008548,0.032227488151658774,0.0005298013245033113,0.01800863223694002,0.013050570962479609,0.11847794753531277,0.0589934069672419,0.3473195856213732,0.13987704043420518,0.006762908050461699,0.03722084367245657,0.26890756302521013,0.45454545454545453,0.006692837376922582,0.6303,0.0070063694267515925,0.14021442085347907,0.035479370141518835,0.5377416385394292,0.0449438202247191,0.42026578073089693,0.1314079272401562,0.43516091370673876,0.30724796494005074,0.4594832241791733,0.08063431002918922,0.0,0.7478632478632478,0.4693812775803992,1.0,0.666743798411609,0.6715328467153284,0.26038870396220326,0.17307692307692307,0.37313432835820903,0.7321450686109601,0.012663245073384935,0.11634042721246526,0.3402455630294931,0.187775294521001,0.0,0.0794160877700738,0.020342979635584138,0.36714616437233405,0.75,0.03421895933307515,0.03572032063982594,0.019905695680042104,0.01990569564898258,0.022700974735204615,0.02270097470377793,0.6682926829268292,0.75,0.6268656716417912,0.0,0.013513513513513514,0.08225108225108226,Director
apblair,0.002797534376481745,0.002772277227722772,0.1359140699776667,0.004138449962377728,0.7906388361796332,0.008232505924909567,0.00631768953068592,0.25629290617848965,0.010736196319018405,1.0,0.003869483371679565,0.0,0.0,0.0,0.0,0.0,0.0,0.03459915611814346,1.0,0.06299212598425197,0.18062363124413391,0.0430939226519337,0.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5813953488372093,0.1111111111111111,1.0,0.1111111111111111,1.0,0.8588235294117647,0.9772727272727273,1.0,0.9206349206349206,0.004755111745126011,0.9375,0.0004718650465966734,0.0625,0.010882016036655211,0.8123123123123123,0.003068530514831231,0.18768768768768768,0.0361461927573616,0.23684363326688218,0.18846865947547461,0.04254378391415448,0.010389535383686324,0.0011022637333767847,0.003962900505902193,0.9011042944785277,0.008072174738841406,0.5362559241706162,0.011390728476821193,1.0,0.011419249592169658,0.6108388584606516,0.004877291199059301,0.015213031117342369,0.007363165685500257,0.0027311744049941474,0.003970223325062035,0.2773109243697479,0.30303030303030304,0.002252397194156638,0.5469,0.0012738853503184713,0.065797771704856,0.004185768387482559,0.35056765879104024,0.008025682182985553,0.34606866002214837,0.033130952326548495,0.3499451805542594,0.09412479690816457,0.6258592765435396,0.0014419477442105622,0.0,0.8846153846153846,0.6978609857312414,1.0,0.836146831891513,0.575,0.04552708157326568,0.03846153846153846,0.07462686567164181,0.4011019952538119,0.0021278485112852536,0.0064755269740499905,0.03686935390827755,0.011517000733238178,0.0,0.0014427166440692876,0.0375,0.8383411870262538,0.75,0.02014331417620484,0.009001391175095411,0.0015960287584277503,0.0015960287562108131,0.0020857144569113293,0.0020857144545295267,0.7804878048780487,0.75,0.9253731343283578,1.0,0.013513513513513514,0.008658008658008658,GradStudent
apoetter,0.23992413466097676,0.12158415841584158,0.0020206317132829936,0.2035364936042137,0.2814674256799494,0.6307845827616315,0.4395306859205776,0.07871853546910755,0.5644171779141104,0.37472283813747226,0.35219270724395174,0.18685376661742983,0.3262374298027948,0.14209115281501342,0.1257,0.19219308700834326,0.5099,0.3831223628691983,0.15770123839009287,0.3464566929133858,0.06027740118886225,0.40773480662983425,0.6264000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0930232558139535,1.0,0.9,1.0,0.9,0.6235294117647059,0.4659090909090909,0.7551020408163265,0.7301587301587301,0.2523379299413536,0.6286,0.22189453816208565,0.3714,0.7187857961053837,0.5749082415749083,0.44050460279577225,0.4250917584250918,0.1492747311647851,0.0731414636034606,0.6028044222713173,0.10340635563750579,0.06894366660765476,0.007460489377429546,0.03347386172006745,0.0961963190184049,0.3912630579297246,0.27203791469194316,0.08026490066225166,0.08900133948504241,0.27569331158238175,0.15652925915249352,0.2440438993185104,0.6423112123690463,0.35829134321703865,0.39211861100273115,0.4982630272952854,0.5042016806722689,0.4090909090909091,0.16146470171825728,0.4954,0.2643312101910828,0.1721673323523229,0.5198325692645007,0.5481742865909788,0.45425361155698235,0.30897009966777406,0.32096169651762635,0.4234150218525195,1.0,0.7516265017715587,1.0,0.6450000302567038,0.33192307692307693,0.045010944240685205,0.2925531914893617,0.05778870224726053,0.9484536082474225,0.8574119692798144,0.9615384615384616,0.9104477611940299,0.9867695124902969,0.4977121170023449,1.0,0.899378184275722,0.9765354884705666,0.6428883637588018,1.0,0.014927962585803726,0.04785178976592291,0.75,0.38511717422437264,0.37779415348557827,0.24009589811990245,0.2400958979500658,0.23839763915766643,0.2383976389891024,0.47317073170731705,0.75,0.08955223880596976,0.0,0.8378378378378378,0.9047619047619048,PM
arog3632,0.04058795637743006,0.07722772277227723,0.1835584387961289,0.047310007524454474,0.5358950031625553,0.1500561307222153,0.30234657039711194,0.49885583524027466,0.15081799591002046,0.5556541019955654,0.07128913058634874,0.015066469719350073,0.15476035000652996,0.035746201966041107,0.3922,0.017878426698450536,0.5882,0.032067510548523206,0.046052631578947366,0.11023622047244094,0.3582229638127021,0.032044198895027624,0.5384,0.11764705882352941,0.035276073619631906,0.11764705882352941,1.0,0.15384615384615385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047058823529411764,0.11363636363636363,0.42857142857142855,0.30158730158730157,0.05642732604216199,0.8269,0.017576972985726084,0.1731,0.20866743031691484,0.8491825158491825,0.037504261847937266,0.15081748415081747,0.038524672540283404,0.06894149070006002,0.18830991877231412,0.16774026056921643,0.021205744124315563,0.03262233605836277,0.011129848229342328,0.18809815950920244,0.1282051282051282,0.42014218009478677,0.0060927152317880795,0.03973805625837178,0.009787928221859706,0.0,0.04305808746584232,0.15953966584881413,0.07573036976222287,0.031473533619456366,0.055583126550868486,0.23529411764705885,0.0909090909090909,0.03391466632344424,0.6121,0.012738853503184714,0.048770233340340544,0.08471197927048037,0.30438784903344585,0.08507223113964688,0.24086378737541525,0.035879384185647574,0.44208040290160167,0.1503668310537578,0.5023965377906047,0.03248131431589929,0.0,0.6217948717948718,0.4446165108683411,1.0,0.6143800440205429,0.6258503401360543,0.24818763326225995,0.17307692307692307,0.3582089552238806,0.7049283647245427,0.046018463328102104,0.07848524288920629,0.30358827667225846,0.12353970407407545,0.0,0.032901346746065624,0.027029306346194392,0.29700442327287724,0.75,0.03624986875964414,0.02888745505261609,0.010646392715529375,0.01064639270776845,0.011531270560169947,0.01153127055079067,0.7170731707317073,0.75,0.6417910447761196,0.0,0.013513513513513514,0.07792207792207792,GradStudent
asohangh,0.007871028923660503,0.015049504950495049,0.20397745400404127,0.008841234010534237,0.510910815939279,0.02532119246600973,0.02256317689530686,0.19336384439359267,0.02845944103612815,0.7503325942350332,0.012375374747263473,0.00014771048744460856,0.0075747681859736175,0.0008936550491510277,1.0,0.0002979737783075089,1.0,0.05907172995780591,0.6172600619195047,0.07874015748031496,0.1186776514756492,0.06629834254143646,0.7183999999999999,0.058823529411764705,0.08895705521472393,0.058823529411764705,1.0,0.07692307692307693,1.0,0.2,0.4279069767441861,0.2222222222222222,1.0,0.2222222222222222,1.0,0.6705882352941176,0.875,0.7755102040816326,0.9047619047619048,0.009747979077508321,0.7193,0.00566238055916008,0.2807,0.031309660175639555,0.7002002002002004,0.013296965564268667,0.29979979979979976,0.07510636159592649,0.19894710356707374,0.34736907536263345,0.0761598818707912,0.09798204042274185,0.0019703268173406198,0.002951096121416526,0.25116564417177917,0.008072174738841406,0.12488151658767774,0.006357615894039735,0.2089596666170561,0.011419249592169658,0.20121072355145575,0.007972281899296324,0.025815905284885306,0.012597714523392357,0.0029912862530888282,0.01687344913151365,0.10924369747899161,0.34848484848484845,0.008559109337795225,0.7778,0.0012738853503184713,0.024595333193188986,0.015547139724935221,0.37818349186867145,0.019261637239165328,0.3062015503875969,0.11636903630877098,0.4621132968895193,0.46873413081745885,0.6666181859975475,0.07220540941183738,0.0,0.676923076923077,0.4494158842621508,1.0,0.5712154107290885,0.6052631578947367,0.1565147236789028,0.09615384615384616,0.20895522388059698,0.6482666910683992,0.01640360870195238,0.026280262175031075,0.118020451151977,0.0461625572342144,0.0,0.07498862729389372,0.0221850613154961,0.7526922157828854,0.75,0.031757487543125226,0.030008125342934285,0.004862636084718503,0.004862636076887662,0.0062721330997416854,0.006272133090113701,0.7414634146341462,0.75,0.7611940298507467,0.0,0.013513513513513514,0.03896103896103896,GradStudent
awais,0.0016595542911332385,0.0039603960396039604,0.33531851536743595,0.0014108352144469526,0.3557874762808349,0.007983036048397157,0.011732851985559567,0.44256292906178496,0.008861622358554875,0.7405764966740577,0.0029631178972320993,0.0,0.0,0.0,0.0,0.0,0.0,0.024472573839662448,0.728328173374613,0.015748031496062992,0.06142454896235271,0.02430939226519337,0.5334000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8863636363636364,1.0,0.873015873015873,0.0022190521477254716,0.7,0.00141559513979002,0.3,0.009927453226422299,0.7434100767434101,0.004091374019774974,0.2565899232565899,0.13858832199926308,0.2216501829020458,0.13932596763152802,0.11135363267611985,0.003150992640016809,0.0032995699639511017,0.0002529510961214165,0.09202453987730061,0.006647673314339981,0.46184834123222757,0.0005298013245033113,0.0744158356898348,0.00734094616639478,0.4427788988181032,0.001686159808014436,0.008373252326985239,0.0031059319902839375,0.002080894784757446,0.007196029776674938,0.33613445378151263,0.5606060606060606,0.0018019177553253104,0.7,0.0006369426751592356,0.05255413075467732,0.005780346820809248,0.523166615526235,0.008025682182985553,0.3549280177187154,0.15545648974965953,0.7551941200536889,0.14729402348853618,0.7652885266446646,0.002603604213477671,0.0,0.8846153846153846,0.4952978939069716,1.0,0.8068873375864257,0.6133333333333332,0.05497827319100689,0.05769230769230768,0.11940298507462686,0.46691964850822393,0.003828816381698496,0.014782926764205341,0.04911660201289571,0.02664168693581111,0.0,0.002777390171823114,0.015023474178403756,0.5412246884648872,0.75,0.020663684332357227,0.0068438644784971974,0.010641828058494045,0.010641828030481583,0.010656392324639984,0.01065639229769145,0.7317073170731706,0.75,0.9104477611940297,1.0,0.013513513513513514,0.017316017316017316,GradStudent
bdeird7,0.059743954480796585,0.15247524752475247,0.2643837073274487,0.07298720842738901,0.5796963946869071,0.15591867282025695,0.33212996389891697,0.5347826086956522,0.1687116564417178,0.6789356984478935,0.0870110855469567,0.00103397341211226,0.007182969831526707,0.006255585344057194,1.0,0.0017878426698450535,0.8571,0.048945147679324896,0.0744969040247678,0.11811023622047244,0.2399624569819585,0.05966850828729282,0.8644000000000001,0.23529411764705882,0.049079754601227,0.23529411764705882,1.0,0.3076923076923077,1.0,0.2,0.0744186046511628,0.2222222222222222,1.0,0.2222222222222222,1.0,0.0,0.11363636363636363,0.5510204081632653,0.0,0.08907909335869393,0.8885,0.016633242892532735,0.1115,0.22489499809087438,0.904904904904905,0.024548244118649847,0.09509509509509509,0.057184013935881566,0.022490177482725936,0.4088451363962879,0.27784344125140076,0.4397938425948864,0.02161365864735024,0.08693086003372681,1.0,0.2801519468186135,1.0,0.021721854304635763,0.09644292305402588,0.0432300163132137,0.09224560392043817,0.0706375237116223,0.18481033609845388,0.10306257127672154,0.033294316556119134,0.06277915632754343,0.16806722689075632,0.12121212121212119,0.04369650556663878,0.5368,0.0464968152866242,0.12129493378179525,0.04823599760813235,0.06198220312979441,0.0449438202247191,0.12292358803986711,0.07390304744596676,0.7419063141135043,0.16909585365485563,0.29327916140465293,0.030267934999480165,0.009897766261591116,0.48776223776223776,0.39754549516982823,0.7222222222222222,0.6537290191204876,0.6344827586206895,0.2243010300609627,0.2115384615384615,0.3432835820895523,0.7223527899847879,0.06949448820342574,0.07171033740655293,0.2698385910300327,0.12039209071910303,0.011245715922300746,0.030502038640531436,0.0252858958068615,0.4269719530600784,0.75,0.04769068470376641,0.03598514986564668,0.0062279276990036304,0.006227927691292115,0.006278091712544687,0.006278091708029576,0.7073170731707317,0.75,0.6716417910447763,1.0,0.04054054054054054,0.19047619047619047,GradStudent
ccallsen,0.2648174490279753,0.30257425742574257,0.08284590024460278,0.24529721595184348,0.3436116382036686,0.5344892104278408,0.555956678700361,0.1874141876430206,0.4403544648943422,0.26031042128603105,0.34358223523670084,0.4103397341211226,0.6490792738670497,0.41465594280607687,0.167,0.39749702026221695,0.4802,0.7130801687763713,0.364938080495356,0.47244094488188976,0.03232870998018563,0.7093922651933702,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4588235294117647,0.5,0.5306122448979592,0.6031746031746031,0.2724679029957204,0.615,0.2538633950690103,0.385,0.5435280641466208,0.4419419419419419,0.49028298670303444,0.5580580580580581,0.07755184080935314,0.06061896374862097,0.4149028414171861,0.05700012683937613,0.06351671668698758,0.02439474756389666,0.04258010118043845,0.11079754601226995,0.1728395061728395,0.08791469194312797,0.0847682119205298,0.08513171602917101,0.18189233278955955,0.1144422023637936,0.26596582568213667,0.5373534680842778,0.345103705505995,0.24801664715827806,0.4116625310173697,0.28571428571428575,0.3939393939393939,0.2713173305875539,0.7542,0.30318471337579617,0.1791044776119403,0.6194937213474188,0.8688247928812519,0.6035313001605136,0.48449612403100767,0.20325555038575474,0.35143117732807494,0.4739416355841911,0.27377010450036365,0.06748439112123172,0.06519446851547206,0.4535809018567638,0.3101700641964187,0.6182336182336182,0.46952536824877245,0.7731092436974788,0.3786452353616533,0.5576923076923076,0.5074626865671643,0.9777431120213163,0.17378101599538906,0.6013590055362217,0.473359279199956,0.6992928833979709,0.06540529656199193,0.06751205072966697,0.0279315777627729,0.3718254270310877,0.75,0.25917672284397547,0.24389671676629032,0.34149759315720846,0.34149759257457596,0.34029134933684646,0.3402913487534889,0.5804878048780489,0.75,0.49253731343283597,0.0,0.3783783783783784,0.14285714285714285,Director
