pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_vt_sent,inter_vt_received,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
adamq,0.002616583323642284,0.01342882721575649,0.6275817555938038,0.004024571065452235,0.7357251908396946,0.0318731355000785,0.07058823529411765,0.6811526841738322,0.03847736625514403,0.9622795115332431,0.01037884935719472,0.0012806439809732895,0.1809869571063601,0.007099391480730223,1.0,0.0023521505376344087,1.0,0.003393665158371041,0.025890597625072995,0.00847457627118644,0.475285969146815,0.002770083102493075,0.2778740612362795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03488372093023256,0.011494252873563218,0.6875,0.16666666666666666,0.004252029377657518,0.8557072146392679,0.0007295010213014298,0.14429278536073195,0.04763056092843327,0.9568245125348189,0.0024410089503661514,0.04317548746518106,0.0,0.12949593706497456,0.16279439820401528,0.19288595058231855,0.02826937415877739,0.011551017289557215,0.0019695242044158808,0.4520039584364176,0.03421828908554572,0.5792154865002547,0.00031969309462915604,0.025263157894736838,0.0,0.0,0.010726944841738697,0.12267622846057687,0.040997140287684204,0.0011522633744855968,0.006072227548737616,0.12264150943396226,0.0,0.0026056060007895775,0.6346,0.002407704654895666,0.1094046264694729,0.008085612366230678,0.0,0.01580135440180587,0.16235446313065977,0.12067277628105906,0.6715316760224538,0.1185657047698138,0.2712047137255948,0.00010865629789618192,0.0,0.0,0.8283430301310247,0.0,0.9565056360708533,0.0,0.03259810434936675,0.0,0.02898550724637681,0.0,4.395586952668977e-18,0.0,0.01683997819799718,0.0,0.0,0.00010872767075853864,0.0,0.5462702143022624,0.0,0.0,0.002240955559079169,0.0,0.0,0.0,0.0,0.0,0.0,0.9436619718309859,1.0,0.0,0.0028089887640449437,GradStudent
ahmed12,0.00011629259216187928,0.0022381378692927483,1.0,0.0,0.32152671755725193,0.0053383576699638875,0.010784313725490196,0.6969556123634674,0.006584362139917695,1.0,0.001324050741041302,0.0,0.0,0.0,0.0,0.0,0.0,0.0022624434389140274,0.11660502238660694,0.0,0.3003463112603631,0.002770083102493075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7441860465116279,0.6896551724137931,0.7708333333333334,0.9696969696969697,0.0,0.0,0.0008754012255617158,1.0,0.005802707930367505,0.663571649644073,0.0040683482506102524,0.336428350355927,0.48390999274135016,1.0,0.0,0.13643126530344132,0.0,0.0029907826180289774,0.0,0.0,0.0005899705014749262,0.12149770759042283,0.0,0.0,0.0020161290322580645,0.16796224319822317,0.00023578550255995689,0.007185351966692463,0.0019033027060206223,0.0,0.008309364014062001,0.0,1.0,0.0007106198183971576,1.0,0.0,0.0,0.002140309155766944,0.27643850079183524,0.011286681715575621,0.7652005174644243,0.4167790939880582,0.9642137694039574,0.36883820242336746,0.49506594006879795,0.0,0.0,0.0,0.5955725840783312,0.0,1.0,0.0,0.049520050237732226,0.0,0.07246376811594206,0.0,4.395586952668977e-18,0.0,0.02997156181250391,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0036160011343101955,0.0,0.0,0.0030743137172775372,0.0030743137056275516,0.0,0.0,0.9154929577464789,1.0,0.0,0.0,Research
ajm,0.007791603674845912,0.025514771709937333,0.38962994836488807,0.010908705782673162,0.6427480916030535,0.03595540901240383,0.06274509803921569,0.5131303741575645,0.03991769547325103,0.7715061058344642,0.01529065049331568,0.00036589828027808267,0.0190937205862579,0.002028397565922921,1.0,0.0006720430107526882,1.0,0.06561085972850679,0.46622542339887085,0.1016949152542373,0.18176094028754328,0.06925207756232687,0.6083188908145578,0.16666666666666666,0.15621562156215624,0.16666666666666666,1.0,0.18181818181818182,1.0,0.25,0.32806324110671936,0.25,1.0,0.25,1.0,0.686046511627907,0.7241379310344828,0.6041666666666666,0.7727272727272727,0.011016621569385389,0.7447127643617818,0.0035016049022468633,0.2552872356382181,0.0367504835589942,0.5055710306406686,0.03132628152969894,0.4944289693593315,0.09998790225018146,0.2373984266243647,0.33417196335308724,0.0874865466792747,0.13001188453808868,0.0038691387834132833,0.0004146366746138696,0.0351311232063335,0.007669616519174041,0.02419765664798776,0.0009590792838874681,0.028026315789473684,0.012096774193548387,0.13659078289838977,0.06170584333478432,0.2850714858481482,0.12257935582719914,0.008559670781893004,0.031000319590923617,0.3490566037735849,0.5081967213114754,0.006316620607974733,0.5674,0.006420545746388443,0.1075085324232082,0.02497027348394768,0.48213971493929264,0.03837471783295711,0.40491591203104793,0.1474964299013678,0.5003439376260879,0.2230230165344356,0.39182175706398475,0.009073674364629535,0.0,0.8226744186046512,0.5171973400273047,1.0,0.7724910194475411,0.6969696969696969,0.2237308744553652,0.17021276595744678,0.318840579710145,0.6848365943898651,0.007339948505345747,0.10920717026781832,0.28473215572967225,0.17358827854041245,0.0,0.00907963457240427,0.026638040712468194,0.2780031537855767,0.75,0.032076400714840705,0.02633253740523072,0.017254283030298124,0.017254283005505733,0.019687089808079133,0.019687089755697336,0.6346153846153847,0.75,0.6619718309859157,0.0,0.01818181818181818,0.07303370786516854,Director
apblair,0.0025002907314804045,0.003133393017009848,0.16092943201376939,0.0038127515356915906,0.7251908396946565,0.010519704820222955,0.008823529411764706,0.27933999535208,0.011934156378600824,0.8333785617367706,0.004484687993849571,0.00018294914013904133,0.026892564205997043,0.0010141987829614604,1.0,0.0003360215053763441,1.0,0.04524886877828054,1.0,0.0423728813559322,0.10410326372127192,0.04847645429362881,0.6476025418833045,0.16666666666666666,0.44004400440044006,0.16666666666666666,1.0,0.18181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767441860465116,0.9885057471264368,1.0,0.9545454545454546,0.004348666408967916,0.9400029998500075,0.0002918004085205719,0.059997000149992506,0.014990328820116054,0.9020427112349118,0.0020341741253051262,0.0979572887650882,0.025223808371642918,0.39013888439250216,0.18076084882798232,0.034424937405465435,0.025967679805796524,0.0009183633835013943,0.0040427075774852285,0.9648688767936665,0.008259587020648967,0.4248599083036169,0.012148337595907928,1.0,0.015120967741935484,0.5491393670183231,0.004533041062952138,0.019213463080527064,0.008328852641546243,0.0018106995884773663,0.007031000319590924,0.20754716981132074,0.4098360655737705,0.002289774970390841,0.58,0.0016051364365971107,0.07584376185058779,0.0064209274673008325,0.4217842688720746,0.009029345372460496,0.33117723156532985,0.007525525658708806,0.3364142670932575,0.03630969921889048,0.4882865799755784,0.0005226173014802828,0.0,0.9069767441860465,0.776216829856677,1.0,0.9288274044795785,0.5974025974025974,0.07572708981159727,0.04255319148936171,0.07246376811594206,0.4960870260178744,0.0020749448220586863,0.007527218466078207,0.04287295682495342,0.012781059172843473,0.0,0.000522960592144937,0.039141414141414144,0.7672470574195916,0.75,0.02450515263111442,0.011514779649439163,0.002347389737269378,0.00234738973429904,0.0026296973325379627,0.0026296973283235015,0.7403846153846154,0.75,0.8732394366197183,0.0,0.01818181818181818,0.0028089887640449437,GradStudent
apoetter,0.24072566577509014,0.12891674127126232,0.0,0.20610040245710654,0.1916030534351145,0.6377767310409798,0.4117647058823529,0.08110620497327446,0.5709876543209876,0.31886024423337844,0.3501046427198565,0.19447493596780094,0.344628210299852,0.14807302231237324,0.1373,0.19724462365591397,0.5522,0.41855203619909503,0.16702355460385437,0.3983050847457627,0.08636792947843423,0.4376731301939058,0.5794338532640093,0.08333333333333333,0.0022002200220022005,0.08333333333333333,1.0,0.09090909090909091,1.0,0.5,0.039525691699604744,0.375,0.75,0.5,1.0,0.627906976744186,0.4482758620689655,0.75,0.7575757575757576,0.24555469655972167,0.4202789860506975,0.2338780274292384,0.5797210139493025,0.7292069632495164,0.6025998142989786,0.4255492270138324,0.3974001857010213,0.22217517541737233,0.09815792029525072,0.5966909447632257,0.0913338727074164,0.08977484155052663,0.006721629182266554,0.03223800145122836,0.09277585353785255,0.3823008849557522,0.2521650534895568,0.07896419437340153,0.07842105263157895,0.2590725806451613,0.16268739589117154,0.24489563252699872,0.6494304593092677,0.3561678903316981,0.4166255144032922,0.5292425695110259,0.5754716981132075,0.4590163934426229,0.16533754441373866,0.5049,0.2897271268057785,0.1651497914296549,0.5039239001189061,0.5826148161182475,0.4898419864559819,0.2677878395860285,0.3177523934462688,0.45127709945694183,1.0,0.5684206503043426,0.7288454016474386,1.0,0.3572488866897575,0.08922945934440195,0.27575757575757576,0.12129358771715011,1.0,0.7548201832353341,1.0,0.8405797101449277,0.9875812564408877,0.4786052821583128,1.0,0.8543542825679297,1.0,1.0,0.7292745635526927,0.01962673128359948,0.04814209819729846,0.75,0.41322207842374076,0.3610160895953424,0.2321976982806443,0.2321976981392711,0.23125984952296666,0.23125984921874443,0.44230769230769235,0.75,0.15492957746478922,0.0,0.9636363636363636,0.7780898876404494,PM
arog3632,0.038609140597743924,0.07878245299910475,0.21288726333907054,0.046494386782461344,0.48351145038167936,0.15544041450777202,0.3156862745098039,0.5986521031838252,0.15864197530864196,0.5810040705563093,0.07043095716055182,0.013721185510428101,0.15032943391152345,0.038539553752535496,0.5067,0.01478494623655914,0.5867,0.03506787330316742,0.05178119525014599,0.11016949152542373,0.4096967152901668,0.04016620498614958,0.8194685153090698,0.08333333333333333,0.016501650165016504,0.08333333333333333,1.0,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08139534883720931,0.10344827586206896,0.4791666666666667,0.3181818181818182,0.054310011596443754,0.7630118494075294,0.015465421651590313,0.2369881505924704,0.2190522243713733,0.8703187867533272,0.03417412530512612,0.12968121324667287,0.05722235664166466,0.0831687655799799,0.17596475993011876,0.16782492170270555,0.025081455029319064,0.033221925797805515,0.011091531045921012,0.19730331519049976,0.13982300884955753,0.45720835455934794,0.004475703324808184,0.027499999999999997,0.017137096774193547,0.03692393114936146,0.04100854009908173,0.1652700985009507,0.07481692607096464,0.041810699588477364,0.06807286673058485,0.3584905660377358,0.14754098360655737,0.03166206079747335,0.5976,0.019261637239165328,0.06788016685627607,0.08347205707491082,0.2931550237550589,0.07223476297968397,0.13454075032341528,0.05763185826836111,0.4952145714495879,0.20902592401442885,0.4871934503886669,0.03841273186752338,0.0,0.6770025839793281,0.42874627501064283,1.0,0.6076508412460436,0.6814814814814815,0.25724937862468944,0.19148936170212766,0.3623188405797102,0.730280401976057,0.0990134634935335,0.0914046584720327,0.3101528226661821,0.1409987153522575,0.0,0.03838799868497709,0.029780897681344395,0.21340894723970472,0.75,0.041780570640737466,0.02712174783969929,0.012125407153132704,0.012125407143359973,0.0104578587876116,0.010457858776804064,0.6490384615384616,0.75,0.619718309859155,0.0,0.01818181818181818,0.09550561797752809,GradStudent
asohangh,0.008024188859169671,0.01656222023276634,0.2284853700516351,0.008790510485066723,0.3998473282442748,0.02669178834981944,0.030392156862745098,0.3104810597257727,0.02860082304526749,0.6998643147896881,0.012941528210823047,0.00036589828027808267,0.018555869302137956,0.002028397565922921,1.0,0.0006720430107526882,1.0,0.049773755656108594,0.4710920770877944,0.0847457627118644,0.20705215657466683,0.04986149584487535,0.4864240323512421,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.43478260869565216,0.25,1.0,0.25,1.0,0.6046511627906976,0.8275862068965517,0.7083333333333334,0.8484848484848485,0.00937379203710862,0.5345732713364331,0.006565509191712868,0.4654267286635669,0.031914893617021274,0.6768802228412256,0.015459723352318959,0.3231197771587744,0.1512218727316719,0.3305383793583476,0.29454278564767533,0.0933840033048885,0.07879281727343154,0.0028681571991925584,0.0034207525655644243,0.28154379020286985,0.007669616519174041,0.0825267447784004,0.006074168797953964,0.1723684210526316,0.010080645161290322,0.15463631315935591,0.008174761105238066,0.02721119402201127,0.013178467936486788,0.004609053497942387,0.020453819111537232,0.1792452830188679,0.4426229508196722,0.008922226608764312,0.7793,0.0040128410914927765,0.06541524459613197,0.020214030915576695,0.5539327819813478,0.01580135440180587,0.20633893919793014,0.14535116734626713,0.5352399703626151,0.5194250688179463,0.7110820634409324,0.021778594575373955,0.000811863150828025,0.7069767441860465,0.40241805023414223,0.9,0.6596093257718968,0.6524822695035462,0.18122722348074466,0.10638297872340423,0.26086956521739146,0.6661303093818094,0.01231748170453438,0.027826211013493918,0.16519814777113906,0.04932854134153335,0.0009859399998625737,0.021774131773720836,0.016166040884438883,0.4257137189323046,0.75,0.03552473664409658,0.025598116351716778,0.005238370663501946,0.005238370656612336,0.005917042428794854,0.0059170424137439765,0.6778846153846155,0.75,0.7183098591549295,0.0,0.03636363636363636,0.08426966292134831,GradStudent
awais,0.0012792185137806722,0.003133393017009848,0.33229345955249573,0.0011650074136835417,0.31557251908396944,0.010519704820222955,0.00784313725490196,0.24982570299790843,0.011728395061728396,0.7991858887381277,0.0035877503950796567,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.6550515865291024,0.01694915254237288,0.06716339594920769,0.029085872576177285,0.46504910456383575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8837209302325582,0.8620689655172413,1.0,0.8787878787878788,0.0017394665635871666,0.5861706914654267,0.0011672016340822876,0.4138293085345733,0.014264990328820115,0.8432373878056331,0.0032546786004882017,0.15676261219436707,0.19247519961287202,0.3629771115931238,0.10077457170585873,0.1392366747866594,0.0009075319750836229,0.01138469175877956,0.0002073183373069348,0.08535378525482436,0.010029498525073746,0.521650534895568,0.00031969309462915604,0.045394736842105265,0.017137096774193547,0.6193781232648528,0.0013395725804779969,0.011030145562905094,0.0037590228443907287,0.0018106995884773663,0.007031000319590924,0.3584905660377358,0.4098360655737705,0.0017370706671930517,0.7586,0.0,0.0,0.007847800237812128,0.5553404891782509,0.013544018058690745,0.49482535575679176,0.08745421815411814,1.0,0.07688128506287599,0.8265913489138595,0.0,0.0,0.8837209302325582,0.606896551724138,1.0,1.0,0.6301369863013698,0.03259810434936675,0.06382978723404255,0.04347826086956518,0.5466826080371651,0.0033409415221061275,0.017012939468819217,0.01233674949565544,0.02861064046162456,0.0,0.0,0.02229654403567447,0.9747538975302461,0.75,0.02424377624268615,0.008823794947927614,0.01658661042309974,0.016586610383058236,0.017581180469303966,0.017581180386948374,0.7019230769230771,0.75,0.9436619718309859,1.0,0.01818181818181818,0.0,GradStudent
bdeird7,0.059367368298639374,0.15085049239033124,0.28108864027538727,0.07032408388053378,0.4668702290076337,0.15559742502747684,0.3088235294117647,0.5816871949802463,0.16707818930041152,0.6898236092265944,0.08572160765386751,0.0005488474204171241,0.003899421809869571,0.0030425963488843813,1.0,0.0010080645161290322,1.0,0.06108597285067873,0.09635974304068522,0.11016949152542373,0.21765137999790116,0.05955678670360111,0.4222992489890237,0.25,0.0319031903190319,0.25,1.0,0.2727272727272727,1.0,0.25,0.07905138339920949,0.25,1.0,0.25,1.0,0.0,0.09195402298850575,0.5208333333333334,0.0,0.0882296095863935,0.8366581670916454,0.01634082287715203,0.16334183290835458,0.22920696324951645,0.9336118848653667,0.017493897477624084,0.06638811513463325,0.10906121461408172,0.03962575674188225,0.4372811514091143,0.2587909950699391,0.6800870990055665,0.022456228993718214,0.08614076915103142,1.0,0.26607669616519175,1.0,0.018222506393861894,0.07289473684210526,0.04334677419354839,0.10882842865074957,0.07026407976286715,0.1844520468798695,0.10152026303643397,0.038353909465020576,0.06615532118887824,0.2169811320754717,0.13114754098360654,0.04429530201342282,0.5457,0.033707865168539325,0.07755024649222601,0.04684898929845422,0.022347351750835805,0.04288939051918736,0.05045278137128074,0.06946144035120533,0.7714064820587412,0.15783801935213082,0.36291578059679896,0.0407637046942776,0.018814409117886954,0.5261627906976745,0.31716996937612446,0.7333333333333333,0.5333461840508317,0.6618705035971222,0.24591343682533168,0.17021276595744678,0.34782608695652184,0.6493991960560643,0.10161878506238727,0.04082758617610429,0.24849196246437652,0.07283942926733214,0.022014835737619316,0.04099996822755921,0.021148308135349177,0.23674485623185657,0.75,0.0432356949283916,0.035264277243875715,0.005006553863262136,0.005006553857961561,0.006548274192166752,0.006548274184389685,0.668269230769231,0.75,0.6338028169014085,0.0,0.03636363636363636,0.1404494382022472,GradStudent
ccallsen,0.26183277125247123,0.3102059086839749,0.09046901893287435,0.248676127938996,0.26977099236641233,0.5391741246663526,0.5352941176470588,0.2103183825238206,0.4596707818930041,0.23120759837177735,0.3387861444496647,0.3988291255031101,0.6499932768589485,0.42697768762677485,0.1931,0.3948252688172043,0.539,0.7364253393665159,0.3579910453572124,0.4491525423728814,0.03746458180291741,0.7174515235457064,0.4107452339688042,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.04743083003952569,0.5,1.0,0.5,1.0,0.4883720930232558,0.4827586206896552,0.5208333333333334,0.6363636363636364,0.26884422110552764,0.42627868606569674,0.2516778523489933,0.5737213139343034,0.5411025145067698,0.4628597957288766,0.48657445077298617,0.5371402042711235,0.1276917493346238,0.08896370876363753,0.3997601227899556,0.0495393848839744,0.07756936442279803,0.005014564156770082,0.042603918316575104,0.11269173676397823,0.1935103244837758,0.08991339786041772,0.0879156010230179,0.08026315789473684,0.19556451612903225,0.14408661854525262,0.2630005907592811,0.5420633725633007,0.340288635855368,0.2516872427983539,0.4177053371684244,0.32075471698113206,0.4098360655737705,0.26608764311093563,0.7472,0.29213483146067415,0.15301478953356085,0.5835909631391201,0.9211683969734294,0.6297968397291196,0.4476067270375162,0.20468885451046034,0.38467168399872426,0.4604998458412414,0.27221478335499066,0.10726401686421007,0.10268301781955427,0.49750830564784054,0.25890922851331505,0.6061538461538462,0.39656988781356833,0.8141592920353983,0.42139012939425163,0.5957446808510637,0.5507246376811595,0.9772228986762719,0.17078728699916199,0.6662848377670108,0.5150225950030523,0.7415827922821668,0.10244359423274216,0.10732509094800027,0.03643533123028391,0.1959455331804728,0.75,0.2651191983978313,0.24733444108619004,0.3314796254670622,0.33147962495848987,0.33011970046434685,0.33011969936038343,0.5432692307692307,0.75,0.43661971830985913,0.0,0.45454545454545453,0.21348314606741572,Director
