@relation cros_norm_email_features_6-_20_20

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
0.002617,0.013429,0.627582,0.004025,0.735725,0.031873,0.070588,0.681153,0.038477,0.96228,0.010379,0.001281,0.180987,0.007099,1,0.002352,1,0.003394,0.025891,0.008475,0.475286,0.00277,0.277874,0,0,0,0,0,0,0,0,0,0,0,0,0.034884,0.011494,0.6875,0.166667,0.004252,0.855707,0.00073,0.144293,0.047631,0.956825,0.002441,0.043175,0,0.129496,0.162794,0.192886,0.028269,0.011551,0.00197,0.452004,0.034218,0.579215,0.00032,0.025263,0,0,0.010727,0.122676,0.040997,0.001152,0.006072,0.122642,0,0.002606,0.6346,0.002408,0.109405,0.008086,0,0.015801,0.162354,0.120673,0.671532,0.118566,0.271205,0.000109,0,0,0.828343,0,0.956506,0,0.032598,0,0.028986,0,0,0,0.01684,0,0,0.000109,0,0.54627,0,0,0.002241,0,0,0,0,0,0,0.943662,1,0,0.002809,GradStudent
0.000116,0.002238,1,0,0.321527,0.005338,0.010784,0.696956,0.006584,1,0.001324,0,0,0,0,0,0,0.002262,0.116605,0,0.300346,0.00277,1,0,0,0,0,0,0,0,0,0,0,0,0,0.744186,0.689655,0.770833,0.969697,0,0,0.000875,1,0.005803,0.663572,0.004068,0.336428,0.48391,1,0,0.136431,0,0.002991,0,0,0.00059,0.121498,0,0,0.002016,0.167962,0.000236,0.007185,0.001903,0,0.008309,0,1,0.000711,1,0,0,0.00214,0.276439,0.011287,0.765201,0.416779,0.964214,0.368838,0.495066,0,0,0,0.595573,0,1,0,0.04952,0,0.072464,0,0,0,0.029972,0,0,0,0,1,0,0,0.003616,0,0,0.003074,0.003074,0,0,0.915493,1,0,0,Research
0.007792,0.025515,0.38963,0.010909,0.642748,0.035955,0.062745,0.51313,0.039918,0.771506,0.015291,0.000366,0.019094,0.002028,1,0.000672,1,0.065611,0.466225,0.101695,0.181761,0.069252,0.608319,0.166667,0.156216,0.166667,1,0.181818,1,0.25,0.328063,0.25,1,0.25,1,0.686047,0.724138,0.604167,0.772727,0.011017,0.744713,0.003502,0.255287,0.03675,0.505571,0.031326,0.494429,0.099988,0.237398,0.334172,0.087487,0.130012,0.003869,0.000415,0.035131,0.00767,0.024198,0.000959,0.028026,0.012097,0.136591,0.061706,0.285071,0.122579,0.00856,0.031,0.349057,0.508197,0.006317,0.5674,0.006421,0.107509,0.02497,0.48214,0.038375,0.404916,0.147496,0.500344,0.223023,0.391822,0.009074,0,0.822674,0.517197,1,0.772491,0.69697,0.223731,0.170213,0.318841,0.684837,0.00734,0.109207,0.284732,0.173588,0,0.00908,0.026638,0.278003,0.75,0.032076,0.026333,0.017254,0.017254,0.019687,0.019687,0.634615,0.75,0.661972,0,0.018182,0.073034,Director
0.0025,0.003133,0.160929,0.003813,0.725191,0.01052,0.008824,0.27934,0.011934,0.833379,0.004485,0.000183,0.026893,0.001014,1,0.000336,1,0.045249,1,0.042373,0.104103,0.048476,0.647603,0.166667,0.440044,0.166667,1,0.181818,1,0,0,0,0,0,0,0.976744,0.988506,1,0.954545,0.004349,0.940003,0.000292,0.059997,0.01499,0.902043,0.002034,0.097957,0.025224,0.390139,0.180761,0.034425,0.025968,0.000918,0.004043,0.964869,0.00826,0.42486,0.012148,1,0.015121,0.549139,0.004533,0.019213,0.008329,0.001811,0.007031,0.207547,0.409836,0.00229,0.58,0.001605,0.075844,0.006421,0.421784,0.009029,0.331177,0.007526,0.336414,0.03631,0.488287,0.000523,0,0.906977,0.776217,1,0.928827,0.597403,0.075727,0.042553,0.072464,0.496087,0.002075,0.007527,0.042873,0.012781,0,0.000523,0.039141,0.767247,0.75,0.024505,0.011515,0.002347,0.002347,0.00263,0.00263,0.740385,0.75,0.873239,0,0.018182,0.002809,GradStudent
0.240726,0.128917,0,0.2061,0.191603,0.637777,0.411765,0.081106,0.570988,0.31886,0.350105,0.194475,0.344628,0.148073,0.1373,0.197245,0.5522,0.418552,0.167024,0.398305,0.086368,0.437673,0.579434,0.083333,0.0022,0.083333,1,0.090909,1,0.5,0.039526,0.375,0.75,0.5,1,0.627907,0.448276,0.75,0.757576,0.245555,0.420279,0.233878,0.579721,0.729207,0.6026,0.425549,0.3974,0.222175,0.098158,0.596691,0.091334,0.089775,0.006722,0.032238,0.092776,0.382301,0.252165,0.078964,0.078421,0.259073,0.162687,0.244896,0.64943,0.356168,0.416626,0.529243,0.575472,0.459016,0.165338,0.5049,0.289727,0.16515,0.503924,0.582615,0.489842,0.267788,0.317752,0.451277,1,0.568421,0.728845,1,0.357249,0.089229,0.275758,0.121294,1,0.75482,1,0.84058,0.987581,0.478605,1,0.854354,1,1,0.729275,0.019627,0.048142,0.75,0.413222,0.361016,0.232198,0.232198,0.23126,0.23126,0.442308,0.75,0.15493,0,0.963636,0.77809,PM
0.038609,0.078782,0.212887,0.046494,0.483511,0.15544,0.315686,0.598652,0.158642,0.581004,0.070431,0.013721,0.150329,0.03854,0.5067,0.014785,0.5867,0.035068,0.051781,0.110169,0.409697,0.040166,0.819469,0.083333,0.016502,0.083333,1,0.090909,1,0,0,0,0,0,0,0.081395,0.103448,0.479167,0.318182,0.05431,0.763012,0.015465,0.236988,0.219052,0.870319,0.034174,0.129681,0.057222,0.083169,0.175965,0.167825,0.025081,0.033222,0.011092,0.197303,0.139823,0.457208,0.004476,0.0275,0.017137,0.036924,0.041009,0.16527,0.074817,0.041811,0.068073,0.358491,0.147541,0.031662,0.5976,0.019262,0.06788,0.083472,0.293155,0.072235,0.134541,0.057632,0.495215,0.209026,0.487193,0.038413,0,0.677003,0.428746,1,0.607651,0.681481,0.257249,0.191489,0.362319,0.73028,0.099013,0.091405,0.310153,0.140999,0,0.038388,0.029781,0.213409,0.75,0.041781,0.027122,0.012125,0.012125,0.010458,0.010458,0.649038,0.75,0.619718,0,0.018182,0.095506,GradStudent
0.008024,0.016562,0.228485,0.008791,0.399847,0.026692,0.030392,0.310481,0.028601,0.699864,0.012942,0.000366,0.018556,0.002028,1,0.000672,1,0.049774,0.471092,0.084746,0.207052,0.049861,0.486424,0,0,0,0,0,0,0.25,0.434783,0.25,1,0.25,1,0.604651,0.827586,0.708333,0.848485,0.009374,0.534573,0.006566,0.465427,0.031915,0.67688,0.01546,0.32312,0.151222,0.330538,0.294543,0.093384,0.078793,0.002868,0.003421,0.281544,0.00767,0.082527,0.006074,0.172368,0.010081,0.154636,0.008175,0.027211,0.013178,0.004609,0.020454,0.179245,0.442623,0.008922,0.7793,0.004013,0.065415,0.020214,0.553933,0.015801,0.206339,0.145351,0.53524,0.519425,0.711082,0.021779,0.000812,0.706977,0.402418,0.9,0.659609,0.652482,0.181227,0.106383,0.26087,0.66613,0.012317,0.027826,0.165198,0.049329,0.000986,0.021774,0.016166,0.425714,0.75,0.035525,0.025598,0.005238,0.005238,0.005917,0.005917,0.677885,0.75,0.71831,0,0.036364,0.08427,GradStudent
0.001279,0.003133,0.332293,0.001165,0.315573,0.01052,0.007843,0.249826,0.011728,0.799186,0.003588,0,0,0,0,0,0,0.029412,0.655052,0.016949,0.067163,0.029086,0.465049,0,0,0,0,0,0,0,0,0,0,0,0,0.883721,0.862069,1,0.878788,0.001739,0.586171,0.001167,0.413829,0.014265,0.843237,0.003255,0.156763,0.192475,0.362977,0.100775,0.139237,0.000908,0.011385,0.000207,0.085354,0.010029,0.521651,0.00032,0.045395,0.017137,0.619378,0.00134,0.01103,0.003759,0.001811,0.007031,0.358491,0.409836,0.001737,0.7586,0,0,0.007848,0.55534,0.013544,0.494825,0.087454,1,0.076881,0.826591,0,0,0.883721,0.606897,1,1,0.630137,0.032598,0.06383,0.043478,0.546683,0.003341,0.017013,0.012337,0.028611,0,0,0.022297,0.974754,0.75,0.024244,0.008824,0.016587,0.016587,0.017581,0.017581,0.701923,0.75,0.943662,1,0.018182,0,GradStudent
0.059367,0.15085,0.281089,0.070324,0.46687,0.155597,0.308824,0.581687,0.167078,0.689824,0.085722,0.000549,0.003899,0.003043,1,0.001008,1,0.061086,0.09636,0.110169,0.217651,0.059557,0.422299,0.25,0.031903,0.25,1,0.272727,1,0.25,0.079051,0.25,1,0.25,1,0,0.091954,0.520833,0,0.08823,0.836658,0.016341,0.163342,0.229207,0.933612,0.017494,0.066388,0.109061,0.039626,0.437281,0.258791,0.680087,0.022456,0.086141,1,0.266077,1,0.018223,0.072895,0.043347,0.108828,0.070264,0.184452,0.10152,0.038354,0.066155,0.216981,0.131148,0.044295,0.5457,0.033708,0.07755,0.046849,0.022347,0.042889,0.050453,0.069461,0.771406,0.157838,0.362916,0.040764,0.018814,0.526163,0.31717,0.733333,0.533346,0.661871,0.245913,0.170213,0.347826,0.649399,0.101619,0.040828,0.248492,0.072839,0.022015,0.041,0.021148,0.236745,0.75,0.043236,0.035264,0.005007,0.005007,0.006548,0.006548,0.668269,0.75,0.633803,0,0.036364,0.140449,GradStudent
0.261833,0.310206,0.090469,0.248676,0.269771,0.539174,0.535294,0.210318,0.459671,0.231208,0.338786,0.398829,0.649993,0.426978,0.1931,0.394825,0.539,0.736425,0.357991,0.449153,0.037465,0.717452,0.410745,0,0,0,0,0,0,0.5,0.047431,0.5,1,0.5,1,0.488372,0.482759,0.520833,0.636364,0.268844,0.426279,0.251678,0.573721,0.541103,0.46286,0.486574,0.53714,0.127692,0.088964,0.39976,0.049539,0.077569,0.005015,0.042604,0.112692,0.19351,0.089913,0.087916,0.080263,0.195565,0.144087,0.263001,0.542063,0.340289,0.251687,0.417705,0.320755,0.409836,0.266088,0.7472,0.292135,0.153015,0.583591,0.921168,0.629797,0.447607,0.204689,0.384672,0.4605,0.272215,0.107264,0.102683,0.497508,0.258909,0.606154,0.39657,0.814159,0.42139,0.595745,0.550725,0.977223,0.170787,0.666285,0.515023,0.741583,0.102444,0.107325,0.036435,0.195946,0.75,0.265119,0.247334,0.33148,0.33148,0.33012,0.33012,0.543269,0.75,0.43662,0,0.454545,0.213483,Director
