@relation cros_unnorm_email_features_60_20_20

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
52,34,0.6538,43,0.8269,215,78,0.3628,198,0.9209,267,7,0.1346,7,1,7,1,4,0.0186,2,0.5,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,17,11,85,45,47,0.9038,5,0.0962,209,0.9721,6,0.0279,1,1.4,238.596154,998.032558,90408.509985,1300026.450103,19,0.3654,62,0.2884,1,0.0192,1,0.0047,0.8609,3.5596,4.4205,7,27,0.13,0.13,33,0.6346,3,0.0577,41,0.1907,8,0.0372,24.865385,39.683721,167.154956,508.997642,0.00001,0,0,55.444444,0,0.972222,0,0.522013,0,0.108434,0,0,0,4.509748462090525E13,0,0,0.00001,0,0.434795,0,0,0.002335,0,0,0.000181,0.000181,0,0,1.892857,3,0,2,GradStudent
9,9,1,5,0.5556,46,17,0.3696,43,0.9348,55,0,0,0,0,0,0,3,0.0652,1,0.3333,3,1,0,0,0,0,0,0,0,0,0,0,0,0,78,70,89,98,3,0.3333,6,0.6667,36,0.7826,10,0.2174,1.8,4.0889,78,794.826087,8138.222222,415333.839319,0,0,5,0.1087,0,0,3,0.0652,0.0511,0.2614,0.3125,0,34,0,0.74,9,1,0,0,16,0.3478,6,0.1304,47.333333,47.5,431.111111,769.815217,0,0,0,48.25,0,1,0,0.528662,0,0.144578,0,0,0,5.9822909177044E13,0,0,0,0,0.65366,0,0,0.002519,0,0,0.000666,0.000666,0,0,1.869048,3,0,1,Research
141,61,0.4326,108,0.766,241,70,0.2905,205,0.8506,382,2,0.0142,2,1,2,1,59,0.2448,13,0.2203,51,0.8644,2,0.0142,2,1,2,1,2,0.0083,2,1,2,1,73,73,81,85,117,0.8298,24,0.1702,164,0.6805,77,0.3195,1.1653,1.7333,407.659574,618.651452,386502.281274,506111.164822,4,0.0284,17,0.0705,3,0.0213,13,0.0539,4.7959,8.1973,12.9932,52,105,0.37,0.44,80,0.5674,8,0.0567,112,0.4647,18,0.0747,26.900709,35.112033,277.323475,649.526868,0.000846,0,35.375,45.827586,1,0.854701,0.507576,0.597122,0.119403,0.349398,37.109754,0.005366,13323110.316081,3.4550497279807225E14,0.135889,0,0.000846,0.319656,0.305392,3,0.004579,0.005553,0.002779,0.002779,0.003282,0.003282,1.941176,3,1.654762,2,1,27,Director
50,11,0.22,41,0.82,79,15,0.1899,69,0.8734,129,1,0.02,1,1,1,1,41,0.519,6,0.1463,36,0.878,2,0.04,2,1,2,1,0,0,0,0,0,0,98,96,100,97,48,0.96,2,0.04,74,0.9367,5,0.0633,1.0417,2.2051,256.32,427.658228,83710.0576,201151.161673,39,0.78,18,0.2278,38,0.76,16,0.2025,0.3828,0.6049,0.9877,11,30,0.22,0.38,29,0.58,2,0.04,34,0.4304,5,0.0633,16.28,30.734177,80.4016,761.91668,0.000049,0,39,53.833333,1,0.954545,0.435065,0.538961,0.029851,0.144578,26.881839,0.001517,918309.317519,7.429020607754098E13,0.010005,0,0.000049,0.469697,0.541388,3,0.003498,0.003574,0.000378,0.000378,0.000596,0.000596,2.264706,3,1.833333,2,1,2,GradStudent
4147,292,0.0704,1951,0.4705,4074,426,0.1046,2786,0.6838,8221,1063,0.2563,146,0.1373,587,0.5522,371,0.0911,48,0.1294,317,0.8544,1,0.0002,1,1,1,1,4,0.001,3,0.75,4,1,68,49,88,84,2544,0.6135,1603,0.3865,3028,0.7432,1046,0.2568,1.3673,1.3032,666.633711,632.499755,269403.364024,800913.500859,311,0.075,652,0.16,247,0.0596,258,0.0633,18.9361,18.6027,37.5388,2531,1664,0.61,0.41,2094,0.5049,361,0.0871,2126,0.5218,218,0.0535,39.819388,33.801669,1096.781703,855.279762,0.067971,0.19735,15.361702,32.6,0.275758,0.438812,0.728261,0.805825,0.701493,0.783133,53.514806,0.349915,121998494.086126,9.84264767541925E14,0.782821,0.196236,0.067966,0.235521,0.194514,3,0.05899,0.050256,0.037401,0.037401,0.036609,0.036609,1.352941,3,1.22619,2,53,278,PM
671,180,0.2683,444,0.6617,1002,328,0.3273,782,0.7804,1673,75,0.1118,38,0.5067,44,0.5867,32,0.0319,14,0.4375,30,0.9375,1,0.0015,1,1,1,1,0,0,0,0,0,0,21,19,75,55,565,0.842,106,0.158,918,0.9162,84,0.0838,1.0946,1.2569,251.588674,907.826347,81130.942584,3539695.496791,107,0.1595,241,0.2405,14,0.0209,18,0.018,3.1983,4.776,7.9743,254,221,0.38,0.22,401,0.5976,24,0.0358,358,0.3573,33,0.0329,20.081967,34.97505,262.561091,760.64309,0.003582,0,29.111111,43.09375,1,0.749425,0.496296,0.610294,0.134328,0.385542,39.572251,0.07239,11151230.686045,3.740110634668912E14,0.110377,0,0.003578,0.357371,0.274234,3,0.005964,0.005659,0.001953,0.001953,0.001829,0.001829,1.985294,3,1.619048,2,1,35,GradStudent
145,41,0.2828,88,0.6069,182,37,0.2033,150,0.8242,327,2,0.0138,2,1,2,1,45,0.2473,11,0.2444,37,0.8222,0,0,0,0,0,0,2,0.011,2,1,2,1,66,82,86,90,100,0.6897,45,0.3103,144,0.7912,38,0.2088,1.25,2.021,368.565517,639.879121,237443.183639,402660.611762,33,0.2276,17,0.0934,19,0.131,11,0.0604,0.6639,0.8333,1.4973,28,72,0.19,0.4,113,0.7793,5,0.0345,92,0.5055,8,0.044,26.737931,36.043956,589.93132,1021.492573,0.002031,0.00016,30.4,42.28,0.9,0.782609,0.475177,0.58042,0.074627,0.301205,36.096102,0.009005,3394755.839769,2.1146257031572784E14,0.038615,0.000193,0.002029,0.193992,0.376643,3,0.005071,0.005455,0.000844,0.000844,0.001113,0.001113,2.073529,3,1.702381,2,2,31,GradStudent
29,11,0.3793,16,0.5517,79,14,0.1772,68,0.8608,108,0,0,0,0,0,0,27,0.3418,3,0.1111,22,0.8148,0,0,0,0,0,0,0,0,0,0,0,0,90,85,100,92,21,0.7241,8,0.2759,71,0.8987,8,0.1013,1.3182,2.1212,177.413793,804.924051,10779.346017,1282836.854991,2,0.069,21,0.2658,1,0.0345,18,0.2278,0.1363,0.3712,0.5075,11,30,0.38,0.38,22,0.7586,0,0,40,0.5063,7,0.0886,22.344828,48.455696,123.191439,1156.070822,0,0,38,48.6,1,1,0.458904,0.522013,0.044776,0.120482,29.6235,0.002443,2075552.995174,4.004767825618655E13,0.022397,0,0,0.267559,0.641482,3,0.003461,0.003214,0.002672,0.002672,0.002951,0.002951,2.147059,3,1.892857,3,1,1,GradStudent
1028,341,0.3317,669,0.6508,1003,321,0.32,823,0.8205,2031,3,0.0029,3,1,3,1,55,0.0548,14,0.2545,44,0.8,3,0.0029,3,1,3,1,2,0.002,2,1,2,1,14,18,77,34,916,0.8911,112,0.1089,960,0.9571,43,0.0429,1.1803,1.1224,509.376459,1235.255234,1987345.863142,2427070.343629,831,0.8084,455,0.4536,57,0.0554,44,0.0439,5.4565,5.3238,10.7803,233,215,0.23,0.21,561,0.5457,42,0.0409,204,0.2034,20,0.0199,20.979572,42.350947,208.574485,615.84892,0.003802,0.003713,22.625,39.645161,0.733333,0.70197,0.482014,0.605839,0.119403,0.373494,35.189481,0.074295,4980904.030656,3.048661399281004E14,0.05702,0.00432,0.003821,0.25378,0.28549,3,0.006172,0.006746,0.000806,0.000806,0.001213,0.001213,2.044118,3,1.630952,2,2,51,GradStudent
4510,697,0.1545,2353,0.5217,3446,552,0.1602,2245,0.6515,7956,2180,0.4834,421,0.1931,1175,0.539,652,0.1892,54,0.0828,519,0.796,0,0,0,0,0,0,4,0.0012,4,1,4,1,56,52,77,76,2785,0.6175,1725,0.3825,2250,0.6529,1196,0.3471,1.2111,1.2748,472.362084,482.062101,233882.658474,624489.85453,411,0.0911,332,0.0963,275,0.061,195,0.0566,20.3336,15.5365,35.8702,1529,1315,0.34,0.38,3370,0.7472,364,0.0807,2461,0.7142,280,0.0813,31.240355,32.022925,527.784358,510.17446,0.010003,0.020264,21.392857,37.844444,0.606154,0.614618,0.59292,0.674797,0.41791,0.542169,52.95351,0.124865,81285746.839994,6.037468261091965E14,0.580527,0.020103,0.010002,0.437224,0.26581,3,0.037847,0.035072,0.053393,0.053393,0.052181,0.052181,1.661765,3,1.464286,2,25,77,Director
