pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_vt_sent,inter_vt_received,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
adamq,52,34,0.6538,43,0.8269,215,78,0.3628,198,0.9209,267,7,0.1346,7,1.0,7,1.0,4,0.0186,2,0.5,3,0.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,11,85,45,47,0.9038,5,0.0962,209,0.9721,6,0.0279,1.0,1.4,238.59615384615384,998.0325581395348,90408.50998520707,1300026.4501027577,19,0.3654,62,0.2884,1,0.0192,1,0.0047,0.8609,3.5596,4.4205,7,27,0.13,0.13,33,0.6346,3,0.0577,41,0.1907,8,0.0372,24.865384615384613,39.68372093023256,167.15495562130175,508.99764196863197,1.0133046905874127e-05,0.0,0.0,55.444444444444436,0.0,0.9722222222222222,0.0,0.5220125786163522,0.0,0.10843373493975904,0.0,0.0,0.0,45097484620905.25,0.0,0.0,1.0133046905874148e-05,0.0,0.4347953216374269,0.0,0.0,0.0023352480196290326,0.0,0.0,0.00018133523798919757,0.0001813352379214881,0.0,0.0,1.8928571428571428,3.0,0.0,2.0,GradStudent
ahmed12,9,9,1.0,5,0.5556,46,17,0.3696,43,0.9348,55,0,0.0,0,0.0,0,0.0,3,0.0652,1,0.3333,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,78,70,89,98,3,0.3333,6,0.6667,36,0.7826,10,0.2174,1.8,4.0889,78.0,794.8260869565217,8138.222222222223,415333.8393194706,0,0.0,5,0.1087,0,0.0,3,0.0652,0.0511,0.2614,0.3125,0,34,0.0,0.74,9,1.0,0,0.0,16,0.3478,6,0.1304,47.33333333333334,47.5,431.1111111111112,769.8152173913044,0.0,0.0,0.0,48.25,0.0,1.0,0.0,0.5286624203821656,0.0,0.14457831325301207,0.0,0.0,0.0,59822909177044.0,0.0,0.0,0.0,0.0,0.6536601096420509,0.0,0.0,0.002518908744503602,0.0,0.0,0.0006655911007273331,0.0006655911000848901,0.0,0.0,1.869047619047619,3.0,0.0,1.0,Research
ajm,141,61,0.4326,108,0.766,241,70,0.2905,205,0.8506,382,2,0.0142,2,1.0,2,1.0,59,0.2448,13,0.2203,51,0.8644,2,0.0142,2,1.0,2,1.0,2,0.0083,2,1.0,2,1.0,73,73,81,85,117,0.8298,24,0.1702,164,0.6805,77,0.3195,1.1653,1.7333,407.6595744680851,618.6514522821577,386502.2812735779,506111.16482154216,4,0.0284,17,0.0705,3,0.0213,13,0.0539,4.7959,8.1973,12.9932,52,105,0.37,0.44,80,0.5674,8,0.0567,112,0.4647,18,0.0747,26.90070921985816,35.11203319502075,277.3234746743121,649.5268676503505,0.0008461908764208827,0.0,35.375,45.82758620689656,1.0,0.8547008547008547,0.5075757575757576,0.5971223021582733,0.11940298507462685,0.3493975903614458,37.10975376439811,0.005366332752652051,13323110.316080987,345504972798072.25,0.1358885381819103,0.0,0.0008461908764208829,0.3196564885496183,0.3053918414618453,3.0,0.004579084286212158,0.0055530885515661646,0.00277922272901545,0.0027792227283604154,0.0032823813694350798,0.0032823813691872064,1.9411764705882355,3.0,1.6547619047619049,2.0,1.0,27.0,Director
apblair,50,11,0.22,41,0.82,79,15,0.1899,69,0.8734,129,1,0.02,1,1.0,1,1.0,41,0.519,6,0.1463,36,0.878,2,0.04,2,1.0,2,1.0,0,0.0,0,0.0,0,0.0,98,96,100,97,48,0.96,2,0.04,74,0.9367,5,0.0633,1.0417,2.2051,256.32,427.65822784810126,83710.05760000001,201151.1616728089,39,0.78,18,0.2278,38,0.76,16,0.2025,0.3828,0.6049,0.9877,11,30,0.22,0.38,29,0.58,2,0.04,34,0.4304,5,0.0633,16.28,30.734177215189877,80.40160000000002,761.9166800192274,4.873813789220911e-05,0.0,39.0,53.83333333333334,1.0,0.9545454545454546,0.43506493506493504,0.5389610389610391,0.02985074626865672,0.14457831325301207,26.881839451989897,0.001517019411028523,918309.3175188205,74290206077540.98,0.010005280667668221,0.0,4.8738137892209085e-05,0.4696969696969697,0.5413875081046035,3.0,0.0034982465876369387,0.0035739249663975727,0.0003781043176480187,0.0003781043176237498,0.0005955565789511236,0.0005955565792976268,2.264705882352941,3.0,1.8333333333333333,2.0,1.0,2.0,GradStudent
apoetter,4147,292,0.0704,1951,0.4705,4074,426,0.1046,2786,0.6838,8221,1063,0.2563,146,0.1373,587,0.5522,371,0.0911,48,0.1294,317,0.8544,1,0.0002,1,1.0,1,1.0,4,0.001,3,0.75,4,1.0,68,49,88,84,2544,0.6135,1603,0.3865,3028,0.7432,1046,0.2568,1.3673,1.3032,666.6337111164697,632.4997545409916,269403.3640239189,800913.5008590462,311,0.075,652,0.16,247,0.0596,258,0.0633,18.9361,18.6027,37.5388,2531,1664,0.61,0.41,2094,0.5049,361,0.0871,2126,0.5218,218,0.0535,39.819387509042684,33.80166912125675,1096.7817027355427,855.2797615734029,0.06797051606783742,0.19734961487934596,15.361702127659573,32.6,0.27575757575757576,0.4388120839733743,0.7282608695652174,0.8058252427184466,0.7014925373134329,0.783132530120482,53.51480564718872,0.3499146076253637,121998494.086126,984264767541925.0,0.7828209330981676,0.19623613929414468,0.06796589412966889,0.23552077540319374,0.19451419404338424,3.0,0.05898974585233405,0.0502557696161586,0.03740109742916905,0.0374010974513234,0.03660863194426275,0.036608631991081365,1.3529411764705883,3.0,1.2261904761904765,2.0,53.0,278.0,PM
arog3632,671,180,0.2683,444,0.6617,1002,328,0.3273,782,0.7804,1673,75,0.1118,38,0.5067,44,0.5867,32,0.0319,14,0.4375,30,0.9375,1,0.0015,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,21,19,75,55,565,0.842,106,0.158,918,0.9162,84,0.0838,1.0946,1.2569,251.58867362146046,907.8263473053893,81130.9425840827,3539695.496790843,107,0.1595,241,0.2405,14,0.0209,18,0.018,3.1983,4.776,7.9743,254,221,0.38,0.22,401,0.5976,24,0.0358,358,0.3573,33,0.0329,20.08196721311475,34.9750499001996,262.56109061591457,760.6430900673707,0.00358228672734908,0.0,29.11111111111111,43.09375,1.0,0.7494252873563219,0.4962962962962963,0.6102941176470589,0.13432835820895522,0.3855421686746988,39.57225142216817,0.07239004356936407,11151230.686044648,374011063466891.2,0.11037674591769714,0.0,0.0035776301339276125,0.3573707721761327,0.2742336548767417,3.0,0.00596440841947276,0.005658501028857121,0.0019530922901506774,0.0019530922909225825,0.0018286230216423007,0.0018286230241594886,1.9852941176470589,3.0,1.619047619047619,2.0,1.0,35.0,GradStudent
asohangh,145,41,0.2828,88,0.6069,182,37,0.2033,150,0.8242,327,2,0.0138,2,1.0,2,1.0,45,0.2473,11,0.2444,37,0.8222,0,0.0,0,0.0,0,0.0,2,0.011,2,1.0,2,1.0,66,82,86,90,100,0.6897,45,0.3103,144,0.7912,38,0.2088,1.25,2.021,368.5655172413793,639.8791208791208,237443.1836385257,402660.6117618646,33,0.2276,17,0.0934,19,0.131,11,0.0604,0.6639,0.8333,1.4973,28,72,0.19,0.4,113,0.7793,5,0.0345,92,0.5055,8,0.044,26.73793103448276,36.043956043956044,589.9313198573126,1021.4925733607053,0.002031023738606823,0.0001602208801506431,30.4,42.28,0.9,0.7826086956521741,0.475177304964539,0.5804195804195804,0.07462686567164177,0.3012048192771085,36.09610227996763,0.009005472647811397,3394755.839769032,211462570315727.84,0.03861541476135067,0.000193477059148701,0.0020292745817004514,0.1939924906132666,0.3766427104722793,3.0,0.0050713533848436255,0.005454994128020346,0.0008437672423390637,0.0008437672422428518,0.0011133684492099544,0.0011133684491972085,2.073529411764706,3.0,1.7023809523809523,2.0,2.0,31.0,GradStudent
awais,29,11,0.3793,16,0.5517,79,14,0.1772,68,0.8608,108,0,0.0,0,0.0,0,0.0,27,0.3418,3,0.1111,22,0.8148,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,90,85,100,92,21,0.7241,8,0.2759,71,0.8987,8,0.1013,1.3182,2.1212,177.41379310344828,804.9240506329114,10779.34601664685,1282836.854991187,2,0.069,21,0.2658,1,0.0345,18,0.2278,0.1363,0.3712,0.5075,11,30,0.38,0.38,22,0.7586,0,0.0,40,0.5063,7,0.0886,22.344827586206893,48.455696202531655,123.19143876337694,1156.0708219836556,0.0,0.0,38.0,48.6,1.0,1.0,0.4589041095890411,0.5220125786163522,0.04477611940298507,0.12048192771084335,29.62350017176359,0.002442606225604409,2075552.995174361,40047678256186.55,0.022397008262705128,0.0,0.0,0.26755852842809363,0.6414821944177094,3.0,0.0034609336570597554,0.00321449818825391,0.0026716777859883568,0.0026716777827478985,0.002950665403700799,0.0029506653978682205,2.147058823529412,3.0,1.8928571428571428,3.0,1.0,1.0,GradStudent
bdeird7,1028,341,0.3317,669,0.6508,1003,321,0.32,823,0.8205,2031,3,0.0029,3,1.0,3,1.0,55,0.0548,14,0.2545,44,0.8,3,0.0029,3,1.0,3,1.0,2,0.002,2,1.0,2,1.0,14,18,77,34,916,0.8911,112,0.1089,960,0.9571,43,0.0429,1.1803,1.1224,509.3764591439689,1235.2552342971087,1987345.8631423255,2427070.343629133,831,0.8084,455,0.4536,57,0.0554,44,0.0439,5.4565,5.3238,10.7803,233,215,0.23,0.21,561,0.5457,42,0.0409,204,0.2034,20,0.0199,20.9795719844358,42.35094715852443,208.5744854199152,615.8489198406755,0.00380153327254886,0.0037130163935974454,22.625,39.645161290322584,0.7333333333333333,0.7019704433497537,0.4820143884892086,0.6058394160583942,0.11940298507462685,0.3734939759036145,35.18948090370225,0.07429482838576275,4980904.030656259,304866139928100.4,0.05702022998539093,0.004320106372345179,0.003821056758512236,0.2537796976241901,0.2854901536463969,3.0,0.006172135490203607,0.006746074327969246,0.0008064274978209756,0.0008064274979358643,0.0012127980163492724,0.0012127980177410506,2.044117647058824,3.0,1.630952380952381,2.0,2.0,51.0,GradStudent
ccallsen,4510,697,0.1545,2353,0.5217,3446,552,0.1602,2245,0.6515,7956,2180,0.4834,421,0.1931,1175,0.539,652,0.1892,54,0.0828,519,0.796,0,0.0,0,0.0,0,0.0,4,0.0012,4,1.0,4,1.0,56,52,77,76,2785,0.6175,1725,0.3825,2250,0.6529,1196,0.3471,1.2111,1.2748,472.3620842572062,482.06210098665116,233882.65847370488,624489.8545300029,411,0.0911,332,0.0963,275,0.061,195,0.0566,20.3336,15.5365,35.8702,1529,1315,0.34,0.38,3370,0.7472,364,0.0807,2461,0.7142,280,0.0813,31.240354767184037,32.02292513058619,527.7843581889898,510.17445992880533,0.01000320584487452,0.020264454021338054,21.392857142857142,37.844444444444434,0.6061538461538462,0.6146179401993356,0.5929203539823009,0.6747967479674797,0.41791044776119396,0.5421686746987953,52.95350955232846,0.12486482858737954,81285746.83999409,603746826109196.5,0.5805265334238704,0.020103135427649226,0.010002331266421334,0.43722397476340696,0.2658098605031077,3.0,0.037847237479951834,0.035071651834012375,0.05339287107356962,0.05339287105578682,0.052180713003763715,0.052180712965137925,1.6617647058823528,3.0,1.4642857142857142,2.0,25.0,77.0,Director,
