@relation cros_zero_mean_email_features

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
-0.366212,-0.337163,1.677629,-0.357657,1.501048,-0.4923,-0.300905,1.586162,-0.46946,1.755881,-0.432834,-0.300623,-0.072944,-0.301416,1.56873,-0.306065,1.277428,-0.690267,-1.669202,-0.826751,1.086908,-0.707649,-1.662569,-0.584308,-0.424316,-0.584308,-0.845277,-0.60042,-0.832976,-0.751617,-0.591476,-0.741879,-1.025982,-0.75359,-1.035688,-2.61443,-2.799944,-0.585142,-2.650144,-0.377758,1.189552,-0.34142,-1.189565,-0.435198,1.67423,-0.552235,-1.67423,-1.138956,0.131362,-0.65128,0.811365,-0.400419,-0.063745,-0.184884,0.969901,-0.383764,1.106633,-0.2672,-0.879463,-0.569519,-1.606132,-0.362225,-0.180544,-0.309395,-0.392099,-0.539905,-0.784974,-1.786042,-0.327154,-0.057894,-0.359088,0.10334,-0.553126,-2.361459,-0.524476,-0.847019,-0.29246,0.850626,-0.727776,-0.852146,-0.524085,-0.418341,-2.584807,1.952288,-1.927097,1.317364,-3.488572,-1.093492,-0.955257,-1.293279,-2.187406,-0.500553,-0.73236,-1.101107,-0.830326,-0.419907,-0.524259,-0.351164,0.898405,-3.759034,-0.65689,-0.567886,-0.510689,-0.510689,-0.514522,-0.514522,-3.457822,-3.759034,1.319766,1.883567,-0.612378,-0.748339,GradStudent
-0.385427,-0.424781,3.417427,-0.388912,-0.543643,-0.621119,-0.629527,1.663035,-0.631247,1.955794,-0.495452,-0.310123,-0.740126,-0.354394,-1.108469,-0.323528,-1.468984,-0.694858,-1.23073,-0.878283,0.314477,-0.707649,1.792104,-0.584308,-0.424316,-0.584308,-0.845277,-0.60042,-0.832976,-0.751617,-0.591476,-0.741879,-1.025982,-0.75359,-1.035688,0.23786,-0.093088,-0.137776,0.808663,-0.410449,-2.234335,-0.340323,2.234336,-0.642639,0.389923,-0.544427,-0.389923,1.793349,6.28626,-1.458324,0.346283,-0.569708,-0.135119,-0.201219,-1.119411,-0.578669,-0.885133,-0.269793,-1.042343,-0.558358,-0.784858,-0.441962,-0.723533,-0.575548,-0.399304,-0.528166,-1.340275,2.7894,-0.341824,1.952092,-0.377008,-0.700069,-0.584312,-1.220261,-0.54582,2.21327,1.544323,2.27648,0.401973,0.238687,-0.524604,-0.418341,-2.584807,0.844101,-1.927097,1.476396,-3.488572,-1.023344,-0.955257,-1.127515,-2.187406,-0.500553,-0.73236,-1.055137,-0.830326,-0.419907,-0.524778,-0.351164,2.770599,-3.759034,-0.65689,-0.558931,-0.510689,-0.510689,-0.49692,-0.49692,-3.457822,-3.759034,1.208373,1.883567,-0.612378,-0.758574,Research
-0.326443,-0.242536,0.566007,-0.304194,1.042067,-0.472481,-0.344003,0.768816,-0.462154,0.744811,-0.398866,-0.307409,-0.66974,-0.339258,1.56873,-0.318539,1.277428,-0.437755,0.459172,-0.2599,-0.209126,-0.438193,-0.081711,0.18364,0.627403,0.18364,1.165899,0.30021,1.293676,0.306783,1.122787,0.335798,0.996669,0.318528,0.96047,0.004066,0.044549,-1.032508,-0.039724,-0.325749,0.745437,-0.320569,-0.745448,-0.489156,-0.302044,-0.413646,0.302044,-0.533069,0.894287,0.198315,-0.056931,0.208862,-0.127795,-0.19778,-0.957023,-0.537636,-1.308535,-0.262014,-0.861648,-0.502555,-0.938253,0.025233,0.58297,0.246023,-0.345783,-0.409097,0.240197,0.539183,-0.298424,-0.427546,-0.329222,0.089416,-0.464557,-0.371082,-0.417756,0.384321,-0.126069,0.016654,-0.256248,-0.264402,-0.481295,-0.418341,0.926139,0.470968,0.877071,0.644536,0.225248,-0.301169,-0.28863,-0.188186,0.148065,-0.455943,-0.350164,-0.163284,-0.2728,-0.419907,-0.481453,-0.190109,-0.208527,-0.122959,-0.447818,-0.410979,-0.41218,-0.41218,-0.401804,-0.401804,-0.026746,-0.122959,0.205835,-0.523213,-0.538378,-0.492465,Director
-0.367106,-0.417771,-0.502396,-0.359302,1.449045,-0.595965,-0.640301,-0.368458,-0.604108,1.072726,-0.473595,-0.308766,-0.640991,-0.346826,1.56873,-0.321034,1.277428,-0.520395,3.039189,-0.620623,-0.552016,-0.522398,0.106224,0.18364,2.538272,0.18364,1.165899,0.30021,1.293676,-0.751617,-0.591476,-0.741879,-1.025982,-0.75359,-1.035688,1.173038,1.099764,1.092481,0.743402,-0.377015,1.526839,-0.344712,-1.526854,-0.597074,1.434312,-0.554187,-1.434312,-0.98611,1.974238,-0.562212,-0.494061,-0.414202,-0.152398,-0.167691,3.340532,-0.534217,0.434952,-0.171256,5.404985,-0.485814,1.078959,-0.409301,-0.666982,-0.531803,-0.387982,-0.534874,-0.400535,0.089139,-0.329599,-0.358236,-0.365061,-0.143113,-0.561858,-0.620242,-0.556492,0.009993,-0.994326,-0.781959,-1.099086,0.205653,-0.522109,-0.418341,1.285918,1.704122,0.877071,1.216161,-0.305298,-0.914705,-0.788601,-1.127515,-0.49562,-0.487942,-0.706016,-1.009972,-0.789276,-0.419907,-0.522282,-0.114514,1.810207,-0.122959,-0.497167,-0.507486,-0.497287,-0.497287,-0.499466,-0.499466,0.545099,-0.122959,1.041283,-0.523213,-0.538378,-0.748339,GradStudent
1.463619,0.567051,-1.254198,1.211674,-1.185012,2.449203,1.573856,-1.332768,2.23185,-1.654143,1.916522,1.132456,0.530296,0.750579,-0.740889,1.140918,0.047585,0.994679,-0.987031,1.543717,-0.630325,1.055047,-0.219897,-0.200334,-0.409503,-0.200334,1.165899,-0.150105,1.293676,1.365182,-0.384939,0.874636,0.491006,1.390646,0.96047,-0.229728,-1.056545,-0.249617,-0.104984,1.477467,-0.5527,1.412233,0.552693,2.945018,0.122896,1.477804,-0.122896,0.207338,-0.090213,1.499738,-0.025236,-0.032096,-0.104012,0.066147,-0.69057,1.633673,-0.316532,0.370698,-0.536736,0.86463,-0.81065,1.417539,2.296031,1.836312,2.205727,2.205387,1.265369,0.314161,0.932674,-0.771345,1.779338,0.512702,2.047805,0.043701,1.716649,-0.311797,0.930049,-0.222384,3.251085,0.596131,2.954163,4.681701,-1.060168,-1.566525,-1.153827,-1.73649,1.839952,1.900411,2.961177,1.80098,1.180503,2.408261,2.767369,1.83082,2.381444,4.670447,2.955038,-0.2325,-1.156987,-0.122959,2.036458,1.768796,0.814981,0.814981,0.809548,0.809548,-1.066466,-0.122959,-1.79924,-0.523213,3.309631,2.076511,PM
-0.089615,0.174524,-0.259668,-0.027834,0.255995,0.107587,1.045906,1.184837,0.140109,-0.26482,-0.017547,-0.208342,-0.185958,-0.066799,0.248068,-0.213757,0.142336,-0.561715,-1.544059,-0.208368,0.797304,-0.55608,0.928436,-0.200334,-0.313218,-0.200334,1.165899,-0.150105,1.293676,-0.751617,-0.591476,-0.741879,-1.025982,-0.75359,-1.035688,-2.427395,-2.432913,-1.703557,-1.997539,0.007107,0.818656,-0.230582,-0.818668,0.414952,1.295377,-0.399982,-1.295377,-0.792211,-0.196194,-0.585989,0.604909,-0.419509,0.116943,-0.109231,-0.20741,0.228306,0.575717,-0.23349,-0.865041,-0.474653,-1.425588,-0.132074,0.019715,-0.079147,-0.137875,-0.214562,0.282913,-1.110977,-0.102206,-0.261423,-0.23365,-0.201594,-0.157685,-1.151252,-0.257675,-0.988212,-0.68351,-0.008335,-0.319432,0.200326,-0.34126,-0.418341,0.304452,0.049865,0.877071,0.041817,0.142718,-0.162222,-0.205302,-0.022422,0.303041,0.10122,-0.412468,-0.074293,-0.37747,-0.419907,-0.341605,-0.171108,-0.475057,-0.122959,-0.384567,-0.405839,-0.441462,-0.441462,-0.454646,-0.454646,0.051233,-0.122959,0.038745,-0.523213,-0.538378,-0.410585,GradStudent
-0.324656,-0.31263,-0.1868,-0.320644,-0.157013,-0.517454,-0.521782,-0.216972,-0.519562,0.365121,-0.415112,-0.307409,-0.671723,-0.339258,1.56873,-0.318539,1.277428,-0.502031,0.482695,-0.362964,-0.097454,-0.516784,-0.664859,-0.584308,-0.424316,-0.584308,-0.845277,-0.60042,-0.832976,0.306783,1.680439,0.335798,0.996669,0.318528,0.96047,-0.323246,0.457459,-0.4733,0.286579,-0.33838,-0.095381,-0.297524,0.095373,-0.513138,0.448208,-0.489772,-0.448208,-0.222611,1.552832,0.001855,-0.008347,-0.097861,-0.136141,-0.172849,0.181978,-0.537636,-1.054715,-0.220525,0.068973,-0.513715,-0.850017,-0.381622,-0.62938,-0.498786,-0.370485,-0.464439,-0.528681,0.239154,-0.278252,0.738069,-0.347141,-0.219695,-0.489506,-0.074705,-0.524476,-0.623736,-0.139377,0.186656,1.081734,1.291293,-0.420655,-0.4142,0.432374,-0.075479,0.596654,0.231798,-0.011805,-0.477364,-0.538615,-0.409205,0.084272,-0.425691,-0.634975,-0.581742,-0.671894,-0.414888,-0.42088,-0.253423,0.400961,-0.122959,-0.425342,-0.415762,-0.480782,-0.480782,-0.480644,-0.480644,0.207191,-0.122959,0.428621,-0.523213,-0.464378,-0.451525,GradStudent
-0.37649,-0.417771,0.298153,-0.379864,-0.573036,-0.595965,-0.645688,-0.512031,-0.605152,0.89151,-0.479797,-0.310123,-0.740126,-0.354394,-1.108469,-0.323528,-1.468984,-0.584671,1.371869,-0.775219,-0.715121,-0.60099,-0.767118,-0.584308,-0.424316,-0.584308,-0.845277,-0.60042,-0.832976,-0.751617,-0.591476,-0.741879,-1.025982,-0.75359,-1.035688,0.798967,0.595096,1.092481,0.4171,-0.397075,0.111072,-0.338128,-0.111081,-0.600671,1.176773,-0.548331,-1.176773,0.027368,1.78219,-0.95874,0.369394,-0.564274,-0.065132,-0.199499,-0.724877,-0.523959,0.856138,-0.2672,-0.749668,-0.474653,1.422401,-0.433572,-0.705456,-0.562914,-0.387982,-0.534874,0.282913,0.089139,-0.333878,0.624203,-0.377008,-0.700069,-0.554374,-0.068894,-0.535148,0.840737,-0.498518,2.450819,-0.915943,1.854148,-0.524604,-0.418341,1.186669,0.898013,0.877071,1.476396,-0.130872,-1.093492,-0.705272,-1.238024,-0.323076,-0.480247,-0.672819,-1.116872,-0.738435,-0.419907,-0.524778,-0.216358,2.666428,-0.122959,-0.498871,-0.525013,-0.415992,-0.415992,-0.413861,-0.413861,0.337156,-0.122959,1.319766,1.883567,-0.538378,-0.758574,GradStudent
0.069909,0.738782,0.058943,0.157229,0.173845,0.108349,1.008195,1.102311,0.182904,0.311907,0.088195,-0.306052,-0.725752,-0.331689,1.56873,-0.316044,1.277428,-0.456119,-1.328587,-0.208368,-0.050655,-0.477488,-0.971634,0.567613,-0.209528,0.567613,1.165899,0.750524,1.293676,0.306783,-0.178401,0.335798,0.996669,0.318528,0.96047,-2.754707,-2.478792,-1.479874,-3.36801,0.267893,1.113332,-0.223998,-1.113345,0.465314,1.57257,-0.480012,-1.57257,-0.478088,-0.504065,0.709473,1.354301,3.502962,0.02718,0.513189,3.502919,0.960054,2.937682,-0.121988,-0.572366,-0.329564,-1.074001,0.090278,0.1099,0.102651,-0.159489,-0.224624,-0.357819,-1.185984,-0.004403,-0.546913,-0.126131,-0.130582,-0.349792,-2.269204,-0.396411,-1.415077,-0.61013,1.337184,-0.550498,-0.405256,-0.330039,-0.322386,-0.33929,-0.481333,0.129293,-0.229869,0.038221,-0.209214,-0.28863,-0.077677,0.027215,0.117055,-0.589474,-0.290152,-0.596382,-0.307843,-0.329142,-0.2233,-0.378768,-0.122959,-0.375083,-0.352807,-0.482105,-0.482105,-0.47703,-0.47703,0.155205,-0.122959,0.094442,-0.523213,-0.464378,-0.246826,GradStudent
1.625823,1.986458,-0.83156,1.54232,-0.799135,1.970513,2.252648,-0.704214,1.667164,-2.118688,1.83825,2.648318,1.655981,2.831863,-0.591502,2.60786,0.011332,2.284788,-0.063983,1.852908,-0.846253,2.189011,-1.026909,-0.584308,-0.424316,-0.584308,-0.845277,-0.60042,-0.832976,1.365182,-0.343631,1.413474,0.996669,1.390646,0.96047,-0.790835,-0.918908,-1.479874,-0.627068,1.656526,-0.528693,1.546116,0.528687,2.012131,-0.489098,1.770598,0.489098,-0.365194,-0.155221,0.523465,-0.369546,-0.105188,-0.118245,0.152116,-0.598512,0.53947,-1.022572,0.443304,-0.52486,0.513068,-0.901601,1.555144,1.791237,1.728204,1.174419,1.620105,0.112051,0.089139,1.712655,0.561494,1.797257,0.423589,2.4657,1.441323,2.378314,0.601036,0.228702,-0.546864,0.815741,-0.847224,-0.012634,0.105347,-0.46158,-0.758704,-0.22734,-0.729975,0.849695,0.518208,1.377938,0.695888,1.145179,0.537439,1.599457,0.642905,1.551468,0.101567,-0.012664,-0.130875,-0.547116,-0.122959,1.071136,1.028394,1.381804,1.381804,1.375566,1.375566,-0.520613,-0.122959,-0.685309,-0.523213,1.237626,0.019283,Director
