pid_time_seg,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_hume_all,inter_vt_sent,inter_vt_received,inter_vt_all,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
ahmed12_10,0,0,0,0,0,0.007707129,0.030042918,0.4375,0.008230453,0.5,0.005184705,0,0,0,0,0,0,0.007575758,0.25,0.076923077,0.75,0.007434944,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,1,0,0,0,0,0,0.006638503,0.6875,0.01026694,0.3125,0,0.397555793,0,0.050006813,0,0.001093661,0,0,0.000736377,0.0625,0,0,0.000925926,0.0625,0,0,0,0,0,0,0,0,0,0,0,0.006531205,0.5625,0.058823529,0.3125,0,0.276082677,0,0.055955555,2.50E-05,0,0,0.463917526,0,0.833333333,0,0.75243129,0,0.041237113,0,6.81E-05,0,0,0,0.000113589,0,0.055060729,0,0.022264156,0,0,6.55E-07,6.55E-07,0,0.560161061,0.736842105,0,0.003246753,Research
ahmed12_11,0,0,0,0,0,0.002890173,0.012875536,0.5,0.00617284,1,0.001944264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,1,0,0,0,0,0,0.003017502,0.833325,0.002053388,0.166675,0,0.659773444,0,0.019542449,0,4.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000725689,0.166675,0.035294118,0.5,0,0.409448819,0,0.049802761,9.93E-06,0,0,0.41580756,0,0.333333333,0,0.675075873,0,0.030927835,0,3.64E-05,0,0,0,1.63E-05,0,0.047169811,0,0.020759261,0,0,2.56E-08,2.56E-08,0,0.62434865,0.789473684,0,0.003246753,Research
ahmed12_12,0,0,0,0,0,0.005298651,0.021459227,0.4545,0.009259259,0.8182,0.003564485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,1,0,0,0,0,0,0.006035003,0.9091,0.002053388,0.0909,0,0.569035986,0,0.04488218,0,0.000249729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000725689,0.0909,0.047058824,0.363625,0,0.328561203,0,0.045606685,0,0,0,0.546391753,0,0,0,0.611406975,0,0.010309278,0,5.62E-06,0,0,0,0,0,0,0,0.01812524,0,0,4.55E-09,4.55E-09,0,0.68936523,0.842105263,0,0.001623377,Research
ahmed12_2,0,0,0,0,0,0.006262042,0.025751073,0.4615,0.011316872,0.8462,0.004212573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.006035003,0.769225,0.006160164,0.230775,0,0.856274276,0,0.070898739,0,0.001938987,0,0,0.000736377,0.076925,0,0,0.000925926,0.076925,0,0,0,0,0,0,0,0,0,0,0,0.002902758,0.3077,0.047058824,0.3077,0,0.155663234,0,0.004985431,0.000127434,0,0,0.578792342,0,0.80952381,0,0.653507161,0,0.072164948,0,0.018930276,0,0,0,0.000802101,0,0.042553191,0,0.024779688,0,0,0.001641151,0.001641151,0,0.644954998,0.842105263,0,0.003246753,Research
ahmed12_3,0,0,0,0,0,0.00433526,0.017167382,0.4444,0.00617284,0.6667,0.002916397,0,0,0,0,0,0,0.001893939,0.1111,0.025641026,1,0.003717472,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,1,0,0,0,0,0,0.004828002,0.8889,0.002053388,0.1111,0,0.5,0,0.034570707,0,0.000153514,0,0,0.000736377,0.1111,0,0,0.000925926,0.1111,0,0,0,0,0,0,0,0,0,0,0,0.002902758,0.44445,0.023529412,0.222225,0,0.352580927,0,0.120124837,2.06E-05,0,0,0.579896907,0,0.666666667,0,0.724994907,0,0.041237113,0,0.007344343,0,0,0,9.08E-05,0,0.056672761,0,0.020472434,0,0,0.005056553,0.005056553,0,0.581359545,0.789473684,0,0.003246753,Research
ahmed12_4,0,0,0,0,0,0.00433526,0.012875536,0.3333,0.009259259,1,0.002916397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005431503,1,0,0,0,1,0,0.104729242,0,0.000654335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011764706,0.1111,0,0.53455818,0,0.112771,5.04E-06,0,0,0.548969072,0,0.833333333,0,0.811260543,0,0.041237113,0,0.004118001,0,0,0,2.65E-05,0,0.097940733,0,0.021613467,0,0,0.005488134,0.005488134,0,0.519540502,0.684210526,0,0.003246753,Research
ahmed12_5,0,0,0,0,0,0.004816956,0.012875536,0.3,0.00617284,0.6,0.003240441,0,0,0,0,0,0,0.005681818,0.3,0.051282051,0.6667,0.003717472,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.006035003,1,0,0,0,0.947366996,0,0.052589759,0,0.000529379,0,0,0.001472754,0.2,0,0,0.001851852,0.2,0,0,0,0,0,0,0,0,0,0,0,0.001451379,0.2,0.047058824,0.4,0,0.193700787,0,0.012991453,0.000252257,0,0,0.597938144,0,0.333333333,0,0.849200668,0,0.041237113,0,0.003119173,0,0,0,0.000463859,0,0.027022491,0,0.022055104,0,0,0.009508956,0.009508956,0,0.496328754,0.684210526,0,0.003246753,Research
ahmed12_6,0,0,0,0,0,0.011078998,0.017167382,0.1739,0.022633745,0.9565,0.007453014,0,0,0,0,0,0,0.003787879,0.087,0.025641026,0.5,0.007434944,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.013277007,0.956525,0.002053388,0.043475,0,0.609021641,0,0.149175519,0,0.001880958,0,0,0.000736377,0.043475,0,0,0.000925926,0.043475,0,0,0,0,0,0,0,0,0,0,0,0.001451379,0.08695,0.011764706,0.043475,0,0.606641561,0,0.105014982,5.25E-05,0,1,0.713917526,0,0.833333333,0.835487662,0.899418752,0.014925373,0.041237113,0.005745907,0.003059482,0,0,0,0.000282554,0,0.042209687,0.022945386,0.031986486,0.000823343,0.000823343,0.002603459,0.002603459,0.513475463,0.468616769,0.578947368,0.015625,0.003246753,Research
ahmed12_7,0,0,0,0,0,0.006262042,0.0472103,0.8462,0.010288066,0.7692,0.004212573,0,0,0,0,0,0,0.001893939,0.0769,0.025641026,1,0.003717472,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,1,0,0,0,0,0,0.006035003,0.769225,0.006160164,0.230775,0,0.455226759,0,0.094927249,0,0.00277006,0,0,0.000736377,0.076925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003628447,0.384625,0.023529412,0.15385,0,0.354330709,0,0.126435038,0.000798474,0,0,0.615611193,0,0.761904762,0,0.922259653,0,0.072164948,0,0.008145073,0,0,0,0.001142267,0,0.034840364,0,0.021753647,0,0,0.000576021,0.000576021,0,0.457010895,0.526315789,0,0.00487013,Research
ahmed12_8,0,0,0,0,0,0.009633911,0.008583691,0.1,0.020576132,1,0.006480881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.012070006,1,0,0,0,0.812028854,0,0.206553401,0,0.000730353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011764706,0.05,0,0.654724409,0,0.03583621,0,0,0.626865672,0.469072165,0,1,0.755579171,0.807762143,0.014925373,0.020618557,0.001414879,0.00018534,0,0,0,0,0,0.084337349,0.024912953,0.030914456,8.92E-05,8.92E-05,0.000164903,0.000164903,0.567779566,0.521790621,0.631578947,0.015625,0.001623377,Research
