@relation norm_email_features

@attribute pid_time_seg {adamq_1,adamq_2,adamq_3,adamq_4,adamq_5,adamq_6,adamq_7,adamq_9,ahmed12_1,ahmed12_10,ahmed12_11,ahmed12_12,ahmed12_2,ahmed12_3,ahmed12_4,ahmed12_5,ahmed12_6,ahmed12_7,ahmed12_8,ahmed12_9,ajm_1,ajm_2,ajm_3,ajm_4,apblair_10,apblair_11,apblair_12,apblair_2,apblair_3,apblair_4,apblair_5,apblair_6,apblair_7,apblair_8,apblair_9,apoetter_1,apoetter_10,apoetter_11,apoetter_12,apoetter_2,apoetter_3,apoetter_4,apoetter_5,apoetter_6,apoetter_7,apoetter_8,apoetter_9,arog3632_1,arog3632_10,arog3632_11,arog3632_12,arog3632_2,arog3632_3,arog3632_4,arog3632_5,arog3632_6,arog3632_7,arog3632_8,arog3632_9,asohangh_10,asohangh_11,asohangh_12,asohangh_2,asohangh_3,asohangh_4,asohangh_5,asohangh_6,asohangh_7,asohangh_8,asohangh_9,awais_1,awais_10,awais_11,awais_12,awais_2,awais_3,awais_4,awais_5,awais_6,awais_7,awais_8,awais_9,bdeird7_1,bdeird7_10,bdeird7_11,bdeird7_12,bdeird7_2,bdeird7_3,bdeird7_4,bdeird7_5,bdeird7_6,bdeird7_7,bdeird7_8,bdeird7_9,ccallsen_1,ccallsen_10,ccallsen_11,ccallsen_12,ccallsen_2,ccallsen_3,ccallsen_4,ccallsen_5,ccallsen_6,ccallsen_7,ccallsen_8,ccallsen_9,cheadley_1,cheadley_10,cheadley_11,cheadley_12,cheadley_2,cheadley_3,cheadley_4,cheadley_5,cheadley_6,cheadley_7,cheadley_8,cheadley_9,chrisdob_10,chrisdob_11,chrisdob_12,chrisdob_6,chrisj12_10,chrisj12_12,chrisj12_3,chrisj12_4,chrisj12_6,chrisj12_7,chrisj12_8,cshahria_1,cshahria_10,cshahria_11,cshahria_12,cshahria_3,cshahria_4,cshahria_5,cshahria_6,cshahria_7,cshahria_8,cshahria_9,cthomp_1,cthomp_10,cthomp_11,cthomp_12,cthomp_2,cthomp_3,cthomp_4,cthomp_5,cthomp_6,cthomp_7,cthomp_8,cthomp_9,darek_1,darek_2,darek_3,darek_4,darek_5,darek_6,darek_7,darek_8,deannac_1,deannac_10,deannac_11,deannac_12,deannac_2,deannac_3,deannac_4,deannac_5,deannac_6,deannac_7,deannac_8,deannac_9,drdepoy_1,drdepoy_10,drdepoy_11,drdepoy_12,drdepoy_2,drdepoy_3,drdepoy_4,drdepoy_5,drdepoy_6,drdepoy_7,drdepoy_8,drdepoy_9,dslevy_1,dslevy_10,dslevy_11,dslevy_12,dslevy_2,dslevy_3,dslevy_4,dslevy_5,dslevy_6,dslevy_7,dslevy_8,dslevy_9,example_1,example_10,example_11,example_12,example_2,example_3,example_4,example_5,example_6,example_7,example_8,example_9,fnguyen_1,fnguyen_10,fnguyen_11,fnguyen_12,fnguyen_2,fnguyen_3,fnguyen_4,fnguyen_5,fnguyen_6,fnguyen_7,fnguyen_8,fnguyen_9,hayajs_1,hayajs_10,hayajs_11,hayajs_12,hayajs_2,hayajs_3,hayajs_4,hayajs_5,hayajs_6,hayajs_7,hayajs_8,hayajs_9,het_1,het_10,het_11,het_12,het_2,het_3,het_4,het_5,het_6,het_7,het_8,het_9,jacouch_1,jacouch_10,jacouch_11,jacouch_12,jacouch_2,jacouch_3,jacouch_4,jacouch_5,jacouch_6,jacouch_7,jacouch_8,jacouch_9,javier_1,javier_10,javier_11,javier_12,javier_2,javier_3,javier_4,javier_5,javier_6,javier_7,javier_8,javier_9,jdemma_10,jdemma_11,jdemma_12,jdemma_6,jgaedder_11,jgaedder_12,jgaedder_8,jgaedder_9,jmahal_1,jmahal_10,jmahal_11,jmahal_12,jmahal_2,jmahal_3,jmahal_4,jmahal_5,jmahal_6,jmahal_7,jmahal_8,jmahal_9,jmernst_1,jmernst_10,jmernst_11,jmernst_12,jmernst_2,jmernst_3,jmernst_4,jmernst_5,jmernst_6,jmernst_7,jmernst_8,jmernst_9,jnl_10,jnl_11,jnl_12,jnl_3,jnl_9,jodavis5_12,jodavis5_2,jodavis5_5,jodavis5_9,jonblack_1,jonblack_11,jonblack_12,jonblack_2,jonblack_3,jonblack_4,jonblack_5,jonblack_6,jonblack_7,jonblack_8,jpokorsk_1,jpokorsk_10,jpokorsk_11,jpokorsk_12,jpokorsk_2,jpokorsk_3,jpokorsk_4,jpokorsk_5,jpokorsk_6,jpokorsk_7,jpokorsk_8,jpokorsk_9,jrmurphy_1,jrmurphy_10,jrmurphy_11,jrmurphy_12,jrmurphy_2,jrmurphy_3,jrmurphy_4,jrmurphy_5,jrmurphy_6,jrmurphy_7,jrmurphy_8,jrmurphy_9,jsprick_1,jsprick_2,jsprick_3,jsprick_4,jsprick_5,jsprick_6,jsprick_7,justus_10,justus_11,justus_12,justus_2,justus_3,justus_4,justus_5,justus_6,justus_7,justus_8,justus_9,jziegler_1,jziegler_10,jziegler_11,jziegler_12,jziegler_2,jziegler_3,jziegler_4,jziegler_5,jziegler_6,jziegler_7,jziegler_8,jziegler_9,kevin007_1,kevin007_10,kevin007_11,kevin007_12,kevin007_2,kevin007_3,kevin007_4,kevin007_5,kevin007_6,kevin007_7,kevin007_8,kevin007_9,kgantt_1,kgantt_10,kgantt_11,kgantt_12,kgantt_2,kgantt_3,kgantt_4,kgantt_5,kgantt_6,kgantt_7,kgantt_8,kgantt_9,kkarranc_1,kkarranc_10,kkarranc_11,kkarranc_12,kkarranc_2,kkarranc_3,kkarranc_4,kkarranc_5,kkarranc_6,kkarranc_7,kkarranc_8,kkarranc_9,kls_1,kls_10,kls_11,kls_12,kls_2,kls_3,kls_4,kls_5,kls_6,kls_7,kls_8,kls_9,krich_1,krich_10,krich_11,krich_12,krich_2,krich_3,krich_4,krich_5,krich_6,krich_7,krich_8,krich_9,krooks_10,krooks_11,krooks_3,krooks_5,krooks_8,krooks_9,ksterne_1,ksterne_10,ksterne_11,ksterne_12,ksterne_2,ksterne_3,ksterne_4,ksterne_5,ksterne_6,ksterne_7,ksterne_8,ksterne_9,kstraub_1,kstraub_10,kstraub_11,kstraub_12,kstraub_2,kstraub_3,kstraub_4,kstraub_5,kstraub_6,kstraub_7,kstraub_8,kstraub_9,leslie_1,leslie_10,leslie_11,leslie_12,leslie_2,leslie_3,leslie_4,leslie_5,leslie_6,leslie_7,leslie_8,leslie_9,matthewv_1,matthewv_2,matthewv_3,matthewv_4,matthewv_5,matthewv_6,matthewv_7,matthewv_8,mcarrick_1,mcarrick_10,mcarrick_11,mcarrick_12,mcarrick_2,mcarrick_3,mcarrick_4,mcarrick_5,mcarrick_6,mcarrick_7,mcarrick_8,mcarrick_9,mdarden_1,mdarden_11,mdarden_4,mdarden_6,mdarden_7,mdarden_8,mifowler_1,mifowler_10,mifowler_11,mifowler_12,mifowler_2,mifowler_3,mifowler_4,mifowler_5,mifowler_6,mifowler_7,mifowler_8,mifowler_9,mlapan4_1,mlapan4_10,mlapan4_11,mlapan4_12,mlapan4_2,mlapan4_3,mlapan4_4,mlapan4_5,mlapan4_6,mlapan4_7,mlapan4_8,mlapan4_9,mlerch_10,mlerch_11,mlerch_12,mlerch_2,mlerch_7,mlerch_9,mlgood3_1,mlgood3_10,mlgood3_11,mlgood3_12,mlgood3_2,mlgood3_3,mlgood3_4,mlgood3_5,mlgood3_6,mlgood3_7,mlgood3_8,mlgood3_9,mryan91_1,mryan91_10,mryan91_11,mryan91_12,mryan91_2,mryan91_3,mryan91_4,mryan91_5,mryan91_6,mryan91_7,mryan91_8,mryan91_9,odge_1,odge_10,odge_11,odge_12,odge_2,odge_3,odge_4,odge_5,odge_6,odge_7,odge_8,odge_9,oshea_1,oshea_10,oshea_11,oshea_12,oshea_2,oshea_3,oshea_4,oshea_5,oshea_6,oshea_7,oshea_8,oshea_9,pudavid_1,pudavid_10,pudavid_11,pudavid_12,pudavid_2,pudavid_3,pudavid_4,pudavid_5,pudavid_6,pudavid_7,pudavid_8,pudavid_9,rchase_1,rchase_10,rchase_11,rchase_12,rchase_2,rchase_3,rchase_4,rchase_5,rchase_6,rchase_7,rchase_8,rchase_9,rwmcgwi_1,rwmcgwi_10,rwmcgwi_11,rwmcgwi_12,rwmcgwi_2,rwmcgwi_3,rwmcgwi_4,rwmcgwi_5,rwmcgwi_6,rwmcgwi_7,rwmcgwi_8,rwmcgwi_9,saikou_1,saikou_10,saikou_11,saikou_12,saikou_2,saikou_3,saikou_4,saikou_5,saikou_6,saikou_7,saikou_8,saikou_9,sarowe_1,sarowe_10,sarowe_11,sarowe_12,sarowe_2,sarowe_3,sarowe_4,sarowe_5,sarowe_6,sarowe_7,sarowe_8,sarowe_9,sdh11_1,sdh11_10,sdh11_11,sdh11_12,sdh11_2,sdh11_3,sdh11_4,sdh11_5,sdh11_6,sdh11_7,sdh11_8,sdh11_9,snyder84_1,snyder84_10,snyder84_11,snyder84_12,snyder84_2,snyder84_3,snyder84_4,snyder84_5,snyder84_6,snyder84_7,snyder84_8,snyder84_9,tandonr_1,tandonr_10,tandonr_11,tandonr_12,tandonr_2,tandonr_3,tandonr_4,tandonr_5,tandonr_6,tandonr_7,tandonr_8,tandonr_9,tcc_1,tcc_10,tcc_11,tcc_12,tcc_2,tcc_3,tcc_4,tcc_5,tcc_6,tcc_7,tcc_8,tcc_9,tkoehn_1,tkoehn_10,tkoehn_11,tkoehn_12,tkoehn_2,tkoehn_3,tkoehn_4,tkoehn_5,tkoehn_6,tkoehn_7,tkoehn_8,tkoehn_9,totani_1,totani_10,totani_11,totani_12,totani_2,totani_3,totani_4,totani_6,totani_7,totani_8,totani_9,vombo13_1,vombo13_10,vombo13_11,vombo13_12,vombo13_2,vombo13_3,vombo13_4,vombo13_5,vombo13_6,vombo13_7,vombo13_8,vombo13_9,zleffke_1,zleffke_10,zleffke_11,zleffke_12,zleffke_2,zleffke_3,zleffke_4,zleffke_5,zleffke_6,zleffke_7,zleffke_8,zleffke_9}
@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
adamq_1,0.004529,0.019074,0.7778,0.012146,0.6667,0.037091,0.141631,0.4286,0.075103,0.9481,0.027868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.01,0.03,0.78,0.21,0.27,0.004894,1,0,0,0.04647,1,0,0,0.066667,0.033835,0.103962,0.159838,0.001108,0.012759,0.0047,0.4444,0.019882,0.3506,0.001792,0.1111,0,0,0.004416,0.037091,0.028797,0,0,0,0,0.006065,1,0,0,0.00508,0.0909,0,0,0.100424,0.291134,0.005728,0.064277,0,0,0,0.608247,0,0,0,0.64546,0,0.010309,0,0.000443,0,0,0,0,0,0,0,0.016803,0,0,0.000143,0.000143,0,0.589513,0.842105,0,0.001623,GradStudent
adamq_2,0.002516,0.008174,0.6,0.006073,0.6,0.018304,0.06867,0.4211,0.038066,0.9737,0.013934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.18,0.21,0.002175,0.8,0.001515,0.23076,0.022933,1,0,0,0.083333,0.033835,0.056956,0.139282,0.001747,0.01529,0.00235,0.4,0.008837,0.3158,0,0,0,0,0.002538,0.018935,0.014895,0,0,0,0,0,0,0.01875,0.6,0.000726,0.0263,0,0,0.234504,0.319519,0.024299,0.052196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GradStudent
adamq_3,0.018621,0.054496,0.5405,0.044534,0.5946,0.046724,0.218884,0.5258,0.08642,0.866,0.043422,0.004651,0.2162,0.017391,0.75,0.012048,0.625,0.001894,0.0103,0.025641,1,0.003717,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.13,0.18,0.86,0.44,0.56,0.02012,1,0,0,0.057333,0.9794,0.004107,0.0206,0.079567,0.045345,0.039731,0.128721,0.000621,0.009628,0.012926,0.2973,0.027246,0.3814,0.005376,0.0811,0.00463,0.0515,0.018156,0.046724,0.04487,0,0,0,0,0.013477,0.5405,0.00625,0.027,0.013062,0.1856,0.023529,0.0206,0.171212,0.267311,0.101815,0.056323,0.000061,0,0,0.515464,0,0.75,0,0.803846,0,0.082474,0,0.015078,0,0,0,0.000122,0,0.052364,0,0.027566,0,0,0.013087,0.013087,0,0.473358,0.736842,0,0.006494,GradStudent
adamq_4,0.034222,0.070845,0.3824,0.07085,0.5147,0.087187,0.266094,0.3425,0.131687,0.7072,0.080687,0.016279,0.4118,0.034783,0.4286,0.031325,0.4643,0.003788,0.011,0.051282,1,0.007435,1,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.02,0.03,0.9,0.49,0.6,0.033714,0.9118,0.009091,0.101765,0.102595,0.9392,0.022587,0.0608,0.076833,0.034582,0.098381,0.0819,0.005868,0.003867,0.018801,0.2353,0.044183,0.3315,0.003584,0.0294,0.001852,0.011,0.032291,0.084374,0.080687,0.048729,0.016029,0.34,0.017759,0.030323,0.6618,0.01875,0.0441,0.043541,0.3315,0.011765,0.0055,0.206197,0.259669,0.052981,0.044059,0.000041,0,0,0.448454,0,0.666667,0,0.831786,0,0.041237,0,0.002112,0,0,0,0.00019,0,0.022802,0,0.020184,0,0,0.002703,0.002703,0,0.457458,0.684211,0,0.003247,GradStudent
adamq_5,0.022144,0.054496,0.4545,0.050607,0.5682,0.084778,0.257511,0.3409,0.15535,0.858,0.07129,0.006395,0.25,0.028986,0.9091,0.021687,0.8182,0.001894,0.0057,0.025641,1,0.003717,1,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.19,0.16,0.84,0.6,0.65,0.021751,0.9091,0.006061,0.104881,0.104406,0.983,0.00616,0.017,0.075213,0.258181,0.071316,0.102272,0.00244,0.003141,0.025852,0.5,0.03461,0.267,0.003584,0.0455,0.001852,0.0114,0.022335,0.087702,0.076206,0,0,0,0,0.019542,0.6591,0.0125,0.0455,0.017417,0.1364,0.094118,0.0455,0.235947,0.351378,0.079395,0.102524,0.000206,0,0.843284,0.468336,1,0.7,0.852358,0.909223,0.029851,0.072165,0.020265,0.004383,0,0,0,0.000842,0.022685,0.032538,0.028734,0.039101,0.001083,0.001083,0.002411,0.002411,0.446039,0.418497,0.578947,0.015625,0.003247,GradStudent
adamq_6,0.032713,0.070845,0.4,0.074899,0.5692,0.100674,0.287554,0.3206,0.175926,0.8182,0.088788,0.002907,0.0769,0.011594,0.8,0.009639,0.8,0.013258,0.0335,0.128205,0.7143,0.022305,0.8571,0,0,0,0,0,0,0.142857,0.0048,0.142857,1,0.142857,1,0.18,0.22,0.22,0.78,0.57,0.62,0.032083,0.9077,0.009091,0.106496,0.115269,0.9139,0.036961,0.0861,0.084967,0.205112,0.047497,0.111986,0.000698,0.005593,0.015276,0.2,0.04271,0.2775,0.001792,0.0154,0.000926,0.0048,0.030868,0.097426,0.088788,0,0,0,0,0.022237,0.5077,0.075,0.1846,0.03193,0.2105,0.117647,0.0478,0.182893,0.324794,0.033076,0.103042,0.213679,0.037724,0.813433,0.553019,0,0.636364,0.911834,0.970588,0.029851,0.14433,0.011238,0.022539,0,0,0.029672,0.208697,0.000497,0.01871,0.031848,0.051582,0.000638,0.000638,0.001816,0.001816,0.416945,0.392038,0.526316,0.03125,0.016234,GradStudent
adamq_7,0.007549,0.016349,0.4,0.01417,0.4667,0.032755,0.137339,0.4706,0.049383,0.7059,0.026896,0,0,0,0,0,0,0.026515,0.2059,0.051282,0.1429,0.01487,0.2857,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.41,0.48,0.8,0.59,0.63,0.008157,1,0,0,0.038021,0.9265,0.010267,0.0735,0.071427,0.169173,0.082355,0.083028,0.003762,0.002376,0.0047,0.2667,0.013255,0.2647,0.003584,0.1333,0.001852,0.0294,0.010037,0.044666,0.037898,0,0,0,0,0.006739,0.6667,0,0,0.018142,0.3676,0.011765,0.0147,0.175878,0.314729,0.110573,0.108297,0.000127,0,0.402985,0.589347,0,0.8,0.738732,0.865066,0.014925,0.061856,0.001055,0.002941,0,0,0,0.000337,0,0.049073,0.020526,0.037557,0.000062,0.000062,0.00021,0.00021,0.514645,0.439859,0.578947,0.015625,0.003247,GradStudent
adamq_9,0.00151,0.002725,0.3333,0.002024,0.3333,0.004335,0.012876,0.3333,0.00823,0.8889,0.003889,0,0,0,0,0,0,0.005682,0.3333,0.051282,0.6667,0.007435,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.001631,1,0,0,0.005432,1,0,0,0.066667,0.533835,0.049747,0.122295,0.000287,0.001366,0,0,0,0,0,0,0,0,0.001636,0.004816,0.004464,0,0,0,0,0.001348,0.6667,0,0,0.001451,0.2222,0,0,0.16285,0.587927,0,0.156439,0.024676,0,0,0.52921,0,0.333333,0,0.727547,0,0.030928,0,0.00001,0,0,0,0.047574,0,0.011375,0,0.026266,0,0,0.000001,0.000001,0,0.523,0.684211,0,0.003247,GradStudent
ahmed12_1,0,0,0,0,0,0.003854,0.012876,0.375,0.006173,0.75,0.002592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,1,0,0,0,0,0,0.004225,0.875,0.002053,0.125,0,0.951596,0,0.060427,0,0.000654,0,0,0.000736,0.125,0,0,0.000926,0.125,0,0,0,0,0,0,0,0,0,0,0,0.000726,0.125,0.023529,0.25,0,0.159449,0,0.012317,0.000051,0,0,0.501718,0,0.333333,0,0.569689,0,0.030928,0,0.001233,0,0,0,0.000114,0,0.03641,0,0.022197,0,0,0.00034,0.00034,0,0.667921,0.894737,0,0.003247,Research
ahmed12_10,0,0,0,0,0,0.007707,0.030043,0.4375,0.00823,0.5,0.005185,0,0,0,0,0,0,0.007576,0.25,0.076923,0.75,0.007435,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,1,0,0,0,0,0,0.006639,0.6875,0.010267,0.3125,0,0.397556,0,0.050007,0,0.001094,0,0,0.000736,0.0625,0,0,0.000926,0.0625,0,0,0,0,0,0,0,0,0,0,0,0.006531,0.5625,0.058824,0.3125,0,0.276083,0,0.055956,0.00002,0,0,0.456186,0,0.833333,0,0.692971,0,0.041237,0,0.000017,0,0,0,0.000108,0,0.049817,0,0.022778,0,0,0.000001,0.000001,0,0.549096,0.736842,0,0.003247,Research
ahmed12_11,0,0,0,0,0,0.00289,0.012876,0.5,0.006173,1,0.001944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,1,0,0,0,0,0,0.003018,0.8333,0.002053,0.1667,0,0.535712,0,0.019542,0,0.000042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000726,0.1667,0.035294,0.5,0,0.409449,0,0.049803,0,0,0,0.43299,0,0,0,0.607794,0,0.010309,0,0.000001,0,0,0,0,0,0,0,0.019266,0,0,0,0,0,0.626047,0.789474,0,0.001623,Research
ahmed12_12,0,0,0,0,0,0.005299,0.021459,0.4545,0.009259,0.8182,0.003564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,1,0,0,0,0,0,0.006035,0.9091,0.002053,0.0909,0,0.246068,0,0.044882,0,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000726,0.0909,0.047059,0.3636,0,0.328561,0,0.045607,0,0,0,0.360825,0,0,0,0.556344,0,0.010309,0,0,0,0,0,0,0,0,0,0.019245,0,0,0,0,0,0.683942,0.842105,0,0.001623,Research
ahmed12_2,0,0,0,0,0,0.006262,0.025751,0.4615,0.011317,0.8462,0.004213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.006035,0.7692,0.00616,0.2308,0,0.856274,0,0.070899,0,0.001939,0,0,0.000736,0.0769,0,0,0.000926,0.0769,0,0,0,0,0,0,0,0,0,0,0,0.002903,0.3077,0.047059,0.3077,0,0.155663,0,0.004985,0.000155,0,0,0.578792,0,0.809524,0,0.662231,0,0.072165,0,0.01893,0,0,0,0.000784,0,0.035461,0,0.024769,0,0,0.001641,0.001641,0,0.574584,0.842105,0,0.003247,Research
ahmed12_3,0,0,0,0,0,0.004335,0.017167,0.4444,0.006173,0.6667,0.002916,0,0,0,0,0,0,0.001894,0.1111,0.025641,1,0.003717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,1,0,0,0,0,0,0.004828,0.8889,0.002053,0.1111,0,0.5,0,0.034571,0,0.000154,0,0,0.000736,0.1111,0,0,0.000926,0.1111,0,0,0,0,0,0,0,0,0,0,0,0.002903,0.4444,0.023529,0.2222,0,0.352581,0,0.120125,0.000025,0,0,0.579897,0,0.666667,0,0.736953,0,0.041237,0,0.007344,0,0,0,0.000113,0,0.047227,0,0.020464,0,0,0.005057,0.005057,0,0.516325,0.789474,0,0.003247,Research
ahmed12_4,0,0,0,0,0,0.004335,0.012876,0.3333,0.009259,1,0.002916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005432,1,0,0,0,1,0,0.104729,0,0.000654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011765,0.1111,0,0.534558,0,0.112771,0.000006,0,0,0.548969,0,0.833333,0,0.826523,0,0.041237,0,0.004118,0,0,0,0.000033,0,0.081617,0,0.021604,0,0,0.005488,0.005488,0,0.460371,0.684211,0,0.003247,Research
ahmed12_5,0,0,0,0,0,0.004817,0.012876,0.3,0.006173,0.6,0.00324,0,0,0,0,0,0,0.005682,0.3,0.051282,0.6667,0.003717,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.006035,1,0,0,0,0.947367,0,0.05259,0,0.000529,0,0,0.001473,0.2,0,0,0.001852,0.2,0,0,0,0,0,0,0,0,0,0,0,0.001451,0.2,0.047059,0.4,0,0.193701,0,0.012991,0.000308,0,0,0.597938,0,0.333333,0,0.858904,0,0.041237,0,0.003119,0,0,0,0.000579,0,0.022519,0,0.022046,0,0,0.009509,0.009509,0,0.443015,0.684211,0,0.003247,Research
ahmed12_6,0,0,0,0,0,0.011079,0.017167,0.1739,0.022634,0.9565,0.007453,0,0,0,0,0,0,0.003788,0.087,0.025641,0.5,0.007435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.013277,0.9565,0.002053,0.0435,0,0.609022,0,0.149176,0,0.001881,0,0,0.000736,0.0435,0,0,0.000926,0.0435,0,0,0,0,0,0,0,0,0,0,0,0.001451,0.087,0.011765,0.0435,0,0.606642,0,0.105015,0.000063,0,1,0.713918,0,0.833333,0.830043,0.899828,0.014925,0.041237,0.005746,0.003059,0,0,0,0.000327,0,0.035175,0.022945,0.031979,0.000823,0.000823,0.002603,0.002603,0.45803,0.422867,0.631579,0.015625,0.003247,Research
ahmed12_7,0,0,0,0,0,0.006262,0.04721,0.8462,0.010288,0.7692,0.004213,0,0,0,0,0,0,0.001894,0.0769,0.025641,1,0.003717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,1,0,0,0,0,0,0.006035,0.7692,0.00616,0.2308,0,0.455227,0,0.094927,0,0.00277,0,0,0.000736,0.0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003628,0.3846,0.023529,0.1538,0,0.354331,0,0.126435,0.000953,0,0,0.615611,0,0.761905,0,0.910543,0,0.072165,0,0.008143,0,0,0,0.001343,0,0.029034,0,0.021752,0,0,0.000576,0.000576,0,0.417891,0.578947,0,0.00487,Research
