@relation unnorm_email_features

@attribute pid_time_seg {adamq_1,adamq_2,adamq_3,adamq_4,adamq_5,adamq_6,adamq_7,adamq_9,ahmed12_1,ahmed12_10,ahmed12_11,ahmed12_12,ahmed12_2,ahmed12_3,ahmed12_4,ahmed12_5,ahmed12_6,ahmed12_7,ahmed12_8,ahmed12_9,ajm_1,ajm_2,ajm_3,ajm_4,apblair_10,apblair_11,apblair_12,apblair_2,apblair_3,apblair_4,apblair_5,apblair_6,apblair_7,apblair_8,apblair_9,apoetter_1,apoetter_10,apoetter_11,apoetter_12,apoetter_2,apoetter_3,apoetter_4,apoetter_5,apoetter_6,apoetter_7,apoetter_8,apoetter_9,arog3632_1,arog3632_10,arog3632_11,arog3632_12,arog3632_2,arog3632_3,arog3632_4,arog3632_5,arog3632_6,arog3632_7,arog3632_8,arog3632_9,asohangh_10,asohangh_11,asohangh_12,asohangh_2,asohangh_3,asohangh_4,asohangh_5,asohangh_6,asohangh_7,asohangh_8,asohangh_9,awais_1,awais_10,awais_11,awais_12,awais_2,awais_3,awais_4,awais_5,awais_6,awais_7,awais_8,awais_9,bdeird7_1,bdeird7_10,bdeird7_11,bdeird7_12,bdeird7_2,bdeird7_3,bdeird7_4,bdeird7_5,bdeird7_6,bdeird7_7,bdeird7_8,bdeird7_9,ccallsen_1,ccallsen_10,ccallsen_11,ccallsen_12,ccallsen_2,ccallsen_3,ccallsen_4,ccallsen_5,ccallsen_6,ccallsen_7,ccallsen_8,ccallsen_9,cheadley_1,cheadley_10,cheadley_11,cheadley_12,cheadley_2,cheadley_3,cheadley_4,cheadley_5,cheadley_6,cheadley_7,cheadley_8,cheadley_9,chrisdob_10,chrisdob_11,chrisdob_12,chrisdob_6,chrisj12_10,chrisj12_12,chrisj12_3,chrisj12_4,chrisj12_6,chrisj12_7,chrisj12_8,cshahria_1,cshahria_10,cshahria_11,cshahria_12,cshahria_3,cshahria_4,cshahria_5,cshahria_6,cshahria_7,cshahria_8,cshahria_9,cthomp_1,cthomp_10,cthomp_11,cthomp_12,cthomp_2,cthomp_3,cthomp_4,cthomp_5,cthomp_6,cthomp_7,cthomp_8,cthomp_9,darek_1,darek_2,darek_3,darek_4,darek_5,darek_6,darek_7,darek_8,deannac_1,deannac_10,deannac_11,deannac_12,deannac_2,deannac_3,deannac_4,deannac_5,deannac_6,deannac_7,deannac_8,deannac_9,drdepoy_1,drdepoy_10,drdepoy_11,drdepoy_12,drdepoy_2,drdepoy_3,drdepoy_4,drdepoy_5,drdepoy_6,drdepoy_7,drdepoy_8,drdepoy_9,dslevy_1,dslevy_10,dslevy_11,dslevy_12,dslevy_2,dslevy_3,dslevy_4,dslevy_5,dslevy_6,dslevy_7,dslevy_8,dslevy_9,example_1,example_10,example_11,example_12,example_2,example_3,example_4,example_5,example_6,example_7,example_8,example_9,fnguyen_1,fnguyen_10,fnguyen_11,fnguyen_12,fnguyen_2,fnguyen_3,fnguyen_4,fnguyen_5,fnguyen_6,fnguyen_7,fnguyen_8,fnguyen_9,hayajs_1,hayajs_10,hayajs_11,hayajs_12,hayajs_2,hayajs_3,hayajs_4,hayajs_5,hayajs_6,hayajs_7,hayajs_8,hayajs_9,het_1,het_10,het_11,het_12,het_2,het_3,het_4,het_5,het_6,het_7,het_8,het_9,jacouch_1,jacouch_10,jacouch_11,jacouch_12,jacouch_2,jacouch_3,jacouch_4,jacouch_5,jacouch_6,jacouch_7,jacouch_8,jacouch_9,javier_1,javier_10,javier_11,javier_12,javier_2,javier_3,javier_4,javier_5,javier_6,javier_7,javier_8,javier_9,jdemma_10,jdemma_11,jdemma_12,jdemma_6,jgaedder_11,jgaedder_12,jgaedder_8,jgaedder_9,jmahal_1,jmahal_10,jmahal_11,jmahal_12,jmahal_2,jmahal_3,jmahal_4,jmahal_5,jmahal_6,jmahal_7,jmahal_8,jmahal_9,jmernst_1,jmernst_10,jmernst_11,jmernst_12,jmernst_2,jmernst_3,jmernst_4,jmernst_5,jmernst_6,jmernst_7,jmernst_8,jmernst_9,jnl_10,jnl_11,jnl_12,jnl_3,jnl_9,jodavis5_12,jodavis5_2,jodavis5_5,jodavis5_9,jonblack_1,jonblack_11,jonblack_12,jonblack_2,jonblack_3,jonblack_4,jonblack_5,jonblack_6,jonblack_7,jonblack_8,jpokorsk_1,jpokorsk_10,jpokorsk_11,jpokorsk_12,jpokorsk_2,jpokorsk_3,jpokorsk_4,jpokorsk_5,jpokorsk_6,jpokorsk_7,jpokorsk_8,jpokorsk_9,jrmurphy_1,jrmurphy_10,jrmurphy_11,jrmurphy_12,jrmurphy_2,jrmurphy_3,jrmurphy_4,jrmurphy_5,jrmurphy_6,jrmurphy_7,jrmurphy_8,jrmurphy_9,jsprick_1,jsprick_2,jsprick_3,jsprick_4,jsprick_5,jsprick_6,jsprick_7,justus_10,justus_11,justus_12,justus_2,justus_3,justus_4,justus_5,justus_6,justus_7,justus_8,justus_9,jziegler_1,jziegler_10,jziegler_11,jziegler_12,jziegler_2,jziegler_3,jziegler_4,jziegler_5,jziegler_6,jziegler_7,jziegler_8,jziegler_9,kevin007_1,kevin007_10,kevin007_11,kevin007_12,kevin007_2,kevin007_3,kevin007_4,kevin007_5,kevin007_6,kevin007_7,kevin007_8,kevin007_9,kgantt_1,kgantt_10,kgantt_11,kgantt_12,kgantt_2,kgantt_3,kgantt_4,kgantt_5,kgantt_6,kgantt_7,kgantt_8,kgantt_9,kkarranc_1,kkarranc_10,kkarranc_11,kkarranc_12,kkarranc_2,kkarranc_3,kkarranc_4,kkarranc_5,kkarranc_6,kkarranc_7,kkarranc_8,kkarranc_9,kls_1,kls_10,kls_11,kls_12,kls_2,kls_3,kls_4,kls_5,kls_6,kls_7,kls_8,kls_9,krich_1,krich_10,krich_11,krich_12,krich_2,krich_3,krich_4,krich_5,krich_6,krich_7,krich_8,krich_9,krooks_10,krooks_11,krooks_3,krooks_5,krooks_8,krooks_9,ksterne_1,ksterne_10,ksterne_11,ksterne_12,ksterne_2,ksterne_3,ksterne_4,ksterne_5,ksterne_6,ksterne_7,ksterne_8,ksterne_9,kstraub_1,kstraub_10,kstraub_11,kstraub_12,kstraub_2,kstraub_3,kstraub_4,kstraub_5,kstraub_6,kstraub_7,kstraub_8,kstraub_9,leslie_1,leslie_10,leslie_11,leslie_12,leslie_2,leslie_3,leslie_4,leslie_5,leslie_6,leslie_7,leslie_8,leslie_9,matthewv_1,matthewv_2,matthewv_3,matthewv_4,matthewv_5,matthewv_6,matthewv_7,matthewv_8,mcarrick_1,mcarrick_10,mcarrick_11,mcarrick_12,mcarrick_2,mcarrick_3,mcarrick_4,mcarrick_5,mcarrick_6,mcarrick_7,mcarrick_8,mcarrick_9,mdarden_1,mdarden_11,mdarden_4,mdarden_6,mdarden_7,mdarden_8,mifowler_1,mifowler_10,mifowler_11,mifowler_12,mifowler_2,mifowler_3,mifowler_4,mifowler_5,mifowler_6,mifowler_7,mifowler_8,mifowler_9,mlapan4_1,mlapan4_10,mlapan4_11,mlapan4_12,mlapan4_2,mlapan4_3,mlapan4_4,mlapan4_5,mlapan4_6,mlapan4_7,mlapan4_8,mlapan4_9,mlerch_10,mlerch_11,mlerch_12,mlerch_2,mlerch_7,mlerch_9,mlgood3_1,mlgood3_10,mlgood3_11,mlgood3_12,mlgood3_2,mlgood3_3,mlgood3_4,mlgood3_5,mlgood3_6,mlgood3_7,mlgood3_8,mlgood3_9,mryan91_1,mryan91_10,mryan91_11,mryan91_12,mryan91_2,mryan91_3,mryan91_4,mryan91_5,mryan91_6,mryan91_7,mryan91_8,mryan91_9,odge_1,odge_10,odge_11,odge_12,odge_2,odge_3,odge_4,odge_5,odge_6,odge_7,odge_8,odge_9,oshea_1,oshea_10,oshea_11,oshea_12,oshea_2,oshea_3,oshea_4,oshea_5,oshea_6,oshea_7,oshea_8,oshea_9,pudavid_1,pudavid_10,pudavid_11,pudavid_12,pudavid_2,pudavid_3,pudavid_4,pudavid_5,pudavid_6,pudavid_7,pudavid_8,pudavid_9,rchase_1,rchase_10,rchase_11,rchase_12,rchase_2,rchase_3,rchase_4,rchase_5,rchase_6,rchase_7,rchase_8,rchase_9,rwmcgwi_1,rwmcgwi_10,rwmcgwi_11,rwmcgwi_12,rwmcgwi_2,rwmcgwi_3,rwmcgwi_4,rwmcgwi_5,rwmcgwi_6,rwmcgwi_7,rwmcgwi_8,rwmcgwi_9,saikou_1,saikou_10,saikou_11,saikou_12,saikou_2,saikou_3,saikou_4,saikou_5,saikou_6,saikou_7,saikou_8,saikou_9,sarowe_1,sarowe_10,sarowe_11,sarowe_12,sarowe_2,sarowe_3,sarowe_4,sarowe_5,sarowe_6,sarowe_7,sarowe_8,sarowe_9,sdh11_1,sdh11_10,sdh11_11,sdh11_12,sdh11_2,sdh11_3,sdh11_4,sdh11_5,sdh11_6,sdh11_7,sdh11_8,sdh11_9,snyder84_1,snyder84_10,snyder84_11,snyder84_12,snyder84_2,snyder84_3,snyder84_4,snyder84_5,snyder84_6,snyder84_7,snyder84_8,snyder84_9,tandonr_1,tandonr_10,tandonr_11,tandonr_12,tandonr_2,tandonr_3,tandonr_4,tandonr_5,tandonr_6,tandonr_7,tandonr_8,tandonr_9,tcc_1,tcc_10,tcc_11,tcc_12,tcc_2,tcc_3,tcc_4,tcc_5,tcc_6,tcc_7,tcc_8,tcc_9,tkoehn_1,tkoehn_10,tkoehn_11,tkoehn_12,tkoehn_2,tkoehn_3,tkoehn_4,tkoehn_5,tkoehn_6,tkoehn_7,tkoehn_8,tkoehn_9,totani_1,totani_10,totani_11,totani_12,totani_2,totani_3,totani_4,totani_6,totani_7,totani_8,totani_9,vombo13_1,vombo13_10,vombo13_11,vombo13_12,vombo13_2,vombo13_3,vombo13_4,vombo13_5,vombo13_6,vombo13_7,vombo13_8,vombo13_9,zleffke_1,zleffke_10,zleffke_11,zleffke_12,zleffke_2,zleffke_3,zleffke_4,zleffke_5,zleffke_6,zleffke_7,zleffke_8,zleffke_9}
@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
adamq_1,9,7,0.7778,6,0.6667,77,33,0.4286,73,0.9481,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,3,78,21,27,9,1,0,0,77,1,0,0,1,1,349,1554.012987,33349.777778,3271110.973857,4,0.4444,27,0.3506,1,0.1111,0,0,0.3,2.5667,2.8667,0,0,0,0,9,1,0,0,7,0.0909,0,0,12.333333,36.974026,16.444444,391.06426,0,0,0,59,0,0,0,0.147753,0,0.001314,0,802843658996.451968,0,0,0,0,0,0,0,0.000205,0,0,0.000007,0.000007,0,6.563514,16,0,1,GradStudent
adamq_2,5,3,0.6,3,0.6,38,16,0.4211,37,0.9737,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,21,4,0.8,1,0.2,38,1,0,0,1.25,1,191.2,1354.157895,52584.96,3919957.554017,2,0.4,12,0.3158,0,0,0,0,0.1724,1.3103,1.4828,0,0,0,0,0,0,3,0.6,1,0.0263,0,0,28.8,40.578947,69.76,317.559557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GradStudent
adamq_3,37,20,0.5405,22,0.5946,97,51,0.5258,84,0.866,134,8,0.2162,6,0.75,5,0.625,1,0.0103,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,13,18,86,44,56,37,1,0,0,95,0.9794,2,0.0206,1.1935,1.3402,133.378378,1251.484536,18702.1271,2468315.466256,11,0.2973,37,0.3814,3,0.0811,5,0.0515,1.2333,3.2333,4.4667,0,0,0,0,20,0.5405,1,0.027,18,0.1856,2,0.0206,21.027027,33.948454,292.296567,342.667446,0.000005,0,0,50,0,0.75,0,0.184009,0,0.010512,0,2.733912796895561E13,0,0,0,0.00001,0,0.062837,0,0.000336,0,0,0.000605,0.000605,0,5.27027,14,0,4,GradStudent
adamq_4,68,26,0.3824,35,0.5147,181,62,0.3425,128,0.7072,249,28,0.4118,12,0.4286,13,0.4643,2,0.011,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,90,49,60,62,0.9118,6,0.0882,170,0.9392,11,0.0608,1.1525,1.0221,330.264706,796.270718,176615.282872,991451.258203,16,0.2353,60,0.3315,2,0.0294,2,0.011,2.1935,5.8387,8.0323,23,200,0.34,1.1,45,0.6618,3,0.0441,60,0.3315,1,0.0055,25.323529,32.977901,152.101211,268.05476,0.000003,0,0,43.5,0,0.666667,0,0.190405,0,0.005256,0,3828563685099.401216,0,0,0,0.000015,0,0.027362,0,0.000246,0,0,0.000125,0.000125,0,5.093243,13,0,2,GradStudent
adamq_5,44,20,0.4545,25,0.5682,176,60,0.3409,151,0.858,220,11,0.25,10,0.9091,9,0.8182,1,0.0057,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,19,16,84,60,65,40,0.9091,4,0.0909,173,0.983,3,0.017,1.1282,7.6307,239.409091,994.335227,73448.650826,805203.768304,22,0.5,47,0.267,2,0.0455,2,0.0114,1.5172,6.069,7.5862,0,0,0,0,29,0.6591,2,0.0455,24,0.1364,8,0.0455,28.977273,44.625,227.931302,623.757102,0.000016,0,56.5,45.428571,1,0.7,0.171935,0.208131,0.00495,0.009198,1833.827813,7946598826329.714688,0,0,0,0.000067,0.158798,0.039045,0.000848,0.000476,0.00007,0.00007,0.000111,0.000111,5.701005,4.659459,11,1,2,GradStudent
adamq_6,65,26,0.4,37,0.5692,209,67,0.3206,171,0.8182,274,5,0.0769,4,0.8,4,0.8,7,0.0335,5,0.7143,6,0.8571,0,0,0,0,0,0,1,0.0048,1,1,1,1,18,22,22,78,57,62,59,0.9077,6,0.0923,191,0.9139,18,0.0861,1.2745,6.0622,159.446154,1088.77512,21015.539408,1433832.356127,13,0.2,58,0.2775,1,0.0154,1,0.0048,2.0968,6.7419,8.8387,0,0,0,0,33,0.5077,12,0.1846,44,0.2105,10,0.0478,22.461538,41.248804,94.956213,626.904604,0.016597,0.011896,54.5,53.642857,0,0.636364,0.183933,0.222178,0.00495,0.018397,1016.896974,4.086761080338814E13,0,0,0.009204,0.016543,0.003477,0.022452,0.00094,0.000628,0.000041,0.000041,0.000084,0.000084,5.329146,4.364865,10,2,10,GradStudent
adamq_7,15,6,0.4,7,0.4667,68,32,0.4706,48,0.7059,83,0,0,0,0,0,0,14,0.2059,2,0.1429,4,0.2857,0,0,0,0,0,0,0,0,0,0,0,0,80,41,48,80,59,63,15,1,0,0,63,0.9265,5,0.0735,1.0714,5,276.466667,807.235294,113226.782222,609203.32699,4,0.2667,18,0.2647,2,0.1333,2,0.0294,0.6818,3.0909,3.7727,0,0,0,0,10,0.6667,0,0,25,0.3676,1,0.0147,21.6,39.970588,317.44,658.881488,0.00001,0,27,57.166667,0,0.8,0.149015,0.198023,0.002475,0.007884,95.478932,5332227586061.7472,0,0,0,0.000027,0,0.058887,0.000606,0.000457,0.000004,0.000004,0.00001,0.00001,6.577889,4.897297,11,1,2,GradStudent
adamq_9,3,1,0.3333,1,0.3333,9,3,0.3333,8,0.8889,12,0,0,0,0,0,0,3,0.3333,2,0.6667,2,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,3,1,0,0,9,1,0,0,1,15.7778,167,1189,8628.666667,350221.777778,0,0,0,0,0,0,0,0,0.1111,0.3333,0.4444,0,0,0,0,2,0.6667,0,0,2,0.2222,0,0,20,74.666667,0,951.777778,0.001917,0,0,51.333333,0,0.333333,0,0.166544,0,0.003942,0,18036396804.20368,0,0,0,0.003771,0,0.01365,0,0.00032,0,0,0,0,0,5.822973,13,0,2,GradStudent
ahmed12_1,0,0,0,0,0,8,3,0.375,6,0.75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,100,0,0,0,0,0,7,0.875,1,0.125,0,28.125,0,587.5,0,167559.25,0,0,1,0.125,0,0,1,0.125,0,0,0,0,0,0,0,0,0,0,0,1,0.125,2,0.25,0,20.25,0,74.9375,0.000004,0,0,48.666667,0,0.333333,0,0.130408,0,0.003942,0,2235621229902.650368,0,0,0,0.000009,0,0.043692,0,0.00027,0,0,0.000016,0.000016,0,7.436486,17,0,2,Research
ahmed12_10,0,0,0,0,0,16,7,0.4375,8,0.5,16,0,0,0,0,0,0,4,0.25,3,0.75,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,100,0,0,0,0,0,11,0.6875,5,0.3125,0,11.75,0,486.1875,0,280393.027344,0,0,1,0.0625,0,0,1,0.0625,0,0,0,0,0,0,0,0,0,0,0,9,0.5625,5,0.3125,0,35.0625,0,340.433594,0.000002,0,0,44.25,0,0.833333,0,0.158629,0,0.005256,0,30515871291.899652,0,0,0,0.000009,0,0.05978,0,0.000277,0,0,0,0,0,6.113514,14,0,2,Research
ahmed12_11,0,0,0,0,0,6,3,0.5,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,100,0,0,0,0,0,5,0.8333,1,0.1667,0,15.8333,0,190,0,10767.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1667,3,0.5,0,52,0,303,0,0,0,42,0,0,0,0.139131,0,0.001314,0,1197299886.384797,0,0,0,0,0,0,0,0.000235,0,0,0,0,0,6.97027,15,0,1,Research
ahmed12_12,0,0,0,0,0,11,5,0.4545,9,0.8182,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,100,0,0,0,0,0,10,0.9091,1,0.0909,0,7.2727,0,436.363636,0,64025.68595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0909,4,0.3636,0,41.727273,0,277.471074,0,0,0,35,0,0,0,0.127353,0,0.001314,0,286939352.351728,0,0,0,0,0,0,0,0.000234,0,0,0,0,0,7.614865,16,0,1,Research
ahmed12_2,0,0,0,0,0,13,6,0.4615,11,0.8462,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,10,0.7692,3,0.2308,0,25.3077,0,689.307692,0,497117.905325,0,0,1,0.0769,0,0,1,0.0769,0,0,0,0,0,0,0,0,0,0,0,4,0.3077,4,0.3077,0,19.769231,0,30.331361,0.000012,0,0,56.142857,0,0.809524,0,0.151592,0,0.009198,0,3.432361387332077E13,0,0,0,0.000062,0,0.042553,0,0.000302,0,0,0.000076,0.000076,0,6.397297,16,0,2,Research
ahmed12_3,0,0,0,0,0,9,4,0.4444,6,0.6667,9,0,0,0,0,0,0,1,0.1111,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,100,0,0,0,0,0,8,0.8889,1,0.1111,0,14.7778,0,336.111111,0,39357.876543,0,0,1,0.1111,0,0,1,0.1111,0,0,0,0,0,0,0,0,0,0,0,4,0.4444,2,0.2222,0,44.777778,0,730.839506,0.000002,0,0,56.25,0,0.666667,0,0.168697,0,0.005256,0,1.3316466762560365E13,0,0,0,0.000009,0,0.056673,0,0.000249,0,0,0.000234,0.000234,0,5.748649,15,0,2,Research
ahmed12_4,0,0,0,0,0,9,3,0.3333,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,9,1,0,0,0,29.5556,0,1018.222222,0,167758.395062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1111,0,67.888889,0,686.098765,0,0,0,53.25,0,0.833333,0,0.1892,0,0.005256,0,7466586484023.51616,0,0,0,0.000003,0,0.097941,0,0.000263,0,0,0.000254,0.000254,0,5.125676,13,0,2,Research
ahmed12_5,0,0,0,0,0,10,3,0.3,6,0.6,10,0,0,0,0,0,0,3,0.3,2,0.6667,1,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,10,1,0,0,0,28,0,511.3,0,135722.21,0,0,2,0.2,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,2,0.2,4,0.4,0,24.6,0,79.04,0.000024,0,0,58,0,0.333333,0,0.196613,0,0.005256,0,5655514754124.063744,0,0,0,0.000046,0,0.027022,0,0.000268,0,0,0.000439,0.000439,0,4.932432,13,0,2,Research
ahmed12_6,0,0,0,0,0,23,4,0.1739,22,0.9565,23,0,0,0,0,0,0,2,0.087,1,0.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,22,0.9565,1,0.0435,0,18,0,1450.347826,0,482240.400756,0,0,1,0.0435,0,0,1,0.0435,0,0,0,0,0,0,0,0,0,0,0,2,0.087,1,0.0435,0,77.043478,0,638.911153,0.000005,0,67,69.25,0,0.833333,0.167434,0.20598,0.002475,0.005256,519.95441,5546702752707.212288,0,0,0,0.000026,0,0.04221,0.000677,0.000389,0.000053,0.000053,0.00012,0.00012,5.854271,4.708108,12,1,2,Research
ahmed12_7,0,0,0,0,0,13,11,0.8462,10,0.7692,13,0,0,0,0,0,0,1,0.0769,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,100,0,0,0,0,0,10,0.7692,3,0.2308,0,13.4545,0,922.923077,0,710188.532544,0,0,1,0.0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.3846,2,0.1538,0,45,0,769.230769,0.000074,0,0,59.714286,0,0.761905,0,0.208433,0,0.009198,0,1.476376360163216E13,0,0,0,0.000106,0,0.03484,0,0.000265,0,0,0.000027,0.000027,0,4.652703,11,0,3,Research
ahmed12_8,0,0,0,0,0,20,2,0.1,20,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,20,1,0,0,0,24,0,2008.2,0,187248.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,83.15,0,218.0275,0,0,42,45.5,0,1,0.148731,0.177809,0.002475,0.002628,128.03416,335131663880.89536,0,0,0,0,0,0.084337,0.000736,0.000377,0.000006,0.000006,0.000008,0.000008,6.590452,5.454054,12,1,1,Research
ahmed12_9,0,0,0,0,0,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,100,0,0,0,0,0,1,0.5,1,0.5,0,12.5,0,639.5,0,3192.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,25.5,0,12.25,0,0,0,36,0,0,0,0.15321,0,0.001314,0,2262884810.158398,0,0,0,0,0,0,0,0.000209,0,0,0,0,0,6.32973,14,0,1,Research
ajm_1,43,16,0.3721,6,0.1395,45,24,0.5333,22,0.4889,88,3,0.0698,3,1,1,0.3333,4,0.0889,3,0.75,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,95,78,86,100,96,98,28,0.6512,15,0.3488,27,0.6,18,0.4,5.375,6,238.837209,393.933333,22515.950243,151381.128889,7,0.1628,14,0.3111,7,0.1628,11,0.2444,1.5926,1.6667,3.2593,0,0,0,0,35,0.814,7,0.1628,29,0.6444,5,0.1111,44.093023,35.177778,141.665765,313.835062,0.000046,0,0,28.95,0,0.652632,0,0.124395,0,0.026281,0,1.568527290458036E13,0,0,0,0.000048,0,0.105161,0,0.000737,0,0,0.000008,0.000008,0,7.795946,18,0,23,Director
