pid_time_seg,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_hume_all,inter_vt_sent,inter_vt_received,inter_vt_all,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
adamq_1,9,7,0.7778,6,0.6667,77,33,0.4286,73,0.9481,86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22,1,3,78,21,27,9,1.0,0,0.0,77,1.0,0,0.0,1.0,1.0,349.0,1554.012987012987,33349.77777777778,3271110.973857312,4,0.4444,27,0.3506,1,0.1111,0,0.0,0.3,2.5667,2.8667,0,0,0.0,0.0,9,1.0,0,0.0,7,0.0909,0,0.0,12.333333333333336,36.97402597402598,16.444444444444443,391.06426041490977,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.14775293499202016,0.0,0.001314060446780552,0.0,802843658996.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002045469705086149,0.0,0.0,6.614924402277584e-06,6.614924400705048e-06,0.0,6.563513513513514,16.0,0.0,1.0,GradStudent
adamq_2,5,3,0.6,3,0.6,38,16,0.4211,37,0.9737,43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,40,18,21,4,0.8,1,0.2,38,1.0,0,0.0,1.25,1.0,191.2,1354.157894736842,52584.96,3919957.5540166213,2,0.4,12,0.3158,0,0.0,0,0.0,0.1724,1.3103,1.4828,0,0,0.0,0.0,0,0.0,3,0.6,1,0.0263,0,0.0,28.8,40.578947368421055,69.76,317.55955678670347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GradStudent
adamq_3,37,20,0.5405,22,0.5946,97,51,0.5258,84,0.866,134,8,0.2162,6,0.75,5,0.625,1,0.0103,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30,13,18,86,44,56,37,1.0,0,0.0,95,0.9794,2,0.0206,1.1935,1.3402,133.37837837837841,1251.4845360824745,18702.12710007305,2468315.466255712,11,0.2973,37,0.3814,3,0.0811,5,0.0515,1.2333,3.2333,4.4667,0,0,0.0,0.0,20,0.5405,1,0.027,18,0.1856,2,0.0206,21.027027027027028,33.948453608247426,292.29656683710755,342.6674460622808,4.7597360943108935e-06,0.0,0.0,50.0,0.0,0.75,0.0,0.18400923211698508,0.0,0.010512483574244415,0.0,27339127968955.61,0.0,0.0,0.0,9.654032813147198e-06,0.0,0.06283662477558348,0.0,0.0003355694990169419,0.0,0.0,0.0006047233730812418,0.0006047233729998352,0.0,5.270270270270269,14.0,0.0,4.0,GradStudent
adamq_4,68,26,0.3824,35,0.5147,181,62,0.3425,128,0.7072,249,28,0.4118,12,0.4286,13,0.4643,2,0.011,2,1.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,2,3,90,49,60,62,0.9118,6,0.0882,170,0.9392,11,0.0608,1.1525,1.0221,330.26470588235287,796.270718232044,176615.28287197233,991451.2582033515,16,0.2353,60,0.3315,2,0.0294,2,0.011,2.1935,5.8387,8.0323,23,200,0.34,1.1,45,0.6618,3,0.0441,60,0.3315,1,0.0055,25.323529411764714,32.97790055248619,152.10121107266443,268.0547602332041,3.173216788321697e-06,0.0,0.0,43.5,0.0,0.6666666666666666,0.0,0.19040488332614536,0.0,0.005256241787122208,0.0,3828563685099.4014,0.0,0.0,0.0,1.5046007361062866e-05,0.0,0.02736239261851734,0.0,0.0002456994790136954,0.0,0.0,0.00012490307567131074,0.00012490307565833934,0.0,5.093243243243244,13.0,0.0,2.0,GradStudent
adamq_5,44,20,0.4545,25,0.5682,176,60,0.3409,151,0.858,220,11,0.25,10,0.9091,9,0.8182,1,0.0057,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,19,16,84,60,65,40,0.9091,4,0.0909,173,0.983,3,0.017,1.1282,7.6307,239.4090909090909,994.3352272727273,73448.65082644628,805203.7683044936,22,0.5,47,0.267,2,0.0455,2,0.0114,1.5172,6.069,7.5862,0,0,0.0,0.0,29,0.6591,2,0.0455,24,0.1364,8,0.0455,28.97727272727273,44.625,227.9313016528926,623.7571022727273,1.5981160551647445e-05,0.0,56.5,45.42857142857143,1.0,0.7,0.171935340294717,0.20813109201167104,0.0049504950495049506,0.009198423127463865,1833.8278131574384,7946598826329.715,0.0,0.0,0.0,6.672420617160894e-05,0.15879828326180254,0.039045013678189515,0.000848385765259904,0.00047597845783508983,7.003528748910941e-05,7.003528817055154e-05,0.00011141906980520576,0.00011141907009177032,5.701005025125627,4.65945945945946,11.0,1.0,2.0,GradStudent
adamq_6,65,26,0.4,37,0.5692,209,67,0.3206,171,0.8182,274,5,0.0769,4,0.8,4,0.8,7,0.0335,5,0.7143,6,0.8571,0,0.0,0,0.0,0,0.0,1,0.0048,1,1.0,1,1.0,18,22,22,78,57,62,59,0.9077,6,0.0923,191,0.9139,18,0.0861,1.2745,6.0622,159.44615384615386,1088.7751196172246,21015.539408284032,1433832.3561273778,13,0.2,58,0.2775,1,0.0154,1,0.0048,2.0968,6.7419,8.8387,0,0,0.0,0.0,33,0.5077,12,0.1846,44,0.2105,10,0.0478,22.461538461538463,41.2488038277512,94.95621301775151,626.9046038323294,0.01659708815492395,0.011896206080013409,54.5,53.64285714285714,0.0,0.6363636363636364,0.18393271434639927,0.22217832980069405,0.0049504950495049506,0.01839684625492773,1016.8969739271021,40867610803388.14,0.0,0.0,0.009204033111440146,0.016543245467577634,0.0034773969200198713,0.02245152511622633,0.0009403354995663313,0.0006279123551672362,4.1262352628478005e-05,4.126235305716637e-05,8.391417009038455e-05,8.391417032322828e-05,5.3291457286432165,4.364864864864865,10.0,2.0,10.0,GradStudent
adamq_7,15,6,0.4,7,0.4667,68,32,0.4706,48,0.7059,83,0,0.0,0,0.0,0,0.0,14,0.2059,2,0.1429,4,0.2857,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,80,41,48,80,59,63,15,1.0,0,0.0,63,0.9265,5,0.0735,1.0714,5.0,276.46666666666664,807.2352941176471,113226.78222222225,609203.3269896194,4,0.2667,18,0.2647,2,0.1333,2,0.0294,0.6818,3.0909,3.7727,0,0,0.0,0.0,10,0.6667,0,0.0,25,0.3676,1,0.0147,21.6,39.970588235294116,317.44,658.8814878892732,9.834623136989756e-06,0.0,27.0,57.16666666666666,0.0,0.8,0.14901500654267108,0.19802318025834484,0.0024752475247524753,0.007884362680683309,95.47893209358135,5332227586061.747,0.0,0.0,0.0,2.673860652901043e-05,0.0,0.0588870232669705,0.0006060420103012284,0.0004571879550620882,4.021862727936575e-06,4.021862795075979e-06,9.714992841200586e-06,9.714992886840456e-06,6.577889447236181,4.897297297297297,11.0,1.0,2.0,GradStudent
adamq_9,3,1,0.3333,1,0.3333,9,3,0.3333,8,0.8889,12,0,0.0,0,0.0,0,0.0,3,0.3333,2,0.6667,2,0.6667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100,100,100,100,100,100,3,1.0,0,0.0,9,1.0,0,0.0,1.0,15.7778,167.0,1189.0,8628.666666666666,350221.7777777777,0,0.0,0,0.0,0,0.0,0,0.0,0.1111,0.3333,0.4444,0,0,0.0,0.0,2,0.6667,0,0.0,2,0.2222,0,0.0,20.0,74.66666666666667,0.0,951.7777777777777,0.0019166844658012035,0.0,0.0,51.33333333333334,0.0,0.3333333333333333,0.0,0.16654351479606444,0.0,0.0039421813403416545,0.0,18036396804.203682,0.0,0.0,0.0,0.003771187742879469,0.0,0.013649851632047478,0.0,0.0003197441415637139,0.0,0.0,2.7931244505572356e-08,2.793124471749302e-08,0.0,5.8229729729729724,13.0,0.0,2.0,GradStudent
ahmed12_1,0,0,0.0,0,0.0,8,3,0.375,6,0.75,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,88,0,0,100,0,0,0.0,0,0.0,7,0.875,1,0.125,0.0,28.125,0.0,587.5,0.0,167559.25,0,0.0,1,0.125,0,0.0,1,0.125,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,1,0.125,2,0.25,0.0,20.25,0.0,74.9375,3.977365980810682e-06,0.0,0.0,48.66666666666666,0.0,0.3333333333333333,0.0,0.13040814196915168,0.0,0.0039421813403416545,0.0,2235621229902.6504,0.0,0.0,0.0,9.054817389237963e-06,0.0,0.04369230769230769,0.0,0.0002702121446928405,0.0,0.0,1.5716258256133506e-05,1.5716258250598952e-05,0.0,7.436486486486486,17.0,0.0,2.0,Research
ahmed12_10,0,0,0.0,0,0.0,16,7,0.4375,8,0.5,16,0,0.0,0,0.0,0,0.0,4,0.25,3,0.75,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,0,100,0,0,0.0,0,0.0,11,0.6875,5,0.3125,0.0,11.75,0.0,486.1875,0.0,280393.02734375,0,0.0,1,0.0625,0,0.0,1,0.0625,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,9,0.5625,5,0.3125,0.0,35.0625,0.0,340.43359375,1.5616143808127741e-06,0.0,0.0,44.25,0.0,0.8333333333333334,0.0,0.15862864837671126,0.0,0.005256241787122208,0.0,30515871291.89965,0.0,0.0,0.0,8.594922873537623e-06,0.0,0.05978021978021977,0.0,0.00027727754852829704,0.0,0.0,3.022398105546334e-08,3.022398130979096e-08,0.0,6.113513513513514,14.0,0.0,2.0,Research
