@relation zero_mean_email_features

@attribute pid_time_seg {adamq_1,adamq_2,adamq_3,adamq_4,adamq_5,adamq_6,adamq_7,adamq_9,ahmed12_1,ahmed12_10,ahmed12_11,ahmed12_12,ahmed12_2,ahmed12_3,ahmed12_4,ahmed12_5,ahmed12_6,ahmed12_7,ahmed12_8,ahmed12_9,ajm_1,ajm_2,ajm_3,ajm_4,apblair_10,apblair_11,apblair_12,apblair_2,apblair_3,apblair_4,apblair_5,apblair_6,apblair_7,apblair_8,apblair_9,apoetter_1,apoetter_10,apoetter_11,apoetter_12,apoetter_2,apoetter_3,apoetter_4,apoetter_5,apoetter_6,apoetter_7,apoetter_8,apoetter_9,arog3632_1,arog3632_10,arog3632_11,arog3632_12,arog3632_2,arog3632_3,arog3632_4,arog3632_5,arog3632_6,arog3632_7,arog3632_8,arog3632_9,asohangh_10,asohangh_11,asohangh_12,asohangh_2,asohangh_3,asohangh_4,asohangh_5,asohangh_6,asohangh_7,asohangh_8,asohangh_9,awais_1,awais_10,awais_11,awais_12,awais_2,awais_3,awais_4,awais_5,awais_6,awais_7,awais_8,awais_9,bdeird7_1,bdeird7_10,bdeird7_11,bdeird7_12,bdeird7_2,bdeird7_3,bdeird7_4,bdeird7_5,bdeird7_6,bdeird7_7,bdeird7_8,bdeird7_9,ccallsen_1,ccallsen_10,ccallsen_11,ccallsen_12,ccallsen_2,ccallsen_3,ccallsen_4,ccallsen_5,ccallsen_6,ccallsen_7,ccallsen_8,ccallsen_9,cheadley_1,cheadley_10,cheadley_11,cheadley_12,cheadley_2,cheadley_3,cheadley_4,cheadley_5,cheadley_6,cheadley_7,cheadley_8,cheadley_9,chrisdob_10,chrisdob_11,chrisdob_12,chrisdob_6,chrisj12_10,chrisj12_12,chrisj12_3,chrisj12_4,chrisj12_6,chrisj12_7,chrisj12_8,cshahria_1,cshahria_10,cshahria_11,cshahria_12,cshahria_3,cshahria_4,cshahria_5,cshahria_6,cshahria_7,cshahria_8,cshahria_9,cthomp_1,cthomp_10,cthomp_11,cthomp_12,cthomp_2,cthomp_3,cthomp_4,cthomp_5,cthomp_6,cthomp_7,cthomp_8,cthomp_9,darek_1,darek_2,darek_3,darek_4,darek_5,darek_6,darek_7,darek_8,deannac_1,deannac_10,deannac_11,deannac_12,deannac_2,deannac_3,deannac_4,deannac_5,deannac_6,deannac_7,deannac_8,deannac_9,drdepoy_1,drdepoy_10,drdepoy_11,drdepoy_12,drdepoy_2,drdepoy_3,drdepoy_4,drdepoy_5,drdepoy_6,drdepoy_7,drdepoy_8,drdepoy_9,dslevy_1,dslevy_10,dslevy_11,dslevy_12,dslevy_2,dslevy_3,dslevy_4,dslevy_5,dslevy_6,dslevy_7,dslevy_8,dslevy_9,example_1,example_10,example_11,example_12,example_2,example_3,example_4,example_5,example_6,example_7,example_8,example_9,fnguyen_1,fnguyen_10,fnguyen_11,fnguyen_12,fnguyen_2,fnguyen_3,fnguyen_4,fnguyen_5,fnguyen_6,fnguyen_7,fnguyen_8,fnguyen_9,hayajs_1,hayajs_10,hayajs_11,hayajs_12,hayajs_2,hayajs_3,hayajs_4,hayajs_5,hayajs_6,hayajs_7,hayajs_8,hayajs_9,het_1,het_10,het_11,het_12,het_2,het_3,het_4,het_5,het_6,het_7,het_8,het_9,jacouch_1,jacouch_10,jacouch_11,jacouch_12,jacouch_2,jacouch_3,jacouch_4,jacouch_5,jacouch_6,jacouch_7,jacouch_8,jacouch_9,javier_1,javier_10,javier_11,javier_12,javier_2,javier_3,javier_4,javier_5,javier_6,javier_7,javier_8,javier_9,jdemma_10,jdemma_11,jdemma_12,jdemma_6,jgaedder_11,jgaedder_12,jgaedder_8,jgaedder_9,jmahal_1,jmahal_10,jmahal_11,jmahal_12,jmahal_2,jmahal_3,jmahal_4,jmahal_5,jmahal_6,jmahal_7,jmahal_8,jmahal_9,jmernst_1,jmernst_10,jmernst_11,jmernst_12,jmernst_2,jmernst_3,jmernst_4,jmernst_5,jmernst_6,jmernst_7,jmernst_8,jmernst_9,jnl_10,jnl_11,jnl_12,jnl_3,jnl_9,jodavis5_12,jodavis5_2,jodavis5_5,jodavis5_9,jonblack_1,jonblack_11,jonblack_12,jonblack_2,jonblack_3,jonblack_4,jonblack_5,jonblack_6,jonblack_7,jonblack_8,jpokorsk_1,jpokorsk_10,jpokorsk_11,jpokorsk_12,jpokorsk_2,jpokorsk_3,jpokorsk_4,jpokorsk_5,jpokorsk_6,jpokorsk_7,jpokorsk_8,jpokorsk_9,jrmurphy_1,jrmurphy_10,jrmurphy_11,jrmurphy_12,jrmurphy_2,jrmurphy_3,jrmurphy_4,jrmurphy_5,jrmurphy_6,jrmurphy_7,jrmurphy_8,jrmurphy_9,jsprick_1,jsprick_2,jsprick_3,jsprick_4,jsprick_5,jsprick_6,jsprick_7,justus_10,justus_11,justus_12,justus_2,justus_3,justus_4,justus_5,justus_6,justus_7,justus_8,justus_9,jziegler_1,jziegler_10,jziegler_11,jziegler_12,jziegler_2,jziegler_3,jziegler_4,jziegler_5,jziegler_6,jziegler_7,jziegler_8,jziegler_9,kevin007_1,kevin007_10,kevin007_11,kevin007_12,kevin007_2,kevin007_3,kevin007_4,kevin007_5,kevin007_6,kevin007_7,kevin007_8,kevin007_9,kgantt_1,kgantt_10,kgantt_11,kgantt_12,kgantt_2,kgantt_3,kgantt_4,kgantt_5,kgantt_6,kgantt_7,kgantt_8,kgantt_9,kkarranc_1,kkarranc_10,kkarranc_11,kkarranc_12,kkarranc_2,kkarranc_3,kkarranc_4,kkarranc_5,kkarranc_6,kkarranc_7,kkarranc_8,kkarranc_9,kls_1,kls_10,kls_11,kls_12,kls_2,kls_3,kls_4,kls_5,kls_6,kls_7,kls_8,kls_9,krich_1,krich_10,krich_11,krich_12,krich_2,krich_3,krich_4,krich_5,krich_6,krich_7,krich_8,krich_9,krooks_10,krooks_11,krooks_3,krooks_5,krooks_8,krooks_9,ksterne_1,ksterne_10,ksterne_11,ksterne_12,ksterne_2,ksterne_3,ksterne_4,ksterne_5,ksterne_6,ksterne_7,ksterne_8,ksterne_9,kstraub_1,kstraub_10,kstraub_11,kstraub_12,kstraub_2,kstraub_3,kstraub_4,kstraub_5,kstraub_6,kstraub_7,kstraub_8,kstraub_9,leslie_1,leslie_10,leslie_11,leslie_12,leslie_2,leslie_3,leslie_4,leslie_5,leslie_6,leslie_7,leslie_8,leslie_9,matthewv_1,matthewv_2,matthewv_3,matthewv_4,matthewv_5,matthewv_6,matthewv_7,matthewv_8,mcarrick_1,mcarrick_10,mcarrick_11,mcarrick_12,mcarrick_2,mcarrick_3,mcarrick_4,mcarrick_5,mcarrick_6,mcarrick_7,mcarrick_8,mcarrick_9,mdarden_1,mdarden_11,mdarden_4,mdarden_6,mdarden_7,mdarden_8,mifowler_1,mifowler_10,mifowler_11,mifowler_12,mifowler_2,mifowler_3,mifowler_4,mifowler_5,mifowler_6,mifowler_7,mifowler_8,mifowler_9,mlapan4_1,mlapan4_10,mlapan4_11,mlapan4_12,mlapan4_2,mlapan4_3,mlapan4_4,mlapan4_5,mlapan4_6,mlapan4_7,mlapan4_8,mlapan4_9,mlerch_10,mlerch_11,mlerch_12,mlerch_2,mlerch_7,mlerch_9,mlgood3_1,mlgood3_10,mlgood3_11,mlgood3_12,mlgood3_2,mlgood3_3,mlgood3_4,mlgood3_5,mlgood3_6,mlgood3_7,mlgood3_8,mlgood3_9,mryan91_1,mryan91_10,mryan91_11,mryan91_12,mryan91_2,mryan91_3,mryan91_4,mryan91_5,mryan91_6,mryan91_7,mryan91_8,mryan91_9,odge_1,odge_10,odge_11,odge_12,odge_2,odge_3,odge_4,odge_5,odge_6,odge_7,odge_8,odge_9,oshea_1,oshea_10,oshea_11,oshea_12,oshea_2,oshea_3,oshea_4,oshea_5,oshea_6,oshea_7,oshea_8,oshea_9,pudavid_1,pudavid_10,pudavid_11,pudavid_12,pudavid_2,pudavid_3,pudavid_4,pudavid_5,pudavid_6,pudavid_7,pudavid_8,pudavid_9,rchase_1,rchase_10,rchase_11,rchase_12,rchase_2,rchase_3,rchase_4,rchase_5,rchase_6,rchase_7,rchase_8,rchase_9,rwmcgwi_1,rwmcgwi_10,rwmcgwi_11,rwmcgwi_12,rwmcgwi_2,rwmcgwi_3,rwmcgwi_4,rwmcgwi_5,rwmcgwi_6,rwmcgwi_7,rwmcgwi_8,rwmcgwi_9,saikou_1,saikou_10,saikou_11,saikou_12,saikou_2,saikou_3,saikou_4,saikou_5,saikou_6,saikou_7,saikou_8,saikou_9,sarowe_1,sarowe_10,sarowe_11,sarowe_12,sarowe_2,sarowe_3,sarowe_4,sarowe_5,sarowe_6,sarowe_7,sarowe_8,sarowe_9,sdh11_1,sdh11_10,sdh11_11,sdh11_12,sdh11_2,sdh11_3,sdh11_4,sdh11_5,sdh11_6,sdh11_7,sdh11_8,sdh11_9,snyder84_1,snyder84_10,snyder84_11,snyder84_12,snyder84_2,snyder84_3,snyder84_4,snyder84_5,snyder84_6,snyder84_7,snyder84_8,snyder84_9,tandonr_1,tandonr_10,tandonr_11,tandonr_12,tandonr_2,tandonr_3,tandonr_4,tandonr_5,tandonr_6,tandonr_7,tandonr_8,tandonr_9,tcc_1,tcc_10,tcc_11,tcc_12,tcc_2,tcc_3,tcc_4,tcc_5,tcc_6,tcc_7,tcc_8,tcc_9,tkoehn_1,tkoehn_10,tkoehn_11,tkoehn_12,tkoehn_2,tkoehn_3,tkoehn_4,tkoehn_5,tkoehn_6,tkoehn_7,tkoehn_8,tkoehn_9,totani_1,totani_10,totani_11,totani_12,totani_2,totani_3,totani_4,totani_6,totani_7,totani_8,totani_9,vombo13_1,vombo13_10,vombo13_11,vombo13_12,vombo13_2,vombo13_3,vombo13_4,vombo13_5,vombo13_6,vombo13_7,vombo13_8,vombo13_9,zleffke_1,zleffke_10,zleffke_11,zleffke_12,zleffke_2,zleffke_3,zleffke_4,zleffke_5,zleffke_6,zleffke_7,zleffke_8,zleffke_9}
@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
adamq_1,-0.44423,-0.447681,1.576932,-0.434852,1.335866,-0.304188,0.05271,0.216381,-0.07364,1.321941,-0.400485,-0.269265,-0.572884,-0.338275,-0.693653,-0.300821,-0.673571,-0.616687,-1.021641,-0.900242,-1.071084,-0.657052,-1.700583,-0.323681,-0.215716,-0.324516,-0.464015,-0.374697,-0.442272,-0.438591,-0.128977,-0.440617,-0.536142,-0.44559,-0.529997,-0.980705,-2.20014,-1.447311,0.164203,-3.034931,-1.088533,-0.418302,1.156797,-0.426851,-0.935937,-0.154357,1.118562,-0.557913,-1.132509,-0.522286,-0.310427,0.170172,1.779948,-0.155042,0.181588,-0.249634,1.353039,-0.014094,0.780454,-0.307559,0.02756,-0.33273,-0.664102,-0.464533,-0.312529,-0.417271,-0.087264,-0.102792,-0.154247,-0.141472,-0.381292,1.484052,-0.409198,-0.466934,-0.517263,-1.42259,-0.598144,-0.587458,-0.594557,0.044676,-0.645881,-0.299692,-0.471339,-0.26727,-0.64698,1.381899,-0.590441,-1.416902,-0.877008,0.038533,-0.502271,-0.897833,-0.278855,-0.466718,0,0,-0.274921,-0.476842,-0.159806,-0.693782,-0.505884,-0.626847,-0.229461,-0.229461,-0.289377,-0.289377,-0.870243,0.707329,0.838196,-0.417978,-0.561725,GradStudent
adamq_2,-0.459895,-0.543481,0.94839,-0.488,1.085665,-0.480948,-0.373158,0.186522,-0.37759,1.439369,-0.495866,-0.269265,-0.572884,-0.338275,-0.693653,-0.300821,-0.673571,-0.616687,-1.021641,-0.900242,-1.071084,-0.657052,-1.700583,-0.323681,-0.215716,-0.324516,-0.464015,-0.374697,-0.442272,-0.438591,-0.128977,-0.440617,-0.536142,-0.44559,-0.529997,-1.563323,-2.233058,-1.530023,-0.815236,-3.17481,-1.245363,-0.44716,0.597857,-0.416443,-0.010436,-0.403477,1.118562,-0.557913,-1.132509,-0.382439,-0.310427,-0.342422,1.402674,-0.139222,0.240245,-0.278319,1.150171,-0.245937,0.610969,-0.331493,-0.56591,-0.33273,-0.664102,-0.479734,-0.486418,-0.511051,-0.087264,-0.102792,-0.154247,-0.141472,-0.43267,-1.406688,-0.267596,5.664253,-0.563819,-1.666707,-0.598144,-0.587458,0.323345,0.2791,-0.484396,-0.442772,-0.471339,-0.26727,-0.64698,-1.72971,-0.590441,-1.416902,-0.877008,-2.030844,-0.502271,-0.950199,-0.278855,-0.469612,0,0,-0.274921,-0.476842,-0.159806,-0.693782,-0.505884,-0.764045,-0.229461,-0.229461,-0.29106,-0.29106,-0.870243,-2.016674,-2.119497,-0.417978,-0.573271,GradStudent
adamq_3,-0.334574,-0.136329,0.738051,-0.151396,1.065409,-0.213542,0.50363,0.603356,0.019234,0.945347,-0.294012,-0.219722,0.124695,-0.15443,1.507489,-0.173488,1.433275,-0.596941,-0.980908,-0.748758,2.303749,-0.622269,1.343008,-0.323681,-0.215716,-0.324516,-0.464015,-0.374697,-0.442272,-0.438591,-0.128977,-0.440617,-0.536142,-0.44559,-0.529997,-0.768844,-1.805127,-1.033748,0.370401,-1.962524,-0.330526,-0.256697,1.156797,-0.426851,-0.935937,-0.039379,1.032775,-0.531934,-1.039299,-0.414044,-0.17311,-0.530248,1.208853,-0.16709,0.109015,-0.149236,0.680924,0.140467,0.930458,-0.25969,-0.132693,-0.215014,-0.37175,-0.353354,-0.22027,-0.308848,-0.087264,-0.102792,-0.154247,-0.141472,-0.318498,0.155757,-0.361997,-0.19103,-0.43191,-1.064727,-0.458606,-0.376594,-0.109944,-0.152074,0.189638,-0.393898,-0.470909,-0.26727,-0.64698,0.907247,-0.590441,1.123126,-0.877008,0.546326,-0.502271,-0.53127,-0.278855,-0.371046,0,0,-0.274921,-0.475961,-0.159806,0.493354,-0.505884,-0.538964,-0.229461,-0.229461,-0.137138,-0.137138,-0.870243,0.170605,0.468485,-0.417978,-0.527087,GradStudent
adamq_4,-0.213169,0.007371,0.179151,0.078911,0.765693,0.167171,0.779192,-0.126403,0.390728,0.216929,-0.038922,-0.095863,0.755808,0.029414,0.564226,0.030245,0.891563,-0.577194,-0.97814,-0.597273,2.303749,-0.587486,1.343008,-0.323681,-0.215716,-0.324516,-0.464015,-0.374697,-0.442272,-0.438591,-0.128977,-0.440617,-0.536142,-0.44559,-0.529997,-1.404427,-2.167222,-1.447311,0.4735,-1.729392,-0.225973,-0.112407,0.910305,-0.364403,-0.527791,0.439698,0.865365,-0.415028,-0.857405,-0.436979,-0.301506,0.109313,0.349529,-0.037211,-0.024496,-0.077522,0.39764,0.495958,0.687432,-0.283625,-0.408863,-0.285644,-0.601658,-0.23897,0.140323,-0.067226,0.86921,0.268097,3.956601,0.205567,-0.175784,0.506404,-0.267596,-0.016291,-0.10602,-0.513385,-0.528375,-0.531159,0.129556,-0.215188,-0.234995,-0.539135,-0.471052,-0.26727,-0.64698,0.564442,-0.590441,0.840901,-0.877008,0.635902,-0.502271,-0.740735,-0.278855,-0.455809,0,0,-0.274921,-0.475469,-0.159806,-0.17684,-0.505884,-0.599244,-0.229461,-0.229461,-0.259268,-0.259268,-0.870243,0.097135,0.283629,-0.417978,-0.550179,GradStudent
adamq_5,-0.30716,-0.136329,0.434032,-0.098249,0.966379,0.14451,0.72909,-0.132773,0.584918,0.908651,-0.103249,-0.201143,0.233753,-0.031868,1.974424,-0.071621,2.084543,-0.596941,-0.999099,-0.748758,2.303749,-0.622269,1.343008,-0.323681,-0.215716,-0.324516,-0.464015,-0.374697,-0.442272,-0.438591,-0.128977,-0.440617,-0.536142,-0.44559,-0.529997,-1.377945,-1.607621,-1.08889,0.318852,-1.216501,-0.095282,-0.239382,0.902759,-0.385219,-0.515297,0.458861,1.047767,-0.518944,-1.055589,-0.450572,2.36595,-0.18582,0.723423,-0.122062,-0.041333,0.008533,1.607081,0.295029,0.373301,-0.283625,-0.32286,-0.285644,-0.599387,-0.319534,0.172197,-0.097456,-0.087264,-0.102792,-0.154247,-0.141472,-0.267121,0.498599,-0.314797,-0.001985,-0.385355,-1.25065,-0.039993,-0.121716,0.333227,0.542211,-0.005316,0.153254,-0.469897,-0.26727,3.432541,0.666153,2.703732,0.953791,1.381901,0.884169,-0.163287,-0.583636,0.016832,-0.440962,0,0,-0.274921,-0.470753,0.473859,0.043873,-0.129787,-0.444786,-0.215415,-0.215415,-0.262701,-0.262701,0.722447,-0.082895,-0.086083,-0.239863,-0.550179,GradStudent
adamq_6,-0.224918,0.007371,0.241369,0.114343,0.97013,0.294076,0.904447,-0.213592,0.753779,0.726088,0.016532,-0.238301,-0.324763,-0.215712,1.654231,-0.198954,2.023192,-0.478461,-0.88916,-0.142819,1.339559,-0.448355,0.908079,-0.323681,-0.215716,-0.324516,-0.464015,-0.374697,-0.442272,0.659772,0.00335,0.678857,1.875858,0.767636,1.957995,-1.086636,-1.508867,-0.923465,0.164203,-1.35638,-0.173696,-0.129722,0.898846,-0.364403,-0.508818,0.57384,0.760004,-0.324101,-0.742929,-0.368733,1.73285,-0.44557,0.901701,-0.165187,0.015496,-0.12055,0.236351,0.465046,0.424439,-0.307559,-0.483647,-0.309187,-0.636854,-0.250489,0.265328,-0.012581,-0.087264,-0.102792,-0.154247,-0.141472,-0.244287,0.060941,0.157209,1.419428,-0.230169,-0.970632,0.099544,-0.098173,-0.02998,0.32266,-0.40808,0.159381,1.025699,0.214503,3.288133,1.099368,-0.590441,0.738273,1.539525,1.080909,-0.163287,-0.217074,-0.11489,-0.322272,0,0,0.108495,1.032785,-0.14593,-0.269618,-0.089025,-0.342878,-0.221186,-0.221186,-0.269701,-0.269701,0.61856,-0.205159,-0.270939,-0.061749,-0.457811,GradStudent
adamq_7,-0.420732,-0.471631,0.241369,-0.417136,0.585638,-0.344979,0.027659,0.383593,-0.284716,0.210966,-0.407139,-0.269265,-0.572884,-0.338275,-0.693653,-0.300821,-0.673571,-0.340234,-0.207381,-0.597273,-0.588821,-0.517921,-0.831029,-0.323681,-0.215716,-0.324516,-0.464015,-0.374697,-0.442272,-0.438591,-0.128977,-0.440617,-0.536142,-0.44559,-0.529997,0.555287,-0.883431,-0.206624,0.215753,-1.263128,-0.147558,-0.383672,1.156797,-0.426851,-0.935937,-0.243785,0.812476,-0.492965,-0.799941,-0.482346,1.30411,-0.065443,0.370227,-0.089346,-0.059051,-0.249634,0.54111,-0.1532,0.362099,-0.283625,0.146147,-0.285644,-0.497206,-0.419051,-0.239979,-0.355876,-0.087264,-0.102792,-0.154247,-0.141472,-0.375584,0.520568,-0.409198,-0.466934,-0.377595,-0.376966,-0.528375,-0.436987,-0.078005,0.239539,0.265794,0.221625,-0.470452,-0.26727,1.302526,1.28521,-0.590441,1.292461,1.080771,0.742601,-0.332779,-0.636002,-0.26346,-0.450388,0,0,-0.274921,-0.474402,-0.159806,0.418737,-0.23722,-0.45739,-0.228654,-0.228654,-0.288588,-0.288588,0.967422,0.015813,-0.086083,-0.239863,-0.550179,GradStudent
adamq_9,-0.467728,-0.591382,0.005578,-0.523432,0.085237,-0.612385,-0.698822,-0.163031,-0.622439,1.05039,-0.564629,-0.269265,-0.572884,-0.338275,-0.693653,-0.300821,-0.673571,-0.557447,0.29644,-0.597273,1.178917,-0.587486,0.328579,-0.323681,-0.215716,-0.324516,-0.464015,-0.374697,-0.442272,-0.438591,-0.128977,-0.440617,-0.536142,-0.44559,-0.529997,1.084939,1.058716,1.22706,0.731247,0.648555,0.819555,-0.452931,1.156797,-0.426851,-0.935937,-0.58872,1.118562,-0.557913,-1.132509,-0.522286,5.654397,-0.421032,1.090899,-0.175375,-0.082464,-0.307005,-0.67747,-0.431411,-0.927058,-0.331493,-0.56591,-0.33273,-0.664102,-0.487036,-0.621637,-0.581417,-0.087264,-0.102792,-0.154247,-0.141472,-0.421252,0.520568,-0.409198,-0.466934,-0.556059,-0.926419,-0.598144,-0.587458,-0.167193,2.495789,-0.695689,0.79176,-0.298456,-0.26727,-0.64698,0.977566,-0.590441,-0.288001,-0.877008,0.301707,-0.502271,-0.793101,-0.278855,-0.469547,0,0,-0.274921,-0.132708,-0.159806,-0.435903,-0.505884,-0.549579,-0.229461,-0.229461,-0.291053,-0.291053,-0.870243,0.399989,0.283629,-0.417978,-0.550179,GradStudent
ahmed12_1,-0.479477,-0.615332,-1.172673,-0.541148,-1.165017,-0.616917,-0.698822,0.002987,-0.639325,0.413253,-0.573502,-0.269265,-0.572884,-0.338275,-0.693653,-0.300821,-0.673571,-0.616687,-1.021641,-0.900242,-1.071084,-0.657052,-1.700583,-0.323681,-0.215716,-0.324516,-0.464015,-0.374697,-0.442272,-0.438591,-0.128977,-0.440617,-0.536142,-0.44559,-0.529997,-1.563323,0.663703,-1.530023,-1.846225,0.648555,-1.794265,-0.470246,-1.637905,-0.426851,-0.935937,-0.601496,0.598008,-0.544923,-0.566917,-1.081678,10.638148,-0.963511,-0.044576,-0.182471,-0.098976,-0.307005,-0.67747,-0.415954,-0.318276,-0.331493,-0.56591,-0.309187,0.04549,-0.500271,-0.667767,-0.611532,-0.087264,-0.102792,-0.154247,-0.141472,-0.43267,-1.406688,-0.409198,-0.466934,-0.563819,-1.293729,-0.458606,1.971565,-1.282054,-1.04287,-0.695689,-0.915045,-0.47098,-0.26727,-0.64698,0.836928,-0.590441,-0.288001,-0.877008,-0.204392,-0.502271,-0.793101,-0.278855,-0.461552,0,0,-0.274921,-0.476016,-0.159806,0.131672,-0.505884,-0.582802,-0.229461,-0.229461,-0.28706,-0.28706,-0.870243,1.069632,1.023052,-0.417978,-0.550179,Research
ahmed12_10,-0.479477,-0.615332,-1.172673,-0.541148,-1.165017,-0.580659,-0.598618,0.251814,-0.622439,-0.733501,-0.555757,-0.269265,-0.572884,-0.338275,-0.693653,-0.300821,-0.673571,-0.537701,-0.032981,-0.445788,1.46004,-0.587486,-0.178788,-0.323681,-0.215716,-0.324516,-0.464015,-0.374697,-0.442272,-0.438591,-0.128977,-0.440617,-0.536142,-0.44559,-0.529997,-1.563323,-0.784677,-1.530023,-1.846225,0.648555,-1.794265,-0.470246,-1.637905,-0.426851,-0.935937,-0.575945,-0.182823,-0.492965,0.281471,-1.081678,4.02864,-0.963511,-0.235827,-0.182471,-0.088776,-0.307005,-0.67747,-0.415954,-0.622667,-0.331493,-0.56591,-0.309187,-0.309306,-0.500271,-0.667767,-0.611532,-0.087264,-0.102792,-0.154247,-0.141472,-0.43267,-1.406688,-0.409198,-0.466934,-0.501744,0.359543,-0.2493,2.611321,-1.282054,-0.079629,-0.695689,-0.398246,-0.471198,-0.26727,-0.64698,0.603997,-0.590441,1.405351,-0.877008,0.190855,-0.502271,-0.740735,-0.278855,-0.469502,0,0,-0.274921,-0.476058,-0.159806,0.435611,-0.505884,-0.578063,-0.229461,-0.229461,-0.291053,-0.291053,-0.870243,0.520569,0.468485,-0.417978,-0.550179,Research
