@relation trai_norm_email_features_100_0_0

@attribute pid {adamq,ahmed12,ajm,apblair,apoetter,arog3632,asohangh,awais,bdeird7,ccallsen,cheadley,chrisdob,chrisj12,cshahria,cthomp,darek,deannac,drdepoy,dslevy,example,fnguyen,hayajs,het,jacouch,javier,jdemma,jgaedder,jmahal,jmernst,jnl,jodavis5,jonblack,jpokorsk,jrmurphy,jsprick,justus,jziegler,kevin007,kkarranc,krich,krooks,ksterne,kstraub,leslie,matthewv,mcarrick,mdarden,mifowler,mlapan4,mlerch,mlgood3,mryan91,odge,oshea,pudavid,rchase,rwmcgwi,saikou,sarowe,sdh11,snyder84,tandonr,tcc,tkoehn,totani,vombo13,zleffke}
@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations}

@data
adamq,0.00312,0.015693,0.322841,0.007131,0.596888,0.029774,0.100231,1,0.045201,1,0.010195,0.002158,0.266622,0.013389,0.4915,0.005529,0.5763,0.005626,0.051424,0.023904,0.356367,0.006292,0.249002,0,0,0,0,0,0,0.03125,0.066225,0.03125,1,0.03125,1,0.02381,0.068182,0.711538,0.206349,0.004972,0.843042,0.000858,0.156958,0.044057,1,0.003023,0,0.029867,0.16053,0.169486,0.230705,0.023054,0.014946,0.001962,0.389109,0.032601,0.622879,0.000783,0.055625,0,0,0.012446,0.115063,0.040618,0.003208,0.009977,0.33,0.051282,0.00301,0.6321,0.00416,0.179975,0.007867,0.036148,0.011275,0.091022,0.093099,0.654544,0.076451,0.286143,0,0,0.951839,0.921598,1,1,0.158873,0.036364,0.028169,0.044776,0.337507,0.001842,0.011038,0.031484,0.020549,0,0,0.714709,0.779201,1,0.003294,0.003225,0,0,0.000431,0.000431,0.717172,1,0.939394,0,0,0,GradStudent
ahmed12,0,0.002271,0.716963,0.000102,0.194103,0.006436,0.010624,0.538961,0.009752,0.93339,0.001458,0,0,0,0,0,0,0.006076,0.236507,0.027888,0.375916,0.008389,0.47314,0,0,0,0,0,0,0.0625,0.496689,0.03125,0.5,0.0625,1,0.678571,0.852273,0.884615,0.984127,0,0.068285,0.000562,0.931715,0.007783,0.74563,0.003695,0.25437,0.537057,1,0,0.169712,0,0.004552,0.000063,0.1125,0.000818,0.145758,0.00013,0.084062,0.001824,0.19646,0,0.008584,0.002098,0,0.008597,0,0.641026,0.000494,0.9394,0.00032,0.125362,0.001808,0.203112,0.018647,1,0.333987,0.891586,0.437627,0.634531,0.000626,0,0.751971,0.657508,1,0.970813,0.179214,0.064892,0.042254,0.119403,0.483214,0.002883,0.015872,0.067291,0.029071,0,0.000626,0.953521,0.899291,1,0.004996,0.004878,0.003558,0.003558,0.004221,0.004221,0.686869,1,0.893939,0,0,0,Research
ajm,0.00801,0.027669,0.219228,0.014313,0.453563,0.042364,0.082679,0.544456,0.042502,0.472654,0.017267,0.000768,0.039595,0.006002,0.619,0.002114,0.619,0.084383,0.558649,0.12749,0.103584,0.086409,0.181125,0.224138,0.38806,0.224138,1,0.216216,0.6154,0.25,0.370861,0.25,1,0.1875,0.75,0.583333,0.715909,0.5,0.746032,0.010235,0.604531,0.005178,0.395469,0.043769,0.495266,0.03737,0.504734,0.117284,0.195759,0.331868,0.070425,0.106292,0.002748,0.000418,0.03453,0.0104,0.061183,0.001174,0.034818,0.016217,0.156637,0.063149,0.334035,0.138299,0.009398,0.0374,0.41,0.371795,0.007072,0.6201,0.00784,0.141498,0.03362,0.544983,0.048135,0.412095,0.163127,0.500476,0.275417,0.537474,0.052556,0.001737,0.495404,0.474473,0.872141,0.674486,0.328283,0.288223,0.28169,0.41791,0.851713,0.014305,0.290004,0.394392,0.430361,0.001738,0.05253,0.292047,0.425431,0,0.027485,0.031382,0.021965,0.021965,0.022189,0.022189,0.494949,0,0.590909,0,0.128788,0.104478,Director
apblair,0.002134,0.002684,0.099939,0.005807,0.71122,0.01056,0.0097,0.292707,0.014474,0.829538,0.004166,0.000183,0.031486,0.001847,0.8,0.000813,1,0.041854,1,0.039841,0.067608,0.054111,0.436479,0.068966,0.396588,0.068966,1,0.081081,0.75,0.1875,0.993377,0.1875,1,0.1875,1,0.904762,0.954545,1,0.968254,0.003671,0.909709,0.000355,0.090291,0.014654,0.903314,0.002771,0.096686,0.033475,0.195188,0.195598,0.04921,0.017995,0.0016,0.003382,0.93255,0.008063,0.449357,0.010111,1,0.013582,0.547788,0.003811,0.019318,0.007861,0.001782,0.006212,0.26,0.24359,0.002055,0.6,0.0008,0.0482,0.005766,0.367645,0.006938,0.218204,0.017084,0.395131,0.033696,0.676371,0.00287,0,0.759195,0.649792,1,0.879882,0.193206,0.09457,0.056338,0.149254,0.638289,0.00525,0.023783,0.101347,0.043422,0,0.00287,0.559141,0.798923,1,0.010467,0.010958,0.002348,0.002348,0.002704,0.002704,0.666667,1,0.848485,1,0,0.032836,GradStudent
apoetter,0.241468,0.101383,0.004287,0.197525,0.105487,0.633279,0.399538,0.083916,0.52671,0.279847,0.352092,0.191551,0.343108,0.116805,0.0483,0.19369,0.2274,0.418092,0.185295,0.258964,0.030682,0.45302,0.239746,0.103448,0.006397,0.103448,1,0.027027,0.1667,0.96875,0.099338,0.75,0.7742,0.90625,0.9355,0.619048,0.477273,0.769231,0.746032,0.247718,0.383819,0.232374,0.616181,0.728212,0.613438,0.429375,0.386562,0.229971,0.071821,0.614437,0.102494,0.080612,0.008463,0.034382,0.098886,0.381631,0.274036,0.080757,0.083229,0.275086,0.163717,0.245587,0.64485,0.358189,0.393914,0.494478,0.59,0.294872,0.165345,0.5034,0.26928,0.168804,0.512265,0.546442,0.500867,0.261845,0.323642,0.430498,0.891555,0.683881,0.727577,0.357733,0.090159,0.050321,0.145597,0.068327,0.760101,0.853994,0.816901,0.910448,0.990879,0.463832,0.913174,0.878887,0.931556,0.357675,0.727244,0.085526,0.071975,0,0.358661,0.34967,0.238881,0.238881,0.238644,0.238644,0.131313,0,0.090909,0,0.909091,0.767164,PM
arog3632,0.039791,0.067314,0.094427,0.059339,0.356921,0.152149,0.329792,0.604396,0.177246,0.640136,0.070948,0.013643,0.147162,0.035088,0.2038,0.023256,0.3834,0.036229,0.061836,0.099602,0.20391,0.042366,0.317967,0.12069,0.042644,0.12069,1,0.189189,1,0.125,0.05298,0.09375,0.75,0.125,1,0.071429,0.113636,0.5,0.301587,0.055059,0.727508,0.017072,0.272492,0.211925,0.900765,0.038546,0.099235,0.069187,0.017623,0.196069,0.154572,0.025877,0.029291,0.011523,0.199381,0.131923,0.458612,0.006588,0.040921,0.015609,0.018289,0.042183,0.161771,0.075369,0.038986,0.066767,0.35,0.076923,0.0334,0.6121,0.02,0.075507,0.083952,0.286594,0.087598,0.167082,0.033221,0.454572,0.111277,0.466003,0.03987,0.010825,0.371499,0.45926,0.604129,0.608009,0.252932,0.275461,0.183099,0.402985,0.79809,0.123506,0.0886,0.358537,0.151383,0.011179,0.039953,0.446921,0.257208,0,0.027845,0.027382,0.009697,0.009697,0.01157,0.01157,0.585859,0,0.606061,0,0.030303,0.125373,GradStudent
asohangh,0.007259,0.012802,0.108022,0.009168,0.264373,0.025587,0.020323,0.191309,0.028274,0.580123,0.012083,0.000293,0.016622,0.002308,0.625,0.000976,0.75,0.056706,0.60816,0.059761,0.071952,0.055369,0.135027,0.068966,0.130064,0.068966,1,0.108108,1,0.09375,0.225166,0.09375,1,0.09375,1,0.630952,0.829545,0.788462,0.84127,0.008914,0.555825,0.005296,0.444175,0.029884,0.656409,0.016544,0.343591,0.154193,0.047288,0.301686,0.081717,0.080366,0.002437,0.002985,0.271411,0.008179,0.129563,0.006132,0.200028,0.011758,0.199705,0.007312,0.026083,0.0123,0.003468,0.017633,0.16,0.269231,0.008251,0.7945,0.00224,0.044477,0.018765,0.496353,0.017346,0.217581,0.087762,0.509318,0.22726,0.713933,0.079045,0.002055,0.523206,0.325038,0.791164,0.510319,0.207559,0.168694,0.112676,0.268657,0.764762,0.01684,0.050556,0.148721,0.090975,0.002103,0.080192,0.502319,0.806387,1,0.020588,0.027877,0.004108,0.004108,0.004742,0.004742,0.646465,1,0.742424,0,0.015152,0.056716,GradStudent
awais,0.001325,0.003717,0.201102,0.001324,0.156102,0.008185,0.011085,0.438561,0.010917,0.789317,0.002915,0,0,0,0,0,0,0.022727,0.679346,0.007968,0.033532,0.02307,0.170417,0,0,0,0,0,0,0,0,0,0,0,0,0.809524,0.863636,1,0.84127,0.00167,0.490129,0.001361,0.509871,0.010714,0.830117,0.003275,0.169883,0.1548,0.094355,0.148442,0.148334,0.004903,0.006971,0.000438,0.17797,0.007946,0.580206,0.000913,0.133028,0.01196,0.611504,0.001303,0.008584,0.003056,0.002204,0.005334,0.47,0.294872,0.001704,0.7329,0.00016,0.014067,0.005278,0.472524,0.006505,0.27182,0.151208,0.843437,0.145946,0.968046,0.002855,0,0.87719,0.556546,1,0.878081,0.179214,0.084545,0.042254,0.149254,0.590148,0.003449,0.01709,0.079815,0.031771,0,0.002856,0.428222,0.776123,1,0.007058,0.006645,0.012063,0.012063,0.011169,0.011169,0.686869,1,0.863636,0,0,0.026866,GradStudent
bdeird7,0.059669,0.14268,0.14207,0.103958,0.451761,0.154336,0.314088,0.55994,0.204845,0.81379,0.086171,0.001317,0.009459,0.012004,0.7222,0.003578,0.6111,0.055581,0.097323,0.115538,0.149471,0.063339,0.29147,0.241379,0.057569,0.241379,1,0.351351,0.9286,0.3125,0.13245,0.3125,1,0.3125,1,0,0.113636,0.557692,0,0.089221,0.837864,0.015178,0.162136,0.225425,0.979971,0.020826,0.020029,0.062371,0.014354,0.4178,0.300848,0.489543,0.026335,0.086383,1,0.256953,1,0.020809,0.08642,0.043381,0.098525,0.070539,0.182966,0.102068,0.038338,0.067332,0.23,0.076923,0.044183,0.5417,0.04112,0.103848,0.046423,0.029502,0.042498,0.033666,0.069124,0.752875,0.118316,0.342316,0.068451,0.004759,0.315044,0.382837,0.697934,0.554577,0.268879,0.30118,0.225352,0.432836,0.815659,0.086716,0.116517,0.373219,0.193817,0.004867,0.068506,0.561181,0.374291,1,0.03295,0.034708,0.006813,0.006813,0.007375,0.007375,0.565657,1,0.575758,0,0.05303,0.191045,GradStudent
ccallsen,0.264653,0.302911,0.054623,0.243111,0.143489,0.533023,0.476674,0.172827,0.346703,0.084273,0.341467,0.403987,0.660405,0.413666,0.0811,0.398114,0.2216,0.707921,0.38164,0.430279,0.029188,0.69547,0.141561,0,0,0,0,0,0,0.28125,0.033113,0.25,0.8889,0.25,0.8889,0.452381,0.488636,0.557692,0.619048,0.270732,0.380906,0.255806,0.619094,0.545354,0.46413,0.47951,0.53587,0.163143,0.060565,0.421281,0.05111,0.071451,0.009695,0.041167,0.108045,0.180767,0.09383,0.081409,0.076571,0.182445,0.122419,0.265773,0.535876,0.342979,0.24552,0.407944,0.34,0.282051,0.270276,0.7508,0.31216,0.178527,0.605405,0.88426,0.634432,0.440773,0.206382,0.370854,0.420988,0.288557,0.129957,0.039842,0.256849,0.262308,0.518991,0.374865,0.445234,0.473644,0.478873,0.61194,0.985215,0.149036,0.505131,0.58184,0.643073,0.039955,0.129981,0.37503,0.265634,0,0.240981,0.239169,0.328776,0.328776,0.328889,0.328889,0.373737,0,0.393939,0,0.386364,0.289552,Director
