pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_vt_sent,inter_vt_received,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
adamq,0.003119502755951683,0.015692752426182118,0.3228413962033068,0.007130851118015586,0.5968877968877968,0.02977380654836291,0.10023094688221709,1.0,0.04520085863232137,1.0,0.010194576692196233,0.0021580102414045354,0.2666216216216216,0.013388734995383195,0.4915,0.0055293543665636685,0.5763,0.0056255625562556255,0.051423714407139824,0.02390438247011952,0.3563670920445288,0.006291946308724832,0.24900181488203277,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.06622516556291391,0.03125,1.0,0.03125,1.0,0.023809523809523808,0.06818181818181818,0.7115384615384616,0.20634920634920634,0.0049718391920761315,0.843042071197411,0.0008580135506967662,0.156957928802589,0.04405688478908427,1.0,0.0030231776956667787,0.0,0.029867314196513766,0.1605295684895762,0.1694859362745816,0.23070527168967447,0.023053714197619896,0.01494550687226828,0.001962298812182953,0.3891089108910891,0.03260107501752746,0.622879177377892,0.0007827788649706458,0.05562491330281592,0.0,0.0,0.012446414175794167,0.11506330084099191,0.0406182920197014,0.0032083481867971613,0.009977409638554216,0.33,0.051282051282051294,0.0030103211009174314,0.6321,0.00416,0.17997517583781547,0.007867474589523065,0.03614848435727024,0.011274934952298352,0.09102244389027433,0.09309850050206518,0.6545441481431219,0.07645143529491225,0.2861425523315346,0.0,0.0,0.9518390235856836,0.9215983285453123,1.0,1.0,0.15887267739119595,0.036363636363636265,0.028169014084507036,0.04477611940298505,0.33750657932560496,0.0018424762592394437,0.011037631513299968,0.03148359724700696,0.0205487997418988,0.0,0.0,0.7147088492055578,0.7792011734895359,1.0,0.003293904608219604,0.0032254191009587594,0.0,0.0,0.0004310694258165016,0.0004310694250997478,0.7171717171717177,1.0,0.9393939393939404,0.0,0.0,0.0,GradStudent
ahmed12,0.0,0.0022713194301053068,0.7169626454378444,0.00010186930168593694,0.1941031941031941,0.0064358910272431895,0.010623556581986143,0.538961038961039,0.009751609935602576,0.9333900829963823,0.0014576002207962464,0.0,0.0,0.0,0.0,0.0,0.0,0.0060756075607560755,0.23650658733531663,0.027888446215139442,0.3759163725224002,0.008389261744966443,0.4731397459165155,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.4966887417218543,0.03125,0.5,0.0625,1.0,0.6785714285714286,0.8522727272727273,0.8846153846153846,0.9841269841269841,0.0,0.06828478964401297,0.0005621468090771917,0.931715210355987,0.007783222830786971,0.7456300072833211,0.003694994961370507,0.2543699927166788,0.5370566299540369,1.0,0.0,0.16971168218994456,0.0,0.0045518769453018176,6.262655783562615e-05,0.11249999999999999,0.000817948118719327,0.14575835475578405,0.0001304631441617743,0.08406158967956721,0.0018244475978106628,0.1964601769911504,0.0,0.008584109642491343,0.002097550007782939,0.0,0.008596887550200803,0.0,0.6410256410256411,0.000493756371049949,0.9394,0.00032,0.12536201903185767,0.0018080531665363565,0.20311233587291294,0.0186470078057242,1.0,0.33398721546135235,0.8915864360089146,0.4376272918753382,0.6345310846750566,0.0006256957630243939,0.0,0.7519709714662709,0.6575084878558372,1.0,0.9708126208229771,0.17921351883616038,0.06489234449760771,0.04225352112676054,0.11940298507462682,0.48321418718954257,0.0028831502710014675,0.01587154955246544,0.06729068577314995,0.029070584879751095,0.0,0.000625808791014933,0.9535210782396534,0.8992909850142604,1.0,0.004995918355045118,0.0048783983711958995,0.003558454880290458,0.003558454873064038,0.004221397847127771,0.004221397839233839,0.6868686868686872,1.0,0.8939393939393946,0.0,0.0,0.0,Research
ajm,0.008009851061334585,0.027668800330373736,0.21922841396203305,0.01431263688687414,0.4535626535626535,0.042364408897775555,0.08267898383371824,0.5444555444555444,0.04250229990800368,0.47265375611832317,0.01726695646174015,0.0007681053401609364,0.03959459459459459,0.006001846722068329,0.619,0.0021141649048625794,0.619,0.08438343834383438,0.5586485337866554,0.12749003984063745,0.10358403475427641,0.08640939597315436,0.181125226860254,0.22413793103448276,0.3880597014925374,0.22413793103448276,1.0,0.21621621621621623,0.6154,0.25,0.3708609271523179,0.25,1.0,0.1875,0.75,0.5833333333333334,0.7159090909090909,0.5,0.746031746031746,0.010234997086812973,0.6045307443365696,0.005177667978342555,0.39546925566343044,0.0437686172768329,0.49526584122359796,0.0373698354047699,0.504734158776402,0.11728384355216374,0.195759057324141,0.33186819353868874,0.07042461582128143,0.1062915696012066,0.002748284885584994,0.00041751038557084105,0.034529702970297026,0.010399626080860013,0.061182519280205655,0.0011741682974559687,0.03481758912470523,0.016217311980539224,0.15663716814159293,0.06314928510859581,0.33403474056061483,0.13829897630335397,0.009398191658294714,0.0373995983935743,0.41,0.37179487179487186,0.007071865443425076,0.6201,0.00784,0.14149772445179976,0.033620015637216574,0.5449829794131951,0.04813529921942758,0.4120947630922694,0.1631265552231364,0.5004757375858373,0.2754170401411883,0.5374744128841334,0.052556135697989274,0.001737398144408418,0.4954043152954583,0.4744730067529756,0.8721411849450749,0.6744861058241342,0.32828282828282845,0.28822314049586767,0.2816901408450704,0.4179104477611939,0.8517134762199697,0.014304508811400036,0.29000393758918364,0.39439194054951243,0.4303609428526138,0.0017380510649800953,0.05252957086219045,0.29204665148550124,0.42543057706716875,0.0,0.027485236189435196,0.031381757772946016,0.021964560041918983,0.02196456001477114,0.022189096083847733,0.022189096055672704,0.49494949494949514,0.0,0.5909090909090914,0.0,0.12878787878787878,0.1044776119402985,Director
apblair,0.002134396622493257,0.0026842865992153624,0.09993876301285977,0.0058065501960984055,0.7112203112203113,0.010559860034991252,0.009699769053117783,0.29270729270729273,0.01447408770315854,0.8295381996169399,0.0041658041813289175,0.000182882223847842,0.03148648648648649,0.0018467220683287165,0.8,0.0008131403480240689,1.0,0.041854185418541856,1.0,0.0398406374501992,0.06760792831930491,0.054110738255033555,0.4364791288566244,0.06896551724137931,0.39658848614072495,0.06896551724137931,1.0,0.08108108108108109,0.75,0.1875,0.9933774834437086,0.1875,1.0,0.1875,1.0,0.9047619047619048,0.9545454545454546,1.0,0.9682539682539683,0.0036706156535249563,0.9097087378640777,0.00035504008994348944,0.09029126213592234,0.014653598539444604,0.9033139111434814,0.0027712462210278802,0.09668608885651857,0.03347498048738185,0.19518773862169364,0.19559841653301294,0.049210216565412745,0.01799519229280027,0.001600389949492217,0.0033818341231238126,0.9325495049504949,0.008062631455947652,0.44935732647814913,0.010110893672537508,1.0,0.013581998783701602,0.547787610619469,0.0038112733729573365,0.01931773050633705,0.007860768031915813,0.0017824156593317562,0.0062123493975903615,0.26,0.24358974358974358,0.002054663608562691,0.6,0.0008,0.04820024824162185,0.005766223612197029,0.36764467498784237,0.006938421509106678,0.2182044887780549,0.017083837316934795,0.39513144018253554,0.03369575220689535,0.6763712119145475,0.002869846153043037,0.0,0.7591951179284183,0.6497915769265992,1.0,0.8798815620998719,0.19320594479830153,0.09456985967053069,0.05633802816901408,0.14925373134328354,0.6382888619666229,0.005249641388272557,0.023782836822102686,0.1013466370816241,0.043421823952703276,0.0,0.0028703645726376754,0.5591410941549021,0.798922668739108,1.0,0.010466852887082247,0.010957540947822506,0.0023484435852695056,0.0023484435834270675,0.0027035535880574535,0.00270355358552944,0.6666666666666671,1.0,0.848484848484849,1.0,0.0,0.03283582089552239,GradStudent
apoetter,0.24146827723701184,0.10138344001651868,0.004286589099816288,0.19752457596903172,0.10548730548730548,0.6332791802049488,0.3995381062355658,0.08391608391608393,0.5267095982827353,0.2798467759097681,0.3520923894293797,0.1915508412582297,0.34310810810810816,0.11680517082179132,0.0483,0.19369003089933323,0.2274,0.4180918091809181,0.18529536761580961,0.2589641434262948,0.03068150963888134,0.45302013422818793,0.23974591651542643,0.10344827586206896,0.006396588486140725,0.10344827586206896,1.0,0.02702702702702703,0.1667,0.96875,0.09933774834437085,0.75,0.7742,0.90625,0.9355,0.6190476190476191,0.4772727272727273,0.7692307692307693,0.746031746031746,0.24771800349582443,0.38381877022653715,0.23237373886801385,0.6161812297734628,0.728211780532334,0.6134377276037872,0.4293752099428955,0.38656227239621266,0.22997138149336568,0.07182135303650397,0.6144367773611213,0.10249391214401256,0.08061235633798242,0.00846283569757657,0.03438198025175876,0.09888613861386138,0.38163122224818885,0.27403598971722365,0.0807566862361383,0.08322929671244278,0.2750861544698966,0.163716814159292,0.24558737641452855,0.6448498825955784,0.3581890927399595,0.3939138607123181,0.49447791164658633,0.59,0.29487179487179493,0.1653446738022426,0.5034,0.26928,0.16880430285477865,0.5122654417513682,0.546441886853623,0.5008673026886383,0.26184538653366585,0.3236419261165678,0.430497624146158,0.8915554080517126,0.6838814628708235,0.7275769128651394,0.3577334412714021,0.09015888723954033,0.05032149846239903,0.14559681119376625,0.06832721682205903,0.7601010101010102,0.8539944903581265,0.8169014084507041,0.9104477611940296,0.9908793400295846,0.4638319171908795,0.9131736409995506,0.8788872457478261,0.9315559383135568,0.3576745720387706,0.7272444067900431,0.08552584271498409,0.07197477085959482,0.0,0.35866091411952683,0.34966990090607464,0.2388809762820524,0.23888097611531095,0.2386438797039672,0.23864387953376584,0.13131313131313133,0.0,0.09090909090909112,0.0,0.9090909090909091,0.7671641791044777,PM
arog3632,0.03979125131933857,0.06731364856493909,0.09442743417023883,0.05933886823205827,0.35692055692055685,0.15214946263434143,0.32979214780600463,0.6043956043956044,0.177246243483594,0.6401361991913175,0.07094804388325399,0.013643013899049013,0.14716216216216216,0.03508771929824561,0.2038,0.023255813953488372,0.3834,0.03622862286228623,0.06183595410114748,0.099601593625498,0.20390985609557424,0.04236577181208054,0.31796733212341194,0.1206896551724138,0.04264392324093817,0.1206896551724138,1.0,0.1891891891891892,1.0,0.125,0.052980132450331126,0.09375,0.75,0.125,1.0,0.07142857142857142,0.11363636363636363,0.5,0.30158730158730157,0.05505923480287434,0.7275080906148867,0.017071510991449452,0.27249190938511325,0.21192466609013164,0.9007647487254188,0.038545515619751426,0.0992352512745812,0.06918740785708091,0.01762298459087538,0.19606867774546638,0.15457210568624058,0.025876512184073996,0.029290644437021816,0.011523286641755214,0.19938118811881186,0.13192334657630286,0.458611825192802,0.006588388780169602,0.0409210708836177,0.015609162781269005,0.01828908554572271,0.0421827085519121,0.16177075131862237,0.07536863264337422,0.03898629160320187,0.06676706827309237,0.35,0.07692307692307693,0.03340022935779816,0.6121,0.02,0.07550682664460075,0.08395230648944488,0.2865942616307343,0.08759757155247182,0.16708229426433915,0.03322075290245154,0.4545718095499872,0.11127724928134608,0.46600338454235646,0.03986994471390724,0.01082463233621545,0.37149925779317167,0.459259726953642,0.60412943800302,0.6080089772871463,0.252932004609857,0.27546138072453863,0.1830985915492958,0.4029850746268656,0.7980899435313451,0.1235058613571045,0.08860009377987026,0.3585373882757109,0.1513831028738504,0.01117918995557574,0.03995265444613519,0.44692095195193926,0.2572078187889644,0.0,0.02784527760841409,0.027381824098828368,0.009696916841532892,0.009696916836509837,0.011570434335716072,0.011570434327899358,0.5858585858585863,0.0,0.6060606060606066,0.0,0.030303030303030304,0.1253731343283582,GradStudent
asohangh,0.007259294007271022,0.012801982242411728,0.10802204531537049,0.009168237151734326,0.2643734643734643,0.025587353161709573,0.020323325635103928,0.1913086913086913,0.028273535725237657,0.5801234305171314,0.012083419581867108,0.0002926115581565472,0.016621621621621622,0.0023084025854108957,0.625,0.0009757684176288828,0.75,0.05670567056705671,0.6081597960051,0.05976095617529881,0.07195221286994298,0.05536912751677853,0.13502722323048996,0.06896551724137931,0.1300639658848614,0.06896551724137931,1.0,0.10810810810810811,1.0,0.09375,0.22516556291390727,0.09375,1.0,0.09375,1.0,0.6309523809523809,0.8295454545454546,0.7884615384615384,0.8412698412698413,0.00891435230141775,0.5558252427184467,0.005296014674990385,0.4441747572815534,0.029883732103391947,0.656409322651129,0.016543500167954316,0.3435906773488711,0.15419304483566038,0.04728760952564068,0.30168566736258035,0.08171652364136807,0.08036607597997941,0.002436521926610751,0.0029851992568315135,0.2714108910891089,0.00817948118719327,0.12956298200514138,0.006131767775603392,0.20002774309890414,0.011757551185890938,0.1997050147492625,0.007311582377466319,0.02608329094696943,0.012299925629697388,0.0034676086463363257,0.017633032128514057,0.16,0.2692307692307693,0.008250509683995922,0.7945,0.00224,0.0444766239139429,0.018764659890539485,0.49635273139893016,0.017346053772766695,0.21758104738154616,0.08776166697920325,0.509317772436698,0.2272598520998547,0.713932534363299,0.07904484948553969,0.0020548482722220463,0.5232063334982683,0.3250382419878373,0.7911639354102888,0.5103188575899844,0.20755946562398178,0.1686939820742637,0.11267605633802814,0.2686567164179104,0.764761919753282,0.016839734521979056,0.05055624314107279,0.14872070299780232,0.09097453892947777,0.0021032507226173376,0.08019200602755214,0.5023193616967342,0.8063867853579004,1.0,0.020588302916307866,0.02787723208613937,0.0041075127346441665,0.0041075127294298444,0.004742471345279289,0.004742471339081079,0.6464646464646466,1.0,0.742424242424243,0.0,0.015151515151515152,0.056716417910447764,GradStudent
awais,0.001325202298580978,0.003716704521990502,0.2011022657685242,0.0013243009219171802,0.1561015561015561,0.008185453636590852,0.011085450346420323,0.43856143856143853,0.010916896657467035,0.7893168759310492,0.0029152004415924928,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.679345516362091,0.00796812749003984,0.03353244637523758,0.02307046979865772,0.1704174228675137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.8636363636363636,1.0,0.8412698412698413,0.0016702272285880754,0.4901294498381876,0.0013609870114500429,0.5098705501618123,0.010713942538675891,0.8301165331391114,0.0032751091703056767,0.1698834668608886,0.15480010406729686,0.09435548108880161,0.14844232123923207,0.14833354768228793,0.004903251892031055,0.00697085221338378,0.00043838590484938315,0.17797029702970296,0.007945781724702033,0.5802056555269922,0.0009132420091324201,0.13302815924538772,0.011960267585647678,0.611504424778761,0.001302653257743731,0.008584109642491343,0.0030555240608106933,0.0022037139060828983,0.005333835341365462,0.47,0.29487179487179493,0.0017042558613659532,0.7329,0.00016,0.01406702523789822,0.00527756059421423,0.4725239098719403,0.006504770164787511,0.2718204488778055,0.15120842586312852,0.8434365393343879,0.14594582955667254,0.968045522186758,0.002855406810182778,0.0,0.8771895101434933,0.5565455698649746,1.0,0.8780809859154929,0.17921351883616038,0.08454545454545451,0.04225352112676054,0.14925373134328354,0.5901484824602887,0.003449322234756178,0.0170900759925761,0.07981543001171729,0.031771474834921716,0.0,0.0028559226214012615,0.42822240990050653,0.7761227587825027,1.0,0.007057564640269289,0.006644883532845014,0.012063441801421456,0.012063441774002055,0.011169080403084133,0.011169080374117112,0.6868686868686872,1.0,0.8636363636363644,0.0,0.0,0.026865671641791045,GradStudent
bdeird7,0.059669285798053244,0.14268015692752425,0.14206981016533984,0.10395762237049865,0.45176085176085173,0.15433641589602598,0.3140877598152425,0.55994005994006,0.2048451395277522,0.8137901681208769,0.08617091009452839,0.0013167520117044623,0.00945945945945946,0.012003693444136657,0.7222,0.0035778175313059034,0.6111,0.05558055805580558,0.09732256693582661,0.11553784860557768,0.14947054032039098,0.06333892617449664,0.29147005444646107,0.2413793103448276,0.05756929637526653,0.2413793103448276,1.0,0.35135135135135137,0.9286,0.3125,0.13245033112582782,0.3125,1.0,0.3125,1.0,0.0,0.11363636363636363,0.5576923076923077,0.0,0.0892212080015537,0.837864077669903,0.015177963845084174,0.16213592233009708,0.22542519458057078,0.9799708667152222,0.020826335236815586,0.020029133284777862,0.06237099991327728,0.014354382398989212,0.4177996669707471,0.3008479644426918,0.48954342390966055,0.026335300634724335,0.08638289877460702,1.0,0.2569525590091143,1.0,0.020808871493803,0.08641975308641976,0.04338130954794243,0.09852507374631267,0.07053926186466256,0.1829662558092544,0.10206795562379772,0.03833814045435396,0.06733182730923695,0.23,0.07692307692307693,0.04418323139653415,0.5417,0.04112,0.10384774513860158,0.046422986708365914,0.029502350461987348,0.042497831743278404,0.033665835411471334,0.06912409913466001,0.752874591808604,0.11831643925611599,0.34231641110371025,0.06845128843905753,0.004758646580920505,0.3150438909963898,0.382836650065564,0.6979335494327392,0.5545774647887324,0.26887926887926883,0.30117973629424,0.22535211267605632,0.43283582089552236,0.8156592044199185,0.0867162879842796,0.11651694781659044,0.3732189472059526,0.19381720385369916,0.00486726303808949,0.06850632050156343,0.5611810468599474,0.37429114530452173,1.0,0.03294997307903823,0.03470842702165831,0.006813254800581539,0.006813254797232186,0.007374986820931786,0.007374986816751413,0.565656565656566,1.0,0.5757575757575762,0.0,0.05303030303030303,0.191044776119403,GradStudent
ccallsen,0.2646534537351941,0.3029114185422259,0.05462339252908757,0.2431110884734885,0.14348894348894348,0.5330229942514372,0.4766743648960739,0.17282717282717283,0.34670346519472556,0.08427324962758029,0.34146657006830883,0.40398683247988293,0.6604054054054055,0.4136657433056325,0.0811,0.39811351439258413,0.2216,0.7079207920792079,0.38164045898852533,0.4302788844621514,0.029188161824599507,0.6954697986577181,0.14156079854809442,0.0,0.0,0.0,0.0,0.0,0.0,0.28125,0.033112582781456956,0.25,0.8889,0.25,0.8889,0.4523809523809524,0.48863636363636365,0.5576923076923077,0.6190476190476191,0.2707321810060206,0.38090614886731383,0.25580638480428414,0.6190938511326861,0.5453540885942154,0.46412964311726146,0.4795095733960363,0.5358703568827385,0.16314283236492932,0.06056527590847915,0.421281466789972,0.05111004831719297,0.07145089490079275,0.009694822834644231,0.04116652401728493,0.10804455445544554,0.18076653423697125,0.09383033419023137,0.08140900195694717,0.07657095297544736,0.18244475978106628,0.12241887905604719,0.26577262233116133,0.5358762829133019,0.3429787323995088,0.24551965518358881,0.40794427710843373,0.34,0.2820512820512821,0.27027586646279306,0.7508,0.31216,0.17852709971038477,0.6054046129788898,0.8842600097260496,0.6344319167389418,0.4407730673316709,0.2063822532295779,0.3708538195707201,0.42098829331325727,0.28855702056767596,0.12995729315698049,0.03984154098949836,0.25684937782909084,0.26230800691840334,0.5189910353414978,0.37486536868268444,0.4452335858585859,0.4736440030557677,0.4788732394366197,0.6119402985074627,0.9852154008584205,0.14903593078598007,0.5051310340471171,0.5818400815680288,0.6430731795874065,0.03995529773204452,0.12998076912176945,0.3750297031545353,0.2656343218040685,0.0,0.24098050573056876,0.23916860707608312,0.32877581649862053,0.32877581596200617,0.3288885151802724,0.32888851463206953,0.3737373737373739,0.0,0.39393939393939426,0.0,0.38636363636363635,0.28955223880597014,Director
