pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_sent_perc,inter_hume_rec,inter_hume_rec_perc,inter_vt_sent,inter_vt_sent_perc,inter_vt_rec,inter_vt_rec_perc,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
adamq,0.0034105727756043734,0.01669449081803005,0.4900953778429934,0.006199968607753885,0.8469626168224301,0.02862476664592408,0.09005083514887437,1.0,0.03560250391236307,0.887291399229782,0.01006620560655657,0.002166511915815537,0.2507288629737609,0.01195814648729447,0.7619,0.0039662865642042635,0.7619,0.007138221933809215,0.0632183908045977,0.03205128205128205,0.4545,0.007922535211267605,0.8182,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.10357142857142856,0.09090909090909091,1.0,0.1,1.0,0.001448692152917505,0.06741573033707865,0.005087881591119334,0.07692307692307693,0.003678353587558784,0.5892857142857143,0.018707080274686243,0.23809523809523808,0.005360596849958552,0.8562998405103669,0.0008462384700008462,0.14370015948963316,0.04249485949280329,1.0,0.002861230329041488,0.0,0.019228571428571404,0.148823072943611,0.172764288372419,0.2514068508774888,0.023630511974436025,0.019308101888361923,0.0018467770761348742,0.34571110285926476,0.034971956450016495,0.669951983826131,0.0009345794392523365,0.06026516673362796,0.0,0.0,0.013368499413971086,0.11110802709004107,0.0401925465004021,0.0035551504102096627,0.008773533174922318,0.35,0.053571428571428575,0.0031207598371777476,0.6216,0.004618937644341801,0.17873437809958342,0.008249440715883669,0.06540284360189577,0.010025062656641603,0.11946446961894952,0.08794471355832761,0.5974770621752505,0.1473007462090761,0.3235279259271173,0.00011814203503561202,0.0,1.0,0.7528200635198775,1.0,0.9748360800992376,0.1316658801321376,0.05987261146496811,0.016129032258064516,0.07246376811594203,0.17893634074033696,0.0010161475675076845,0.004278717538895797,0.03916886309404614,0.008119319565796384,0.0,0.00011820093366022064,0.030612244897959183,0.7923981880958143,1.0,0.002324265481090893,0.0032071452597635807,0.00018398245164149042,0.00018398245043383852,1.606840827032706e-05,1.6068407249096885e-05,0.7692307692307693,1.0,0.9000000000000004,1.0,0.0,0.003215434083601286,GradStudent
ahmed12,3.3436987996121306e-05,0.0,0.6855675505712189,0.0003924030764401193,0.7973965287049399,0.007111743266068095,0.010893246187363835,0.4162754303599374,0.009389671361502348,1.0,0.0016243754768526495,0.0,0.0,0.0,0.0,0.0,0.0,0.007787151200519144,0.23087594133967498,0.03205128205128205,0.4167,0.008802816901408451,0.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.3464285714285714,0.09090909090909091,1.0,0.1,1.0,0.0006438631790744467,0.8876404494382022,0.010638297872340425,0.8791208791208791,0.0001396843134515994,1.0,0.00947193937958797,1.0,0.00011052777010223818,0.36204146730462516,0.0003384953880003385,0.6379585326953748,0.008636052090472926,0.7410473276947992,0.004053409632808774,0.2589526723052006,0.12245714285714289,1.0,0.0,0.183194751774032,0.00043846438032035465,0.005060217703174186,5.957345406886691e-05,0.12377769525931429,0.0023094688221709007,0.11700783421784182,0.00018691588785046728,0.13392259274139548,0.0028392958546280523,0.20347979946918315,0.00010169133550709429,0.009464860663928055,0.002312784419702236,0.0,0.010601352586364467,0.0,1.0,0.0004522840343735866,1.0,0.0,0.0,0.0015380313199105146,0.1576619273301738,0.02506265664160401,1.0,0.2778444420202902,0.8753657321703836,0.4572397644068318,0.6007929443402088,0.0009189307553566534,0.0,0.6748549709941989,0.5684481436863433,1.0,0.9269969796285584,0.191208791208791,0.06886446886446877,0.06451612903225806,0.10144927536231883,0.4288531693212363,0.004141477563840957,0.026023213162058547,0.047231166730069295,0.0463774202427391,0.0,0.0009193888798301734,0.04376058723884811,0.8161909688389102,1.0,0.006032833857725903,0.005967637903058987,0.004632748026485802,0.004632748014653228,0.00437152332151798,0.0043715233111585325,0.6813186813186813,1.0,0.8857142857142856,1.0,0.0,0.003215434083601286,Research
ajm,0.008392683987026448,0.02971619365609349,0.3388533696677497,0.01161513106262753,0.5919559412550066,0.04267045959640857,0.08351488743645606,0.5793427230046949,0.04277516953573292,0.48292682926829256,0.017622012748886317,0.000722170638605179,0.03564802544394381,0.0037369207772795215,0.7143,0.0012394645513138325,0.7143,0.08695652173913043,0.5279429250891795,0.14743589743589744,0.1716,0.09154929577464789,0.7761,0.16,0.4350282485875706,0.16,1.0,0.15789473684210525,0.75,0.36363636363636365,0.2857142857142857,0.36363636363636365,1.0,0.4,1.0,0.013038229376257546,0.5842696629213483,0.05195806352143077,0.6923076923076923,0.008706988871816361,0.5535714285714286,0.047004499171205305,0.7301587301587301,0.010113290964354794,0.5521531100478468,0.0061775408310061775,0.4478468899521531,0.04208361891706648,0.4470037790174554,0.04124940391034811,0.5529962209825445,0.09720000000000002,0.18401448525607866,0.31850683291698834,0.08402200680505591,0.1777629867785277,0.002923015529092011,0.0004765876325509353,0.0381235301398688,0.013526888815572418,0.09274703057872125,0.0014953271028037382,0.0412481585643498,0.017035775127768313,0.16779710999705102,0.06556092549545191,0.3370607582991007,0.14110863944938457,0.010483135824977211,0.037104734052275636,0.44,0.5000000000000001,0.0072817729534147444,0.6192,0.008775981524249422,0.14501091053362428,0.035374720357941834,0.5639810426540284,0.05137844611528822,0.4196704428424305,0.1661666848478237,0.49271306426432093,0.3542321352925197,0.5054108512098388,0.0708563138797339,0.00023725238169683145,0.5404280856171234,0.3919553657260372,0.9714285714285714,0.6713888107076961,0.3308561941655465,0.30063965884861416,0.2258064516129032,0.4202898550724638,0.7692109378108712,0.01436191441963027,0.21240139612545786,0.38162190852337796,0.3286699907643266,0.00023779469525433256,0.07112988319654773,0.02493810980049512,0.35106364495146875,0.0,0.024294692546633783,0.033321388252719665,0.022095163573101456,0.022095163538707618,0.022079758699778303,0.022079758666570196,0.5054945054945056,0.0,0.5714285714285712,0.0,0.037037037037037035,0.12218649517684887,Director
apblair,0.002206841207744006,0.002337228714524207,0.1475736295985746,0.004551875686705384,0.9642857142857145,0.010667614899102142,0.012345679012345678,0.2985915492957747,0.01278038601982264,0.8254172015404365,0.004208609190027319,0.00020633446817290828,0.0353829843625762,0.0014947683109118087,1.0,0.0004957858205255329,1.0,0.04153147306943543,0.887039239001189,0.04487179487179487,0.1094,0.04665492957746479,0.8281,0.08,0.7542372881355932,0.08,1.0,0.10526315789473684,1.0,0.36363636363636365,1.0,0.36363636363636365,1.0,0.4,1.0,0.005714285714285714,0.9550561797752809,0.016805427073697195,0.9120879120879121,0.0031196163337523864,0.9821428571428571,0.014207909069381956,1.0,0.0037026802984249795,0.9149920255183412,0.0003384953880003385,0.0850079744816587,0.015215901302261824,0.9346769839841641,0.002145922746781116,0.06532301601583587,0.0038571428571428762,0.27459906880496643,0.175454585275314,0.07146245419206812,0.02318318879590808,0.0024791266244279507,0.003395686881925414,0.9407104839707885,0.009567799406136588,0.4371998989133181,0.010467289719626169,1.0,0.014196479273140262,0.5517546446475965,0.00395683593928245,0.019571583213056513,0.007945038261707392,0.0008204193254329991,0.0056662401754706635,0.12,0.3035714285714286,0.0024423337856173677,0.72,0.00046189376443418013,0.02638365403689744,0.005313199105145414,0.33143759873617695,0.006265664160401002,0.18022657054582905,0.0,0.46473931643111016,0.031602989583971154,0.6908706597923108,0.0020905457390450236,0.0,0.6660332066413283,0.5276735844923887,1.0,0.8615984405458087,0.14599686028257441,0.09654528478057901,0.04838709677419355,0.13043478260869565,0.518830178625556,0.00551134374180583,0.013912212620375909,0.06604500446163189,0.02567806905485415,0.0,0.0020915879613892935,0.055941845764854614,1.0,1.0,0.009955278817852574,0.011582254557465808,0.0020872205579590456,0.002087220553801153,0.0019501035584989072,0.0019501035556459359,0.7472527472527474,1.0,0.8428571428571429,1.0,0.0,0.01607717041800643,GradStudent
apoetter,0.2421172300799144,0.11619365609348915,0.0032491353107640696,0.2029508711348297,0.22496662216288382,0.6282336207662903,0.4045025417574437,0.08638497652582161,0.5542514345331246,0.2531450577663669,0.3517757377371957,0.19106571752811308,0.3384574609064405,0.13901345291479822,0.1004,0.1968269707486366,0.4287,0.41207008436080467,0.1775663892191835,0.32051282051282054,0.0787,0.44366197183098594,0.7937,0.08,0.008474576271186439,0.08,1.0,0.05263157894736842,0.5,1.0,0.05714285714285714,1.0,1.0,1.0,0.9091,0.39211267605633804,0.6292134831460674,0.5559666975023126,0.46153846153846156,0.2943614098803371,0.7678571428571429,0.7041202936301207,0.746031746031746,0.24813484387952472,0.3937799043062201,0.23322332233223322,0.6062200956937799,0.725017135023989,0.6211984883930177,0.4239389604196471,0.3788015116069821,0.17634285714285713,0.06554578375581996,0.5994390214908754,0.11540702175338453,0.1051356032086181,0.010013521155296369,0.03491004408435601,0.10001237776952593,0.38436159683272847,0.2878443265099824,0.08018691588785047,0.07928217490290612,0.2879045996592845,0.18637570038336776,0.24630814821381777,0.6397142500277562,0.3578664419779009,0.39498632634457614,0.4969840979711205,0.6,0.41071428571428575,0.1637720488466757,0.4994,0.26143187066974594,0.15492957746478875,0.5065715883668904,0.5240126382306477,0.5288220551378446,0.3063851699279093,0.30871811557949613,0.4180691166200153,1.0,0.6091693704959231,0.7814033826074751,0.4220036670035789,0.07032175665902413,0.06330245382568746,0.3346938775510204,0.09487315803105266,0.7861369399830938,0.8162464985994398,0.8225806451612903,0.8840579710144928,0.9866063605148249,0.512558392806492,0.8843041171882997,0.8677223386409383,0.9198041838184741,0.42230817567366497,0.7813833109531949,0.015496024712614576,0.06402437213573424,0.0,0.37307563400294375,0.3532208601712374,0.23651146921338945,0.23651146900492415,0.23534262207765627,0.23534262187222932,0.12087912087912082,0.0,0.1142857142857144,0.0,0.7407407407407407,0.8231511254019293,PM
arog3632,0.04005751161935333,0.07378964941569283,0.14987946756105233,0.051090880552503534,0.5320427236315087,0.14792425993421637,0.3064633260711692,0.6291079812206573,0.15845070422535212,0.5863928112965339,0.07006965125150746,0.012276900856288043,0.1306652531142327,0.033632286995515695,0.3782,0.01636093207734259,0.5546,0.035691109669046074,0.06460562822037257,0.12179487179487179,0.3455,0.040492957746478875,0.8364,0.16,0.09322033898305085,0.16,1.0,0.21052631578947367,1.0,0.36363636363636365,0.0857142857142857,0.2727272727272727,0.75,0.4,1.0,0.02245472837022133,0.1348314606741573,0.04455750847980265,0.0989010989010989,0.04260371560273781,0.5714285714285714,0.11046649301444471,0.31746031746031744,0.05592705167173252,0.7476874003189793,0.016163154777016162,0.25231259968102077,0.2052090472926662,0.892747885549757,0.03981878874582737,0.10725211445024292,0.058457142857142826,0.03859286083807553,0.18669029974677237,0.1743791395595345,0.03622292769273898,0.04269954732083146,0.011735970451566782,0.2020051986632009,0.1276806334543055,0.45590093505180695,0.007850467289719627,0.04660506227400562,0.016467915956842702,0.030374520790327337,0.04253826788365989,0.15728391806372818,0.07443519117418433,0.043208751139471285,0.06598428075306159,0.39,0.10714285714285715,0.03324287652645862,0.6089,0.022632794457274827,0.08053957548105534,0.08137583892617449,0.2747235387045814,0.09649122807017543,0.23480947476828012,0.024557576530997254,0.4251361371370296,0.1233819515468039,0.4248855671551333,0.04902594333093418,0.00805764214702536,0.41455563840040743,0.38762183769576175,0.8055555555555556,0.5991127243395844,0.24858924858924844,0.2415210688591984,0.16129032258064518,0.3623188405797101,0.7044121130840096,0.09423793266081286,0.07650913660927607,0.285607694774483,0.1291050709416425,0.008186422450696703,0.049121589858928436,0.023524818195129093,0.3001223190375981,1.0,0.024771050923025714,0.029320657220460504,0.010358149046692638,0.010358149038159679,0.010662812310285819,0.010662812301229556,0.6043956043956041,1.0,0.6428571428571429,1.0,0.012345679012345678,0.06430868167202572,GradStudent
asohangh,0.006954893503193232,0.013689482470784642,0.18373336128288442,0.008868309527546695,0.5136849132176236,0.02560227575784514,0.027596223674655047,0.2613458528951487,0.02556077203964528,0.48985879332477533,0.011838251581304915,0.00041266893634581657,0.0243837794858203,0.002242152466367713,0.75,0.0009915716410510659,1.0,0.05645684620376379,0.5543004359889021,0.07051282051282051,0.1264,0.05369718309859155,0.7011,0.04,0.12994350282485875,0.04,1.0,0.05263157894736842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012072434607645875,0.6629213483146067,0.03499845821769966,0.7802197802197802,0.008893234623085161,0.8392857142857143,0.030428605256926356,0.8412698412698413,0.008952749378281293,0.6251993620414673,0.004315816197004316,0.3748006379585327,0.028238519533927347,0.5870073780816987,0.0195517405817835,0.4129926219183012,0.07474285714285715,0.14407656492498708,0.2698203092436294,0.09124294871963678,0.07771809168106081,0.0027270083018474255,0.0028595257953056116,0.2737962619136032,0.011547344110854504,0.18043972706595907,0.006168224299065421,0.20369626355966253,0.014196479273140262,0.23975228546151575,0.007080585168449088,0.026094287776174084,0.012049510860490154,0.0036463081130355514,0.01772984829098885,0.18,0.35714285714285715,0.007914970601537766,0.8065,0.0013856812933025404,0.027375520730013887,0.019574944071588368,0.5153238546603476,0.021303258145363407,0.28166838311019565,0.06253094776444656,0.47543420815005644,0.15726414869158384,0.5768741253286703,0.3688299123880638,0.0020712871302573203,0.5148029605921185,0.29103931661373345,0.8214285714285714,0.46300194931773864,0.19908662765805604,0.19720279720279715,0.11290322580645161,0.26086956521739135,0.6622568221403389,0.01932159654836023,0.04679808488976957,0.13849098206261928,0.08442757529127246,0.0021190555351199777,0.3697127507626569,0.0237448591603942,0.7842402959011563,1.0,0.019530954911613017,0.035629718392075384,0.004005505151217545,0.004005505143806315,0.0037118806955191833,0.0037118806892724497,0.6703296703296704,1.0,0.7000000000000001,0.0,0.024691358024691357,0.04501607717041801,GradStudent
awais,0.0012371685558564885,0.002671118530884808,0.2936799077664815,0.0015696123057604772,0.42740320427236317,0.007022846475242244,0.011619462599854757,0.45258215962441317,0.009128847157016172,0.9722721437740692,0.0024857867145775393,0.0,0.0,0.0,0.0,0.0,0.0,0.020765736534717714,0.6216805390408243,0.01282051282051282,0.0625,0.022007042253521125,0.7813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002977867203219316,0.8089887640449438,0.009559050262102992,0.8131868131868132,0.001815896074870792,1.0,0.008051148472649775,0.8253968253968254,0.0014368610113290965,0.44529505582137163,0.001353981552001354,0.5547049441786284,0.009595613433858808,0.8790714414252293,0.002145922746781116,0.12092855857477056,0.0898,0.13807553026383862,0.15563034412123605,0.18022221718004475,0.010561994297136577,0.008081266309924005,0.0005957345406886692,0.26909270949374925,0.01022764764104256,0.7139246904220369,0.0011214953271028037,0.17463506093477968,0.013628620102214651,0.7549395458566794,0.0012880902497565273,0.007365798823137559,0.0026054812031085354,0.0023701002734731083,0.003655638822884299,0.57,0.3392857142857143,0.0014925373134328358,0.7174,0.0,0.0,0.003495525727069351,0.37883096366508684,0.005012531328320802,0.20185375901132852,0.18404152892463985,0.8358306843794747,0.2503935689889484,1.0,0.0015430696406474754,0.0,0.9369873974794959,0.5845215931077284,1.0,0.8734614313561683,0.17575418212360855,0.07797235023041486,0.03225806451612903,0.11594202898550723,0.4330581844261041,0.0035559516609405726,0.010668047216299078,0.057561520272676074,0.019945817457882268,0.0,0.001543838923819906,0.020337301587301588,0.7625525107276896,1.0,0.005809291258656236,0.006762467492550863,0.010592293947981654,0.010592293913038382,0.011310778902176275,0.011310778869202606,0.7032967032967032,1.0,0.8714285714285711,1.0,0.0,0.022508038585209004,GradStudent
bdeird7,0.06045407429698733,0.15025041736227046,0.2154910386751913,0.08342489405116936,0.6073097463284379,0.15325806738376743,0.30355846042120554,0.5949921752738655,0.17657798643714137,0.7260590500641848,0.08655952351652679,0.0019601774476426287,0.013914656771799629,0.012705530642750373,0.8947,0.0032226078334159644,0.6842,0.05191434133679429,0.09076496234641299,0.1346153846153846,0.2625,0.06073943661971831,0.8625,0.24,0.09322033898305085,0.24,1.0,0.2631578947368421,0.8333,0.18181818181818182,0.039285714285714285,0.18181818181818182,1.0,0.2,1.0,0.023098591549295774,0.056179775280898875,0.04717853839037928,0.10989010989010989,0.06504632863062812,0.5892857142857143,0.07423632488752072,0.0,0.09008013263332412,0.8393939393939394,0.015486164001015486,0.1606060606060606,0.22412611377655928,0.9793053806010437,0.021220791607057702,0.020694619398956275,0.061542857142857156,0.022465080186239005,0.4061779420251569,0.33183636646423087,0.5972194329778158,0.029355471635429935,0.08745383057309662,1.0,0.25635103926096997,1.0,0.02149532710280374,0.08477300120530333,0.04031800113571834,0.09938071365378943,0.07152812091360537,0.18170589541467744,0.10252928407326439,0.0414767547857794,0.0709193931639554,0.25,0.12500000000000003,0.04559023066485753,0.5548,0.039722863741339494,0.09383058916881572,0.04390380313199105,0.012954186413902074,0.043859649122807015,0.10298661174047373,0.06268305608419661,0.7463675385948422,0.13811283295511967,0.37149182948020837,0.03550453934876088,0.007092898272246256,0.29910597504116204,0.33995302936273236,0.7454545454545455,0.6329028155653541,0.2572325633550122,0.30063965884861416,0.19354838709677422,0.4202898550724638,0.7352787555198889,0.07845177970334133,0.08131055704469263,0.3554789686768667,0.1385570221176733,0.008120693041288126,0.03550138980329094,0.02695611914193117,0.3134823231064712,1.0,0.03180963882947834,0.03417984830138125,0.009164681122234529,0.00916468111406479,0.007575037546423127,0.007575037541281569,0.5934065934065935,1.0,0.5714285714285712,0.0,0.037037037037037035,0.22508038585209003,GradStudent
ccallsen,0.2647206339652924,0.30918196994991654,0.07525416622995494,0.2461152095432428,0.28988651535380505,0.5365810294248378,0.504720406681191,0.20000000000000004,0.4153625456442358,0.06495507060333759,0.3430385666117004,0.39791602187145364,0.6448449509673999,0.4282511210762332,0.1486,0.39885969261279125,0.4172,0.719013627514601,0.3624653190646056,0.4935897435897436,0.0695,0.704225352112676,0.722,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.02857142857142857,0.45454545454545453,1.0,0.5,1.0,0.34696177062374245,0.48314606741573035,0.4873573851372186,0.4835164835164835,0.28016017134609117,0.5714285714285714,0.5483068908358987,0.6349206349206349,0.270074606244819,0.38931419457735245,0.2568333756452568,0.6106858054226476,0.5543522960932146,0.4808349829044449,0.474964234620887,0.5191650170955551,0.10045714285714283,0.055043973098810144,0.4012247611504812,0.05950735724561007,0.08376684504969034,0.0061600004492833,0.04188013821041344,0.10979081569501177,0.17551963048498845,0.09476876421531465,0.08448598130841121,0.07633587786259542,0.16808631459398068,0.11972869360070774,0.2658993751197806,0.53945195403575,0.34455689545638624,0.2406563354603464,0.4090659842807531,0.33,0.375,0.27028493894165534,0.754,0.3163972286374134,0.17139456457052174,0.6210850111856824,0.8756714060031596,0.6516290726817042,0.4418125643666323,0.18883618601330326,0.3556276470151386,0.47797917958573066,0.2938706063764362,0.14609426950356383,0.03430127293942538,0.26065213042608537,0.1985224327382909,0.6851851851851852,0.35813769528491096,0.4704343275771847,0.4476190476190478,0.4677419354838709,0.5942028985507246,0.9776633145725231,0.15181371433256274,0.5203414913876147,0.5276381615874849,0.6466044862102007,0.03430584034638029,0.1461671034574938,0.029781481317317497,0.2796739434553756,0.0,0.24533766847314167,0.24775378831524286,0.33197681504318954,0.33197681436979387,0.33099481715602447,0.33099481648766765,0.3626373626373627,0.0,0.4142857142857141,1.0,0.24691358024691357,0.2572347266881029,Director
