@relation 'trai_norm_email_features_35_30_35-weka.filters.unsupervised.attribute.Remove-R1-2,4-8,10-17,19-20,22-45,47-49,51-66,69-78,81-90,92,94,96,98,100-104,108-110,112-114,116-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R8'

@attribute unique_add_sent_perc numeric
@attribute unique_subjects_received numeric
@attribute total_received_signed numeric
@attribute rec_cc numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute rec_fw numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
0.490095,0.035603,0.007138,0.002861,0.111108,0.040193,0.010025,0.178936,0.004279,0.008119,0.002324,0.003207,0.000184,0,GradStudent
0.685568,0.00939,0.007787,0.004053,0.009465,0.002313,0.025063,0.428853,0.026023,0.046377,0.006033,0.005968,0.004633,0,Research
0.338853,0.042775,0.086957,0.041249,0.337061,0.141109,0.051378,0.769211,0.212401,0.32867,0.024295,0.033321,0.022095,0.037037,Director
0.147574,0.01278,0.041531,0.002146,0.019572,0.007945,0.006266,0.51883,0.013912,0.025678,0.009955,0.011582,0.002087,0,GradStudent
0.003249,0.554251,0.41207,0.423939,0.639714,0.357866,0.528822,0.986606,0.884304,0.919804,0.373076,0.353221,0.236511,0.740741,PM
0.149879,0.158451,0.035691,0.039819,0.157284,0.074435,0.096491,0.704412,0.076509,0.129105,0.024771,0.029321,0.010358,0.012346,GradStudent
0.183733,0.025561,0.056457,0.019552,0.026094,0.01205,0.021303,0.662257,0.046798,0.084428,0.019531,0.03563,0.004006,0.024691,GradStudent
0.29368,0.009129,0.020766,0.002146,0.007366,0.002605,0.005013,0.433058,0.010668,0.019946,0.005809,0.006762,0.010592,0,GradStudent
0.215491,0.176578,0.051914,0.021221,0.181706,0.102529,0.04386,0.735279,0.081311,0.138557,0.03181,0.03418,0.009165,0.037037,GradStudent
0.075254,0.415363,0.719014,0.474964,0.539452,0.344557,0.651629,0.977663,0.520341,0.646604,0.245338,0.247754,0.331977,0.246914,Director
0.113091,0.071987,0.141467,0.049356,0.073141,0.038528,0.055138,0.874531,0.241461,0.38044,0.06791,0.068799,0.01752,0.246914,Research
0.243056,0.010563,0.009734,0.01073,0.013038,0.004597,0.006266,0.330836,0.010019,0.018549,0.004568,0.006277,0.001059,0,GradStudent
0.500891,0.00939,0.00584,0.008345,0.010086,0.002774,0.006266,0.402662,0.021812,0.040505,0.007088,0.009567,0.004293,0,GradStudent
0.283618,0.011998,0.022064,0.005722,0.010183,0.004286,0.011278,0.450891,0.01048,0.019768,0.005892,0.009224,0.014078,0,GradStudent
0.053768,0.290558,0.656716,0.325703,0.286954,0.120413,0.319549,0.970215,0.618761,0.726819,0.189689,0.183687,0.271466,0.345679,Director
0.301226,0,0,0,0,0,0,0,0,0,0,0,0.000856,0,GradStudent
0.071271,0.261737,0.331603,0.2134,0.384316,0.196328,0.270677,0.965736,0.872185,0.905858,0.187094,0.183703,0.113549,0.790123,Operations
0.124201,0.028821,0.050616,0.01979,0.025591,0.017589,0.026316,0.754628,0.121085,0.219038,0.041879,0.033216,0.012451,0.111111,Research
0.113091,0.099374,0.341337,0.143538,0.24704,0.110877,0.131579,0.916181,0.389709,0.518506,0.070876,0.066012,0.114818,0.111111,Director
