@relation trai_norm_email_features_60_20_20

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
0.003348,0.015726,0.35701,0.006493,0.726729,0.029254,0.10052,1,0.040119,0.991397,0.010144,0.002172,0.255311,0.013165,0.6389,0.004463,0.6389,0.005176,0.04444,0.025773,0.511588,0.006455,0.519969,0,0,0,0,0,0,0.043478,0.077626,0.05,1,0.047619,1,0.02381,0.079545,0.679245,0.238095,0.005212,0.846349,0.000891,0.153651,0.043245,1,0.003107,0,0.016913,0.157309,0.169109,0.231977,0.019102,0.015492,0.001954,0.37063,0.035248,0.677919,0.000986,0.068391,0,0.009547,0.013061,0.11297,0.040509,0.003425,0.009305,0.34,0.034483,0.003135,0.6344,0.003457,0.144153,0.007997,0.048195,0.011921,0.067508,0.09111,0.605521,0.076069,0.26439,0.000234,0,0.912377,0.791784,1,0.963193,0.13618,0.054535,0.030769,0.073529,0.223322,0.001432,0.012676,0.044384,0.023375,0,0.000234,0.438459,0.82914,1,0.003206,0.0033,0,0,0.000454,0.000454,0.758242,1,0.910448,0,0,0.003279,GradStudent
0,0.000258,0.656392,0.000123,0.504526,0.007223,0.011554,0.443985,0.009898,0.96038,0.001571,0,0,0,0,0,0,0.007763,0.247623,0.025773,0.347344,0.009977,0.582565,0,0,0,0,0,0,0.086957,0.520548,0.05,0.5,0.095238,1,0.845238,0.886364,1,0.984127,0,0.153492,0.000396,0.846508,0.009113,0.782337,0.003531,0.217663,0.264501,1,0,0.158884,0,0.004151,0.00007,0.164082,0.001947,0.158629,0.000219,0.188357,0.002372,0.23747,0,0.009567,0.002247,0,0.009096,0,0.827586,0.000399,1,0,0,0.001731,0.161603,0.023843,1,0.306036,0.847613,0.444149,0.594432,0.000841,0,0.720859,0.660948,1,0.936201,0.180162,0.045156,0.046154,0.088235,0.382903,0.003029,0.018543,0.044642,0.033752,0,0.000841,0.395173,0.903465,1,0.005633,0.005705,0.004251,0.004251,0.005045,0.005045,0.692308,1,0.925373,1,0,0.003279,Research
0.007968,0.0281,0.25732,0.012495,0.553373,0.043284,0.084922,0.530075,0.043273,0.516867,0.017436,0.000785,0.040639,0.005152,0.6923,0.001358,0.5385,0.085397,0.512905,0.139175,0.144811,0.090962,0.365399,0.175,0.36971,0.175,1,0.185185,0.7143,0.26087,0.315068,0.3,1,0.238095,0.8333,0.571429,0.727273,0.509434,0.746032,0.009808,0.57873,0.005545,0.42127,0.044524,0.485925,0.038978,0.514075,0.102707,0.180519,0.339,0.065202,0.11573,0.002605,0.000384,0.032127,0.01149,0.070051,0.001096,0.033489,0.015927,0.156921,0.062239,0.340574,0.139766,0.008884,0.035651,0.39,0.431034,0.00704,0.628,0.008774,0.16127,0.035535,0.556386,0.047686,0.33809,0.166082,0.48152,0.294431,0.487368,0.041827,0.001687,0.509511,0.4527,0.881445,0.710092,0.326007,0.283582,0.261538,0.411765,0.761215,0.012882,0.259653,0.388284,0.395203,0.001688,0.041809,0.126352,0.418293,0,0.026328,0.032008,0.022284,0.022284,0.022601,0.022601,0.505495,0,0.597015,0,0.085106,0.095082,Director
0.002251,0.002578,0.119794,0.005206,0.889838,0.009977,0.011554,0.309023,0.013315,0.92959,0.003991,0.000121,0.020319,0.001145,1,0.000388,1,0.038817,0.903357,0.051546,0.119764,0.048122,0.569316,0.05,0.342984,0.05,1,0.074074,1,0.217391,1,0.25,1,0.238095,1,0.892857,0.954545,0.981132,0.968254,0.003755,0.914603,0.000347,0.085397,0.013909,0.907268,0.002542,0.092732,0.020907,0.201612,0.191785,0.048661,0.015441,0.0017,0.003385,0.918513,0.008374,0.458629,0.010081,1,0.012199,0.553699,0.00397,0.018276,0.007582,0.001552,0.0046,0.22,0.241379,0.002152,0.6231,0.000798,0.047639,0.005359,0.365039,0.007013,0.16685,0.029452,0.391675,0.046714,0.617884,0.002879,0,0.705838,0.56748,1,0.853095,0.129173,0.093284,0.030769,0.147059,0.453593,0.00372,0.008977,0.085845,0.016591,0,0.00288,1,0.857352,1,0.008685,0.010469,0.001317,0.001317,0.002353,0.002353,0.769231,1,0.850746,1,0,0.02623,GradStudent
0.241063,0.108275,0.004948,0.197844,0.155594,0.6331,0.402657,0.080451,0.543711,0.316957,0.352575,0.187496,0.332498,0.125358,0.0705,0.194838,0.3231,0.402957,0.166117,0.314433,0.053548,0.442488,0.40745,0.1,0.006682,0.1,1,0.037037,0.25,1,0.086758,1,0.8696,1,0.913,0.607143,0.477273,0.773585,0.746032,0.248244,0.400952,0.230381,0.599048,0.728058,0.613063,0.434402,0.386937,0.210249,0.068934,0.611442,0.104501,0.074979,0.008702,0.034935,0.099951,0.384031,0.280203,0.081525,0.085206,0.286344,0.173329,0.245193,0.644668,0.35868,0.390099,0.496498,0.59,0.37931,0.163337,0.4987,0.264026,0.166014,0.516696,0.53555,0.495792,0.220088,0.327058,0.412375,0.809747,0.642176,0.990688,0.359489,0.079963,0.044341,0.131021,0.063417,0.764987,0.856362,0.815385,0.911765,0.983616,0.463984,0.878425,0.869784,0.918273,0.359096,0.988594,0.062539,0.067517,0,0.351758,0.354858,0.239271,0.239271,0.238922,0.238922,0.131868,0,0.089552,0,0.744681,0.819672,PM
0.039838,0.070379,0.110928,0.053412,0.438087,0.147831,0.310803,0.575188,0.164156,0.655196,0.069887,0.013276,0.141575,0.0332,0.2636,0.019406,0.4545,0.034381,0.056666,0.108247,0.305168,0.037559,0.393625,0.125,0.053452,0.125,1,0.185185,1,0.173913,0.063927,0.15,0.75,0.190476,1,0.059524,0.113636,0.509434,0.31746,0.055029,0.734444,0.016983,0.265556,0.205835,0.9023,0.03813,0.0977,0.065704,0.028268,0.192994,0.157645,0.025605,0.033671,0.011412,0.196332,0.12814,0.457107,0.006684,0.042108,0.012538,0.01253,0.04225,0.15718,0.074242,0.038052,0.06001,0.35,0.068966,0.033156,0.6088,0.018612,0.070324,0.08187,0.279943,0.089762,0.148189,0.029493,0.430518,0.082084,0.422312,0.042225,0.006946,0.416973,0.404591,0.729695,0.584493,0.244505,0.258743,0.169231,0.382353,0.681408,0.103343,0.088536,0.312541,0.148904,0.007015,0.042452,0.219154,0.277802,1,0.024195,0.028491,0.009759,0.009759,0.011439,0.011439,0.604396,1,0.626866,0,0.021277,0.098361,GradStudent
0.007224,0.013148,0.130206,0.008514,0.347908,0.025565,0.024263,0.212782,0.027067,0.598596,0.011974,0.000302,0.017153,0.001717,0.6,0.000776,0.8,0.05841,0.580633,0.072165,0.106809,0.058685,0.292051,0.05,0.115813,0.05,1,0.074074,1,0.043478,0.086758,0.05,1,0.047619,1,0.654762,0.829545,0.830189,0.857143,0.008934,0.58254,0.005001,0.41746,0.029416,0.634223,0.017512,0.365777,0.124504,0.092813,0.300864,0.073294,0.069365,0.002202,0.002757,0.2532,0.010321,0.17132,0.005917,0.198672,0.013555,0.241647,0.007298,0.026063,0.012188,0.003104,0.016937,0.15,0.327586,0.008156,0.7995,0.001329,0.02681,0.018468,0.475425,0.020337,0.21405,0.077493,0.478641,0.166353,0.577339,0.131395,0.001411,0.561887,0.329944,0.806925,0.455054,0.172592,0.199706,0.092308,0.279412,0.634913,0.014426,0.038919,0.162817,0.070842,0.001413,0.134714,0.240004,0.812867,1,0.018995,0.030999,0.003744,0.003744,0.004585,0.004585,0.703297,1,0.701493,0,0.010638,0.062295,GradStudent
0.001409,0.003351,0.229794,0.001531,0.296328,0.007534,0.013865,0.507895,0.009373,0.825674,0.002695,0,0,0,0,0,0,0.021811,0.646614,0.010309,0.042608,0.0223,0.307412,0,0,0,0,0,0,0,0,0,0,0,0,0.797619,0.863636,1,0.857143,0.001716,0.50746,0.001337,0.49254,0.009912,0.832751,0.002966,0.167249,0.122723,0.098722,0.151666,0.147362,0.005272,0.005761,0.000454,0.1839,0.008569,0.625635,0.000877,0.129999,0.011183,0.656921,0.001412,0.007902,0.002825,0.002248,0.004809,0.48,0.396552,0.001647,0.7126,0.000266,0.023716,0.004452,0.436774,0.00561,0.175082,0.180264,0.801807,0.150722,0.888425,0.003085,0,1,0.468385,1,0.853095,0.187832,0.083406,0.030769,0.176471,0.416679,0.002814,0.013811,0.091619,0.025938,0,0.003086,0.124288,0.806541,1,0.00609,0.006152,0.010938,0.010938,0.01025,0.01025,0.681319,1,0.865672,1,0,0.02623,GradStudent
0.059923,0.145141,0.160825,0.091694,0.541418,0.155001,0.316002,0.553759,0.190084,0.80892,0.08666,0.00169,0.012007,0.012593,0.7857,0.003881,0.7143,0.051386,0.083252,0.123711,0.227004,0.06162,0.523425,0.225,0.064588,0.225,1,0.296296,0.8889,0.130435,0.045662,0.15,1,0.142857,1,0,0.113636,0.566038,0,0.089049,0.835873,0.015745,0.164127,0.2255,0.976081,0.022878,0.023919,0.059762,0.013607,0.403324,0.306136,0.372142,0.026145,0.087216,1,0.260175,1,0.022025,0.092271,0.042359,0.097255,0.070846,0.183744,0.10265,0.039122,0.067329,0.24,0.086207,0.04458,0.5455,0.042542,0.107239,0.045181,0.019723,0.041374,0.011526,0.073422,0.741323,0.110068,0.317333,0.050909,0.003317,0.345334,0.371622,0.774746,0.61455,0.253055,0.29628,0.2,0.426471,0.695137,0.078703,0.100813,0.370262,0.169267,0.003493,0.050934,0.236151,0.401797,1,0.030314,0.03458,0.006762,0.006762,0.007395,0.007395,0.593407,1,0.58209,0,0.06383,0.213115,GradStudent
0.264085,0.303687,0.059691,0.244763,0.213493,0.537594,0.506644,0.183835,0.383146,0.121576,0.343036,0.400398,0.648239,0.41557,0.1094,0.398409,0.3094,0.716451,0.355327,0.479381,0.041601,0.714202,0.28533,0,0,0,0,0,0,0.217391,0.022831,0.25,1,0.238095,1,0.452381,0.5,0.54717,0.619048,0.268605,0.388889,0.257464,0.611111,0.551878,0.466237,0.48609,0.533763,0.130976,0.056626,0.417845,0.052619,0.066855,0.013446,0.041182,0.107582,0.176826,0.092893,0.082621,0.078847,0.179261,0.119332,0.265221,0.540474,0.344554,0.243832,0.410246,0.34,0.362069,0.270377,0.7536,0.310822,0.178594,0.624289,0.880547,0.626227,0.374863,0.20708,0.352551,0.387096,0.270373,0.136461,0.051856,0.236063,0.223488,0.501352,0.364559,0.464961,0.464889,0.492308,0.602941,0.974973,0.149341,0.51452,0.549974,0.653677,0.0519,0.136649,0.200793,0.31069,0,0.246941,0.243915,0.332355,0.332355,0.332228,0.332228,0.362637,0,0.402985,0,0.329787,0.255738,Director
