@relation trai_social_100_0_0

@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations}

@data
0,0,0.951839,0.921598,1,1,0.158873,0.036364,0.028169,0.044776,0.337507,0.001842,0.011038,0.031484,0.020549,0,0,0.714709,0.779201,1,0.003294,0.003225,0,0,0.000431,0.000431,0.717172,1,0.939394,0,0,0,GradStudent
0.000626,0,0.751971,0.657508,1,0.970813,0.179214,0.064892,0.042254,0.119403,0.483214,0.002883,0.015872,0.067291,0.029071,0,0.000626,0.953521,0.899291,1,0.004996,0.004878,0.003558,0.003558,0.004221,0.004221,0.686869,1,0.893939,0,0,0,Research
0.052556,0.001737,0.495404,0.474473,0.872141,0.674486,0.328283,0.288223,0.28169,0.41791,0.851713,0.014305,0.290004,0.394392,0.430361,0.001738,0.05253,0.292047,0.425431,0,0.027485,0.031382,0.021965,0.021965,0.022189,0.022189,0.494949,0,0.590909,0,0.128788,0.104478,Director
0.00287,0,0.759195,0.649792,1,0.879882,0.193206,0.09457,0.056338,0.149254,0.638289,0.00525,0.023783,0.101347,0.043422,0,0.00287,0.559141,0.798923,1,0.010467,0.010958,0.002348,0.002348,0.002704,0.002704,0.666667,1,0.848485,1,0,0.032836,GradStudent
0.727577,0.357733,0.090159,0.050321,0.145597,0.068327,0.760101,0.853994,0.816901,0.910448,0.990879,0.463832,0.913174,0.878887,0.931556,0.357675,0.727244,0.085526,0.071975,0,0.358661,0.34967,0.238881,0.238881,0.238644,0.238644,0.131313,0,0.090909,0,0.909091,0.767164,PM
0.03987,0.010825,0.371499,0.45926,0.604129,0.608009,0.252932,0.275461,0.183099,0.402985,0.79809,0.123506,0.0886,0.358537,0.151383,0.011179,0.039953,0.446921,0.257208,0,0.027845,0.027382,0.009697,0.009697,0.01157,0.01157,0.585859,0,0.606061,0,0.030303,0.125373,GradStudent
0.079045,0.002055,0.523206,0.325038,0.791164,0.510319,0.207559,0.168694,0.112676,0.268657,0.764762,0.01684,0.050556,0.148721,0.090975,0.002103,0.080192,0.502319,0.806387,1,0.020588,0.027877,0.004108,0.004108,0.004742,0.004742,0.646465,1,0.742424,0,0.015152,0.056716,GradStudent
0.002855,0,0.87719,0.556546,1,0.878081,0.179214,0.084545,0.042254,0.149254,0.590148,0.003449,0.01709,0.079815,0.031771,0,0.002856,0.428222,0.776123,1,0.007058,0.006645,0.012063,0.012063,0.011169,0.011169,0.686869,1,0.863636,0,0,0.026866,GradStudent
0.068451,0.004759,0.315044,0.382837,0.697934,0.554577,0.268879,0.30118,0.225352,0.432836,0.815659,0.086716,0.116517,0.373219,0.193817,0.004867,0.068506,0.561181,0.374291,1,0.03295,0.034708,0.006813,0.006813,0.007375,0.007375,0.565657,1,0.575758,0,0.05303,0.191045,GradStudent
0.129957,0.039842,0.256849,0.262308,0.518991,0.374865,0.445234,0.473644,0.478873,0.61194,0.985215,0.149036,0.505131,0.58184,0.643073,0.039955,0.129981,0.37503,0.265634,0,0.240981,0.239169,0.328776,0.328776,0.328889,0.328889,0.373737,0,0.393939,0,0.386364,0.289552,Director
