fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
0,0,0.951839024,0.921598329,1,1,0.158872677,0.036363636,0.028169014,0.044776119,0.337506579,0.001842476,0.011037632,0.031483597,0.0205488,0,0,0.714708849,0.779201173,1,0.003293905,0.003225419,0,0,0.000431069,0.000431069,0.717171717,1,0.939393939,0,0,0,GradStudent
0.000625696,0,0.751970971,0.657508488,1,0.970812621,0.179213519,0.064892344,0.042253521,0.119402985,0.483214187,0.00288315,0.01587155,0.067290686,0.029070585,0,0.000625809,0.953521078,0.899290985,1,0.004995918,0.004878398,0.003558455,0.003558455,0.004221398,0.004221398,0.686868687,1,0.893939394,0,0,0,Research
0.052556136,0.001737398,0.495404315,0.474473007,0.872141185,0.674486106,0.328282828,0.28822314,0.281690141,0.417910448,0.851713476,0.014304509,0.290003938,0.394391941,0.430360943,0.001738051,0.052529571,0.292046651,0.425430577,0,0.027485236,0.031381758,0.02196456,0.02196456,0.022189096,0.022189096,0.494949495,0,0.590909091,0,0.128787879,0.104477612,Director
0.002869846,0,0.759195118,0.649791577,1,0.879881562,0.193205945,0.09456986,0.056338028,0.149253731,0.638288862,0.005249641,0.023782837,0.101346637,0.043421824,0,0.002870365,0.559141094,0.798922669,1,0.010466853,0.010957541,0.002348444,0.002348444,0.002703554,0.002703554,0.666666667,1,0.848484848,1,0,0.032835821,GradStudent
0.727576913,0.357733441,0.090158887,0.050321498,0.145596811,0.068327217,0.76010101,0.85399449,0.816901408,0.910447761,0.99087934,0.463831917,0.913173641,0.878887246,0.931555938,0.357674572,0.727244407,0.085525843,0.071974771,0,0.358660914,0.349669901,0.238880976,0.238880976,0.23864388,0.23864388,0.131313131,0,0.090909091,0,0.909090909,0.767164179,PM
0.039869945,0.010824632,0.371499258,0.459259727,0.604129438,0.608008977,0.252932005,0.275461381,0.183098592,0.402985075,0.798089944,0.123505861,0.088600094,0.358537388,0.151383103,0.01117919,0.039952654,0.446920952,0.257207819,0,0.027845278,0.027381824,0.009696917,0.009696917,0.011570434,0.011570434,0.585858586,0,0.606060606,0,0.03030303,0.125373134,GradStudent
0.079044849,0.002054848,0.523206333,0.325038242,0.791163935,0.510318858,0.207559466,0.168693982,0.112676056,0.268656716,0.76476192,0.016839735,0.050556243,0.148720703,0.090974539,0.002103251,0.080192006,0.502319362,0.806386785,1,0.020588303,0.027877232,0.004107513,0.004107513,0.004742471,0.004742471,0.646464646,1,0.742424242,0,0.015151515,0.056716418,GradStudent
0.002855407,0,0.87718951,0.55654557,1,0.878080986,0.179213519,0.084545455,0.042253521,0.149253731,0.590148482,0.003449322,0.017090076,0.07981543,0.031771475,0,0.002855923,0.42822241,0.776122759,1,0.007057565,0.006644884,0.012063442,0.012063442,0.01116908,0.01116908,0.686868687,1,0.863636364,0,0,0.026865672,GradStudent
0.068451288,0.004758647,0.315043891,0.38283665,0.697933549,0.554577465,0.268879269,0.301179736,0.225352113,0.432835821,0.815659204,0.086716288,0.116516948,0.373218947,0.193817204,0.004867263,0.068506321,0.561181047,0.374291145,1,0.032949973,0.034708427,0.006813255,0.006813255,0.007374987,0.007374987,0.565656566,1,0.575757576,0,0.053030303,0.191044776,GradStudent
0.129957293,0.039841541,0.256849378,0.262308007,0.518991035,0.374865369,0.445233586,0.473644003,0.478873239,0.611940299,0.985215401,0.149035931,0.505131034,0.581840082,0.64307318,0.039955298,0.129980769,0.375029703,0.265634322,0,0.240980506,0.239168607,0.328775816,0.328775816,0.328888515,0.328888515,0.373737374,0,0.393939394,0,0.386363636,0.289552239,Director
