pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_sent_perc,inter_hume_rec,inter_hume_rec_perc,inter_vt_sent,inter_vt_sent_perc,inter_vt_rec,inter_vt_rec_perc,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,Status
adamq,0.003410573,0.016694491,0.490095378,0.006199969,0.846962617,0.028624767,0.090050835,1,0.035602504,0.887291399,0.010066206,0.002166512,0.250728863,0.011958146,0.7619,0.003966287,0.7619,0.007138222,0.063218391,0.032051282,0.4545,0.007922535,0.8182,0,0,0,0,0,0,0.090909091,0.103571429,0.090909091,1,0.1,1,0.001448692,0.06741573,0.005087882,0.076923077,0.003678354,0.589285714,0.01870708,0.238095238,0.005360597,0.856299841,0.000846238,0.143700159,0.042494859,1,0.00286123,0,0.019228571,0.148823073,0.172764288,0.251406851,0.023630512,0.019308102,0.001846777,0.345711103,0.034971956,0.669951984,0.000934579,0.060265167,0,0,0.013368499,0.111108027,0.040192547,0.00355515,0.008773533,0.35,0.053571429,0.00312076,0.6216,0.004618938,0.178734378,0.008249441,0.065402844,0.010025063,0.11946447,0.087944714,0.597477062,0.147300746,0.323527926,GradStudent
ahmed12,3.34E-05,0,0.685567551,0.000392403,0.797396529,0.007111743,0.010893246,0.41627543,0.009389671,1,0.001624375,0,0,0,0,0,0,0.007787151,0.230875941,0.032051282,0.4167,0.008802817,0.8333,0,0,0,0,0,0,0.090909091,0.346428571,0.090909091,1,0.1,1,0.000643863,0.887640449,0.010638298,0.879120879,0.000139684,1,0.009471939,1,0.000110528,0.362041467,0.000338495,0.637958533,0.008636052,0.741047328,0.00405341,0.258952672,0.122457143,1,0,0.183194752,0.000438464,0.005060218,5.96E-05,0.123777695,0.002309469,0.117007834,0.000186916,0.133922593,0.002839296,0.203479799,0.000101691,0.009464861,0.002312784,0,0.010601353,0,1,0.000452284,1,0,0,0.001538031,0.157661927,0.025062657,1,0.277844442,0.875365732,0.457239764,0.600792944,Research
ajm,0.008392684,0.029716194,0.33885337,0.011615131,0.591955941,0.04267046,0.083514887,0.579342723,0.04277517,0.482926829,0.017622013,0.000722171,0.035648025,0.003736921,0.7143,0.001239465,0.7143,0.086956522,0.527942925,0.147435897,0.1716,0.091549296,0.7761,0.16,0.435028249,0.16,1,0.157894737,0.75,0.363636364,0.285714286,0.363636364,1,0.4,1,0.013038229,0.584269663,0.051958064,0.692307692,0.008706989,0.553571429,0.047004499,0.73015873,0.010113291,0.55215311,0.006177541,0.44784689,0.042083619,0.447003779,0.041249404,0.552996221,0.0972,0.184014485,0.318506833,0.084022007,0.177762987,0.002923016,0.000476588,0.03812353,0.013526889,0.092747031,0.001495327,0.041248159,0.017035775,0.16779711,0.065560925,0.337060758,0.141108639,0.010483136,0.037104734,0.44,0.5,0.007281773,0.6192,0.008775982,0.145010911,0.03537472,0.563981043,0.051378446,0.419670443,0.166166685,0.492713064,0.354232135,0.505410851,Director
apblair,0.002206841,0.002337229,0.14757363,0.004551876,0.964285714,0.010667615,0.012345679,0.298591549,0.012780386,0.825417202,0.004208609,0.000206334,0.035382984,0.001494768,1,0.000495786,1,0.041531473,0.887039239,0.044871795,0.1094,0.04665493,0.8281,0.08,0.754237288,0.08,1,0.105263158,1,0.363636364,1,0.363636364,1,0.4,1,0.005714286,0.95505618,0.016805427,0.912087912,0.003119616,0.982142857,0.014207909,1,0.00370268,0.914992026,0.000338495,0.085007974,0.015215901,0.934676984,0.002145923,0.065323016,0.003857143,0.274599069,0.175454585,0.071462454,0.023183189,0.002479127,0.003395687,0.940710484,0.009567799,0.437199899,0.01046729,1,0.014196479,0.551754645,0.003956836,0.019571583,0.007945038,0.000820419,0.00566624,0.12,0.303571429,0.002442334,0.72,0.000461894,0.026383654,0.005313199,0.331437599,0.006265664,0.180226571,0,0.464739316,0.03160299,0.69087066,GradStudent
apoetter,0.24211723,0.116193656,0.003249135,0.202950871,0.224966622,0.628233621,0.404502542,0.086384977,0.554251435,0.253145058,0.351775738,0.191065718,0.338457461,0.139013453,0.1004,0.196826971,0.4287,0.412070084,0.177566389,0.320512821,0.0787,0.443661972,0.7937,0.08,0.008474576,0.08,1,0.052631579,0.5,1,0.057142857,1,1,1,0.9091,0.392112676,0.629213483,0.555966698,0.461538462,0.29436141,0.767857143,0.704120294,0.746031746,0.248134844,0.393779904,0.233223322,0.606220096,0.725017135,0.621198488,0.42393896,0.378801512,0.176342857,0.065545784,0.599439021,0.115407022,0.105135603,0.010013521,0.034910044,0.100012378,0.384361597,0.287844327,0.080186916,0.079282175,0.2879046,0.1863757,0.246308148,0.63971425,0.357866442,0.394986326,0.496984098,0.6,0.410714286,0.163772049,0.4994,0.261431871,0.154929577,0.506571588,0.524012638,0.528822055,0.30638517,0.308718116,0.418069117,1,0.60916937,PM
arog3632,0.040057512,0.073789649,0.149879468,0.051090881,0.532042724,0.14792426,0.306463326,0.629107981,0.158450704,0.586392811,0.070069651,0.012276901,0.130665253,0.033632287,0.3782,0.016360932,0.5546,0.03569111,0.064605628,0.121794872,0.3455,0.040492958,0.8364,0.16,0.093220339,0.16,1,0.210526316,1,0.363636364,0.085714286,0.272727273,0.75,0.4,1,0.022454728,0.134831461,0.044557508,0.098901099,0.042603716,0.571428571,0.110466493,0.317460317,0.055927052,0.7476874,0.016163155,0.2523126,0.205209047,0.892747886,0.039818789,0.107252114,0.058457143,0.038592861,0.1866903,0.17437914,0.036222928,0.042699547,0.01173597,0.202005199,0.127680633,0.455900935,0.007850467,0.046605062,0.016467916,0.030374521,0.042538268,0.157283918,0.074435191,0.043208751,0.065984281,0.39,0.107142857,0.033242877,0.6089,0.022632794,0.080539575,0.081375839,0.274723539,0.096491228,0.234809475,0.024557577,0.425136137,0.123381952,0.424885567,GradStudent
asohangh,0.006954894,0.013689482,0.183733361,0.00886831,0.513684913,0.025602276,0.027596224,0.261345853,0.025560772,0.489858793,0.011838252,0.000412669,0.024383779,0.002242152,0.75,0.000991572,1,0.056456846,0.554300436,0.070512821,0.1264,0.053697183,0.7011,0.04,0.129943503,0.04,1,0.052631579,1,0,0,0,0,0,0,0.012072435,0.662921348,0.034998458,0.78021978,0.008893235,0.839285714,0.030428605,0.841269841,0.008952749,0.625199362,0.004315816,0.374800638,0.02823852,0.587007378,0.019551741,0.412992622,0.074742857,0.144076565,0.269820309,0.091242949,0.077718092,0.002727008,0.002859526,0.273796262,0.011547344,0.180439727,0.006168224,0.203696264,0.014196479,0.239752285,0.007080585,0.026094288,0.012049511,0.003646308,0.017729848,0.18,0.357142857,0.007914971,0.8065,0.001385681,0.027375521,0.019574944,0.515323855,0.021303258,0.281668383,0.062530948,0.475434208,0.157264149,0.576874125,GradStudent
awais,0.001237169,0.002671119,0.293679908,0.001569612,0.427403204,0.007022846,0.011619463,0.45258216,0.009128847,0.972272144,0.002485787,0,0,0,0,0,0,0.020765737,0.621680539,0.012820513,0.0625,0.022007042,0.7813,0,0,0,0,0,0,0,0,0,0,0,0,0.002977867,0.808988764,0.00955905,0.813186813,0.001815896,1,0.008051148,0.825396825,0.001436861,0.445295056,0.001353982,0.554704944,0.009595613,0.879071441,0.002145923,0.120928559,0.0898,0.13807553,0.155630344,0.180222217,0.010561994,0.008081266,0.000595735,0.269092709,0.010227648,0.71392469,0.001121495,0.174635061,0.01362862,0.754939546,0.00128809,0.007365799,0.002605481,0.0023701,0.003655639,0.57,0.339285714,0.001492537,0.7174,0,0,0.003495526,0.378830964,0.005012531,0.201853759,0.184041529,0.835830684,0.250393569,1,GradStudent
bdeird7,0.060454074,0.150250417,0.215491039,0.083424894,0.607309746,0.153258067,0.30355846,0.594992175,0.176577986,0.72605905,0.086559524,0.001960177,0.013914657,0.012705531,0.8947,0.003222608,0.6842,0.051914341,0.090764962,0.134615385,0.2625,0.060739437,0.8625,0.24,0.093220339,0.24,1,0.263157895,0.8333,0.181818182,0.039285714,0.181818182,1,0.2,1,0.023098592,0.056179775,0.047178538,0.10989011,0.065046329,0.589285714,0.074236325,0,0.090080133,0.839393939,0.015486164,0.160606061,0.224126114,0.979305381,0.021220792,0.020694619,0.061542857,0.02246508,0.406177942,0.331836366,0.597219433,0.029355472,0.087453831,1,0.256351039,1,0.021495327,0.084773001,0.040318001,0.099380714,0.071528121,0.181705895,0.102529284,0.041476755,0.070919393,0.25,0.125,0.045590231,0.5548,0.039722864,0.093830589,0.043903803,0.012954186,0.043859649,0.102986612,0.062683056,0.746367539,0.138112833,0.371491829,GradStudent
ccallsen,0.264720634,0.30918197,0.075254166,0.24611521,0.289886515,0.536581029,0.504720407,0.2,0.415362546,0.064955071,0.343038567,0.397916022,0.644844951,0.428251121,0.1486,0.398859693,0.4172,0.719013628,0.362465319,0.493589744,0.0695,0.704225352,0.722,0,0,0,0,0,0,0.454545455,0.028571429,0.454545455,1,0.5,1,0.346961771,0.483146067,0.487357385,0.483516484,0.280160171,0.571428571,0.548306891,0.634920635,0.270074606,0.389314195,0.256833376,0.610685805,0.554352296,0.480834983,0.474964235,0.519165017,0.100457143,0.055043973,0.401224761,0.059507357,0.083766845,0.00616,0.041880138,0.109790816,0.17551963,0.094768764,0.084485981,0.076335878,0.168086315,0.119728694,0.265899375,0.539451954,0.344556895,0.240656335,0.409065984,0.33,0.375,0.270284939,0.754,0.316397229,0.171394565,0.621085011,0.875671406,0.651629073,0.441812564,0.188836186,0.355627647,0.47797918,0.293870606,Director
