@relation trai_unnorm_email_features_100_0_0

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
299,85,0.2843,146,0.4883,1015,230,0.2266,774,0.7626,1314,59,0.1973,29,0.4915,34,0.5763,29,0.0286,8,0.2759,17,0.5862,0,0,0,0,0,0,1,0.001,1,1,1,1,18,15,85,50,270,0.903,29,0.097,975,0.9606,40,0.0394,1.2008,3.9222,224.618729,1052.702463,75071.346271,1560894.884871,94,0.3144,302,0.2975,12,0.0401,12,0.0118,0.9901,3.3609,4.351,99,200,0.33,0.2,189,0.6321,26,0.087,206,0.203,30,0.0296,23.117057,39.555665,172.176933,523.275473,0.000009,0,60.5,61.866667,1,0.990476,0.5,0.548387,0.049383,0.176471,63.888605,0.001198,15991480334.048612,2.6874155144261416E16,0.022847,0,0.000009,0.623158,0.47579,3,0.002414,0.00243,0.000218,0.000218,0.000272,0.000272,1.97561,3,1.802326,2,1,2,GradStudent
33,20,0.6061,8,0.2424,268,36,0.1343,196,0.7313,301,0,0,0,0,0,0,31,0.1157,9,0.2903,22,0.7097,0,0,0,0,0,0,2,0.0075,1,0.5,2,1,73,84,94,99,14,0.4242,19,0.5758,220,0.8209,48,0.1791,4.125,19.2035,59.878788,860.451493,5549.621671,563679.911826,3,0.0909,30,0.1119,2,0.0606,21,0.0784,0.0375,0.3045,0.342,0,178,0,0.66,31,0.9394,2,0.0606,82,0.306,47,0.1754,41.484848,45.783582,585.401286,856.22182,0.000054,0,52.2,54.4,1,0.973856,0.509434,0.559211,0.061728,0.235294,78.165611,0.001823,21182462706.362568,3.7316545006048312E16,0.029865,0,0.000054,0.772727,0.520326,3,0.002646,0.002658,0.000778,0.000778,0.00087,0.00087,1.939024,3,1.767442,2,1,2,Research
716,143,0.1997,287,0.4008,1418,192,0.1354,730,0.5148,2134,21,0.0293,13,0.619,13,0.619,379,0.2673,34,0.0897,208,0.5488,13,0.0182,13,1,8,0.6154,8,0.0056,8,1,6,0.75,65,72,74,84,541,0.7556,175,0.2444,969,0.6834,449,0.3166,1.7048,4.5635,382.453911,547.5,326086.831675,390634.592736,20,0.0279,112,0.079,18,0.0251,92,0.0649,4.8707,9.6463,14.517,290,637,0.41,0.45,444,0.6201,49,0.0684,733,0.5169,115,0.0811,28.456704,35.507757,399.815165,763.467147,0.003816,0.000382,41.545455,49.225,0.904762,0.805121,0.578571,0.643939,0.271605,0.470588,114.272624,0.008686,315564035262.897472,1.3270879741329504E17,0.360333,0.000382,0.003814,0.358442,0.344593,2,0.005714,0.006317,0.003672,0.003672,0.003702,0.003702,1.707317,2,1.534884,2,18,37,Director
215,22,0.1023,120,0.5581,400,34,0.085,273,0.6825,615,5,0.0233,4,0.8,5,1,190,0.475,12,0.0632,131,0.6895,4,0.0186,4,1,3,0.75,6,0.015,6,1,6,1,92,93,100,98,203,0.9442,12,0.0558,363,0.9075,37,0.0925,1.2216,4.5531,250,480.6325,59816.660465,280500.017444,162,0.7535,92,0.23,155,0.7209,79,0.1975,0.3292,0.6126,0.9418,55,140,0.26,0.35,129,0.6,5,0.0233,163,0.4075,20,0.05,17.32093,32.74,123.259794,896.2074,0.000217,0,52.5,54.181818,1,0.922078,0.515924,0.57047,0.074074,0.258824,93.360439,0.003245,29678128629.17342,4.724825225494888E16,0.041683,0,0.000217,0.525725,0.483104,3,0.003393,0.003497,0.000587,0.000587,0.000631,0.000631,1.914634,3,1.732558,3,1,13,GradStudent
20623,500,0.0242,3884,0.1883,20332,878,0.0432,8625,0.4242,40955,5237,0.2539,253,0.0483,1191,0.2274,1862,0.0916,67,0.036,1082,0.5811,6,0.0003,6,1,1,0.1667,31,0.0015,24,0.7742,29,0.9355,68,51,88,84,12769,0.6192,7854,0.3808,15215,0.7483,5117,0.2517,2.3545,2.3074,657.109926,648.581989,248647.544576,938916.153075,1647,0.0799,3289,0.1618,1238,0.06,1369,0.0673,18.8338,18.568,37.4018,12155,7921,0.59,0.39,10381,0.5034,1683,0.0816,10528,0.5178,1159,0.057,40.696019,33.669191,1104.744283,903.384762,0.052718,0.078679,24.716667,37.232877,0.363581,0.45996,0.778846,0.858586,0.740741,0.858824,127.908644,0.278796,984765068286.990208,2.740017388763352E17,0.773075,0.078637,0.052685,0.229097,0.213512,2,0.050887,0.050253,0.037785,0.037785,0.037821,0.037821,1.268293,2,1.151163,2,121,259,PM
3426,335,0.0978,1171,0.3418,4932,727,0.1474,2927,0.5935,8358,373,0.1089,76,0.2038,143,0.3834,165,0.0335,27,0.1636,103,0.6242,7,0.002,7,1,7,1,4,0.0008,3,0.75,4,1,22,19,74,56,2849,0.8316,577,0.1684,4469,0.9061,463,0.0939,1.4275,1.3208,250.457093,812.731752,83583.891475,2937236.554766,552,0.1611,1152,0.2336,101,0.0295,89,0.018,3.266,4.7016,7.9676,1203,1105,0.35,0.22,2097,0.6121,125,0.0365,1763,0.3575,206,0.0418,18.551372,34.301703,212.021441,695.164044,0.002897,0.002381,36.4,48.794872,0.705128,0.767267,0.543624,0.639098,0.185185,0.458824,109.018379,0.074302,99283205828.12464,1.22252565740354176E17,0.130591,0.002458,0.002903,0.455441,0.282207,2,0.005763,0.005765,0.001743,0.001743,0.002028,0.002028,1.817073,2,1.546512,2,5,44,GradStudent
652,71,0.1089,186,0.2853,881,57,0.0647,498,0.5653,1533,8,0.0123,5,0.625,6,0.75,256,0.2906,17,0.0664,134,0.5234,4,0.0061,4,1,4,1,3,0.0034,3,1,3,1,69,82,89,90,473,0.7255,179,0.2745,680,0.7719,201,0.2281,1.9176,1.8608,353.116564,583.091941,247904.851443,360722.551138,143,0.2193,93,0.1056,94,0.1442,70,0.0795,0.5971,0.8068,1.4038,107,322,0.16,0.37,518,0.7945,14,0.0215,429,0.4869,44,0.0499,22.710123,35.740068,344.718118,932.103832,0.005735,0.000452,42.7,45,0.844444,0.71164,0.522581,0.598592,0.123457,0.352941,105.752768,0.010209,58429191250.120632,6.1063909600938936E16,0.080843,0.000462,0.005817,0.490137,0.485872,3,0.004773,0.005833,0.000864,0.000864,0.000952,0.000952,1.890244,3,1.651163,2,3,21,GradStudent
146,27,0.1849,32,0.2192,324,37,0.1142,215,0.6636,470,0,0,0,0,0,0,105,0.3241,4,0.0381,57,0.5429,0,0,0,0,0,0,0,0,0,0,0,0,84,85,100,90,100,0.6849,46,0.3151,281,0.8673,43,0.1327,1.9211,2.7176,204.164384,793.067901,20336.068868,795768.063291,21,0.1438,91,0.2809,14,0.0959,71,0.2191,0.1372,0.3045,0.4417,68,126,0.47,0.39,107,0.7329,1,0.0068,153,0.4722,19,0.0586,27.547945,44.518519,251.686057,1174.953361,0.000216,0,57.4,51.545455,1,0.921053,0.509434,0.566667,0.061728,0.258824,88.643455,0.002163,22490997360.769936,4.0969125197336416E16,0.032089,0,0.000216,0.44373,0.474649,3,0.002928,0.002902,0.002115,0.002115,0.001965,0.001965,1.939024,3,1.744186,2,1,11,GradStudent
5121,700,0.1367,2047,0.3997,5002,693,0.1385,3377,0.6751,10123,36,0.007,26,0.7222,22,0.6111,251,0.0502,31,0.1235,153,0.6096,14,0.0027,14,1,13,0.9286,10,0.002,10,1,10,1,16,19,77,37,4608,0.8998,513,0.1002,4750,0.9496,252,0.0504,1.3882,1.2613,465.979106,1273.791283,1481836.817958,2653686.619772,4138,0.808,2222,0.4442,319,0.0623,226,0.0452,5.4363,5.31,10.7463,1183,1114,0.23,0.22,2774,0.5417,257,0.0502,995,0.1989,102,0.0204,21.289006,42.139144,220.075038,576.959447,0.004968,0.001047,34.055556,46.634146,0.775,0.736842,0.55102,0.648855,0.222222,0.482353,110.739885,0.052196,129262178582.924272,1.26534135910921104E17,0.165536,0.00107,0.004971,0.527003,0.325628,3,0.006459,0.006776,0.00129,0.00129,0.001367,0.001367,1.792683,3,1.523256,2,8,66,GradStudent
22600,1476,0.0653,4779,0.2115,17123,1045,0.061,5690,0.3323,39723,11045,0.4887,896,0.0811,2448,0.2216,3150,0.184,110,0.0349,1660,0.527,0,0,0,0,0,0,9,0.0005,8,0.8889,8,0.8889,54,52,77,76,13954,0.6174,8646,0.3826,11409,0.6663,5714,0.3337,1.9692,2.1025,469.363407,486.620744,221019.866298,1057118.93962,1972,0.0873,1570,0.0917,1248,0.0552,912,0.0533,20.3787,15.44,35.8188,7576,6542,0.34,0.38,16969,0.7508,1951,0.0863,12434,0.7262,1467,0.0857,31.754956,32.102143,566.364467,525.582921,0.009424,0.008763,31.638889,43.226415,0.641711,0.63451,0.632813,0.714286,0.444444,0.623529,127.353669,0.089643,546581805211.063104,1.8737413458399072E17,0.535505,0.008784,0.009424,0.410415,0.285332,2,0.034835,0.035,0.051922,0.051922,0.052046,0.052046,1.560976,2,1.383721,2,52,99,Director
