pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_vt_sent,inter_vt_received,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
adamq,186,70,0.3763,111,0.5968,599,181,0.3022,484,0.808,785,36,0.1935,23,0.6389,23,0.6389,16,0.0267,6,0.375,12,0.75,0,0.0,0,0.0,0,0.0,1,0.0017,1,1.0,1,1.0,18,16,83,52,168,0.9032,18,0.0968,574,0.9583,25,0.0417,1.1138,2.9249,228.70430107526886,1048.263772954925,67594.77815354378,1592226.61823685,56,0.3011,191,0.3189,9,0.0484,9,0.015,1.0265,3.3057,4.3322,64,116,0.34,0.19,118,0.6344,13,0.0699,125,0.2087,18,0.0301,22.806451612903228,38.881469115191976,183.62920568851882,518.1979704627363,1.7825311942959e-05,0.0,56.25,59.28571428571429,1.0,0.978021978021978,0.4873417721518987,0.5448717948717948,0.05194805194805195,0.16470588235294115,51.41754627000221,0.0009751383827859344,2174474936.2647595,3628404751797112.0,0.02576191490012529,0.0,1.7825311942959022e-05,0.7153846153846154,0.4811730205278593,3.0,0.0025053189689588392,0.002444460176583393,0.00021586770921752933,0.00021586770917057772,0.0002818461905742899,0.00028184619054618813,2.025641025641025,3.0,1.8139534883720931,2.0,1.0,2.0,GradStudent
ahmed12,15,10,0.6667,7,0.4667,175,27,0.1543,139,0.7943,190,0,0.0,0,0.0,0,0.0,23,0.1314,6,0.2609,18,0.7826,0,0.0,0,0.0,0,0.0,2,0.0114,1,0.5,2,1.0,87,87,100,99,7,0.4667,8,0.5333,147,0.84,28,0.16,2.1429,13.2364,65.53333333333333,821.262857142857,5883.048888888889,523133.79376326525,2,0.1333,20,0.1143,2,0.1333,16,0.0914,0.0284,0.3314,0.3598,0,114,0.0,0.65,15,1.0,0,0.0,49,0.28,35,0.2,39.4,45.40571428571429,649.3066666666666,881.5325387755098,6.407791874919902e-05,0.0,48.6,55.06666666666667,1.0,0.961904761904762,0.506578947368421,0.5414012738853503,0.06493506493506494,0.1764705882352941,72.60442810983189,0.0019448249688592718,2920800455.342493,3639481839775673.0,0.034198612403737436,0.0,6.407791874919904e-05,0.6590038314176245,0.5080304311073541,3.0,0.0028382659108799235,0.0027736364542436977,0.0008839455744553643,0.0008839455739264086,0.001004465781842351,0.001004465781455747,1.948717948717949,3.0,1.825581395348837,3.0,1.0,2.0,Research
ajm,422,118,0.2796,209,0.4953,869,154,0.1772,520,0.5984,1291,13,0.0308,9,0.6923,7,0.5385,233,0.2681,28,0.1202,156,0.6695,7,0.0166,7,1.0,5,0.7143,6,0.0069,6,1.0,5,0.8333,64,73,74,84,310,0.7346,112,0.2654,590,0.6789,279,0.3211,1.4704,3.2089,392.6303317535545,530.3222094361333,379773.60268188093,377457.3023951181,11,0.0261,69,0.0794,10,0.0237,56,0.0644,4.7846,9.8526,14.6372,166,368,0.39,0.42,265,0.628,33,0.0782,459,0.5282,69,0.0794,28.594786729857823,35.539700805523594,459.8903045753697,763.6684468609999,0.003187211579739084,0.00032093353286487893,40.1578947368421,48.351351351351354,0.912280701754386,0.826890756302521,0.5703703703703704,0.6296296296296297,0.2467532467532468,0.4352941176470588,122.83120656050873,0.007927379920184503,33592426843.400818,1.839084052637796e+16,0.32805035684558875,0.0003209335328648789,0.0031844697422633533,0.30885603757944186,0.3327130511575096,2.0,0.005677509839337465,0.006373259451819711,0.003717881541835438,0.0037178815419436117,0.003767246743568024,0.003767246743729077,1.7307692307692308,2.0,1.569767441860465,2.0,9.0,30.0,Director
apblair,130,19,0.1462,90,0.6923,228,27,0.1184,178,0.7807,358,2,0.0154,2,1.0,2,1.0,107,0.4693,11,0.1028,83,0.7757,2,0.0154,2,1.0,2,1.0,5,0.0219,5,1.0,5,1.0,91,93,99,98,123,0.9462,7,0.0538,207,0.9079,21,0.0921,1.1304,3.467,250.58461538461538,478.9517543859649,55768.07360946746,292082.22135657107,97,0.7462,53,0.2325,92,0.7077,45,0.1974,0.3318,0.5819,0.9137,29,71,0.22,0.31,81,0.6231,3,0.0231,93,0.4079,11,0.0482,18.04615384615385,33.118421052631575,146.49017751479283,907.3500115420123,0.00021935825783381675,0.0,48.0,52.05263157894736,1.0,0.912280701754386,0.4842767295597484,0.5592105263157895,0.05194805194805195,0.22352941176470587,81.98955849352669,0.002364282419398286,1704029772.2996762,5408194260531282.0,0.02024702113281786,0.0,0.00021935825783381675,1.4468085106382982,0.4913676505688599,3.0,0.0032570027200472047,0.003425574309106668,0.0004228403482237822,0.000422840348195809,0.0005808100642656061,0.0005808100644201312,2.0384615384615383,3.0,1.7674418604651163,3.0,1.0,9.0,GradStudent
apoetter,12329,429,0.0348,3235,0.2624,12220,704,0.0576,6233,0.5101,24549,3107,0.252,219,0.0705,1004,0.3231,1092,0.0894,62,0.0568,755,0.6914,4,0.0003,4,1.0,1,0.25,23,0.0019,20,0.8696,21,0.913,67,51,88,84,7676,0.6226,4653,0.3774,9141,0.748,3079,0.252,1.9174,1.8435,655.5061237732176,652.3690671031096,248119.36278592175,952139.1420218782,1001,0.0812,1982,0.1622,744,0.0603,854,0.0699,18.7656,18.5997,37.3653,7289,4776,0.59,0.39,6148,0.4987,993,0.0805,6295,0.5151,708,0.0579,41.023035120447716,33.676268412438624,1111.8443878681037,934.0919245367633,0.07549111347974614,0.06840015770120457,23.0,35.183098591549296,0.3570391872278665,0.44075021312872975,0.7623762376237624,0.8415841584158416,0.7142857142857143,0.8352941176470589,152.3584727124115,0.2818390097870576,112306197834.59216,3.905996593613377e+16,0.7532948675028922,0.06825386750509647,0.07529856304160466,0.2257378438776297,0.20595959878181666,2.0,0.050323677769553266,0.05055583772295946,0.0378185697617881,0.037818569784496714,0.037811202811639695,0.03781120283511233,1.294871794871795,2.0,1.1744186046511629,2.0,71.0,251.0,PM
arog3632,2050,282,0.1376,877,0.4278,2881,545,0.1892,1900,0.6595,4931,220,0.1073,58,0.2636,100,0.4545,95,0.033,22,0.2316,65,0.6842,5,0.0024,5,1.0,5,1.0,4,0.0014,3,0.75,4,1.0,21,19,74,57,1707,0.8327,343,0.1673,2608,0.9052,273,0.0948,1.3166,1.3459,251.75073170731707,817.4179104477612,88606.22030434287,3305916.311293231,327,0.1595,668,0.2319,61,0.0298,46,0.016,3.2571,4.5774,7.8344,711,601,0.35,0.21,1248,0.6088,70,0.0341,1021,0.3544,129,0.0448,18.049268292682928,34.16522040958001,191.2390360499704,692.0497587938414,0.003217570162403312,0.0013215519890873554,36.46153846153846,46.8,0.8,0.7518939393939394,0.5347222222222222,0.6204379562043796,0.16883116883116886,0.4117647058823529,112.23557293674686,0.06285572255200515,11824588758.728313,1.513948328911931e+16,0.12781462154931506,0.001333329982710788,0.003233450251812813,0.4297335203366059,0.2819464355532386,3.0,0.005384849848536089,0.0058919735590331574,0.0017495445746804044,0.0017495445758269992,0.00201068679609539,0.0020106867973157254,1.8461538461538465,3.0,1.5930232558139534,2.0,3.0,31.0,GradStudent
asohangh,384,60,0.1563,144,0.375,528,49,0.0928,335,0.6345,912,5,0.013,3,0.6,4,0.8,160,0.303,15,0.0938,101,0.6313,2,0.0052,2,1.0,2,1.0,1,0.0019,1,1.0,1,1.0,71,82,91,91,283,0.737,101,0.263,401,0.7595,127,0.2405,1.561,2.1357,355.83333333333326,555.4526515151515,229981.40451388858,339386.2742732727,79,0.2057,63,0.1193,54,0.1406,49,0.0928,0.5861,0.8059,1.3919,58,189,0.15,0.36,307,0.7995,5,0.013,252,0.4773,30,0.0568,21.75520833333333,35.46212121212121,297.85153537326363,862.7144742883386,0.01001241880938476,0.0002685284640171858,42.25,44.39285714285715,0.8571428571428571,0.6746031746031746,0.5032679738562091,0.5985915492957746,0.1038961038961039,0.32941176470588235,106.0627039549707,0.008865388139333791,5512943622.236243,8712352774138558.0,0.0643521147444262,0.0002685284640171858,0.010260791053107402,0.4568911264946508,0.4752927734932876,3.0,0.00467139703559225,0.00623519010404196,0.0008041979428629178,0.0008041979427610613,0.0009320517174550094,0.0009320517174329088,1.9615384615384612,3.0,1.6511627906976745,2.0,2.0,20.0,GradStudent
awais,87,22,0.2529,30,0.3448,181,31,0.1713,133,0.7348,268,0,0.0,0,0.0,0,0.0,61,0.337,3,0.0492,39,0.6393,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,83,85,100,91,60,0.6897,27,0.3103,157,0.8674,24,0.1326,1.5536,2.208,211.8735632183908,785.4806629834254,22915.69665741842,674935.5976923782,13,0.1494,54,0.2983,8,0.092,42,0.232,0.1363,0.2835,0.4198,42,73,0.48,0.4,62,0.7126,1,0.0115,82,0.453,9,0.0497,29.689655172413797,44.17127071823205,278.07609988109414,1205.180611092457,0.00023507922296849628,0.0,59.75,48.85714285714285,1.0,0.912280701754386,0.5099337748344371,0.5555555555555556,0.05194805194805195,0.24705882352941175,77.08872806372167,0.0018145343292251528,2318908305.2306337,5656054518374885.0,0.027845747342129343,0.0,0.00023507922296849625,0.3061674008810573,0.4730069728991446,3.0,0.00290094910401823,0.002834731806808765,0.0019348240333221507,0.001934824031342397,0.0018235086382126192,0.0018235086359886386,1.9358974358974361,3.0,1.7790697674418603,3.0,1.0,9.0,GradStudent
bdeird7,3076,572,0.186,1502,0.4883,3019,554,0.1835,2196,0.7274,6095,28,0.0091,22,0.7857,20,0.7143,141,0.0467,25,0.1773,106,0.7518,9,0.0029,9,1.0,8,0.8889,3,0.001,3,1.0,3,1.0,16,19,77,37,2758,0.8966,318,0.1034,2854,0.9453,165,0.0547,1.2919,1.1665,454.69603381014304,1278.5766810202053,1208173.5223639829,2596514.053990834,2499,0.8124,1346,0.4458,201,0.0653,134,0.0444,5.4423,5.3415,10.7838,731,671,0.24,0.22,1678,0.5455,160,0.052,576,0.1908,60,0.0199,21.440832249674898,42.54123882080159,226.64311816301708,576.4814891576067,0.0038793377287835384,0.0006311190079434218,33.6,45.73684210526316,0.8333333333333334,0.7698412698412699,0.5384615384615384,0.6343283582089553,0.1948051948051948,0.4470588235294117,114.05836722377585,0.0478941967017555,13386436218.624788,1.761724084327279e+16,0.14436879801415006,0.0006638620360424874,0.0038794988068599923,0.4518723297310882,0.3267520139483073,3.0,0.006224393121829243,0.006725179370205513,0.0012785439676351346,0.0012785439685168716,0.001374287227270942,0.0013742872282234216,1.8333333333333333,3.0,1.5581395348837208,2.0,7.0,66.0,GradStudent
ccallsen,13505,1187,0.0879,4001,0.2963,10382,884,0.0851,4400,0.4238,23887,6635,0.4913,726,0.1094,2053,0.3094,1940,0.1869,94,0.0485,1218,0.6278,0,0.0,0,0.0,0,0.0,5,0.0005,5,1.0,5,1.0,54,53,76,76,8305,0.615,5200,0.385,6937,0.6682,3445,0.3318,1.5879,1.6929,468.7068493150685,491.24417260643423,221874.6806676361,1399363.1427492285,1180,0.0874,918,0.0884,754,0.0558,538,0.0518,20.2961,15.6026,35.8987,4556,3951,0.34,0.38,10177,0.7536,1169,0.0866,7600,0.732,894,0.0861,31.760014809329878,32.06405316894625,577.1264870786378,524.7844735737485,0.010398404083397777,0.009866761745162626,29.235294117647058,40.96,0.6310483870967742,0.6205673758865248,0.6311475409836066,0.6967213114754098,0.4415584415584416,0.5882352941176471,151.21105344873718,0.09078611787437008,66013942796.39156,2.533163595526472e+16,0.5381838093715549,0.009864709252040534,0.010408207624312295,0.40581774734616977,0.29383062764549595,2.0,0.035943630505026726,0.03537313843876523,0.05244715909193686,0.05244715907125037,0.05249540324186571,0.052495403220714484,1.5641025641025639,2.0,1.4186046511627908,2.0,32.0,79.0,Director,
