@relation trai_zero_mean_email_features_100_0_0

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
-0.36474,-0.297082,1.163003,-0.351231,1.453904,-0.500937,-0.123784,3.091407,-0.437185,2.146208,-0.435608,-0.294058,0.226972,-0.24903,0.690164,-0.301514,0.852777,-0.69274,-1.609343,-0.665833,1.376115,-0.711117,-0.120501,-0.62548,-0.61641,-0.626577,-1.129953,-0.642787,-1.043192,-0.805596,-0.575964,-0.788391,0.735322,-0.773356,0.729902,-2.596201,-2.686429,-0.597555,-2.410297,-0.37434,1.236849,-0.342475,-1.236848,-0.450114,1.743891,-0.549753,-1.743891,-0.998373,0.791492,-0.744887,1.062735,-0.470521,-0.041738,-0.185396,0.730251,-0.387285,1.210233,-0.267297,-0.778035,-0.562543,-1.617593,-0.351157,-0.212271,-0.314704,-0.37524,-0.517057,0.059035,-1.388186,-0.32702,-0.043923,-0.345936,0.535427,-0.55516,-2.287379,-0.540106,-1.157864,-0.44777,0.809832,-0.818275,-0.900072,-0.611864,-0.360484,2.201317,2.300962,1.056019,1.503467,-0.928203,-1.104613,-1.076098,-1.37034,-2.032931,-0.560294,-0.924102,-1.173315,-1.078272,-0.360687,-0.612085,1.424411,1.32184,1.131883,-0.553057,-0.54814,-0.513842,-0.513842,-0.510171,-0.510171,1.07841,1.131883,1.30423,-0.277476,-0.664154,-0.869791,GradStudent
-0.38867,-0.402561,3.729446,-0.406099,-0.525517,-0.615117,-0.597748,0.955606,-0.632717,1.837444,-0.495796,-0.31007,-0.760606,-0.350539,-0.946462,-0.342113,-1.241028,-0.690879,-0.795825,-0.639307,1.494798,-0.702515,1.072264,-0.62548,-0.61641,-0.626577,-1.129953,-0.642787,-1.043192,-0.674187,1.226686,-0.788391,-0.4654,-0.634031,0.729902,0.012373,0.529585,0.405368,0.882315,-0.412477,-1.782743,-0.344697,1.782719,-0.630362,0.718179,-0.546594,-0.718179,1.598507,7.565709,-1.590688,0.570101,-0.617762,-0.128418,-0.201145,-0.618423,-0.572949,-0.93486,-0.272583,-0.590285,-0.552454,-0.675751,-0.445487,-0.716755,-0.575793,-0.395495,-0.524516,-1.370987,2.205698,-0.346471,1.736468,-0.374621,0.130169,-0.586328,-1.543072,-0.504724,4.300337,1.070603,1.964856,0.96146,0.577407,-0.608831,-0.360484,1.33022,1.10311,1.056019,1.400566,-0.820472,-0.997862,-1.017817,-1.098791,-1.339305,-0.554057,-0.906709,-1.052807,-1.049821,-0.360687,-0.609052,2.47492,1.757784,1.131883,-0.542033,-0.537294,-0.493498,-0.493498,-0.48851,-0.48851,0.916296,1.131883,1.138296,-0.277476,-0.664154,-0.869791,Research
-0.327224,-0.202962,0.488295,-0.29517,0.749555,-0.439337,-0.216623,0.981059,-0.452069,-0.298256,-0.386887,-0.304371,-0.613945,-0.305035,1.114721,-0.32659,1.007915,-0.367038,0.620124,0.023835,-0.158532,-0.382489,-0.481711,0.433116,1.320262,0.450127,0.881698,0.326662,0.418227,0.114269,0.699758,0.208449,0.735322,-0.07673,0.124452,-0.367056,-0.029722,-1.823349,-0.125628,-0.333968,0.307259,-0.310037,-0.307265,-0.451546,-0.291381,-0.38821,0.291381,-0.550788,1.075781,0.065463,-0.231824,0.06111,-0.143459,-0.198203,-0.998586,-0.516977,-1.315106,-0.264126,-0.915412,-0.472863,-0.866665,0.033114,0.825187,0.347367,-0.336162,-0.368895,0.405707,0.565012,-0.295627,-0.113446,-0.318446,0.249904,-0.422694,-0.01905,-0.363198,0.770101,-0.006368,0.059111,0.16215,0.1658,-0.35716,-0.348928,0.212009,0.272902,0.585739,0.355861,-0.030955,-0.162192,-0.027029,-0.012594,0.414897,-0.485613,0.079624,0.048043,0.289907,-0.349124,-0.35746,-0.434834,0.037601,-0.870679,-0.396364,-0.363388,-0.388271,-0.388271,-0.385827,-0.385827,-0.110425,-0.870679,0.032065,-0.277476,-0.18796,-0.477971,Director
-0.372297,-0.399315,-0.288497,-0.361568,2.015772,-0.594941,-0.602634,-0.185185,-0.606668,1.356049,-0.477139,-0.308713,-0.643978,-0.336537,1.717425,-0.336143,2.392159,-0.542917,2.56005,-0.55973,-0.376943,-0.514973,0.877172,-0.299759,1.362826,-0.295283,0.881698,-0.279244,0.737868,-0.14855,3.306668,-0.076362,0.735322,-0.07673,0.729902,0.913516,0.949065,1.073983,0.815119,-0.384321,1.49668,-0.346252,-1.496677,-0.596223,1.354018,-0.550938,-1.354018,-0.979901,1.071171,-0.614576,-0.403169,-0.502829,-0.153032,-0.173628,3.379927,-0.530628,0.430094,-0.191713,5.457074,-0.487436,1.008534,-0.416602,-0.665901,-0.536731,-0.384242,-0.5374,-0.244303,-0.216267,-0.334407,-0.229899,-0.371036,-0.442411,-0.565968,-0.809605,-0.560919,-0.394165,-0.926906,-0.454194,-1.028959,0.754846,-0.597955,-0.360484,1.361705,1.068107,1.056019,1.079987,-0.746364,-0.886814,-0.959535,-0.990171,-0.601088,-0.539876,-0.878244,-0.938192,-1.001909,-0.360687,-0.598172,0.740085,1.393432,1.131883,-0.506596,-0.497404,-0.500416,-0.500416,-0.497184,-0.497184,0.80822,1.131883,0.972361,3.551689,-0.664154,-0.746648,GradStudent
1.463706,0.376362,-0.911366,1.134974,-0.961006,2.451711,1.459352,-1.152428,2.218738,-1.191995,1.919696,1.111205,0.510282,0.535041,-0.785629,1.080038,-0.414842,1.013006,-1.02092,0.899182,-0.601123,1.121285,-0.169757,-0.136898,-0.584487,-0.129637,0.881698,-0.521606,-0.647322,3.136683,-0.437298,2.48694,0.193076,3.127751,0.573696,-0.22477,-1.008508,-0.263247,-0.125628,1.487668,-0.552959,1.396079,0.552946,2.949537,0.185131,1.455513,-0.185131,0.026188,0.07565,1.47559,0.027195,-0.1029,-0.095801,0.083364,-0.684801,1.651607,-0.358135,0.380715,-0.59578,0.958642,-0.832725,1.415789,2.297788,1.83776,2.091362,2.100704,1.185718,0.096245,0.927712,-0.789566,1.634531,0.452533,2.039361,-0.012546,1.809654,-0.132112,1.005394,-0.281867,3.198242,0.786697,2.914198,2.018931,-1.554198,-1.650955,-2.086577,-1.781166,2.256087,1.954839,2.187672,1.779631,1.077382,2.208249,2.321799,1.678599,1.963172,2.018782,2.913065,-1.343297,-1.245496,-0.870679,1.748741,1.725111,0.851837,0.851837,0.851179,0.851179,-2.055792,-0.870679,-1.793217,-0.277476,2.697212,2.007285,PM
-0.08342,0.108607,-0.324386,0.056303,0.274623,0.097786,1.090442,1.258737,0.291156,0.478093,-0.017082,-0.208841,-0.215511,-0.084515,-0.267836,-0.171359,0.151936,-0.566181,-1.563577,-0.161845,0.450547,-0.563149,0.246503,-0.055467,-0.403589,-0.046813,0.881698,0.205481,1.331555,-0.411368,-0.63143,-0.50358,0.134961,-0.35538,0.729902,-2.406486,-2.499993,-1.823349,-2.00712,0.00986,0.786559,-0.220721,-0.786562,0.384042,1.343738,-0.382681,-1.343738,-0.797049,-0.361711,-0.612229,0.447821,-0.452492,0.077896,-0.106135,-0.194813,0.192915,0.471701,-0.220256,-0.875115,-0.476226,-1.529914,-0.125789,0.009023,-0.079169,-0.149366,-0.210222,0.145703,-1.23193,-0.092127,-0.159796,-0.22761,-0.239782,-0.163795,-1.170919,-0.173802,-0.701142,-0.825192,-0.164562,-0.646667,-0.137301,-0.418642,-0.288485,-0.328014,0.203898,-0.40004,0.121494,-0.430036,-0.209945,-0.435,-0.066903,0.159628,0.168793,-0.645031,-0.072624,-0.641475,-0.286316,-0.418424,0.246441,-0.573073,-0.870679,-0.394032,-0.389634,-0.458404,-0.458404,-0.446511,-0.446511,0.375916,-0.870679,0.087376,-0.277476,-0.552108,-0.399608,GradStudent
-0.332982,-0.3198,-0.23586,-0.335327,-0.180185,-0.521419,-0.546443,-0.654923,-0.530553,0.19991,-0.422596,-0.307899,-0.699038,-0.333037,1.1347,-0.334948,1.483862,-0.481499,0.837747,-0.427102,-0.350568,-0.509811,-0.727025,-0.299759,0.032694,-0.295283,0.881698,-0.158062,1.331555,-0.542778,0.08963,-0.50358,0.735322,-0.494706,0.729902,-0.177342,0.436367,-0.151811,0.277549,-0.344098,0.11743,-0.309148,-0.117439,-0.520542,0.358408,-0.486163,-0.358408,-0.361808,-0.122329,-0.085159,-0.140621,-0.104473,-0.146059,-0.176916,0.156385,-0.529946,-1.007673,-0.223956,0.175365,-0.497525,-0.660195,-0.390073,-0.633846,-0.506643,-0.373603,-0.475694,-0.677643,-0.060011,-0.286517,0.896967,-0.360279,-0.470042,-0.499107,-0.235838,-0.510968,-0.397909,-0.481409,0.102195,-0.07515,0.91414,-0.228788,-0.346816,0.33318,-0.404901,0.287895,-0.222915,-0.670343,-0.609452,-0.726408,-0.555692,0.000974,-0.47042,-0.781913,-0.778756,-0.843152,-0.346695,-0.223373,0.490133,1.420528,1.131883,-0.441037,-0.386383,-0.490359,-0.490359,-0.485532,-0.485532,0.700144,1.131883,0.58518,-0.277476,-0.608131,-0.657089,GradStudent
-0.378504,-0.391202,0.370261,-0.396556,-0.71227,-0.606558,-0.595305,0.490496,-0.626289,1.169606,-0.485755,-0.31007,-0.760606,-0.350539,-0.946462,-0.342113,-1.241028,-0.622016,1.150639,-0.771935,-0.583815,-0.642295,-0.538694,-0.62548,-0.61641,-0.626577,-1.129953,-0.642787,-1.043192,-0.937006,-0.853295,-0.930797,-1.666122,-0.912681,-1.691897,0.534087,0.576194,1.073983,0.277549,-0.399665,-0.138617,-0.338698,0.138607,-0.615799,1.058859,-0.548569,-1.058859,-0.3587,0.257492,-0.849903,0.397433,-0.586446,-0.108244,-0.19803,-0.299207,-0.531311,1.018377,-0.26624,-0.26699,-0.496404,1.313996,-0.435614,-0.716755,-0.5693,-0.381582,-0.542147,0.66571,0.096245,-0.337115,0.540078,-0.375816,-0.695697,-0.568482,-0.342065,-0.563,-0.072214,-0.081491,1.730238,-0.475834,1.991806,-0.598025,-0.360484,1.875968,0.645164,1.056019,1.073639,-0.820472,-0.924323,-1.017817,-0.990171,-0.830256,-0.550664,-0.902325,-1.010655,-1.040804,-0.360687,-0.598242,0.164188,1.310665,1.131883,-0.528679,-0.525703,-0.444875,-0.444875,-0.448805,-0.448805,0.916296,1.131883,1.027673,-0.277476,-0.664154,-0.769038,GradStudent
0.069071,0.700913,-0.014147,0.404595,0.7407,0.108485,1.007377,1.052793,0.443387,1.28305,0.087786,-0.3003,-0.725567,-0.259531,1.458362,-0.315843,0.979212,-0.486152,-1.407598,-0.055742,0.120045,-0.47712,0.105496,0.514546,-0.329102,0.53295,0.881698,0.932569,1.161998,0.377088,-0.298633,0.49326,0.735322,0.480571,0.729902,-2.691058,-2.499993,-1.489042,-3.283847,0.271903,1.216668,-0.23494,-1.216667,0.451128,1.663126,-0.46602,-1.663126,-0.83195,-0.388088,0.494295,1.629266,2.508894,0.05325,0.514454,3.708798,0.923285,2.905735,-0.10503,-0.574716,-0.322651,-1.145258,0.089121,0.109444,0.101796,-0.153458,-0.207171,-0.374305,-1.23193,-0.008782,-0.567669,-0.069842,-0.029478,-0.356838,-2.317006,-0.390254,-1.502278,-0.598886,1.288962,-0.611981,-0.661844,-0.280128,-0.328832,-0.574067,-0.14274,-0.055017,-0.06688,-0.345574,-0.11371,-0.260156,0.041716,0.243265,-0.051674,-0.544585,-0.023214,-0.499806,-0.328307,-0.280016,0.749059,-0.148043,1.131883,-0.360967,-0.341559,-0.47489,-0.47489,-0.470488,-0.470488,0.26784,1.131883,-0.023247,-0.277476,-0.468074,-0.153321,GradStudent
1.641567,1.96017,-0.583582,1.49082,-0.774253,1.961208,1.867352,-0.74054,1.225854,-2.098558,1.846496,2.687445,1.685564,2.785743,-0.67641,2.580998,-0.435914,2.211588,-0.157901,2.039786,-0.610189,2.115773,-0.692256,-0.62548,-0.61641,-0.626577,-1.129953,-0.642787,-1.043192,0.245678,-0.714629,0.208449,0.468522,0.201921,0.46084,-0.888771,-0.9619,-1.489042,-0.663197,1.6642,-0.564311,1.572045,0.564297,2.040895,-0.416933,1.69131,0.416933,-0.315984,-0.015183,0.51167,-0.387824,-0.161414,-0.085527,0.139608,-0.640147,0.478237,-1.168324,0.386001,-0.639741,0.446349,-1.03071,1.568771,1.781486,1.734666,1.15452,1.633162,0.102369,0.018117,1.738758,0.643784,1.954849,0.524682,2.51845,1.49341,2.450686,0.942308,0.266282,-0.572491,0.879469,-0.889832,0.017949,-0.095483,-0.8277,-0.689431,-0.713189,-0.700459,0.588453,0.531625,0.788913,0.693434,1.050419,0.321786,0.853655,0.678895,1.000057,-0.09488,0.017967,-0.069801,-0.542483,-0.870679,0.986497,1.000039,1.365765,1.365765,1.366913,1.366913,-0.758881,-0.870679,-0.686986,-0.277476,0.764427,0.216109,Director
