@relation LOOCV_1

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_sent_perc numeric
@attribute inter_hume_rec numeric
@attribute inter_hume_rec_perc numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_sent_perc numeric
@attribute inter_vt_rec numeric
@attribute inter_vt_rec_perc numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute fg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute fg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute fg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute pg_degree numeric
@attribute fg_degree numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
0.00312,0.015693,0.322841,0.007131,0.596888,0.029779,0.100231,1,0.045204,1,0.010195,0.002158,0.266622,0.013389,0.4915,0.005529,0.5763,0.005626,0.051424,0.023904,0.356367,0.006292,0.249002,0,0,0,0,0,0,0.03125,0.066225,0.03125,1,0.03125,1,0.001017,0.012048,0.005341,0.068182,0.003626,0.711538,0.018687,0.21875,0.004972,0.843042,0.000858,0.156958,0.04407,1,0.003023,0,0.029867,0.16053,0.166211,0.226346,0.018529,0.011445,0.001962,0.416314,0.032632,0.629678,0.000783,0.055625,0,0,0.012446,0.115085,0.040618,0.003208,0.009977,0.33,0.051282,0.00301,0.6321,0.00416,0.179975,0.007867,0.036148,0.011275,0.091022,0.100818,0.646231,0.09163,0.244958,0.055109,0,0.951839,0.917031,1,1,0.204028,0.272945,0.028169,0.044776,0.337508,0.457411,0.001842,0.000088,0.011038,0.031296,0.020549,0.054496,0.714709,0.815983,1,0,0.003294,0.003226,0,0,0.000431,0.000431,0.717172,0.939394,0,0,0,0.028169,0.044776,GradStudent
0,0.002271,0.716963,0.000102,0.194103,0.006437,0.010624,0.538961,0.009752,0.93339,0.001458,0,0,0,0,0,0,0.006076,0.236507,0.027888,0.375916,0.008389,0.47314,0,0,0,0,0,0,0.0625,0.496689,0.03125,0.5,0.0625,1,0.000198,0.674699,0.009101,0.852273,0,0.884615,0.00843,0.984375,0,0.068285,0.000562,0.931715,0.007785,0.74563,0.003695,0.25437,0.537057,1,0,0.165418,0,0.004381,0.000063,0.120365,0.000819,0.147349,0.00013,0.084062,0.001827,0.19646,0,0.008586,0.002098,0,0.008597,0,0.641026,0.000494,0.9394,0.00032,0.125362,0.001808,0.203112,0.018647,1,0.214722,0.939853,0.222121,0.486359,0.091279,0,0.751971,0.658121,1,0.970848,0.154931,0.361994,0.042254,0.119403,0.483215,0.603943,0.002883,0.002205,0.015872,0.067509,0.029071,0.11046,0.953521,0.903453,1,0,0.004996,0.004878,0.003558,0.003558,0.004221,0.004221,0.686869,0.893939,0,0,0,0.042254,0.119403,Research
0.00801,0.027669,0.219228,0.014313,0.453563,0.042372,0.082679,0.544456,0.042505,0.472654,0.017267,0.000768,0.039595,0.006002,0.619,0.002114,0.619,0.084383,0.558649,0.12749,0.103584,0.086409,0.181125,0.224138,0.38806,0.224138,1,0.216216,0.6154,0.25,0.370861,0.25,1,0.1875,0.75,0.012714,0.578313,0.052809,0.715909,0.0082,0.5,0.04705,0.75,0.010235,0.604531,0.005178,0.395469,0.043781,0.495266,0.03737,0.504734,0.117284,0.195759,0.38324,0.078683,0.133997,0.002785,0.000418,0.036944,0.010409,0.06185,0.001174,0.034818,0.016244,0.156637,0.063149,0.334096,0.138299,0.009398,0.0374,0.41,0.371795,0.007072,0.6201,0.00784,0.141498,0.03362,0.544983,0.048135,0.412095,0.186782,0.507943,0.365869,0.37514,0.187783,0.038348,0.495404,0.473647,0.872141,0.674876,0.639952,0.653851,0.28169,0.41791,0.851714,0.903087,0.014305,0.046821,0.290004,0.394709,0.430361,0.544261,0.292047,0.432602,0,0,0.027487,0.031382,0.021965,0.021965,0.022189,0.022189,0.494949,0.590909,0,0.128788,0.107034,0.28169,0.41791,Director
0.002134,0.002684,0.099939,0.005807,0.71122,0.010562,0.0097,0.292707,0.014475,0.829538,0.004166,0.000183,0.031486,0.001847,0.8,0.000813,1,0.041854,1,0.039841,0.067608,0.054111,0.436479,0.068966,0.396588,0.068966,1,0.081081,0.75,0.1875,0.993377,0.1875,1,0.1875,1,0.005086,0.903614,0.017113,0.954545,0.002989,1,0.013662,0.96875,0.003671,0.909709,0.000355,0.090291,0.014658,0.903314,0.002771,0.096686,0.033475,0.195188,0.17671,0.047952,0.015189,0.001362,0.003382,0.997749,0.00807,0.454262,0.010111,1,0.013604,0.547788,0.003811,0.019321,0.007861,0.001782,0.006212,0.26,0.24359,0.002055,0.6,0.0008,0.0482,0.005766,0.367645,0.006938,0.218204,0.01342,0.351519,0.006273,0.485718,0.153413,0,0.759195,0.650418,1,0.880026,0.400853,0.707868,0.056338,0.149254,0.63829,0.745226,0.00525,0.000296,0.023783,0.101552,0.043422,0.169364,0.559141,0.802554,1,1,0.010468,0.010958,0.002348,0.002348,0.002704,0.002704,0.666667,0.848485,1,0,0.033639,0.056338,0.149254,GradStudent
0.241468,0.101383,0.004287,0.197525,0.105487,0.633492,0.399538,0.083916,0.526742,0.279634,0.352118,0.191551,0.343108,0.116805,0.0483,0.19369,0.2274,0.418092,0.185295,0.258964,0.030682,0.45302,0.239746,0.103448,0.006397,0.103448,1,0.027027,0.1667,0.96875,0.099338,0.75,0.7742,0.90625,0.9355,0.393344,0.614458,0.560249,0.477273,0.29482,0.769231,0.705577,0.75,0.247718,0.383819,0.232374,0.616181,0.728518,0.613438,0.429459,0.386562,0.229971,0.071821,0.615946,0.101891,0.090467,0.008285,0.034382,0.1058,0.381988,0.276767,0.080757,0.083229,0.275533,0.163717,0.245587,0.645067,0.358216,0.393914,0.494478,0.59,0.294872,0.165345,0.5034,0.26928,0.168804,0.512265,0.54628,0.500867,0.261845,0.324684,0.444267,0.813456,0.414599,0.05325,0.495575,0.090159,0.050085,0.145597,0.068033,0.854659,0.199615,0.816901,0.910448,0.990879,0.993973,0.463836,0.362315,0.913174,0.878615,0.931556,0.942931,0.085526,0.071856,0,0,0.35868,0.349679,0.238881,0.238881,0.238644,0.238644,0.131313,0.090909,0,0.909091,0.761468,0.816901,0.910448,PM
0.039791,0.067314,0.094427,0.059339,0.356921,0.152178,0.329792,0.604396,0.177196,0.639711,0.070948,0.013643,0.147162,0.035088,0.2038,0.023256,0.3834,0.036229,0.061836,0.099602,0.20391,0.042366,0.317967,0.12069,0.042644,0.12069,1,0.189189,1,0.125,0.05298,0.09375,0.75,0.125,1,0.020399,0.060241,0.048504,0.113636,0.041083,0.5,0.112495,0.3125,0.055059,0.727508,0.017072,0.272492,0.211986,0.900765,0.038546,0.099235,0.069187,0.017623,0.201562,0.140656,0.031625,0.02469,0.011523,0.213321,0.13193,0.463098,0.006588,0.040921,0.015431,0.017699,0.042183,0.161801,0.075369,0.038986,0.066767,0.35,0.076923,0.0334,0.6121,0.02,0.075507,0.083903,0.28627,0.087598,0.167082,0.0296,0.458248,0.07216,0.368412,0.107767,0.086283,0.371499,0.457511,0.604129,0.605845,0.459487,0.516444,0.183099,0.402985,0.797833,0.872087,0.123441,0.18749,0.0886,0.358219,0.151383,0.503936,0.446921,0.257937,0,0,0.027803,0.027339,0.009696,0.009696,0.01157,0.01157,0.585859,0.606061,0,0.030303,0.122324,0.183099,0.402985,GradStudent
0.007259,0.012802,0.108022,0.009168,0.264373,0.025592,0.020323,0.191309,0.028275,0.580123,0.012083,0.000293,0.016622,0.002308,0.625,0.000976,0.75,0.056706,0.60816,0.059761,0.071952,0.055369,0.135027,0.068966,0.130064,0.068966,1,0.108108,1,0.09375,0.225166,0.09375,1,0.09375,1,0.012262,0.626506,0.036187,0.829545,0.009017,0.788462,0.030522,0.84375,0.008914,0.555825,0.005296,0.444175,0.029892,0.656409,0.016544,0.343591,0.154193,0.047288,0.29075,0.095175,0.094334,0.002888,0.002985,0.290387,0.008187,0.130977,0.006132,0.200028,0.011777,0.199705,0.007312,0.026088,0.0123,0.003468,0.017633,0.16,0.269231,0.008251,0.7945,0.00224,0.044477,0.018765,0.496353,0.017346,0.217581,0.099137,0.567347,0.286554,0.513897,0.058414,0.013274,0.523206,0.323891,0.791164,0.510906,0.441085,0.139496,0.112676,0.268657,0.764763,0.846431,0.01684,0.004079,0.050556,0.148613,0.090975,0.244087,0.502319,0.823905,1,0,0.020591,0.027877,0.004108,0.004108,0.004742,0.004742,0.646465,0.742424,0,0.015152,0.058104,0.112676,0.268657,GradStudent
0.001325,0.003717,0.201102,0.001324,0.156102,0.008187,0.011085,0.438561,0.010918,0.789317,0.002915,0,0,0,0,0,0,0.022727,0.679346,0.007968,0.033532,0.02307,0.170417,0,0,0,0,0,0,0,0,0,0,0,0,0.002967,0.807229,0.011826,0.863636,0.001879,1,0.009634,0.84375,0.00167,0.490129,0.001361,0.509871,0.010717,0.830117,0.003275,0.169883,0.1548,0.094355,0.166772,0.14199,0.007975,0.003862,0.000438,0.190413,0.007953,0.586538,0.000913,0.133028,0.01198,0.611504,0.001303,0.008586,0.003056,0.002204,0.005334,0.47,0.294872,0.001704,0.7329,0.00016,0.014067,0.005278,0.472524,0.006505,0.27182,0.115651,0.85121,0.125681,0.668931,0.029909,0.004425,0.87719,0.557338,1,0.878227,0.38179,0.226511,0.042254,0.149254,0.59015,0.676692,0.003449,0.006394,0.01709,0.080076,0.031771,0.131117,0.428222,0.779634,1,0,0.007058,0.006645,0.012063,0.012063,0.011169,0.011169,0.686869,0.863636,0,0,0.027523,0.042254,0.149254,GradStudent
0.017474,0.051414,0.182119,0.032547,0.490745,0.153303,0.312702,0.561938,0.20314,0.811662,0.054845,0.00128,0.031081,0.011542,0.7143,0.003415,0.6,0.055581,0.09796,0.115538,0.149471,0.063339,0.29147,0.241379,0.196162,0.241379,1,0.351351,0.9286,0.3125,0.13245,0.3125,1,0.3125,1,0.018365,0.325301,0.046924,0.102273,0.017299,0.461538,0.072339,0,0.024471,0.735437,0.007367,0.264563,0.224433,0.983795,0.019819,0.016205,0.058295,0.014376,0.398933,0.295579,0.372823,0.02604,0.011273,0.469544,0.252982,1,0.012459,0.173949,0.036954,0.080236,0.020635,0.181742,0.065021,0.010662,0.067144,0.22,0.076923,0.015482,0.6382,0.01376,0.11688,0.045152,0.02318,0.041631,0.031796,0.074645,0.74521,0.123429,0.305292,0.209097,0.087758,0.315044,0.417678,0.697934,0.619014,0.578302,0.458862,0.225352,0.402985,0.815443,0.880828,0.049634,0.034912,0.116517,0.347004,0.193817,0.492637,0.561181,0.474841,1,0,0.031375,0.032943,0.006791,0.006791,0.007349,0.007349,0.565657,0.606061,0,0.05303,0.165138,0.225352,0.402985,GradStudent
0.264653,0.302911,0.054623,0.243111,0.143489,0.533123,0.476674,0.172827,0.346725,0.084273,0.341467,0.403987,0.660405,0.413666,0.0811,0.398114,0.2216,0.707921,0.38164,0.430279,0.029188,0.69547,0.141561,0,0,0,0,0,0,0.28125,0.033113,0.25,0.8889,0.25,0.8889,0.346725,0.445783,0.484659,0.488636,0.28203,0.557692,0.536315,0.625,0.270732,0.380906,0.255806,0.619094,0.545511,0.46413,0.47951,0.53587,0.163143,0.060565,0.429971,0.048631,0.087989,0.002269,0.041167,0.115599,0.180936,0.094854,0.081409,0.076571,0.182741,0.122419,0.265773,0.535975,0.342979,0.24552,0.407944,0.34,0.282051,0.270276,0.7508,0.31216,0.178527,0.605405,0.88426,0.634432,0.440773,0.210063,0.388016,0.390162,0.259988,0.119441,0.211652,0.256849,0.262294,0.518991,0.375615,0.717043,0.481554,0.478873,0.61194,0.985215,0.990548,0.149036,0.100371,0.505131,0.58262,0.643073,0.724008,0.37503,0.270027,0,0,0.240986,0.23917,0.328776,0.328776,0.328889,0.328889,0.373737,0.393939,0,0.386364,0.296636,0.478873,0.61194,Director
