pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_sent_perc,inter_hume_rec,inter_hume_rec_perc,inter_vt_sent,inter_vt_sent_perc,inter_vt_rec,inter_vt_rec_perc,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,fg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,fg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,fg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,pg_degree,fg_degree,Status
adamq,0.003119502755951683,0.015692752426182118,0.3228413962033068,0.007130851118015586,0.5968877968877968,0.029779388788200738,0.10023094688221709,1.0,0.045203631010794894,1.0,0.010194576692196233,0.0021580102414045354,0.2666216216216216,0.013388734995383195,0.4915,0.0055293543665636685,0.5763,0.0056255625562556255,0.051423714407139824,0.02390438247011952,0.3563670920445288,0.006291946308724832,0.24900181488203277,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.06622516556291391,0.03125,1.0,0.03125,1.0,0.0010171215460247499,0.012048192771084338,0.00534089051174451,0.06818181818181818,0.0036264436349380076,0.7115384615384616,0.018686931605830324,0.21875,0.0049718391920761315,0.843042071197411,0.0008580135506967662,0.156957928802589,0.04406958861976163,1.0,0.0030231776956667787,0.0,0.029867314196513766,0.1605295684895762,0.16621125572264298,0.22634573862711768,0.018528965211422773,0.01144477172063706,0.001962298812182953,0.4163135593220339,0.03263157894736842,0.6296777546777546,0.0007827788649706458,0.05562491330281592,0.0,0.0,0.012446414175794167,0.11508455027893054,0.0406182920197014,0.0032083481867971613,0.009977409638554216,0.33,0.051282051282051294,0.0030103211009174314,0.6321,0.00416,0.17997517583781547,0.007867474589523065,0.03614848435727024,0.011274934952298352,0.09102244389027433,0.10081818670182026,0.6462306957877023,0.0916297550855837,0.24495812076533297,0.055108803708958015,0.0,0.9518390235856836,0.9170310230531451,1.0,1.0,0.2040284774154524,0.2729446935724961,0.028169014084507036,0.04477611940298505,0.3375076735599222,0.4574106887768248,0.001842486662883398,8.804190980252114e-05,0.011037631513299968,0.03129567458215779,0.0205487997418988,0.054495921673665154,0.7147088492055578,0.8159830021743851,1.0,0.0,0.0032942271376709587,0.0032258583434323657,0.0,0.0,0.00043106576797791326,0.0004310657672611624,0.7171717171717177,0.9393939393939404,0.0,0.0,0.0,0.028169014084507043,0.04477611940298507,GradStudent
ahmed12,0.0,0.0022713194301053068,0.7169626454378444,0.00010186930168593694,0.1941031941031941,0.006437097681394913,0.010623556581986143,0.538961038961039,0.009752208047105006,0.9333900829963823,0.0014576002207962464,0.0,0.0,0.0,0.0,0.0,0.0,0.0060756075607560755,0.23650658733531663,0.027888446215139442,0.3759163725224002,0.008389261744966443,0.4731397459165155,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.4966887417218543,0.03125,0.5,0.0625,1.0,0.00019777363394925693,0.6746987951807228,0.009101313423074827,0.8522727272727273,0.0,0.8846153846153846,0.008429882479963458,0.984375,0.0,0.06828478964401297,0.0005621468090771917,0.931715210355987,0.007785467128027681,0.7456300072833211,0.003694994961370507,0.2543699927166788,0.5370566299540369,1.0,0.0,0.16541783158946688,0.0,0.0043806867595559745,6.262655783562615e-05,0.1203654661016949,0.0008187134502923977,0.14734927234927234,0.0001304631441617743,0.08406158967956721,0.0018274111675126903,0.1964601769911504,0.0,0.008585694922105027,0.002097550007782939,0.0,0.008596887550200803,0.0,0.6410256410256411,0.000493756371049949,0.9394,0.00032,0.12536201903185767,0.0018080531665363565,0.20311233587291294,0.0186470078057242,1.0,0.2147219157657537,0.9398525383786543,0.2221206467339624,0.4863593877788831,0.09127876939025163,0.0,0.7519709714662709,0.6581207403821089,1.0,0.9708476148832166,0.15493080585026284,0.36199376947040485,0.04225352112676054,0.11940298507462682,0.4832154085945891,0.6039434806420063,0.0028831466912166838,0.0022054545021555436,0.01587154955246544,0.06750882272690366,0.029070584879751095,0.11045958720202034,0.9535210782396534,0.903452681314937,1.0,0.0,0.004996126820259698,0.004878456379808066,0.0035584555319036074,0.0035584555246771935,0.004221397141094444,0.004221397133200498,0.6868686868686872,0.8939393939393946,0.0,0.0,0.0,0.04225352112676056,0.11940298507462686,Research
ajm,0.008009851061334585,0.027668800330373736,0.21922841396203305,0.01431263688687414,0.4535626535626535,0.042372351728016996,0.08267898383371824,0.5444555444555444,0.042504906771344456,0.47265375611832317,0.01726695646174015,0.0007681053401609364,0.03959459459459459,0.006001846722068329,0.619,0.0021141649048625794,0.619,0.08438343834383438,0.5586485337866554,0.12749003984063745,0.10358403475427641,0.08640939597315436,0.181125226860254,0.22413793103448276,0.3880597014925374,0.22413793103448276,1.0,0.21621621621621623,0.6154,0.25,0.3708609271523179,0.25,1.0,0.1875,0.75,0.012714019325309375,0.5783132530120482,0.05280941740694316,0.7159090909090909,0.008200336507832792,0.5,0.04704954113201279,0.75,0.010234997086812973,0.6045307443365696,0.005177667978342555,0.39546925566343044,0.043781237985390235,0.49526584122359796,0.0373698354047699,0.504734158776402,0.11728384355216374,0.195759057324141,0.3832395347321049,0.07868256989880311,0.13399740982538147,0.002785158425890512,0.00041751038557084105,0.036943855932203395,0.010409356725146198,0.06185031185031185,0.0011741682974559687,0.03481758912470523,0.016243654822335026,0.15663716814159293,0.06314928510859581,0.33409642878298473,0.13829897630335397,0.009398191658294714,0.0373995983935743,0.41,0.37179487179487186,0.007071865443425076,0.6201,0.00784,0.14149772445179976,0.033620015637216574,0.5449829794131951,0.04813529921942758,0.4120947630922694,0.18678150448208788,0.507942846684614,0.3658692506253198,0.3751395507955225,0.18778283506732796,0.03834808259587021,0.4954043152954583,0.47364716397899537,0.8721411849450749,0.6748763790567004,0.6399522842872856,0.653850676072898,0.2816901408450704,0.4179104477611939,0.8517140980677627,0.9030865047091521,0.014304596172759748,0.04682108148482025,0.29000393758918364,0.39470865197416644,0.4303609428526138,0.5442613205341716,0.29204665148550124,0.43260196983011695,0.0,0.0,0.02748666265781858,0.03138208809801839,0.021964557901763073,0.021964557874615244,0.022189090132233018,0.022189090104057937,0.49494949494949514,0.5909090909090914,0.0,0.12878787878787878,0.10703363914373089,0.28169014084507044,0.417910447761194,Director
apblair,0.002134396622493257,0.0026842865992153624,0.09993876301285977,0.0058065501960984055,0.7112203112203113,0.010561839885007187,0.009699769053117783,0.29270729270729273,0.014474975466143278,0.8295381996169399,0.0041658041813289175,0.000182882223847842,0.03148648648648649,0.0018467220683287165,0.8,0.0008131403480240689,1.0,0.041854185418541856,1.0,0.0398406374501992,0.06760792831930491,0.054110738255033555,0.4364791288566244,0.06896551724137931,0.39658848614072495,0.06896551724137931,1.0,0.08108108108108109,0.75,0.1875,0.9933774834437086,0.1875,1.0,0.1875,1.0,0.0050856077301237495,0.9036144578313253,0.01711264919069159,0.9545454545454546,0.0029893656990705197,1.0,0.013662223329595947,0.96875,0.0036706156535249563,0.9097087378640777,0.00035504008994348944,0.09029126213592234,0.014657823913879276,0.9033139111434814,0.0027712462210278802,0.09668608885651857,0.03347498048738185,0.19518773862169364,0.17670965555232718,0.04795210482122404,0.015189403820864403,0.0013624698331007681,0.0033818341231238126,0.997748940677966,0.008070175438596491,0.45426195426195426,0.010110893672537508,1.0,0.013604060913705585,0.547787610619469,0.0038112733729573365,0.01932129802884431,0.007860768031915813,0.0017824156593317562,0.0062123493975903615,0.26,0.24358974358974358,0.002054663608562691,0.6,0.0008,0.04820024824162185,0.005766223612197029,0.36764467498784237,0.006938421509106678,0.2182044887780549,0.01342044463009674,0.3515189895742009,0.0062727743534630774,0.4857181490346217,0.15341326030766078,0.0,0.7591951179284183,0.650417624534045,1.0,0.8800255774918071,0.4008530450401887,0.7078678678678678,0.05633802816901408,0.14925373134328354,0.6382899945542491,0.7452259432637734,0.005249724411070987,0.0002959475205202973,0.023782836822102686,0.1015515193702825,0.043421823952703276,0.16936414000404187,0.5591410941549021,0.8025542132522684,1.0,1.0,0.010467936088945038,0.010958198080164353,0.002348441308913994,0.002348441307071561,0.0027035491621339044,0.002703549159605896,0.6666666666666671,0.848484848484849,1.0,0.0,0.03363914373088685,0.056338028169014086,0.14925373134328357,GradStudent
apoetter,0.24146827723701184,0.10138344001651868,0.004286589099816288,0.19752457596903172,0.10548730548730548,0.6334916567714518,0.3995381062355658,0.08391608391608393,0.5267419038272817,0.27963396467333473,0.3521182639895122,0.1915508412582297,0.34310810810810816,0.11680517082179132,0.0483,0.19369003089933323,0.2274,0.4180918091809181,0.18529536761580961,0.2589641434262948,0.03068150963888134,0.45302013422818793,0.23974591651542643,0.10344827586206896,0.006396588486140725,0.10344827586206896,1.0,0.02702702702702703,0.1667,0.96875,0.09933774834437085,0.75,0.7742,0.90625,0.9355,0.3933435045487936,0.6144578313253012,0.5602485149054445,0.4772727272727273,0.29482006632144664,0.7692307692307693,0.7055770109214734,0.75,0.24771800349582443,0.38381877022653715,0.23237373886801385,0.6161812297734628,0.7285178777393311,0.6134377276037872,0.4294591871011085,0.38656227239621266,0.22997138149336568,0.07182135303650397,0.615945711186501,0.1018914506187449,0.09046652416066817,0.008285320128349495,0.03438198025175876,0.10579978813559322,0.38198830409356727,0.2767671517671518,0.0807566862361383,0.08322929671244278,0.27553299492385785,0.163716814159292,0.24558737641452855,0.6450665356511921,0.3582159967254006,0.3939138607123181,0.49447791164658633,0.59,0.29487179487179493,0.1653446738022426,0.5034,0.26928,0.16880430285477865,0.5122654417513682,0.5462797860269089,0.5008673026886383,0.26184538653366585,0.3246844342994038,0.4442666157115796,0.8134563426962955,0.41459852656225327,0.053249720432398395,0.49557522123893794,0.09015888723954033,0.05008461203710167,0.14559681119376625,0.06803252574354288,0.8546593426140433,0.19961519961519975,0.8169014084507041,0.9104477611940296,0.9908793781297351,0.9939730414970673,0.4638356605405043,0.3623154785902507,0.9131736409995506,0.8786150760962468,0.9315559383135568,0.9429308143872089,0.08552584271498409,0.07185553350249572,0.0,0.0,0.3586795174187217,0.3496791557160815,0.23888089372910012,0.23888089356235903,0.2386437795275669,0.23864377935736553,0.13131313131313133,0.09090909090909112,0.0,0.9090909090909091,0.7614678899082569,0.8169014084507042,0.9104477611940298,PM
arog3632,0.03979125131933857,0.06731364856493909,0.09442743417023883,0.05933886823205827,0.35692055692055685,0.15217798887569528,0.32979214780600463,0.6043956043956044,0.17719578017664378,0.6397105767184509,0.07094804388325399,0.013643013899049013,0.14716216216216216,0.03508771929824561,0.2038,0.023255813953488372,0.3834,0.03622862286228623,0.06183595410114748,0.099601593625498,0.20390985609557424,0.04236577181208054,0.31796733212341194,0.1206896551724138,0.04264392324093817,0.1206896551724138,1.0,0.1891891891891892,1.0,0.125,0.052980132450331126,0.09375,0.75,0.125,1.0,0.02039893767305193,0.060240963855421686,0.04850400566788381,0.11363636363636363,0.041083359197608506,0.5,0.11249532826709854,0.3125,0.05505923480287434,0.7275080906148867,0.017071510991449452,0.27249190938511325,0.21198577470203767,0.9007647487254188,0.038545515619751426,0.0992352512745812,0.06918740785708091,0.01762298459087538,0.20156166854173976,0.14065643231351083,0.03162538807574865,0.024689675923266968,0.011523286641755214,0.2133209745762712,0.1319298245614035,0.463097713097713,0.006588388780169602,0.0409210708836177,0.015431472081218273,0.017699115044247787,0.0421827085519121,0.1618006265048486,0.07536863264337422,0.03898629160320187,0.06676706827309237,0.35,0.07692307692307693,0.03340022935779816,0.6121,0.02,0.07550682664460075,0.0839034401876466,0.28627005997730587,0.08759757155247182,0.16708229426433915,0.02960032147795617,0.4582481041487764,0.07215986661452183,0.3684116502412747,0.1077666709283108,0.08628318584070797,0.37149925779317167,0.45751053534748787,0.60412943800302,0.605845234571955,0.45948708917981573,0.5164444444444443,0.1830985915492958,0.4029850746268656,0.7978328484494626,0.8720867102182329,0.12344071678448573,0.18748985342386462,0.08860009377987026,0.3582185104092776,0.1513831028738504,0.5039360188344146,0.44692095195193926,0.25793655575162017,0.0,0.0,0.027802708809457063,0.027339367649919392,0.00969623164701693,0.009696231641994941,0.011569705008208947,0.011569705000393367,0.5858585858585863,0.6060606060606066,0.0,0.030303030303030304,0.12232415902140673,0.18309859154929578,0.40298507462686567,GradStudent
asohangh,0.007259294007271022,0.012801982242411728,0.10802204531537049,0.009168237151734326,0.2643734643734643,0.025592150490594337,0.020323325635103928,0.1913086913086913,0.028275269872423944,0.5801234305171314,0.012083419581867108,0.0002926115581565472,0.016621621621621622,0.0023084025854108957,0.625,0.0009757684176288828,0.75,0.05670567056705671,0.6081597960051,0.05976095617529881,0.07195221286994298,0.05536912751677853,0.13502722323048996,0.06896551724137931,0.1300639658848614,0.06896551724137931,1.0,0.10810810810810811,1.0,0.09375,0.22516556291390727,0.09375,1.0,0.09375,1.0,0.01226196530485393,0.6265060240963856,0.03618725816120769,0.8295454545454546,0.00901710309227829,0.7884615384615384,0.03052198828952286,0.84375,0.00891435230141775,0.5558252427184467,0.005296014674990385,0.4441747572815534,0.029892349096501347,0.656409322651129,0.016543500167954316,0.3435906773488711,0.15419304483566038,0.04728760952564068,0.2907504361219857,0.0951751454478424,0.09433357147591828,0.00288798299407634,0.0029851992568315135,0.2903866525423729,0.008187134502923977,0.13097713097713096,0.006131767775603392,0.20002774309890414,0.011776649746192894,0.1997050147492625,0.007311582377466319,0.02608810790657481,0.012299925629697388,0.0034676086463363257,0.017633032128514057,0.16,0.2692307692307693,0.008250509683995922,0.7945,0.00224,0.0444766239139429,0.018764659890539485,0.49635273139893016,0.017346053772766695,0.21758104738154616,0.09913670425562637,0.5673474844711268,0.2865538409460149,0.5138971896491807,0.0584139528108512,0.013274336283185844,0.5232063334982683,0.32389110275222543,0.7911639354102888,0.5109059583122408,0.4410853465738528,0.13949579831932774,0.11267605633802814,0.2686567164179104,0.7647627872362048,0.8464311723349038,0.01684014447938143,0.0040794406178619,0.05055624314107279,0.1486129485369797,0.09097453892947777,0.2440873818170777,0.5023193616967342,0.8239053498852884,1.0,0.0,0.02059064803083796,0.0278773589407681,0.0041075094798441614,0.004107509474629847,0.004742459593158172,0.004742459586959966,0.6464646464646466,0.742424242424243,0.0,0.015151515151515152,0.0581039755351682,0.11267605633802817,0.26865671641791045,GradStudent
awais,0.001325202298580978,0.003716704521990502,0.2011022657685242,0.0013243009219171802,0.1561015561015561,0.008186988313230423,0.011085450346420323,0.43856143856143853,0.01091756624141315,0.7893168759310492,0.0029152004415924928,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.679345516362091,0.00796812749003984,0.03353244637523758,0.02307046979865772,0.1704174228675137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002966604509238854,0.8072289156626506,0.011826257561719985,0.8636363636363636,0.0018785631442246435,1.0,0.009634151405672522,0.84375,0.0016702272285880754,0.4901294498381876,0.0013609870114500429,0.5098705501618123,0.010717031910803537,0.8301165331391114,0.0032751091703056767,0.1698834668608886,0.15480010406729686,0.09435548108880161,0.16677199636264345,0.1419897370194262,0.007974625698495398,0.0038616758695968045,0.00043838590484938315,0.19041313559322035,0.007953216374269005,0.5865384615384615,0.0009132420091324201,0.13302815924538772,0.01197969543147208,0.611504424778761,0.001302653257743731,0.008585694922105027,0.0030555240608106933,0.0022037139060828983,0.005333835341365462,0.47,0.29487179487179493,0.0017042558613659532,0.7329,0.00016,0.01406702523789822,0.00527756059421423,0.4725239098719403,0.006504770164787511,0.2718204488778055,0.11565053061241388,0.8512101855293956,0.12568112233288065,0.6689306895880246,0.029909427573734645,0.004424778761061948,0.8771895101434933,0.5573383080366063,1.0,0.8782271600991127,0.3817897534334833,0.22651072124756358,0.04225352112676054,0.14925373134328354,0.5901496651387469,0.6766918798414213,0.003449319161142193,0.006393984836865503,0.0170900759925761,0.08007637086514251,0.031771474834921716,0.13111668052869505,0.42822240990050653,0.7796338727308464,1.0,0.0,0.007057879836955796,0.006644992047121821,0.012063442563003658,0.012063442535584286,0.011169079919505517,0.011169079890538426,0.6868686868686872,0.8636363636363644,0.0,0.0,0.027522935779816515,0.04225352112676056,0.14925373134328357,GradStudent
bdeird7,0.01747390641491732,0.05141441255420194,0.18211879975505205,0.032547241888656854,0.49074529074529066,0.1533029185675895,0.31270207852193993,0.561938061938062,0.20314033366045142,0.8116620557565442,0.05484544262747533,0.001280175566934894,0.03108108108108108,0.011542012927054479,0.7143,0.0034151894617010896,0.6,0.05558055805580558,0.09796005099872504,0.11553784860557768,0.14947054032039098,0.06333892617449664,0.29147005444646107,0.2413793103448276,0.19616204690831557,0.2413793103448276,1.0,0.35135135135135137,0.9286,0.3125,0.13245033112582782,0.3125,1.0,0.3125,1.0,0.01836469458100243,0.3253012048192771,0.046923538067469614,0.10227272727272728,0.01729911625855563,0.46153846153846156,0.07233918857190316,0.0,0.024470771023499708,0.7354368932038835,0.007367081866327406,0.2645631067961165,0.2244329104190696,0.9837946103423161,0.019818609338259994,0.01620538965768391,0.05829503078657533,0.014376356195237184,0.39893284746434343,0.2955794195624783,0.37282311872714663,0.026039940878458734,0.011272780410412709,0.46954449152542377,0.25298245614035086,1.0,0.012459230267449446,0.17394923012900543,0.03695431472081218,0.08023598820058997,0.020634707020608573,0.18174215736491645,0.0650211676714024,0.010662086398548142,0.06714357429718876,0.22,0.07692307692307693,0.01548165137614679,0.6382,0.01376,0.11688043028547787,0.045152462861610634,0.023180418220132934,0.04163052905464007,0.03179551122194514,0.07464535775591011,0.7452099981679237,0.1234293369863697,0.30529195818155486,0.2090971209176498,0.08775811209439528,0.3150438909963898,0.41767818416732855,0.6979335494327392,0.6190138263913341,0.5783017594802996,0.45886178861788596,0.22535211267605632,0.4029850746268656,0.8154431112639858,0.8808284358850618,0.04963426816179722,0.034912313574195226,0.11651694781659044,0.34700396450025583,0.19381720385369916,0.4926366311532179,0.5611810468599474,0.4748414308730926,1.0,0.0,0.031374534407979576,0.032942772541782024,0.0067913362819149664,0.006791336278600516,0.007348991827379075,0.007348991823237152,0.565656565656566,0.6060606060606066,0.0,0.05303030303030303,0.1651376146788991,0.22535211267605634,0.40298507462686567,GradStudent
ccallsen,0.2646534537351941,0.3029114185422259,0.05462339252908757,0.2431110884734885,0.14348894348894348,0.5331229298168865,0.4766743648960739,0.17282717282717283,0.34672473012757604,0.08427324962758029,0.34146657006830883,0.40398683247988293,0.6604054054054055,0.4136657433056325,0.0811,0.39811351439258413,0.2216,0.7079207920792079,0.38164045898852533,0.4302788844621514,0.029188161824599507,0.6954697986577181,0.14156079854809442,0.0,0.0,0.0,0.0,0.0,0.0,0.28125,0.033112582781456956,0.25,0.8889,0.25,0.8889,0.3467254336893259,0.4457831325301205,0.48465856449942774,0.48863636363636365,0.2820295016090302,0.5576923076923077,0.5363149370873302,0.625,0.2707321810060206,0.38090614886731383,0.25580638480428414,0.6190938511326861,0.5455113417916186,0.46412964311726146,0.4795095733960363,0.5358703568827385,0.16314283236492932,0.06056527590847915,0.429971167559586,0.04863143638270465,0.08798911290525378,0.0022694947215626824,0.04116652401728493,0.11559851694915255,0.1809356725146199,0.09485446985446985,0.08140900195694717,0.07657095297544736,0.18274111675126903,0.12241887905604719,0.26577262233116133,0.5359752464380168,0.3429787323995088,0.24551965518358881,0.40794427710843373,0.34,0.2820512820512821,0.27027586646279306,0.7508,0.31216,0.17852709971038477,0.6054046129788898,0.8842600097260496,0.6344319167389418,0.4407730673316709,0.21006339291082204,0.38801634759126635,0.39016158781144744,0.2599881873808096,0.11944138086632243,0.21165191740412986,0.25684937782909084,0.2622944368749138,0.5189910353414978,0.37561487067850885,0.7170434529504327,0.4815544608648055,0.4788732394366197,0.6119402985074627,0.9852154746435419,0.9905480325168091,0.1490361931915547,0.10037097457529555,0.5051310340471171,0.5826195590510537,0.6430731795874065,0.7240077389042766,0.3750297031545353,0.2700271220221235,0.0,0.0,0.24098614312340733,0.2391703070836309,0.3287758200983748,0.3287758195617609,0.3288885147466048,0.3288885141984007,0.3737373737373739,0.39393939393939426,0.0,0.38636363636363635,0.2966360856269113,0.4788732394366197,0.6119402985074627,Director
