@relation trai_2

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_sent_perc numeric
@attribute inter_hume_rec numeric
@attribute inter_hume_rec_perc numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_sent_perc numeric
@attribute inter_vt_rec numeric
@attribute inter_vt_rec_perc numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute fg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute fg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute fg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute pg_degree numeric
@attribute fg_degree numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
0.003184,0.013043,0.395293,0.00542,0.689858,0.030122,0.081633,0.876704,0.039293,0.994388,0.010431,0.002293,0.277073,0.011976,0.7273,0.00442,0.8182,0.006984,0.0556,0.026316,0.398722,0.006908,0.625019,0,0,0,0,0,0,0.071429,0.086687,0.076923,1,0.076923,1,0.001459,0.094118,0.005815,0.089888,0.00383,0.754717,0.019864,0.241935,0.005289,0.924865,0.000428,0.075135,0.044661,0.983117,0.002862,0.016883,0.037214,0.157026,0.166211,0.226346,0.018529,0.011445,0.002275,0.443743,0.0323,0.584811,0.001132,0.084327,0.000569,0,0.01264,0.116898,0.04135,0.004,0.011783,0.405941,0.055556,0.002778,0.5755,0.004564,0.179039,0.007538,0.041555,0.012361,0.091708,0.100818,0.646231,0.09163,0.244958,0.055986,0,0.98753,0.991467,1,1,0.234845,0.370044,0.016393,0.028986,0.20348,0.428955,0.000814,0.000216,0.004471,0.019397,0.008461,0.035008,0.022549,0.675065,1,1,0.002521,0.003798,0.000371,0.000371,0.000892,0.000892,0.763441,0.942857,1,0,0,0.016393,0.028986,GradStudent
0,0.001003,0.808973,0.000232,0.71974,0.006525,0.010204,0.5728,0.008175,0.889458,0.001578,0,0,0,0,0,0,0.005714,0.1944,0.032895,0.587671,0.006045,0.700015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470588,0.009272,0.853933,0,0.830189,0.008683,1,0,0.131646,0.000513,0.868354,0.00797,0.701855,0.003577,0.298145,0.133929,1,0,0.165418,0,0.004381,0.00006,0.112514,0,0,0,0,0.000569,0.090635,0,0.008742,0.002238,0,0.007914,0,0.416667,0.000455,0.9091,0.000456,0.172584,0.001535,0.210776,0.02225,1,0.214722,0.939853,0.222121,0.486359,0.142286,0.005673,0.576026,0.863472,1,0.982439,0.499532,0.555665,0.04918,0.086957,0.33819,0.549239,0.002278,0.000363,0.015798,0.055057,0.027943,0.098059,0.049645,0.844651,1,1,0.004353,0.005369,0.000969,0.000969,0.003849,0.003849,0.763441,0.885714,1,0,0,0.04918,0.086957,Research
0.007944,0.026087,0.305138,0.011614,0.565349,0.040043,0.080904,0.625774,0.040876,0.552465,0.01667,0.000417,0.021498,0.002994,1,0.000982,1,0.071746,0.469222,0.157895,0.195238,0.079447,0.723714,0.294118,0.464368,0.294118,1,0.384615,1,0.214286,0.198142,0.230769,1,0.230769,1,0.01281,0.6,0.049505,0.707865,0.008313,0.54717,0.043416,0.709677,0.009641,0.563515,0.005818,0.436485,0.040264,0.44026,0.036966,0.55974,0.1115,0.161094,0.38324,0.078683,0.133997,0.002785,0.000479,0.03998,0.014356,0.144945,0.00132,0.042014,0.022779,0.240891,0.062535,0.317788,0.133425,0.00828,0.037812,0.356436,0.296296,0.006922,0.6129,0.008215,0.137839,0.033082,0.57908,0.048208,0.389347,0.186782,0.507943,0.365869,0.37514,0.37334,0,0.598471,0.502161,0.955556,0.64019,0.46209,0.609137,0.147541,0.376812,0.712729,0.867461,0.008352,0.080967,0.102974,0.333215,0.175186,0.501127,0.013473,0.336551,1,0,0.018392,0.039476,0.017988,0.017988,0.02104,0.02104,0.548387,0.614286,0,0.013889,0.088832,0.147541,0.376812,Director
0.002078,0.002676,0.150783,0.004026,0.800483,0.01162,0.010204,0.301115,0.014768,0.927282,0.004513,0.000208,0.036587,0.000749,0.5,0.000491,1,0.043175,0.879468,0.052632,0.103598,0.050086,0.782661,0.058824,0.314943,0.058824,1,0.076923,1,0.071429,0.201238,0.076923,1,0.076923,1,0.004621,0.835294,0.018859,0.94382,0.002942,1,0.014988,0.951613,0.003636,0.956383,0.000171,0.043617,0.01649,0.89666,0.002385,0.10334,0.032,0.215808,0.17671,0.047952,0.015189,0.001362,0.003114,0.881669,0.012072,0.539051,0.009242,1,0.018793,0.670581,0.003708,0.021262,0.008417,0.001023,0.007035,0.148515,0.175926,0.001867,0.5616,0.000913,0.052022,0.0067,0.409543,0.00618,0.138386,0.01342,0.351519,0.006273,0.485718,0.055393,0,0.871145,0.94484,1,0.993584,0.0699,0.555665,0.032787,0.072464,0.491601,0.707274,0.00251,0.000845,0.010501,0.048212,0.019458,0.085967,0.033543,0.863076,1,1,0.008497,0.012018,0.002221,0.002221,0.003675,0.003675,0.752688,0.9,1,0,0,0.032787,0.072464,GradStudent
0.240799,0.120067,0.002522,0.198591,0.161183,0.628441,0.392857,0.078996,0.559335,0.325525,0.350316,0.194372,0.346108,0.137725,0.0987,0.197446,0.4311,0.410159,0.171763,0.342105,0.053603,0.436097,0.673166,0,0,0,0,0,0,1,0.06192,1,0.9286,1,0.9286,0.394114,0.623529,0.556813,0.47191,0.295129,0.773585,0.695611,0.725806,0.247135,0.401783,0.231348,0.598217,0.723375,0.599629,0.421417,0.400371,0.218357,0.063446,0.615946,0.101891,0.090467,0.008285,0.032216,0.092586,0.379772,0.298035,0.074689,0.081943,0.272779,0.172237,0.244909,0.639922,0.356382,0.392223,0.465353,0.584158,0.194444,0.165263,0.5044,0.262437,0.151699,0.501675,0.531206,0.479604,0.226798,0.324684,0.444267,0.813456,0.414599,0.308041,0.474281,0.059487,0.059482,0.32,0.074331,0.673803,0.521739,0.836066,0.884058,0.985213,0.99175,0.458333,0.395687,0.885309,0.871473,0.927082,0.938337,0.010081,0.066001,0,0,0.352964,0.346394,0.238044,0.238044,0.237273,0.237273,0.107527,0.114286,0,0.75,0.885787,0.836066,0.884058,PM
0.040591,0.072241,0.14017,0.049474,0.417446,0.1532,0.316327,0.627943,0.164953,0.6347,0.071908,0.01334,0.139805,0.038922,0.4063,0.018664,0.5938,0.031111,0.046863,0.118421,0.360891,0.036269,0.79001,0.117647,0.036782,0.117647,1,0.153846,1,0.142857,0.037152,0.153846,1,0.153846,1,0.02108,0.082353,0.048091,0.11236,0.041007,0.490566,0.111217,0.274194,0.056082,0.740847,0.017026,0.259153,0.212862,0.884972,0.039351,0.115028,0.071571,0.043683,0.201562,0.140656,0.031625,0.02469,0.011198,0.18938,0.126917,0.44298,0.007356,0.047527,0.014806,0.016862,0.043035,0.162893,0.076387,0.039446,0.063313,0.346535,0.046296,0.033198,0.5966,0.023733,0.080881,0.082775,0.278401,0.080346,0.132894,0.0296,0.458248,0.07216,0.368412,0.252324,0,0.485966,0.480555,1,0.575791,0.295867,0.705882,0.131148,0.391304,0.664001,0.83827,0.123876,0.194562,0.061569,0.34306,0.103648,0.497038,0.016327,0.234264,1,1,0.020309,0.029407,0.009059,0.009059,0.012019,0.012019,0.634409,0.614286,1,0,0.091371,0.131148,0.391304,GradStudent
0.00724,0.013712,0.166754,0.008439,0.380018,0.024669,0.019679,0.210037,0.026899,0.665447,0.011911,0.000313,0.017626,0.001497,0.6667,0.000737,1,0.058413,0.605242,0.065789,0.091125,0.061313,0.661317,0.058824,0.101149,0.058824,1,0.076923,1,0.071429,0.102167,0.076923,1,0.076923,1,0.012567,0.658824,0.035989,0.842697,0.008921,0.792453,0.030094,0.870968,0.008704,0.551258,0.005476,0.448742,0.030782,0.718924,0.012402,0.281076,0.106107,0.17285,0.29075,0.095175,0.094334,0.002888,0.002814,0.25622,0.008483,0.140872,0.005658,0.196961,0.01139,0.197531,0.007296,0.025138,0.012126,0.004,0.017411,0.188119,0.194444,0.008243,0.7974,0.001826,0.033416,0.016052,0.427872,0.014833,0.161999,0.099137,0.567347,0.286554,0.513897,0.067524,0,0.558568,0.617955,1,0.70147,0,0.405405,0.065574,0.188406,0.642232,0.814498,0.010217,0.003082,0.019998,0.122101,0.036755,0.209583,0.03091,0.65089,1,1,0.017213,0.024693,0.003549,0.003549,0.005238,0.005238,0.731183,0.785714,1,0,0.025381,0.065574,0.188406,GradStudent
0.001475,0.002676,0.216665,0.001548,0.308029,0.008223,0.010933,0.479244,0.009889,0.828941,0.003132,0,0,0,0,0,0,0.024762,0.674345,0.006579,0.02072,0.025907,0.662517,0,0,0,0,0,0,0,0,0,0,0,0,0.003324,0.823529,0.011787,0.842697,0.002102,1,0.009516,0.83871,0.001873,0.536931,0.001369,0.463069,0.010306,0.729499,0.004054,0.270501,0.133929,0.075965,0.166772,0.14199,0.007975,0.003862,0.000359,0.135041,0.009135,0.56229,0.000566,0.081198,0.01139,0.563686,0.001464,0.008623,0.003283,0.002698,0.004749,0.524752,0.175926,0.001776,0.7091,0.000456,0.034555,0.005025,0.471164,0.003708,0.113674,0.115651,0.85121,0.125681,0.668931,0.158534,0,0.871145,0.651001,1,0.922384,0.260387,0.705882,0.032787,0.086957,0.445862,0.610991,0.002723,0.006074,0.01055,0.03636,0.019994,0.0627,0.009622,0.77864,1,1,0.005984,0.006599,0.011966,0.011966,0.012441,0.012441,0.677419,0.914286,1,0,0.002538,0.032787,0.086957,GradStudent
0.059295,0.153177,0.22318,0.078585,0.48687,0.155345,0.311224,0.604709,0.179457,0.762811,0.08626,0.001042,0.007478,0.006737,0.9,0.002456,1,0.055873,0.089952,0.138158,0.223998,0.060449,0.696715,0.352941,0.078161,0.352941,1,0.461538,1,0.285714,0.071207,0.307692,1,0.307692,1,0.021729,0,0.049976,0.11236,0.063052,0.54717,0.077198,0,0.087814,0.838109,0.015486,0.161891,0.227017,0.970501,0.02051,0.029499,0.078893,0.026766,0.398933,0.295579,0.372823,0.02604,0.086108,1,0.262316,1,0.020558,0.09118,0.046128,0.110208,0.070097,0.18419,0.102165,0.04019,0.072459,0.237624,0.064815,0.04349,0.5365,0.0356,0.083159,0.045226,0.029705,0.040791,0.030203,0.074645,0.74521,0.123429,0.305292,0.259073,0,0.365957,0.393092,0.872727,0.563739,0.554416,0.675789,0.196721,0.391304,0.738992,0.854374,0.092448,0.123115,0.105728,0.318662,0.174042,0.468077,0.013548,0.295701,1,0,0.029358,0.036029,0.009811,0.009811,0.00895,0.00895,0.591398,0.6,0,0.027778,0.215736,0.196721,0.391304,GradStudent
0.26319,0.310368,0.074078,0.246206,0.233474,0.530747,0.492711,0.194238,0.419963,0.163006,0.339835,0.397499,0.64775,0.426647,0.1494,0.398576,0.4255,0.68381,0.348689,0.440789,0.034223,0.670984,0.582571,0,0,0,0,0,0,0.214286,0.01548,0.153846,0.6667,0.230769,1,0.34717,0.470588,0.48892,0.494382,0.280276,0.54717,0.54181,0.629032,0.268951,0.397485,0.25462,0.602515,0.541569,0.442672,0.47627,0.557328,0.124036,0.055388,0.429971,0.048631,0.087989,0.002269,0.040958,0.107687,0.171615,0.114279,0.082799,0.083135,0.171412,0.120145,0.264305,0.533583,0.341341,0.244767,0.402919,0.326733,0.203704,0.268409,0.7496,0.313099,0.165559,0.599246,0.86475,0.631644,0.395936,0.210063,0.388016,0.390162,0.259988,0.125835,0.034039,0.25181,0.306014,0.679894,0.41611,0.535963,0.646632,0.47541,0.550725,0.976632,0.987547,0.169716,0.142938,0.536008,0.514471,0.663907,0.672264,0.016814,0.239042,0,0,0.240677,0.243946,0.330553,0.330553,0.329664,0.329664,0.344086,0.442857,0,0.277778,0.192893,0.47541,0.550725,Director
