@relation trai_norm_email_features_35_30_35

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_sent_perc numeric
@attribute inter_hume_rec numeric
@attribute inter_hume_rec_perc numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_sent_perc numeric
@attribute inter_vt_rec numeric
@attribute inter_vt_rec_perc numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute fg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute fg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute fg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute pg_degree numeric
@attribute fg_degree numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
0.002864,0.012604,0.452358,0.004922,0.788339,0.030436,0.082242,1,0.039021,0.86019,0.010161,0.001776,0.239476,0.008221,0.6471,0.00396,0.9412,0.005202,0.043301,0.018072,0.42763,0.003581,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106,0.05814,0.003772,0.034483,0.003333,0.716981,0.019231,0.222222,0.004736,0.904217,0.000597,0.095783,0.044714,0.981037,0.004032,0.018963,0.009814,0.162231,0.14946,0.261973,0.015928,0.015742,0.001333,0.287117,0.035974,0.642535,0.000762,0.058678,0,0,0.011302,0.118526,0.040752,0.002968,0.009478,0.34,0.080645,0.002709,0.6277,0.004606,0.223014,0.00734,0.022418,0.01467,0.179259,0.076368,0.571501,0.058902,0.308536,0.076834,0,1,0.890088,1,0.942083,0.703829,0.453409,0.016949,0.044118,0.090285,0.278541,0.000625,0.001331,0.004386,0.02559,0.008236,0.045767,0.055138,0.966355,1,1,0.001259,0.002476,0,0,0.000767,0.000767,0.72449,0.941176,1,0,0.002653,0.016949,0.044118,GradStudent
0,0.000663,1,0,0.678426,0.006069,0.010189,0.651112,0.008773,1,0.00131,0,0,0,0,0,0,0.004551,0.166497,0.012048,0.356135,0.005372,0.718722,0,0,0,0,0,0,0.083333,0.576087,0.083333,1,0.083333,1,0.000163,0.744186,0.008172,0.816092,0,1,0.007953,0.984127,0,0,0.000597,1,0.007038,0.723677,0.004032,0.276323,0.200009,1,0,0.213565,0.000334,0.005786,0.000061,0.136319,0.00066,0.110471,0.00019,0.15303,0.001747,0.17019,0,0.008207,0.001933,0,0.007868,0,0.83871,0.000413,1,0,0,0.000554,0.109397,0.01467,1,0.278113,0.934865,0.289795,0.678598,0.074262,0.017208,0.847786,0.767802,1,1,0.724505,0.254565,0.050847,0.029412,0.332949,0.455395,0.002246,0.002205,0.018803,0.01065,0.035014,0.019111,0.024483,0.749691,1,1,0.004352,0.00447,0.004459,0.004459,0.004547,0.004547,0.602041,0.955882,1,0,0,0.050847,0.029412,Research
0.007818,0.024212,0.298246,0.010626,0.551854,0.041949,0.080058,0.66533,0.043473,0.488626,0.016984,0.000522,0.027403,0.00299,0.8,0.00099,0.8,0.079324,0.497662,0.114458,0.137324,0.083259,0.469397,0.142857,0.1984,0.142857,1,0.157895,1,0.166667,0.217391,0.166667,1,0.166667,1,0.011907,0.569767,0.050762,0.689655,0.007745,0.471698,0.044872,0.698413,0.010307,0.71188,0.004603,0.28812,0.044438,0.527,0.035104,0.473,0.121539,0.194015,0.322894,0.081913,0.108882,0.003214,0.000364,0.030552,0.011551,0.061122,0.001143,0.034298,0.016308,0.143431,0.061169,0.333398,0.136796,0.009552,0.038269,0.43,0.516129,0.007118,0.6432,0.008291,0.156571,0.031159,0.552726,0.046455,0.494074,0.16995,0.475306,0.375491,0.65102,0.326185,0.055534,0.640221,0.479556,0.984848,0.6961,0.788888,0.334122,0.186441,0.352941,0.725478,0.842854,0.009097,0.08219,0.150485,0.305686,0.249227,0.466676,0.022985,0.330543,1,0,0.020818,0.039111,0.021406,0.021406,0.022665,0.022665,0.479592,0.647059,0,0.011364,0.061008,0.186441,0.352941,Director
0.002157,0.002322,0.150961,0.003907,0.842398,0.010443,0.011645,0.40977,0.013618,0.861611,0.004104,0.000104,0.018136,0.000747,1,0.000248,1,0.041612,0.917463,0.048193,0.112496,0.051925,0.792304,0,0,0,0,0,0,0.166667,0.76087,0.166667,1,0.166667,1,0.00473,0.837209,0.016502,0.91954,0.002957,0.981132,0.013414,0.952381,0.003733,0.929545,0.000341,0.070455,0.014077,0.867437,0.003558,0.132563,0.031199,0.244277,0.159984,0.066419,0.00827,0.002645,0.003455,0.958037,0.007261,0.369489,0.010095,1,0.011648,0.419855,0.003813,0.019372,0.00782,0.001391,0.008405,0.21,0.5,0.002066,0.6164,0.000461,0.028715,0.003878,0.260043,0.011002,0.466667,0.039975,0.426869,0.048112,0.79696,0.03143,0.017599,0.716328,0.733639,1,0.908987,0.629636,0.560719,0.050847,0.102941,0.474318,0.623333,0.003865,0.006564,0.014898,0.061651,0.027619,0.107972,0.067689,0.872536,1,1,0.009004,0.010864,0.00215,0.00215,0.002436,0.002436,0.683673,0.882353,1,0,0.005305,0.050847,0.102941,GradStudent
0.243344,0.113101,0,0.204547,0.182264,0.639414,0.400291,0.080933,0.565143,0.236019,0.355262,0.19279,0.337834,0.133034,0.0965,0.191089,0.4184,0.462289,0.194755,0.319277,0.047904,0.485228,0.465797,0.095238,0.0048,0.095238,1,0.052632,0.5,1,0.092391,0.916667,0.9167,1,1,0.397325,0.616279,0.574886,0.471264,0.298268,0.773585,0.715456,0.746032,0.248538,0.507971,0.235851,0.492029,0.739994,0.616579,0.427419,0.383421,0.234722,0.076215,0.567023,0.101902,0.056073,0.00839,0.034913,0.097791,0.374257,0.241733,0.083048,0.083058,0.26325,0.140487,0.247512,0.6511,0.361414,0.396272,0.48784,0.59,0.370968,0.166789,0.5024,0.279595,0.176064,0.514887,0.602582,0.496333,0.317037,0.317557,0.387583,0.924192,1,0.398672,0.239734,0.050525,0.065031,0.322449,0.084077,0.824953,0.354919,0.864407,0.911765,0.985122,0.990276,0.449228,0.474754,0.889956,0.906535,0.933703,0.956155,0.016175,0.054929,0,0,0.3667,0.358546,0.248154,0.248154,0.247361,0.247361,0.081633,0.088235,0,0.784091,0.877984,0.864407,0.911765,PM
0.040271,0.073632,0.14928,0.050395,0.472644,0.155123,0.318777,0.71965,0.164986,0.526303,0.07214,0.013793,0.145089,0.033632,0.3409,0.017822,0.5455,0.03381,0.054483,0.090361,0.280828,0.039391,0.660441,0.095238,0.0272,0.095238,1,0.105263,1,0.083333,0.032609,0.083333,1,0.083333,1,0.020225,0.081395,0.050919,0.114943,0.041309,0.509434,0.115028,0.301587,0.055769,0.78542,0.017133,0.21458,0.215981,0.891457,0.041034,0.108543,0.071612,0.058262,0.171386,0.152523,0.020591,0.033863,0.011335,0.190552,0.129373,0.412074,0.008571,0.051515,0.019802,0.028365,0.042708,0.164943,0.076637,0.037188,0.066881,0.33,0.112903,0.034625,0.6262,0.021188,0.080067,0.088769,0.341463,0.07824,0.174074,0.040155,0.402189,0.164289,0.497659,0.357947,0,0.526445,0.396285,1,0.547521,0.533289,0.762647,0.135593,0.397059,0.676523,0.820956,0.086664,0.098362,0.062825,0.331032,0.106508,0.480055,0.030764,0.253778,1,1,0.021531,0.030974,0.01093,0.01093,0.012714,0.012714,0.591837,0.617647,1,0,0.106101,0.135593,0.397059,GradStudent
0.00829,0.01393,0.151381,0.008594,0.332517,0.024634,0.025473,0.317171,0.026974,0.580095,0.012534,0.000522,0.025947,0.00299,0.8,0.00099,0.8,0.058518,0.606017,0.078313,0.128258,0.062668,0.505401,0.047619,0.0624,0.047619,1,0.052632,1,0,0,0,0,0,0,0.013701,0.627907,0.034889,0.816092,0.010233,0.792453,0.028727,0.825397,0.009694,0.601697,0.006734,0.398303,0.029534,0.692794,0.014706,0.307206,0.147896,0.157169,0.240419,0.083603,0.043628,0.002258,0.002909,0.23092,0.009901,0.159068,0.005714,0.161983,0.012813,0.201231,0.008384,0.025102,0.012758,0.004173,0.015021,0.18,0.306452,0.009506,0.8118,0.001842,0.032907,0.016341,0.484039,0.015892,0.265185,0.074465,0.423606,0.196095,0.684198,0.144286,0.037544,0.505799,0.46888,0.809524,0.642213,0.688074,0.573239,0.101695,0.235294,0.617839,0.753057,0.013648,0.030435,0.034181,0.148567,0.063502,0.251039,0.033682,0.745562,1,0,0.01767,0.023804,0.004048,0.004048,0.005086,0.005086,0.642857,0.735294,0,0.011364,0.045093,0.101695,0.235294,GradStudent
0.001314,0.002985,0.299611,0.001094,0.270129,0.007319,0.010189,0.540649,0.009297,0.803555,0.002621,0,0,0,0,0,0,0.022757,0.671071,0.006024,0.027094,0.024172,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.002773,0.77907,0.010058,0.816092,0.001831,1,0.008072,0.793651,0.00195,0.705323,0.000938,0.294677,0.009799,0.868882,0.002609,0.131118,0.11314,0.204477,0.095077,0.158669,0.001926,0.004867,0.000242,0.102209,0.008581,0.632515,0.00019,0.02865,0.013395,0.639818,0.00131,0.007678,0.002747,0.001669,0.003219,0.38,0.306452,0.001653,0.75,0,0,0.004293,0.500897,0.002445,0.171111,0.120334,0.717273,0.130257,0.984879,0.236358,0,0.990775,0.584178,1,0.877483,0.549373,0.651066,0.033898,0.102941,0.405062,0.530621,0.002724,0.005984,0.011092,0.043915,0.021262,0.074761,0.016582,0.635044,1,1,0.005594,0.005939,0.011114,0.011114,0.011509,0.011509,0.612245,0.911765,1,0,0.007958,0.033898,0.102941,GradStudent
0.062007,0.149585,0.209686,0.083053,0.533889,0.153427,0.315138,0.719285,0.174152,0.640047,0.087617,0.001567,0.010723,0.010463,0.9333,0.00297,0.8,0.061769,0.105306,0.120482,0.19522,0.062668,0.414041,0.142857,0.0256,0.142857,1,0.157895,1,0.166667,0.059783,0.166667,1,0.166667,1,0.021285,0,0.048091,0.103448,0.065014,0.528302,0.073955,0,0.093376,0.881075,0.014576,0.118925,0.226332,0.986816,0.018738,0.013184,0.076455,0.023969,0.358284,0.291422,0.264618,0.023896,0.091344,1,0.241254,0.90481,0.02019,0.078926,0.036109,0.071983,0.07331,0.181946,0.103791,0.039043,0.064914,0.23,0.112903,0.045968,0.5414,0.03731,0.091805,0.044731,0.022059,0.037897,0.037037,0.070968,0.669693,0.142354,0.362097,0.313525,0.037544,0.339747,0.353277,0.818182,0.586736,0.750161,0.777273,0.220339,0.397059,0.724856,0.81718,0.076024,0.083931,0.111704,0.324589,0.185911,0.469505,0.026664,0.308856,1,1,0.029875,0.03366,0.008986,0.008986,0.007971,0.007971,0.540816,0.617647,1,0.034091,0.196286,0.220339,0.397059,GradStudent
0.268552,0.311443,0.074062,0.250566,0.247264,0.525794,0.488355,0.216551,0.414168,0.081517,0.342283,0.407732,0.647472,0.434978,0.1492,0.407921,0.4223,0.70091,0.364302,0.415663,0.036675,0.696509,0.374437,0,0,0,0,0,0,0.333333,0.038043,0.333333,1,0.333333,1,0.354673,0.476744,0.487977,0.494253,0.286204,0.566038,0.533476,0.619048,0.275614,0.511828,0.258183,0.488172,0.539194,0.463608,0.470588,0.536392,0.133539,0.069615,0.385495,0.054052,0.057897,0.003252,0.039702,0.100736,0.174917,0.071643,0.079619,0.072176,0.185207,0.116404,0.269705,0.528603,0.343796,0.257906,0.406295,0.35,0.387097,0.274752,0.7499,0.318747,0.181723,0.594793,0.978121,0.57824,0.491852,0.202903,0.300441,0.439465,0.314496,0.423229,0.143136,0.220768,0.280429,0.606897,0.415776,0.760084,0.598657,0.525424,0.558824,0.975554,0.984159,0.162283,0.16284,0.553833,0.520386,0.688503,0.675261,0.029667,0.204105,0,0,0.247413,0.24165,0.331428,0.331428,0.330525,0.330525,0.285714,0.441176,0,0.397727,0.281167,0.525424,0.558824,Director
