pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_sent_perc,inter_hume_rec,inter_hume_rec_perc,inter_vt_sent,inter_vt_sent_perc,inter_vt_rec,inter_vt_rec_perc,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,fg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,fg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,fg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,pg_degree,fg_degree,Status
adamq,0.0028644604704455077,0.012603648424543947,0.4523584410127115,0.0049222595515274635,0.7883390494855461,0.03043555872902535,0.08224163027656478,1.0,0.039020557810658635,0.8601895734597158,0.010160943410220277,0.0017763845350052246,0.23947577442414616,0.008221225710014948,0.6471,0.0039603960396039604,0.9412,0.005201560468140442,0.04330148404147184,0.018072289156626505,0.4276295456886783,0.0035810205908683975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010601859403033763,0.05813953488372093,0.003771805752003772,0.034482758620689655,0.0033328639158803925,0.7169811320754716,0.019230769230769232,0.2222222222222222,0.0047356398685163515,0.9042170223707894,0.0005966587112171838,0.09578297762921058,0.04471432514490754,0.9810366624525914,0.004032258064516129,0.018963337547408348,0.00981400531413385,0.16223076923076923,0.14946021822812655,0.2619725394958558,0.0159280626968659,0.015741886357549858,0.001333494969087162,0.2871165644171779,0.03597359735973597,0.6425350701402804,0.0007619047619047619,0.05867768595041322,0.0,0.0,0.011302144792550912,0.11852592417127651,0.040752369228514995,0.0029676342390800334,0.009477825464949928,0.34,0.0806451612903226,0.002709404849375459,0.6277,0.004606172270842929,0.2230140431775309,0.007339703642154826,0.022417503586800596,0.014669926650366748,0.17925925925925926,0.0763682591721804,0.5715009239325182,0.058901759659621244,0.3085358381622143,0.07683433268841355,0.0,1.0,0.8900880266312102,1.0,0.9420826446280992,0.7038290252657023,0.4534090909090908,0.01694915254237288,0.04411764705882354,0.09028523108503687,0.2785411692762338,0.0006254625214297022,0.0013306253092476602,0.004386138724534626,0.025589783605271303,0.008236291164762068,0.04576683437301485,0.05513784461152882,0.9663545530128467,1.0,1.0,0.0012589500460489119,0.002475704353499891,0.0,0.0,0.0007670254121157126,0.0007670254092703195,0.7244897959183678,0.9411764705882347,1.0,0.0,0.002652519893899204,0.01694915254237288,0.04411764705882353,GradStudent
ahmed12,0.0,0.0006633499170812604,1.0,0.0,0.6784256083619139,0.006069260978222063,0.010189228529839884,0.6511119212541014,0.008773078433940028,1.0,0.001310291972607481,0.0,0.0,0.0,0.0,0.0,0.0,0.004551365409622887,0.16649725553974384,0.012048192771084338,0.35613474811991347,0.005371530886302597,0.7187218721872187,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.5760869565217391,0.08333333333333333,1.0,0.08333333333333333,1.0,0.00016310552927744252,0.7441860465116279,0.008172245796008172,0.8160919540229885,0.0,1.0,0.00795346628679962,0.9841269841269841,0.0,0.0,0.0005966587112171838,1.0,0.0070383659950317414,0.7236770814520498,0.004032258064516129,0.27632291854795016,0.20000857118368046,1.0,0.0,0.21356497501292016,0.0003338611633159814,0.005786350190589151,6.06134076857801e-05,0.13631901840490798,0.0006600660066006601,0.11047094188376752,0.00019047619047619048,0.15303030303030304,0.0017472335468841002,0.17018999197217016,0.0,0.008207114690595959,0.0019327853412932597,0.0,0.007868383404864092,0.0,0.8387096774193549,0.0004132990448199853,1.0,0.0,0.0,0.000553939897521119,0.10939741750358681,0.014669926650366748,1.0,0.2781133382126091,0.9348646333448879,0.28979460942317764,0.678598177706062,0.07426241169608956,0.017207665232694562,0.8477859778597786,0.7678018575851393,1.0,1.0,0.7245046793067759,0.25456530369194125,0.05084745762711864,0.029411764705882314,0.33294852361463284,0.45539494338197123,0.0022455360090034627,0.0022048198082344358,0.018802673423390637,0.010649695796378466,0.035013933664372526,0.01911078829698146,0.024483004516282384,0.7496913770761092,1.0,1.0,0.004352241580561763,0.0044696479362095485,0.00445853495679644,0.004458534941159071,0.004547038997964258,0.004547038982520125,0.6020408163265308,0.9558823529411764,1.0,0.0,0.0,0.05084745762711865,0.029411764705882353,Research
ajm,0.007818292107568915,0.024212271973466003,0.29824561403508776,0.01062583014297992,0.5518536665033479,0.04194930382006426,0.08005822416302766,0.6653299307327744,0.04347256776221029,0.48862559241706166,0.01698435066379886,0.0005224660397074191,0.027402700555996824,0.0029895366218236174,0.8,0.0009900990099009901,0.8,0.07932379713914174,0.49766212644846514,0.1144578313253012,0.13732358092098484,0.08325872873769025,0.4693969396939694,0.14285714285714285,0.1984,0.14285714285714285,1.0,0.15789473684210525,1.0,0.16666666666666666,0.2173913043478261,0.16666666666666666,1.0,0.16666666666666666,1.0,0.011906703637253303,0.5697674418604651,0.05076221907905076,0.6896551724137931,0.007745387973524856,0.4716981132075472,0.04487179487179487,0.6984126984126984,0.010306980890300296,0.7118796605811263,0.004602795772246846,0.2881203394188737,0.04443831079216119,0.5270001806032146,0.03510436432637571,0.4729998193967853,0.1215393845890117,0.1940153846153846,0.32289431241224315,0.0819134174265508,0.10888220650160045,0.003213710056992856,0.0003636804461146806,0.030552147239263805,0.01155115511551155,0.061122244488977955,0.001142857142857143,0.03429752066115702,0.016307513104251603,0.14343055927214343,0.061169031518805365,0.3333983585770619,0.13679589497601127,0.009552072707038858,0.0382689556509299,0.43,0.5161290322580644,0.007117927994121969,0.6432,0.008291110087517274,0.15657094948648081,0.03115911923556294,0.5527259684361551,0.04645476772616137,0.4940740740740741,0.1699498923844392,0.47530631741961354,0.3754914017678498,0.6510199441427436,0.3261854412738218,0.05553382870551426,0.6402214022140221,0.47955588769082946,0.9848484848484848,0.6961003134796238,0.7888882496986553,0.33412176059234877,0.18644067796610167,0.3529411764705883,0.7254776534527636,0.8428541388741725,0.00909703796410296,0.08219032983767832,0.1504851273073009,0.3056857588825538,0.24922710411695878,0.46667589710260227,0.022984878701436395,0.33054296815186673,1.0,0.0,0.02081793425067769,0.039110772512954195,0.021405614785584753,0.021405614734996564,0.02266477342330745,0.022664773372122596,0.4795918367346941,0.6470588235294118,0.0,0.011363636363636364,0.0610079575596817,0.1864406779661017,0.35294117647058826,Director
apblair,0.0021567702365707354,0.002321724709784411,0.15096123542388906,0.003906555199624971,0.8423975175567532,0.01044269903605855,0.011644832605531296,0.40977032446226763,0.013617912792981537,0.861611374407583,0.0041039333481668275,0.0001044932079414838,0.018136086841408525,0.0007473841554559044,1.0,0.00024752475247524753,1.0,0.04161248374512354,0.917462898963204,0.04819277108433735,0.11249613680848874,0.051924798567591766,0.7923042304230422,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.7608695652173914,0.16666666666666666,1.0,0.16666666666666666,1.0,0.0047300603490458325,0.8372093023255814,0.0165016501650165,0.9195402298850575,0.002957329953527672,0.9811320754716981,0.013414055080721748,0.9523809523809523,0.0037327984845952423,0.9295448701465673,0.00034094783498124785,0.07045512985343276,0.014076731990063483,0.8674372403828787,0.003557874762808349,0.1325627596171212,0.031199108596897226,0.24427692307692309,0.1599844120192242,0.06641907599684718,0.008270413264467693,0.002644514915625696,0.0034549642380894653,0.9580368098159511,0.007260726072607261,0.3694889779559118,0.010095238095238095,1.0,0.011648223645894,0.4198554990634199,0.0038133733505386295,0.019371716805774243,0.007819827774848341,0.0013910785495687657,0.008404864091559371,0.21,0.5000000000000001,0.0020664952240999263,0.6164,0.00046061722708429296,0.02871515405575351,0.0038775792826478326,0.2600430416068866,0.011002444987775062,0.4666666666666666,0.039975479453998736,0.42686941010874874,0.04811162510075192,0.7969595264987657,0.031429802104481076,0.017598748533437625,0.7163284132841329,0.7336393722643321,1.0,0.908987012987013,0.6296361582844252,0.560719131614654,0.05084745762711864,0.10294117647058823,0.4743183348180096,0.6233329792431096,0.0038647047025840934,0.006564196921130153,0.014897619659589677,0.061651390481218094,0.027619338895219638,0.10797162424374653,0.06768885564697083,0.8725358906572023,1.0,1.0,0.009003553647902228,0.010863829124194932,0.002149988342284582,0.002149988336870714,0.00243568287794788,0.0024356828724123153,0.6836734693877551,0.8823529411764699,1.0,0.0,0.005305039787798408,0.05084745762711865,0.10294117647058823,GradStudent
apoetter,0.24334434184808248,0.11310116086235489,0.0,0.20454723025236346,0.18226359627633507,0.6394144948232774,0.4002911208151383,0.08093328472475395,0.5651433809087338,0.2360189573459716,0.35526218200697174,0.19278996865203762,0.3378342599947048,0.13303437967115098,0.0965,0.1910891089108911,0.4184,0.46228868660598177,0.19475503151046963,0.3192771084337349,0.04790357473987845,0.4852282900626679,0.46579657965796567,0.09523809523809523,0.0048,0.09523809523809523,1.0,0.05263157894736842,0.5,1.0,0.09239130434782608,0.9166666666666666,0.9167,1.0,1.0,0.39732506931984996,0.6162790697674418,0.5748860600345749,0.47126436781609193,0.2982678495986481,0.7735849056603774,0.7154558404558404,0.746031746031746,0.24853752298178172,0.5079712008228335,0.2358506648482782,0.4920287991771663,0.7399944797129451,0.6165793751128769,0.4274193548387097,0.38342062488712303,0.23472186508956883,0.07621538461538463,0.5670226039240706,0.10190228961091521,0.05607259720679807,0.008389528874479012,0.03491332282700933,0.09779141104294478,0.37425742574257426,0.24173346693386774,0.08304761904761905,0.08305785123966943,0.26324985439720444,0.1404870216751405,0.24751184616152827,0.651100087784079,0.3614135071329901,0.3962719094871557,0.48783977110157367,0.59,0.3709677419354839,0.16678912564290962,0.5024,0.2795946568401658,0.17606371829805073,0.5148871347458801,0.6025824964131996,0.4963325183374083,0.31703703703703706,0.31755714614193326,0.3875828728457331,0.9241922197050336,1.0,0.39867203651886557,0.23973406335549466,0.05052512063582166,0.06503073098567907,0.3224489795918367,0.08407694149572986,0.8249529353021099,0.35491905354919034,0.864406779661017,0.911764705882353,0.9851219165170679,0.9902759609565266,0.4492280392966518,0.4747538924043123,0.8899558085778729,0.906534993009649,0.9337025826828788,0.9561554574693568,0.016175434567387816,0.054929413760053454,0.0,0.0,0.3667000594299117,0.35854565764655405,0.24815374937455723,0.24815374906937107,0.24736145676412713,0.24736145645934912,0.08163265306122457,0.08823529411764727,0.0,0.7840909090909091,0.8779840848806366,0.864406779661017,0.9117647058823529,PM
arog3632,0.0402709442609692,0.0736318407960199,0.1492803865952306,0.05039456207516212,0.47264412869508393,0.15512317029632275,0.31877729257641924,0.7196500182282174,0.16498625114573787,0.5263033175355452,0.07214022596355905,0.013793103448275862,0.1450886947312682,0.033632286995515695,0.3409,0.01782178217821782,0.5455,0.033810143042912875,0.05448261841837771,0.09036144578313253,0.28082826826001855,0.03939122649955237,0.6604410441044104,0.09523809523809523,0.0272,0.09523809523809523,1.0,0.10526315789473684,1.0,0.08333333333333333,0.03260869565217391,0.08333333333333333,1.0,0.08333333333333333,1.0,0.02022508563040287,0.08139534883720931,0.05091937765205092,0.11494252873563218,0.04130873585879923,0.5094339622641509,0.11502849002849003,0.30158730158730157,0.05576912362805728,0.7854204165595268,0.017132628707807705,0.21457958344047312,0.21598123102401326,0.8914574679429292,0.04103415559772296,0.10854253205707061,0.07161223965029563,0.05826153846153847,0.17138647641988503,0.15252264427206577,0.02059078858480559,0.03386328996300935,0.011334707237240877,0.1905521472392638,0.12937293729372937,0.4120741482965932,0.008571428571428572,0.05151515151515152,0.019801980198019802,0.02836499866202836,0.042707941855911785,0.16494349770786015,0.07663662575202701,0.037188166558471666,0.06688125894134478,0.33,0.11290322580645162,0.034625275532696544,0.6262,0.021188392445877474,0.08006707189268496,0.08876886857775931,0.3414634146341463,0.07823960880195599,0.17407407407407408,0.040154945413765034,0.4021891018812004,0.16428932210218,0.497659449236235,0.35794682894018387,0.0,0.5264452644526444,0.3962848297213621,1.0,0.5475206611570248,0.5332893282801688,0.7626466275659824,0.13559322033898302,0.39705882352941185,0.6765225488364438,0.820955857316006,0.0866638567533635,0.09836210867204388,0.06282464608213854,0.3310323580704689,0.10650794369211833,0.4800553235499419,0.030763588949555862,0.25377796484703363,1.0,1.0,0.02153128932468061,0.03097413361582931,0.010929516288278191,0.010929516275814366,0.012713927558873179,0.012713927543736866,0.5918367346938777,0.6176470588235292,1.0,0.0,0.10610079575596817,0.13559322033898305,0.39705882352941174,GradStudent
asohangh,0.008290085596818764,0.013930348258706468,0.15138144763105368,0.008594421439174936,0.3325167401600522,0.024634059264548376,0.025473071324599708,0.3171709806780897,0.026973942647636508,0.5800947867298578,0.012534302454943263,0.0005224660397074191,0.025946518400847232,0.0029895366218236174,0.8,0.0009900990099009901,0.8,0.05851755526657997,0.6060174832282985,0.0783132530120482,0.12825795817451324,0.06266786034019696,0.5054005400540055,0.047619047619047616,0.0624,0.047619047619047616,1.0,0.05263157894736842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01370086445930517,0.627906976744186,0.03488920320603489,0.8160919540229885,0.010233300474111627,0.7924528301886793,0.02872744539411206,0.8253968253968254,0.009694133377904061,0.6016970943687323,0.006733719740879646,0.3983029056312677,0.02953353574385868,0.6927939317319847,0.014705882352941176,0.30720606826801516,0.14789577440644552,0.15716923076923076,0.2404190328374016,0.08360257685602221,0.043628464723019025,0.002258105251551242,0.0029094435689174447,0.23092024539877304,0.009900990099009901,0.1590681362725451,0.005714285714285714,0.16198347107438016,0.0128130460104834,0.20123093390420121,0.008383639550805119,0.025102066409352492,0.01275831121796324,0.004173235648706297,0.015021459227467811,0.18,0.30645161290322587,0.009505878030859663,0.8118,0.0018424689083371719,0.03290714734856424,0.01634122697687301,0.4840387374461981,0.01589242053789731,0.26518518518518513,0.07446545081486973,0.42360562664881196,0.19609518541920917,0.6841981186423888,0.14428591538274205,0.03754399687133359,0.5057986294148656,0.4688801110280769,0.8095238095238095,0.6422134387351779,0.688073694212413,0.5732386363636363,0.10169491525423728,0.23529411764705882,0.6178388670008057,0.75305719571136,0.013647897809402518,0.030434699019475597,0.03418143385487382,0.14856678248624447,0.063501983121736,0.251038890468085,0.03368240075023445,0.7455619749265807,1.0,0.0,0.017669541056898715,0.02380422445432237,0.004048186390992022,0.004048186380067585,0.005086412853198252,0.005086412840594645,0.6428571428571423,0.7352941176470588,0.0,0.011363636363636364,0.04509283819628647,0.1016949152542373,0.23529411764705882,GradStudent
awais,0.0013142818629102919,0.0029850746268656717,0.29961130370837274,0.0010938354558949917,0.27012902172137837,0.007318814709032488,0.010189228529839884,0.5406489245351804,0.009296844310593164,0.8035545023696683,0.002620583945214962,0.0,0.0,0.0,0.0,0.0,0.0,0.022756827048114433,0.6710713559666599,0.006024096385542169,0.02709384979911404,0.024171888988361683,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027727939977165226,0.7790697674418605,0.010058148672010058,0.8160919540229885,0.0018307280664695113,1.0,0.008072174738841406,0.7936507936507936,0.0019499693576243802,0.7053227050655695,0.0009376065461984317,0.2946772949344304,0.009798509522495169,0.8688820661007766,0.0026091081593927895,0.1311179338992234,0.11313962458215472,0.20447692307692306,0.09507728145394201,0.15866923349141004,0.0019258823099243712,0.004866630264596578,0.0002424536307431204,0.10220858895705522,0.008580858085808581,0.6325150300601202,0.00019047619047619048,0.02865013774104683,0.013395457192778102,0.6398180358576399,0.001310107936074091,0.007677623420234927,0.002747350734506629,0.0016692942594825188,0.003218884120171674,0.38,0.30645161290322587,0.0016531961792799412,0.75,0.0,0.0,0.004293034205788672,0.500896700143472,0.0024449877750611247,0.1711111111111111,0.1203335914074081,0.7172731536487092,0.13025711091676628,0.984879031727429,0.23635787841919362,0.0,0.9907749077490773,0.5841784989858009,1.0,0.8774825174825177,0.5493725212048692,0.6510660731021551,0.033898305084745756,0.10294117647058823,0.4050623340324503,0.530620704867154,0.0027237698133242365,0.0059836285882317805,0.011092246691956631,0.04391521478131675,0.02126234889453979,0.07476074202569027,0.016581632653061226,0.6350440889891051,1.0,1.0,0.005594206007190157,0.0059394652688132205,0.01111403876314952,0.01111403871118264,0.011509346311440271,0.011509346260213778,0.6122448979591837,0.9117647058823527,1.0,0.0,0.007957559681697613,0.03389830508474576,0.10294117647058823,GradStudent
bdeird7,0.06200714430140864,0.1495854063018242,0.20968589137514446,0.08305336354402687,0.5338886166911645,0.15342734737593716,0.31513828238719066,0.7192854538826102,0.17415215398716774,0.6400473933649289,0.08761650473435685,0.001567398119122257,0.010722795869737888,0.01046337817638266,0.9333,0.0029702970297029703,0.8,0.06176853055916775,0.1053059564952226,0.12048192771084337,0.19521994437004223,0.06266786034019696,0.4140414041404141,0.14285714285714285,0.0256,0.14285714285714285,1.0,0.15789473684210525,1.0,0.16666666666666666,0.059782608695652176,0.16666666666666666,1.0,0.16666666666666666,1.0,0.021285271570706248,0.0,0.04809052333804809,0.10344827586206896,0.0650143172323147,0.5283018867924528,0.07395536562203228,0.0,0.09337567552509889,0.8810748264335304,0.014575519945448347,0.11892517356646952,0.2263317692520011,0.9868159653241826,0.018738140417457305,0.013184034675817233,0.0764549584297591,0.02396923076923076,0.35828393941640896,0.29142228011304183,0.2646178338300322,0.02389556509906004,0.0913444053824706,1.0,0.24125412541254126,0.9048096192384769,0.02019047619047619,0.07892561983471075,0.0361094933022714,0.07198287396307199,0.0733095402664368,0.18194643777780875,0.10379105481880499,0.03904293795789669,0.06491416309012875,0.23,0.11290322580645162,0.045968038207200586,0.5414,0.037309995393827726,0.091804653112555,0.044730646724830354,0.022058823529411777,0.037897310513447434,0.03703703703703704,0.07096846020410845,0.6696929337336848,0.1423538901174991,0.3620969689517104,0.3135245943871709,0.03754399687133359,0.3397469688982605,0.3532767008799889,0.8181818181818182,0.5867355371900825,0.7501614047471065,0.7772727272727276,0.22033898305084745,0.39705882352941185,0.7248557167652835,0.8171796010117606,0.07602354878533298,0.08393077131588371,0.11170448287650843,0.32458863168929186,0.18591102389086253,0.469505351916979,0.02666433620756623,0.3088555872126772,1.0,1.0,0.029874575937922587,0.03366028801501061,0.008986481282338341,0.008986481270011596,0.00797060049941424,0.007970600490025952,0.5408163265306123,0.6176470588235292,1.0,0.03409090909090909,0.1962864721485411,0.22033898305084745,0.39705882352941174,GradStudent
ccallsen,0.268551593988003,0.31144278606965176,0.07406240151276396,0.2505664505039456,0.24726441286950834,0.5257943591574438,0.4883551673944687,0.2165512212905578,0.41416786696346736,0.08151658767772534,0.34228287473114294,0.4077324973876698,0.6474715382578766,0.4349775784753363,0.1492,0.4079207920792079,0.4223,0.7009102730819246,0.36430168733482415,0.41566265060240964,0.03667456474708973,0.6965085049239033,0.37443744374437443,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.03804347826086957,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3546729734137987,0.47674418604651164,0.48797736916548795,0.4942528735632184,0.28620382105806697,0.5660377358490566,0.5334757834757835,0.6190476190476191,0.2756142403476517,0.5118282334790434,0.25818274803954994,0.4881717665209565,0.5391940380899807,0.4636084522304496,0.47058823529411764,0.5363915477695504,0.13353904174166448,0.0696153846153846,0.3854945138640709,0.05405207585049745,0.05789726291795374,0.0032523928199304415,0.039701782034185965,0.10073619631901842,0.17491749174917492,0.07164328657314628,0.07961904761904762,0.0721763085399449,0.18520675596971461,0.1164035322451164,0.2697048380696079,0.5286029790850949,0.3437957590544487,0.25790596309004915,0.4062947067238913,0.35,0.38709677419354843,0.274752020573108,0.7499,0.3187471211423307,0.1817229092433452,0.5947929649633015,0.9781205164992827,0.578239608801956,0.4918518518518518,0.20290291452911877,0.3004410075453252,0.4394651219244219,0.31449611895837143,0.4232289497476598,0.1431364880719593,0.22076798892988928,0.28042944472036413,0.6068965517241379,0.4157755141264654,0.7600835857827992,0.5986570247933887,0.5254237288135594,0.5588235294117647,0.9755541823187746,0.9841585877666944,0.16228251607524277,0.1628403228067513,0.5538327492126395,0.5203858284069751,0.6885034714783712,0.6752607503490009,0.02966732869910626,0.20410473963154013,0.0,0.0,0.24741346826186453,0.24164963542205461,0.3314275568032812,0.3314275558389033,0.33052482628794305,0.33052482532300165,0.2857142857142859,0.4411764705882352,0.0,0.3977272727272727,0.28116710875331563,0.5254237288135594,0.5588235294117647,Director
