pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_sent_perc,inter_hume_rec,inter_hume_rec_perc,inter_vt_sent,inter_vt_sent_perc,inter_vt_rec,inter_vt_rec_perc,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,fg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,fg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,fg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,pg_degree,fg_degree,Status
adamq,299,85,0.2843,146,0.4883,1015,230,0.2266,774,0.7626,1314,59,0.1973,29,0.4915,34,0.5763,29,0.0286,8,0.2759,17,0.5862,0,0,0,0,0,0,1,0.001,1,1,1,1,53,18,155,15,253,85,511,50,270,0.903,29,0.097,975,0.9606,40,0.0394,1.2008,3.9222,217.3831776,1003.981818,52932.68495,1146269.607,94,0.3144,302,0.2975,12,0.0401,12,0.0118,0.9901,3.3609,4.351,99,200,0.33,0.2,189,0.6321,26,0.087,206,0.203,30,0.0296,23.62616822,39.12207792,204.9630535,503.2032788,0.006873477,0,60.5,61.73333333,1,0.99047619,0.019281124,0.381165919,0.049382716,0.176470588,63.88840161,33.28643537,0.00119787,0.001454505,15991480334,2.59E+16,0.02284678,0.116342141,0.623157895,0.488058252,3,2,0.002414362,0.002430307,0.00021811,0.00021811,0.000272414,0.000272414,1.975609756,1.802325581,2,1,2,4,15,GradStudent
ahmed12,33,20,0.6061,8,0.2424,268,36,0.1343,196,0.7313,301,0,0,0,0,0,0,31,0.1157,9,0.2903,22,0.7097,0,0,0,0,0,0,2,0.0075,1,0.5,2,1,24,73,224,84,31,94,264,99,14,0.4242,19,0.5758,220,0.8209,48,0.1791,4.125,19.2035,52.33333333,822.2857143,1032.555556,521294.9074,3,0.0909,30,0.1119,2,0.0606,21,0.0784,0.0375,0.3045,0.342,0,178,0,0.66,31,0.9394,2,0.0606,82,0.306,47,0.1754,32.33333333,47.43956044,365.2222222,868.8397537,0.011007729,0,52.2,54.4,1,0.973856209,0.018446823,0.397196262,0.061728395,0.235294118,78.16530617,35.74018298,0.001823177,0.02581787,21182462706,3.61E+16,0.029864595,0.155183504,0.772727273,0.520326388,3,2,0.002646551,0.002658493,0.000777726,0.000777726,0.000869868,0.000869868,1.93902439,1.76744186,2,1,2,5,20,Research
ajm,716,143,0.1997,287,0.4008,1418,192,0.1354,730,0.5148,2134,21,0.0293,13,0.619,13,0.619,379,0.2673,34,0.0897,208,0.5488,13,0.0182,13,1,8,0.6154,8,0.0056,8,1,6,0.75,467,65,1026,72,533,74,1194,84,541,0.7556,175,0.2444,969,0.6834,449,0.3166,1.7048,4.5635,432.894958,563.6282306,376362.9007,380135.1043,20,0.0279,112,0.079,18,0.0251,92,0.0649,4.8707,9.6463,14.517,290,637,0.41,0.45,444,0.6201,49,0.0684,733,0.5169,115,0.0811,30.19747899,35.20477137,541.7635231,700.3815279,0.02203821,0.005349794,41.54545455,49.175,0.904761905,0.80512091,0.026688633,0.44973545,0.271604938,0.470588235,114.2719728,40.74944727,0.008686047,0.539174032,3.15564E+11,1.28E+17,0.360333097,0.456261902,0.358442297,0.346626488,2,2,0.005714919,0.006318039,0.003672334,0.003672334,0.00370204,0.00370204,1.707317073,1.534883721,2,18,37,22,40,Director
apblair,215,22,0.1023,120,0.5581,400,34,0.085,273,0.6825,615,5,0.0233,4,0.8,5,1,190,0.475,12,0.0632,131,0.6895,4,0.0186,4,1,3,0.75,6,0.015,6,1,6,1,197,92,371,93,214,100,390,98,203,0.9442,12,0.0558,363,0.9075,37,0.0925,1.2216,4.5531,227.8082192,471.9854015,43578.48377,254266.8027,162,0.7535,92,0.23,155,0.7209,79,0.1975,0.3292,0.6126,0.9418,55,140,0.26,0.35,129,0.6,5,0.0233,163,0.4075,20,0.05,16.94520548,30.77372263,100.1339839,867.8685066,0.018109744,0,52.5,54.18181818,1,0.922077922,0.022625698,0.459459459,0.074074074,0.258823529,93.36000439,38.10601183,0.003245195,0.003846708,29678128629,4.57E+16,0.041683051,0.196065979,0.525724977,0.483104285,3,3,0.003393066,0.003497967,0.000587434,0.000587434,0.000630616,0.000630616,1.914634146,1.73255814,3,1,13,6,22,GradStudent
apoetter,20623,500,0.0242,3884,0.1883,20335,878,0.0432,8625,0.4241,40958,5237,0.2539,253,0.0483,1191,0.2274,1862,0.0916,67,0.036,1082,0.5811,6,0.0003,6,1,1,0.1667,31,0.0015,24,0.7742,29,0.9355,13939,68,10337,51,18079,88,17052,84,12769,0.6192,7854,0.3808,15217,0.7483,5118,0.2517,2.3545,2.3074,663.9750856,632.8405737,254431.7204,866746.1699,1647,0.0799,3289,0.1617,1238,0.06,1369,0.0673,18.8338,18.5708,37.4046,12155,7921,0.59,0.39,10381,0.5034,1683,0.0816,10528,0.5177,1159,0.057,40.73921971,33.40100251,1091.456566,760.1477461,0.006660983,0.069135802,24.71666667,37.17808219,0.363581367,0.45915493,0.030337079,0.367965368,0.740740741,0.858823529,127.907827,42.27137707,0.278798278,4.169314497,9.84765E+11,2.65E+17,0.773074536,0.732956906,0.229097208,0.213544773,2,2,0.050899331,0.050267591,0.037785363,0.037785364,0.037820887,0.037820887,1.268292683,1.151162791,2,121,251,60,73,PM
arog3632,3426,335,0.0978,1171,0.3418,4932,727,0.1474,2926,0.5933,8358,373,0.1089,76,0.2038,143,0.3834,165,0.0335,27,0.1636,103,0.6242,7,0.002,7,1,7,1,4,0.0008,3,0.75,4,1,739,22,947,19,2546,74,2770,56,2849,0.8316,577,0.1684,4469,0.9061,463,0.0939,1.4275,1.3208,252.4865772,748.4435294,89616.11727,2318074.601,552,0.1611,1151,0.2334,101,0.0295,88,0.0178,3.266,4.7016,7.9676,1203,1105,0.35,0.22,2097,0.6121,125,0.0365,1762,0.3573,206,0.0418,18.18204698,33.79705882,181.0515904,690.1911678,0.012892308,0.012037037,36.4,48.71794872,0.705128205,0.765765766,0.023622047,0.425,0.185185185,0.458823529,108.9925176,40.23034386,0.074263275,2.157736535,99283205828,1.18E+17,0.13059075,0.428274284,0.455440901,0.282191277,2,2,0.005758037,0.005759832,0.001742974,0.001742974,0.002028151,0.002028151,1.817073171,1.546511628,2,5,42,15,39,GradStudent
asohangh,652,71,0.1089,186,0.2853,881,57,0.0647,498,0.5653,1533,8,0.0123,5,0.625,6,0.75,256,0.2906,17,0.0664,134,0.5234,4,0.0061,4,1,4,1,3,0.0034,3,1,3,1,451,69,721,82,583,89,796,90,473,0.7255,179,0.2745,680,0.7719,201,0.2281,1.9176,1.8608,341.0521327,612.8115502,265263.4238,389232.2137,143,0.2193,93,0.1056,94,0.1442,70,0.0795,0.5971,0.8068,1.4038,107,322,0.16,0.37,518,0.7945,14,0.0215,429,0.4869,44,0.0499,23.49763033,36.88753799,444.3542598,910.5496623,0.007251258,0.001851852,42.7,44.93333333,0.844444444,0.711640212,0.023309353,0.357142857,0.12345679,0.352941176,105.7522085,39.80073208,0.010209596,0.047380322,58429191250,5.90E+16,0.08084341,0.247927353,0.490137221,0.490980858,3,2,0.004774101,0.005834116,0.000864072,0.000864072,0.000952001,0.000952001,1.890243902,1.651162791,2,3,21,10,30,GradStudent
awais,146,27,0.1849,32,0.2192,324,37,0.1142,215,0.6636,470,0,0,0,0,0,0,105,0.3241,4,0.0381,57,0.5429,0,0,0,0,0,0,0,0,0,0,0,0,122,84,274,85,146,100,293,90,100,0.6849,46,0.3151,281,0.8673,43,0.1327,1.9211,2.7176,217.94,752.4196429,23369.6964,475376.9043,21,0.1438,91,0.2809,14,0.0959,71,0.2191,0.1372,0.3045,0.4417,68,126,0.47,0.39,107,0.7329,1,0.0068,153,0.4722,19,0.0586,24.76,44.92857143,246.7824,1145.369898,0.003993171,0.000617284,57.4,51.54545455,1,0.921052632,0.022301762,0.372807018,0.061728395,0.258823529,88.64306271,36.95838274,0.002163376,0.074011922,22490997361,3.97E+16,0.032088818,0.169520479,0.443729904,0.474648821,3,2,0.002927835,0.002902412,0.00211525,0.00211525,0.001965002,0.001965002,1.93902439,1.744186047,2,1,11,5,22,GradStudent
bdeird7,1523,258,0.1694,645,0.4235,4968,690,0.1389,3349,0.6741,6491,35,0.023,25,0.7143,21,0.6,251,0.0505,31,0.1235,153,0.6096,14,0.0092,14,1,13,0.9286,10,0.002,10,1,10,1,667,44,918,18,1090,72,1803,36,1274,0.8365,249,0.1635,4728,0.9517,240,0.0483,1.3647,1.2617,448.4786127,1210.446978,1045320.128,2437535.428,540,0.3546,2186,0.44,191,0.1254,194,0.039,1.6168,5.2739,6.8907,329,1111,0.22,0.22,972,0.6382,86,0.0565,969,0.195,100,0.0201,21.62543353,41.92588369,244.0169254,594.5874372,0.024474448,0.012242798,34.05555556,47.58974359,0.775,0.773273273,0.025641026,0.414634146,0.222222222,0.458823529,110.7180269,40.3767274,0.029914783,0.402149411,1.29262E+11,1.15E+17,0.165535855,0.420431988,0.52700261,0.362208901,3,2,0.006245339,0.006533534,0.00128614,0.00128614,0.001362858,0.001362858,1.792682927,1.546511628,2,8,56,18,39,GradStudent
ccallsen,22600,1476,0.0653,4779,0.2115,17123,1045,0.061,5690,0.3323,39723,11045,0.4887,896,0.0811,2448,0.2216,3150,0.184,110,0.0349,1660,0.527,0,0,0,0,0,0,9,0.0005,8,0.8889,8,0.8889,12289,54,8950,52,17296,77,12976,76,13954,0.6174,8646,0.3826,11409,0.6663,5714,0.3337,1.9692,2.1025,479.3000506,474.0112695,247492.4249,334513.2339,1972,0.0873,1570,0.0917,1248,0.0552,912,0.0533,20.3787,15.44,35.8188,7576,6542,0.34,0.38,16969,0.7508,1951,0.0863,12434,0.7262,1467,0.0857,31.97722096,31.80759032,571.5975576,525.9684475,0.014226735,0.029526749,31.63888889,43.18867925,0.64171123,0.634509804,0.027998617,0.418719212,0.444444444,0.623529412,127.3528598,42.21402399,0.089642971,1.155329614,5.46582E+11,1.81E+17,0.535504748,0.581014201,0.410415026,0.286651565,2,2,0.034842505,0.035008844,0.051922557,0.051922557,0.052045787,0.052045787,1.56097561,1.38372093,2,52,99,36,53,Director
