pid1 pid1_Status pid2 pid2_Status weight
52 GradStudent 52 GradStudent 4.0
52 GradStudent 59 GradStudent 1.0
52 GradStudent 25 Director 1.0
52 GradStudent 12 Director 1.0
52 GradStudent 24 PM 9.0
52 GradStudent 14 Research 9.0
52 GradStudent 41 Research 7.0
52 GradStudent 6 Operations 6.0
52 GradStudent 18 Operations 5.0
52 GradStudent 15 Outreach 3.0
64 GradStudent 64 GradStudent 1.0
64 GradStudent 12 Director 4.0
64 GradStudent 28 Director 3.0
64 GradStudent 0 PM 1.0
64 GradStudent 29 PM 1.0
64 GradStudent 57 Research 2.0
64 GradStudent 13 Research 1.0
64 GradStudent 6 Operations 3.0
64 GradStudent 21 Operations 2.0
22 Director 59 GradStudent 3.0
22 Director 60 GradStudent 2.0
22 Director 12 Director 42.0
22 Director 25 Director 35.0
22 Director 0 PM 33.0
22 Director 24 PM 30.0
22 Director 41 Research 48.0
22 Director 4 Research 27.0
22 Director 18 Operations 15.0
22 Director 9 Operations 11.0
22 Director 15 Outreach 9.0
61 GradStudent 66 GradStudent 3.0
61 GradStudent 38 GradStudent 1.0
61 GradStudent 25 Director 14.0
61 GradStudent 28 Director 1.0
61 GradStudent 24 PM 14.0
61 GradStudent 50 PM 1.0
61 GradStudent 41 Research 117.0
61 GradStudent 16 Research 22.0
61 GradStudent 18 Operations 4.0
61 GradStudent 9 Operations 4.0
24 PM 60 GradStudent 246.0
24 PM 42 GradStudent 197.0
24 PM 25 Director 1784.0
24 PM 36 Director 436.0
24 PM 50 PM 2992.0
24 PM 29 PM 695.0
24 PM 41 Research 892.0
24 PM 55 Research 451.0
24 PM 18 Operations 259.0
24 PM 6 Operations 234.0
24 PM 15 Outreach 35.0
24 PM 63 Outreach 13.0
65 GradStudent 65 GradStudent 90.0
65 GradStudent 23 GradStudent 10.0
65 GradStudent 25 Director 115.0
65 GradStudent 30 Director 5.0
65 GradStudent 29 PM 84.0
65 GradStudent 24 PM 70.0
65 GradStudent 47 Research 79.0
